Immune	Myofibroblast_Mesothelium	interaction type	LRscore
TIMP1	CD63	autocrine|paracrine	0.913180032502525
LGALS1	ITGB1	autocrine|paracrine	0.894894496059911
ICAM1	CAV1	autocrine|paracrine	0.894801301671475
HLA-A	APLP2	autocrine|paracrine	0.889198472327922
HLA-B	CANX	autocrine|paracrine	0.886661385853735
COL1A1	ITGB1	autocrine|paracrine	0.885477776305182
COL3A1	ITGB1	autocrine|paracrine	0.879989355858995
TGFB1	CAV1	autocrine|paracrine	0.87918416670201
TGFB1	ITGB1	autocrine|paracrine	0.878065803950503
COL1A2	ITGB1	autocrine|paracrine	0.877158428261526
UBC	ERBB2	autocrine|paracrine	0.874867074171051
RPS27A	ERBB2	autocrine|paracrine	0.874721703632236
GNAI2	CAV1	autocrine|paracrine	0.872104739154478
APOA1	LRP1	autocrine|paracrine	0.86997732584472
UBC	LDLR	autocrine|paracrine	0.868774263229226
RPS27A	LDLR	autocrine|paracrine	0.868622877414751
HSP90B1	LRP1	autocrine|paracrine	0.865877635389654
CALM1	MYLK	autocrine|paracrine	0.865320139759524
MDK	ITGB1	autocrine|paracrine	0.863131847681459
PSAP	LRP1	autocrine|paracrine	0.859482341343576
GNAI2	F2R	autocrine|paracrine	0.857978694092366
HSP90AA1	ERBB2	autocrine|paracrine	0.857561538620975
CD14	ITGB1	autocrine|paracrine	0.85646316259041
CALM2	MYLK	autocrine|paracrine	0.855574981887737
PTGS2	CAV1	autocrine|paracrine	0.854959436596231
VIM	CD44	autocrine|paracrine	0.853965766085357
CALR	LRP1	autocrine|paracrine	0.849333615406486
VEGFA	ITGB1	autocrine|paracrine	0.848128035165085
UBB	ERBB2	autocrine|paracrine	0.845103876092055
TGFB1	SDC2	autocrine|paracrine	0.844180781148133
UBB	LDLR	autocrine|paracrine	0.837830502856782
UBC	TGFBR2	autocrine|paracrine	0.836552115463196
RPS27A	TGFBR2	autocrine|paracrine	0.836370558487811
UBC	FGFR2	autocrine|paracrine	0.8349868733759
RPS27A	FGFR2	autocrine|paracrine	0.834803921076565
HSPA8	LDLR	autocrine|paracrine	0.834466935644157
HLA-A	ERBB2	autocrine|paracrine	0.833982155243178
TIMP2	ITGB1	autocrine|paracrine	0.828918255235377
ITGB2	THY1	autocrine|paracrine	0.825980332811349
HSP90B1	ERBB2	autocrine|paracrine	0.82468683961981
APOA1	LDLR	autocrine|paracrine	0.821957445991729
MDK	LRP1	autocrine|paracrine	0.818519394286882
UBC	TGFBR1	autocrine|paracrine	0.814780388986642
