Immune	Neural	interaction type	LRscore
TIMP1	CD63	autocrine|paracrine	0.909650342348857
HLA-B	CANX	autocrine|paracrine	0.897320944335305
UBC	TGFBR2	autocrine|paracrine	0.874371512031273
RPS27A	TGFBR2	autocrine|paracrine	0.874225648549773
HLA-A	APLP2	autocrine|paracrine	0.87231253810749
LGALS1	ITGB1	autocrine|paracrine	0.865696981011132
VIM	CD44	autocrine|paracrine	0.854233553675239
COL1A1	ITGB1	autocrine|paracrine	0.85409087907803
COL3A1	ITGB1	autocrine|paracrine	0.847357557900831
UBC	LDLR	autocrine|paracrine	0.846060644341503
RPS27A	LDLR	autocrine|paracrine	0.845887703616729
TGFB1	ITGB1	autocrine|paracrine	0.845003101307035
UBB	TGFBR2	autocrine|paracrine	0.84451139215108
COL1A2	ITGB1	autocrine|paracrine	0.84389343041581
COL1A1	ITGA1	autocrine|paracrine	0.834973191664945
UBC	ERBB2	autocrine|paracrine	0.829385133158151
RPS27A	ERBB2	autocrine|paracrine	0.829197240583197
ITGB2	THY1	autocrine|paracrine	0.828499670841824
HLA-C	DDR1	autocrine|paracrine	0.828131678158615
MDK	ITGB1	autocrine|paracrine	0.826818433428603
COL1A2	ITGA1	autocrine|paracrine	0.823715401043473
GNAI2	EDNRB	autocrine|paracrine	0.820528299296255
CD14	ITGB1	autocrine|paracrine	0.818751970558432
HBEGF	CD9	autocrine|paracrine	0.816690965808204
UBC	TGFBR1	autocrine|paracrine	0.812555614290544
RPS27A	TGFBR1	autocrine|paracrine	0.812353381149176
UBB	LDLR	autocrine|paracrine	0.810926524979992
UBA52	NOTCH1	autocrine|paracrine	0.808928433640608
VEGFA	ITGB1	autocrine|paracrine	0.808716059305696
HSP90AA1	ERBB2	autocrine|paracrine	0.807175917694857
HSPA8	LDLR	autocrine|paracrine	0.807133394956683
UBA52	TGFBR2	autocrine|paracrine	0.80130034463429
COL1A1	DDR2	autocrine|paracrine	0.79945262634735
COL1A1	DDR1	autocrine|paracrine	0.796245922088799
APOA1	LDLR	autocrine|paracrine	0.79307051266127
UBB	ERBB2	autocrine|paracrine	0.791383541475496
ICAM1	CAV1	autocrine|paracrine	0.790990281109143
COL3A1	DDR2	autocrine|paracrine	0.790815439773061
TGFB1	TGFBR2	autocrine|paracrine	0.788841882818162
COL3A1	DDR1	autocrine|paracrine	0.787507337377373
APOA1	LRP1	autocrine|paracrine	0.787044259999462
CALM1	PTPRA	autocrine|paracrine	0.786905395927285
GPC3	CD81	autocrine|paracrine	0.786691071520158
TIMP2	ITGB1	autocrine|paracrine	0.785780320620068
HSP90B1	LRP1	autocrine|paracrine	0.78098793564788
VEGFA	GPC1	autocrine|paracrine	0.777700448171857
HLA-A	ERBB2	autocrine|paracrine	0.777420524922536
MDK	SDC3	autocrine|paracrine	0.773874340442057
COL1A1	CD44	autocrine|paracrine	0.773204361811439
UBB	TGFBR1	autocrine|paracrine	0.771836737926017
B2M	TFRC	autocrine|paracrine	0.771709785837585
PSAP	LRP1	autocrine|paracrine	0.771612538523944
HSP90B1	ERBB2	autocrine|paracrine	0.765847478220248
CALM1	MYLK	autocrine|paracrine	0.764529636443534
TGFB1	CAV1	autocrine|paracrine	0.76402618517186
UBA52	LDLR	autocrine|paracrine	0.76102320973412
COL1A2	CD44	autocrine|paracrine	0.758949305205048
THBS1	ITGB1	autocrine|paracrine	0.758853937816335
TGFB1	SDC2	autocrine|paracrine	0.757442171545171
CALR	LRP1	autocrine|paracrine	0.756912441277616
LUM	ITGB1	autocrine|paracrine	0.755295633269034
PKM	CD44	autocrine|paracrine	0.754714219080747
COL6A2	ITGB1	autocrine|paracrine	0.753445177535146
GNAI2	CAV1	autocrine|paracrine	0.752101527360714
CALM2	MYLK	autocrine|paracrine	0.749601862270782
ADAM17	ITGB1	autocrine|paracrine	0.749251599532255
CXCL12	ITGB1	autocrine|paracrine	0.747499688652011
PLAU	ITGB1	autocrine|paracrine	0.746130300561325
AREG	ERBB3	autocrine|paracrine	0.745816985610277
RTN4	NGFR	autocrine|paracrine	0.744889724692109
SPTAN1	PTPRA	autocrine|paracrine	0.744688608806473
COL6A1	ITGB1	autocrine|paracrine	0.739897064671264
IGFBP4	LRP6	autocrine|paracrine	0.73882839059792
UBA52	ERBB2	autocrine|paracrine	0.737988715026655
GNAI2	IGF1R	autocrine|paracrine	0.734477349897434
VCAN	ITGB1	autocrine|paracrine	0.734165094788757
NAMPT	INSR	autocrine|paracrine	0.734152236208532
IL1B	IL1RAP	autocrine|paracrine	0.73358454721212
CALR	ITGAV	autocrine|paracrine	0.731481132788009
UBC	RIPK1	autocrine|paracrine	0.730727157882769
RPS27A	RIPK1	autocrine|paracrine	0.730465925257716
COL1A1	ITGAV	autocrine|paracrine	0.727687933182633
COL6A2	ITGA1	autocrine|paracrine	0.725380518353287
PTGS2	CAV1	autocrine|paracrine	0.723960876412917
THBS1	CD47	autocrine|paracrine	0.72224096043835
COL5A1	ITGB1	autocrine|paracrine	0.722012303887411
FYN	THY1	autocrine|paracrine	0.720887915663202
MDK	ITGA6	autocrine|paracrine	0.720428486973447
UBA52	TGFBR1	autocrine|paracrine	0.715239154495049
FN1	ITGB1	autocrine|paracrine	0.713802449917226
MDK	LRP1	autocrine|paracrine	0.71357077156219
TGFB1	ITGAV	autocrine|paracrine	0.71336940688225
COL1A2	ITGAV	autocrine|paracrine	0.711638929929168
COL6A1	ITGA1	autocrine|paracrine	0.710882024923728
FBLN1	ITGB1	autocrine|paracrine	0.709756843256958
LAMB2	RPSA	autocrine|paracrine	0.708661430856002
PSEN1	NOTCH1	autocrine|paracrine	0.708485081921952
UBC	SMAD3	autocrine|paracrine	0.705887624110343
RPS27A	SMAD3	autocrine|paracrine	0.705612001934285
VEGFA	NRP1	autocrine|paracrine	0.704196923053709
ACTR2	LDLR	autocrine|paracrine	0.702910930071802
C1QB	LRP1	autocrine|paracrine	0.700249921287483
TGFB1	TGFBR1	autocrine|paracrine	0.699408868564063
COL6A3	ITGB1	autocrine|paracrine	0.697569824090007
NID1	ITGB1	autocrine|paracrine	0.695892132209664
GNAI2	F2R	autocrine|paracrine	0.695009269121385
C3	CD81	autocrine|paracrine	0.693226216526556
CALM1	ABCA1	autocrine|paracrine	0.692408421669319
COL5A1	ITGA1	autocrine|paracrine	0.691833132283616
APP	GPC1	autocrine|paracrine	0.691649750839925
ICAM4	ITGB1	autocrine|paracrine	0.690826635518046
CALM1	INSR	autocrine|paracrine	0.688305914505348
VEGFA	TYRO3	autocrine|paracrine	0.687538526442085
HSP90B1	ASGR1	autocrine|paracrine	0.68597850785852
ARF1	INSR	autocrine|paracrine	0.683114144296659
ADAM17	NOTCH1	autocrine|paracrine	0.682496651294224
VEGFA	NRP2	autocrine|paracrine	0.681888119016938
UBB	RIPK1	autocrine|paracrine	0.679249389357133
CALM2	ABCA1	autocrine|paracrine	0.674852980169948
TNF	TNFRSF1A	autocrine|paracrine	0.673812964151776
LTB	LTBR	autocrine|paracrine	0.673373549908723
LRPAP1	LDLR	autocrine|paracrine	0.673040801260847
OSM	IL6ST	autocrine|paracrine	0.672711075680484
PTN	SDC3	autocrine|paracrine	0.670984827007661
CALM2	INSR	autocrine|paracrine	0.670627708118337
HSP90AA1	FGFR3	autocrine|paracrine	0.668907914943997
LTB	TNFRSF1A	autocrine|paracrine	0.667159579748883
EREG	ERBB3	autocrine|paracrine	0.66696730453177
COL6A3	ITGA1	autocrine|paracrine	0.665964754509891
LRPAP1	LRP1	autocrine|paracrine	0.664995577710453
COL5A2	ITGB1	autocrine|paracrine	0.664503881839076
MMP9	CD44	autocrine|paracrine	0.66415019026065
COL4A1	ITGB1	autocrine|paracrine	0.663388324246972
PSEN1	CD44	autocrine|paracrine	0.663031662409849
COL16A1	ITGB1	autocrine|paracrine	0.662540937941736
RTN4	TNFRSF19	autocrine|paracrine	0.662465570423913
VEGFA	ITGAV	autocrine|paracrine	0.65871181574065
CDH1	ERBB3	autocrine|paracrine	0.65592163632176
TGFB1	ENG	autocrine|paracrine	0.655505275587918
CALM3	MYLK	autocrine|paracrine	0.655466307662345
GSTP1	TRAF2	autocrine|paracrine	0.652527315076576
UBB	SMAD3	autocrine|paracrine	0.651923189551837
