Muscle	Endothelial	interaction type	LRscore
COL1A1	CD93	autocrine|paracrine	0.941064816724059
COL1A1	ITGB1	autocrine|paracrine	0.940420393196012
COL1A2	CD93	autocrine|paracrine	0.937791090820859
COL1A2	ITGB1	autocrine|paracrine	0.937113263012448
COL3A1	ITGB1	autocrine|paracrine	0.936441021990965
RPS27A	TGFBR2	autocrine|paracrine	0.933625607579082
CYR61	CAV1	autocrine|paracrine	0.932104929084206
COL1A1	CD36	autocrine|paracrine	0.930131876880435
RPS27A	LDLR	autocrine|paracrine	0.929132878204244
LGALS1	ITGB1	autocrine|paracrine	0.929130287331706
COL6A2	ITGB1	autocrine|paracrine	0.928279828296172
COL1A2	CD36	autocrine|paracrine	0.926298411285691
COL1A1	ITGA5	autocrine|paracrine	0.924831881995191
COL6A1	ITGB1	autocrine|paracrine	0.923021191594306
MDK	ITGB1	autocrine|paracrine	0.922222703184049
FN1	ITGB1	autocrine|paracrine	0.922124881760022
UBC	TGFBR2	autocrine|paracrine	0.921146776171998
UBC	LDLR	autocrine|paracrine	0.915885483013482
HMGB1	THBD	autocrine|paracrine	0.915598521365341
COL6A1	ITGA6	autocrine|paracrine	0.912453122805076
MDK	ITGA6	autocrine|paracrine	0.911555517508013
FN1	ITGA6	autocrine|paracrine	0.911445568104496
COL6A3	ITGB1	autocrine|paracrine	0.907070253152208
FN1	ROBO4	autocrine|paracrine	0.905839664565247
UBB	TGFBR2	autocrine|paracrine	0.904096667589139
COL4A2	CD93	autocrine|paracrine	0.902561028442524
FN1	ITGA5	autocrine|paracrine	0.902247077183997
COL1A1	ITGA2	autocrine|paracrine	0.900558431491202
HSPG2	ITGB1	autocrine|paracrine	0.900095283555965
TIMP1	CD63	autocrine|paracrine	0.898045697456522
UBB	LDLR	autocrine|paracrine	0.897823935348519
COL4A1	CD93	autocrine|paracrine	0.897684401465115
HSPA8	LDLR	autocrine|paracrine	0.897056153433784
COL4A1	ITGB1	autocrine|paracrine	0.896617746667172
APP	CAV1	autocrine|paracrine	0.896482129165552
COL1A2	ITGA2	autocrine|paracrine	0.895285029701414
COL1A1	FLT4	autocrine|paracrine	0.894483612585267
COL3A1	ITGA2	autocrine|paracrine	0.894216130401278
CTGF	ITGA5	autocrine|paracrine	0.892432044948711
CYR61	ITGA5	autocrine|paracrine	0.889208482521704
COL1A2	FLT4	autocrine|paracrine	0.888927795058426
GPC3	CD81	autocrine|paracrine	0.887428268838923
COL1A1	ITGA1	autocrine|paracrine	0.886048760934924
APOA1	LDLR	autocrine|paracrine	0.884739088189327
COL5A2	ITGB1	autocrine|paracrine	0.883936484333675
UBA52	TGFBR2	autocrine|paracrine	0.883641620381119
COL5A1	ITGB1	autocrine|paracrine	0.88359836195486
COL6A2	ITGA2	autocrine|paracrine	0.881320247995031
GNAI2	CAV1	autocrine|paracrine	0.881205882262565
COL1A2	ITGA1	autocrine|paracrine	0.880108346220406
UBA52	LDLR	autocrine|paracrine	0.876214169152365
CXCL12	ITGB1	autocrine|paracrine	0.876158234498034
LAMB2	RPSA	autocrine|paracrine	0.875101567665399
COL6A1	ITGA2	autocrine|paracrine	0.873089194599333
FN1	ITGA2	autocrine|paracrine	0.871692314745513
NID1	ITGB1	autocrine|paracrine	0.871358607696332
UBA52	NOTCH1	autocrine|paracrine	0.870100157181976
LAMB2	ITGB1	autocrine|paracrine	0.866281363488401
LAMB1	ITGB1	autocrine|paracrine	0.866212766857079
COL6A2	ITGA1	autocrine|paracrine	0.864426093497843
