Muscle	Epithelial	interaction type	LRscore
RPS27A	LDLR	autocrine|paracrine	0.920311844819933
TIMP1	CD63	autocrine|paracrine	0.907560499753033
COL1A1	ITGB1	autocrine|paracrine	0.906102189175439
UBC	LDLR	autocrine|paracrine	0.905583071096254
FN1	PLAUR	autocrine|paracrine	0.904159306363914
RPS27A	ERBB2	autocrine|paracrine	0.901942833566592
COL1A2	ITGB1	autocrine|paracrine	0.901090484810222
COL3A1	ITGB1	autocrine|paracrine	0.900074231622876
LGALS1	ITGB1	autocrine|paracrine	0.889075974467947
COL6A2	ITGB1	autocrine|paracrine	0.887802893596736
UBB	LDLR	autocrine|paracrine	0.885585682611459
HSPA8	LDLR	autocrine|paracrine	0.884737744791557
UBC	ERBB2	autocrine|paracrine	0.884245944119374
COL1A1	DDR1	autocrine|paracrine	0.883913064602109
HSP90AA1	FGFR3	autocrine|paracrine	0.882199785436091
COL6A1	ITGB1	autocrine|paracrine	0.879960206915213
LAMB2	RPSA	autocrine|paracrine	0.878978259257711
MDK	ITGB1	autocrine|paracrine	0.87877371735597
FN1	ITGB1	autocrine|paracrine	0.878628441500904
COL3A1	DDR1	autocrine|paracrine	0.876654542164301
APOA1	LDLR	autocrine|paracrine	0.87115849049499
HSP90AA1	ERBB2	autocrine|paracrine	0.867929424921682
MDK	TSPAN1	autocrine|paracrine	0.867157798719945
UBA52	LDLR	autocrine|paracrine	0.86178603905461
UBB	ERBB2	autocrine|paracrine	0.860425902279475
COL6A3	ITGB1	autocrine|paracrine	0.856473964778343
COL6A1	ITGA6	autocrine|paracrine	0.847872457250555
MDK	LRP1	autocrine|paracrine	0.846627770214877
MDK	ITGA6	autocrine|paracrine	0.846424160603681
HSPG2	ITGB1	autocrine|paracrine	0.846344720236557
FN1	ITGA6	autocrine|paracrine	0.846246900343003
GPC3	CD81	autocrine|paracrine	0.845902106851754
HSP90B1	ERBB2	autocrine|paracrine	0.841942685736059
RPS27A	TGFBR2	autocrine|paracrine	0.841329581562903
COL4A1	ITGB1	autocrine|paracrine	0.841326031768387
P4HB	MTTP	autocrine|paracrine	0.833936828768866
