Muscle	Myofibroblast_Mesothelium	interaction type	LRscore
COL1A1	ITGB1	autocrine|paracrine	0.939233456898195
COL1A2	ITGB1	autocrine|paracrine	0.93586493573383
COL3A1	ITGB1	autocrine|paracrine	0.935180273471572
LGALS1	ITGB1	autocrine|paracrine	0.927735714591378
COL6A2	ITGB1	autocrine|paracrine	0.926869837446896
COL6A1	ITGB1	autocrine|paracrine	0.921516558701577
MDK	ITGB1	autocrine|paracrine	0.920703803798319
FN1	ITGB1	autocrine|paracrine	0.920604236500919
CYR61	CAV1	autocrine|paracrine	0.910626487790988
COL6A3	ITGB1	autocrine|paracrine	0.905285834710136
TIMP1	CD63	autocrine|paracrine	0.904183692901826
GPC3	CD81	autocrine|paracrine	0.901128450904457
HSPG2	ITGB1	autocrine|paracrine	0.898191965439205
FN1	SDC2	autocrine|paracrine	0.897155899399491
COL4A1	ITGB1	autocrine|paracrine	0.894655930707809
MDK	LRP1	autocrine|paracrine	0.892520287273856
COL1A1	DDR2	autocrine|paracrine	0.887755622193722
COL1A1	ITGA1	autocrine|paracrine	0.886015980148155
CALM2	MYLK	autocrine|paracrine	0.885996724574671
LAMB2	RPSA	autocrine|paracrine	0.885982193118672
RPS27A	ERBB2	autocrine|paracrine	0.885549103786028
CALM1	MYLK	autocrine|paracrine	0.882806828913363
COL5A2	ITGB1	autocrine|paracrine	0.881765757498802
CTGF	LRP1	autocrine|paracrine	0.881714426902678
COL5A1	ITGB1	autocrine|paracrine	0.881422159575638
COL3A1	DDR2	autocrine|paracrine	0.880704935493645
COL1A2	ITGA1	autocrine|paracrine	0.880074087830249
RPS27A	LDLR	autocrine|paracrine	0.879905010996097
FN1	ITGA8	autocrine|paracrine	0.87720716537768
CXCL12	ITGB1	autocrine|paracrine	0.873862791004225
COL1A1	CD44	autocrine|paracrine	0.871804789736497
CXCL12	ACKR3	autocrine|paracrine	0.870941956724267
NID1	ITGB1	autocrine|paracrine	0.868987504328004
VIM	CD44	autocrine|paracrine	0.868893255067123
COL1A1	ITGA5	autocrine|paracrine	0.865473202354349
APP	CAV1	autocrine|paracrine	0.865362276917752
UBC	ERBB2	autocrine|paracrine	0.865335295694752
COL1A2	CD44	autocrine|paracrine	0.86523476005922
COL6A2	ITGA1	autocrine|paracrine	0.864388044464503
LAMB2	ITGB1	autocrine|paracrine	0.863831301341749
LAMB1	ITGB1	autocrine|paracrine	0.863761645511763
HSPG2	LRP1	autocrine|paracrine	0.863196137677532
APOA1	LRP1	autocrine|paracrine	0.861436481214167
HSP90B1	LRP1	autocrine|paracrine	0.860130820673841
COL1A1	ITGAV	autocrine|paracrine	0.859304869985868
UBC	LDLR	autocrine|paracrine	0.858853252766689
TIMP2	ITGB1	autocrine|paracrine	0.858407969321152
PLAT	LRP1	autocrine|paracrine	0.857611130455386
COL6A1	ITGA1	autocrine|paracrine	0.855175629963088
CALM3	MYLK	autocrine|paracrine	0.853600044320786
COL1A2	ITGAV	autocrine|paracrine	0.852202821926069
TNC	ITGB1	autocrine|paracrine	0.851056354923909
FBLN1	ITGB1	autocrine|paracrine	0.850634983505765
RPS27A	TGFBR2	autocrine|paracrine	0.84994392013316
RPS27A	FGFR2	autocrine|paracrine	0.848483695525848
