Muscle	Neural	interaction type	LRscore
COL1A1	ITGB1	autocrine|paracrine	0.921269347892037
COL1A2	ITGB1	autocrine|paracrine	0.916993015545685
COL3A1	ITGB1	autocrine|paracrine	0.916124945311471
COL1A1	ITGA1	autocrine|paracrine	0.910026450485148
LGALS1	ITGB1	autocrine|paracrine	0.906710194834784
COL6A2	ITGB1	autocrine|paracrine	0.905618017763569
COL1A2	ITGA1	autocrine|paracrine	0.905202286412065
TIMP1	CD63	autocrine|paracrine	0.900328174796808
COL6A1	ITGB1	autocrine|paracrine	0.898878785867242
MDK	ITGB1	autocrine|paracrine	0.897857584578006
FN1	ITGB1	autocrine|paracrine	0.897732517076249
COL6A2	ITGA1	autocrine|paracrine	0.892401118385357
COL1A1	DDR2	autocrine|paracrine	0.888503266512499
MDK	PTPRZ1	autocrine|paracrine	0.888494504929799
COL1A1	DDR1	autocrine|paracrine	0.886518339340795
GPC3	CD81	autocrine|paracrine	0.88608302770005
LAMB2	RPSA	autocrine|paracrine	0.885234845552111
RPS27A	TGFBR2	autocrine|paracrine	0.885090289117021
COL6A1	ITGA1	autocrine|paracrine	0.88483815886021
COL3A1	DDR2	autocrine|paracrine	0.881493274274134
COL3A1	DDR1	autocrine|paracrine	0.879400490252197
COL6A3	ITGB1	autocrine|paracrine	0.878583304709833
COL1A1	CD44	autocrine|paracrine	0.872044766793429
IGFBP4	LRP6	autocrine|paracrine	0.87194378584964
HSPG2	ITGB1	autocrine|paracrine	0.869777166662913
VIM	CD44	autocrine|paracrine	0.869137864302012
CTGF	LRP6	autocrine|paracrine	0.868743319190077
COL1A2	CD44	autocrine|paracrine	0.865485138336706
COL4A1	ITGB1	autocrine|paracrine	0.865402111689133
UBC	TGFBR2	autocrine|paracrine	0.864807818230366
MDK	SDC3	autocrine|paracrine	0.863033540818593
COL6A3	ITGA1	autocrine|paracrine	0.862156804194156
RPS27A	LDLR	autocrine|paracrine	0.85880487716909
PTN	PTPRZ1	autocrine|paracrine	0.852955147551419
COL5A2	ITGB1	autocrine|paracrine	0.849534387518625
COL5A1	ITGB1	autocrine|paracrine	0.84911315090132
COL4A1	ITGA1	autocrine|paracrine	0.847501853848488
RPS27A	ERBB2	autocrine|paracrine	0.843254124471649
COL1A1	ITGAV	autocrine|paracrine	0.842319668339019
COL4A1	CD47	autocrine|paracrine	0.841589271640875
CXCL12	ITGB1	autocrine|paracrine	0.839868270432714
UBB	TGFBR2	autocrine|paracrine	0.837721857115128
FN1	CD44	autocrine|paracrine	0.836405236109979
UBC	LDLR	autocrine|paracrine	0.834749057737269
COL1A2	ITGAV	autocrine|paracrine	0.834525341240379
FN1	SDC2	autocrine|paracrine	0.834111643903438
NID1	ITGB1	autocrine|paracrine	0.833928772139077
COL5A2	ITGA1	autocrine|paracrine	0.829938561076418
COL5A1	ITGA1	autocrine|paracrine	0.829473476812901
LAMB2	ITGB1	autocrine|paracrine	0.827666411459194
LAMB1	ITGB1	autocrine|paracrine	0.82758194832181
COL6A1	ITGA6	autocrine|paracrine	0.827522817825749
RPS27A	TGFBR1	autocrine|paracrine	0.827508128931549
MDK	ITGA6	autocrine|paracrine	0.825920563138891
FN1	ITGA6	autocrine|paracrine	0.825724509889827
TIMP2	ITGB1	autocrine|paracrine	0.821101004065417
PTN	SDC3	autocrine|paracrine	0.821013945221664
MDK	LRP1	autocrine|paracrine	0.821007592875284
RTN4	NGFR	autocrine|paracrine	0.820667022212053
CYR61	CAV1	autocrine|paracrine	0.819277866973211
UBC	ERBB2	autocrine|paracrine	0.817113087536443
UBA52	NOTCH1	autocrine|paracrine	0.813630705085848
CALM1	PTPRA	autocrine|paracrine	0.812365681469391
TNC	ITGB1	autocrine|paracrine	0.812236064842403
FBLN1	ITGB1	autocrine|paracrine	0.811729163800028
COL1A1	ITGA2	autocrine|paracrine	0.809657841782117
LAMA4	ITGB1	autocrine|paracrine	0.808972728646291
UBA52	TGFBR2	autocrine|paracrine	0.806145355688664
LAMB1	ITGA1	autocrine|paracrine	0.805780767640466
SORBS1	ITGA1	autocrine|paracrine	0.805430489939396
FN1	ITGB8	autocrine|paracrine	0.805261221043469
CTGF	LRP1	autocrine|paracrine	0.804586122034857
UBB	LDLR	autocrine|paracrine	0.803012552203807
FN1	IL17RC	autocrine|paracrine	0.802500691693728
HSPA8	LDLR	autocrine|paracrine	0.801689692066522
COL5A1	SDC3	autocrine|paracrine	0.801347294749524
COL1A2	ITGA2	autocrine|paracrine	0.800631141110343
FN1	ITGAV	autocrine|paracrine	0.800296791416629
MFAP2	NOTCH1	autocrine|paracrine	0.799867428444733
APP	GPC1	autocrine|paracrine	0.799375437091802
UBC	TGFBR1	autocrine|paracrine	0.799365882379746
COL3A1	ITGA2	autocrine|paracrine	0.79881316548406
FBN1	ITGB1	autocrine|paracrine	0.79726042861388
CALM2	MYLK	autocrine|paracrine	0.79705081675388
TNC	PTPRZ1	autocrine|paracrine	0.796800601180537
HSP90AA1	ERBB2	autocrine|paracrine	0.79354306406002
NCAM1	GFRA1	autocrine|paracrine	0.792284262910305
CALM1	MYLK	autocrine|paracrine	0.791956544811006
LGALS3BP	ITGB1	autocrine|paracrine	0.791640515525048
HLA-B	CANX	autocrine|paracrine	0.790434895336584
COL5A2	DDR1	autocrine|paracrine	0.790326490379084
MDK	GPC2	autocrine|paracrine	0.788453693224779
THBS1	ITGB1	autocrine|paracrine	0.788241364344054
GNAI2	EDNRB	autocrine|paracrine	0.78683614548237
COL16A1	ITGB1	autocrine|paracrine	0.786068766528279
LAMC1	ITGB1	autocrine|paracrine	0.784672723912386
VEGFA	ITGB1	autocrine|paracrine	0.784367926773561
UBB	ERBB2	autocrine|paracrine	0.782870589986564
APOA1	LDLR	autocrine|paracrine	0.780751003615452
LAMA5	ITGB1	autocrine|paracrine	0.778419935933658
COL6A2	ITGA2	autocrine|paracrine	0.777184895812906
HSPG2	LRP1	autocrine|paracrine	0.777046253048938
CYR61	ITGAV	autocrine|paracrine	0.777020439149143
APOA1	LRP1	autocrine|paracrine	0.774468006012542
HLA-A	APLP2	autocrine|paracrine	0.773727547059996
PTN	PLXNB2	autocrine|paracrine	0.773263121612712
HSP90B1	LRP1	autocrine|paracrine	0.772559221923269
FN1	PLAUR	autocrine|paracrine	0.769031451320243
PLAT	LRP1	autocrine|paracrine	0.768885849888661
LUM	ITGB1	autocrine|paracrine	0.768049089229288
PKM	CD44	autocrine|paracrine	0.767684156943608
UBA52	LDLR	autocrine|paracrine	0.766564215057915
VCAN	ITGB1	autocrine|paracrine	0.765939703999695
COL6A1	ITGA2	autocrine|paracrine	0.763668231527389
UBB	TGFBR1	autocrine|paracrine	0.762765256161248
APP	NGFR	autocrine|paracrine	0.762235752912006
FN1	ITGA2	autocrine|paracrine	0.761396118144581
LAMC1	ITGA1	autocrine|paracrine	0.759025760873528
SPTAN1	PTPRA	autocrine|paracrine	0.75709605431002
HSP90B1	ERBB2	autocrine|paracrine	0.757017367153619
RTN4	TNFRSF19	autocrine|paracrine	0.754662154192084
THBS1	CD47	autocrine|paracrine	0.754647643552911
MMP2	SDC2	autocrine|paracrine	0.754449633846124
TGM2	ITGB1	autocrine|paracrine	0.753472311807429
COL4A1	ITGB8	autocrine|paracrine	0.751780284099534
NID1	PTPRF	autocrine|paracrine	0.750780222572329
VEGFA	GPC1	autocrine|paracrine	0.750621793931005
RPS27A	RIPK1	autocrine|paracrine	0.750200451215972
CALM3	MYLK	autocrine|paracrine	0.746606980708475
COL4A1	ITGAV	autocrine|paracrine	0.745882720125253
CTGF	ERBB4	autocrine|paracrine	0.745402236585718
UBA52	ERBB2	autocrine|paracrine	0.743884064493794
APP	CAV1	autocrine|paracrine	0.740912130751609
EFEMP2	AQP1	autocrine|paracrine	0.740353813322345
NCAM1	PTPRA	autocrine|paracrine	0.739788013601101
FGF7	NRP1	autocrine|paracrine	0.739735632665521
FGF7	FGFR1	autocrine|paracrine	0.738437557114701
ADAM9	ITGB1	autocrine|paracrine	0.737494135917727
GDNF	GFRA1	autocrine|paracrine	0.734280456267391
RTN4	LINGO1	autocrine|paracrine	0.732593973787317
AREG	ERBB3	autocrine|paracrine	0.73242533491406
CALM2	ABCA1	autocrine|paracrine	0.731390765438148
GDNF	EDNRB	autocrine|paracrine	0.729965219353975
CALM2	INSR	autocrine|paracrine	0.727603644178836
RPS27A	SMAD3	autocrine|paracrine	0.726484882221106
CALM1	ABCA1	autocrine|paracrine	0.725216545332366
COL6A3	ITGA2	autocrine|paracrine	0.724551249144315
APP	NCSTN	autocrine|paracrine	0.724423535484384
B2M	TFRC	autocrine|paracrine	0.723660915904035
LAMB1	ITGA6	autocrine|paracrine	0.721503059998119
UBA52	TGFBR1	autocrine|paracrine	0.721453175619188
CALM1	INSR	autocrine|paracrine	0.721375535708674
NLGN2	NRXN1	autocrine|paracrine	0.721282172638867
ARPC5	LDLR	autocrine|paracrine	0.719836898279055
PSAP	LRP1	autocrine|paracrine	0.718539397826754
HLA-C	DDR1	autocrine|paracrine	0.716679520783542
CALR	LRP1	autocrine|paracrine	0.715934324423737
EFEMP2	PLSCR4	autocrine|paracrine	0.715554796190679
APP	LRP1	autocrine|paracrine	0.715309831038481
UBC	RIPK1	autocrine|paracrine	0.713807499743222
APP	CD74	autocrine|paracrine	0.711853658793197
COL4A5	ITGB1	autocrine|paracrine	0.711688233399891
FYN	THY1	autocrine|paracrine	0.71116563389112
GNAI2	CAV1	autocrine|paracrine	0.71010212071604
TGFB1	ITGB1	autocrine|paracrine	0.70899772375528
HSPG2	ITGA2	autocrine|paracrine	0.708282784348513
FST	BMPR2	autocrine|paracrine	0.707113867921218
RGMA	BMPR2	autocrine|paracrine	0.707098725695363
VEGFB	NRP1	autocrine|paracrine	0.705296796129607
NRTN	GFRA1	autocrine|paracrine	0.704736082491428
HSPG2	CHRM3	autocrine|paracrine	0.702877397111019
ARF1	INSR	autocrine|paracrine	0.702341749016992
THBS2	ITGB1	autocrine|paracrine	0.701485911741878
AGRN	ITGB1	autocrine|paracrine	0.701235092626478
CXCL12	ACKR3	autocrine|paracrine	0.700527318674136
COL4A1	ITGA2	autocrine|paracrine	0.700351264771918
NCAM1	FGFR1	autocrine|paracrine	0.699867095167312
SLIT2	GPC1	autocrine|paracrine	0.697966191630187
GPC3	IGF1R	autocrine|paracrine	0.696479279801084
NID1	ITGAV	autocrine|paracrine	0.696270590238015
LAMA4	ITGA6	autocrine|paracrine	0.695655118580031
JAM3	ITGB1	autocrine|paracrine	0.694443126186021
GNAI2	IGF1R	autocrine|paracrine	0.690719896926824
VEGFB	TYRO3	autocrine|paracrine	0.688672955854245
GPC3	LRP1	autocrine|paracrine	0.688599669431114
UBC	SMAD3	autocrine|paracrine	0.688073436793051
CALR	ITGAV	autocrine|paracrine	0.687983190424161
LAMB1	ITGAV	autocrine|paracrine	0.686639692131903
EFEMP2	LINGO1	autocrine|paracrine	0.684665288894879
VEGFB	RET	autocrine|paracrine	0.684495544754468
COL4A5	ITGA1	autocrine|paracrine	0.680883628517761
GSTP1	TRAF2	autocrine|paracrine	0.679857579189701
SERPINA1	LRP1	autocrine|paracrine	0.679731521702096
NLGN1	NRXN1	autocrine|paracrine	0.678848762780523
FN1	ITGA3	autocrine|paracrine	0.67766664443091
COL9A2	ITGB1	autocrine|paracrine	0.67690166876953
LRPAP1	LDLR	autocrine|paracrine	0.67649994454811
HSP90B1	ASGR1	autocrine|paracrine	0.675413002519686
ARF1	CHRM3	autocrine|paracrine	0.672064356931363
VEGFA	NRP1	autocrine|paracrine	0.671941590047283
CALM3	ABCA1	autocrine|paracrine	0.671356032088276
COL4A5	CD47	autocrine|paracrine	0.671018650679979
LRPAP1	LRP1	autocrine|paracrine	0.668497913827234
UBB	RIPK1	autocrine|paracrine	0.668079793994147
THBS1	ITGA6	autocrine|paracrine	0.667677791356189
CALM3	INSR	autocrine|paracrine	0.667107733367132
COL3A1	MAG	autocrine|paracrine	0.664139879741008
COL1A1	CD36	autocrine|paracrine	0.66390109483277
TNC	ITGAV	autocrine|paracrine	0.663844805304588
MDK	TSPAN1	autocrine|paracrine	0.663238837003363
LAMC1	ITGA6	autocrine|paracrine	0.66294616185111
EDN1	EDNRB	autocrine|paracrine	0.662456926945416
FABP5	RXRA	autocrine|paracrine	0.661529017469699
SORBS1	INSR	autocrine|paracrine	0.661354103625411
THBS1	LRP1	autocrine|paracrine	0.660136553553906
THBS2	CD47	autocrine|paracrine	0.660064583510746
LAMA4	ITGAV	autocrine|paracrine	0.659084914863286
NPNT	ITGB1	autocrine|paracrine	0.657972987956517
RPS27A	FGFR2	autocrine|paracrine	0.65683028208736
VCAN	CD44	autocrine|paracrine	0.655874965858799
MDK	ITGA4	autocrine|paracrine	0.655321608220828
FN1	ITGA4	autocrine|paracrine	0.655013675513517
LAMA5	ITGA6	autocrine|paracrine	0.654714042860639
VEGFA	TYRO3	autocrine|paracrine	0.654358295170659
