Muscle	Pericytes	interaction type	LRscore
COL1A1	ITGB1	autocrine|paracrine	0.936888055919478
COL1A2	ITGB1	autocrine|paracrine	0.933398739596116
COL3A1	ITGB1	autocrine|paracrine	0.932689643455452
COL1A1	ITGA1	autocrine|paracrine	0.928156440840319
LGALS1	ITGB1	autocrine|paracrine	0.924981981432126
COL1A2	ITGA1	autocrine|paracrine	0.924223418783897
COL6A2	ITGB1	autocrine|paracrine	0.924085808743902
CYR61	CAV1	autocrine|paracrine	0.923393380696294
COL6A1	ITGB1	autocrine|paracrine	0.918546643011768
MDK	ITGB1	autocrine|paracrine	0.917705878978157
FN1	ITGB1	autocrine|paracrine	0.91760288425469
COL6A2	ITGA1	autocrine|paracrine	0.913746051932742
COL6A1	ITGA1	autocrine|paracrine	0.907527931077891
TIMP1	CD63	autocrine|paracrine	0.905980070071974
FN1	SDC2	autocrine|paracrine	0.90507678946135
COL6A3	ITGB1	autocrine|paracrine	0.901767199538175
COL1A1	DDR2	autocrine|paracrine	0.899930699132029
HSPG2	ITGB1	autocrine|paracrine	0.894440522123154
COL3A1	DDR2	autocrine|paracrine	0.893553094115694
GPC3	CD81	autocrine|paracrine	0.893180488544325
RPS27A	LDLR	autocrine|paracrine	0.892482365253292
COL4A1	ITGB1	autocrine|paracrine	0.890790033441581
COL6A3	ITGA1	autocrine|paracrine	0.88875353204201
LAMB2	RPSA	autocrine|paracrine	0.884815192165767
APP	CAV1	autocrine|paracrine	0.883769808428562
CALM2	MYLK	autocrine|paracrine	0.880655453381958
GNAS	PTGIR	autocrine|paracrine	0.87839190553598
COL5A2	ITGB1	autocrine|paracrine	0.877491594236328
CALM1	MYLK	autocrine|paracrine	0.87733679623006
COL5A1	ITGB1	autocrine|paracrine	0.877137305975069
COL4A1	ITGA1	autocrine|paracrine	0.876521262348613
UBC	LDLR	autocrine|paracrine	0.873317905173519
COL1A1	ITGAV	autocrine|paracrine	0.873088648719932
CXCL12	ITGB1	autocrine|paracrine	0.869345267918062
GNAI2	CAV1	autocrine|paracrine	0.866896122366859
COL1A2	ITGAV	autocrine|paracrine	0.866574346986929
NID1	ITGB1	autocrine|paracrine	0.864322485510126
COL5A2	ITGA1	autocrine|paracrine	0.861754971723734
RTN4	LINGO1	autocrine|paracrine	0.861613036341636
COL5A1	ITGA1	autocrine|paracrine	0.861362364120627
RPS27A	TGFBR2	autocrine|paracrine	0.860282659615375
LAMB2	ITGB1	autocrine|paracrine	0.859012471125867
LAMB1	ITGB1	autocrine|paracrine	0.85894075279461
RPS27A	ERBB2	autocrine|paracrine	0.855443996498634
MDK	LRP1	autocrine|paracrine	0.853535191505208
MMP2	SDC2	autocrine|paracrine	0.853508203460296
TIMP2	ITGB1	autocrine|paracrine	0.85342977927436
PDAP1	PDGFRB	autocrine|paracrine	0.847981691598429
UBB	LDLR	autocrine|paracrine	0.847636561407804
CALM3	MYLK	autocrine|paracrine	0.847003033717848
HSPA8	LDLR	autocrine|paracrine	0.846556109127896
TNC	ITGB1	autocrine|paracrine	0.845866102639059
FBLN1	ITGB1	autocrine|paracrine	0.845432714456415
LAMA4	ITGB1	autocrine|paracrine	0.843074331681829
LAMB1	ITGA1	autocrine|paracrine	0.841252307153082
SORBS1	ITGA1	autocrine|paracrine	0.840953375755963
RPS27A	ADRB2	autocrine|paracrine	0.83959818329648
CTGF	LRP1	autocrine|paracrine	0.83951459641679
CYR61	ITGB5	autocrine|paracrine	0.838131135175718
FN1	ITGAV	autocrine|paracrine	0.837685753593972
CXCL12	ACKR3	autocrine|paracrine	0.837437324606679
UBC	TGFBR2	autocrine|paracrine	0.836430660947346
FBN1	ITGB1	autocrine|paracrine	0.833021308003471
EFEMP2	LINGO1	autocrine|paracrine	0.831490034997217
UBC	ERBB2	autocrine|paracrine	0.830928301677839
APOA1	LDLR	autocrine|paracrine	0.829346257484769
LGALS3BP	ITGB1	autocrine|paracrine	0.828179045215178
UBA52	NOTCH1	autocrine|paracrine	0.827124308273252
THBS1	ITGB1	autocrine|paracrine	0.825244392631079
COL16A1	ITGB1	autocrine|paracrine	0.82336636529373
LAMA5	BCAM	autocrine|paracrine	0.823179038046576
COL1A1	ITGA5	autocrine|paracrine	0.822531279736884
LAMC1	ITGB1	autocrine|paracrine	0.82215864890438
VEGFA	ITGB1	autocrine|paracrine	0.82189486941024
COL4A2	ITGB5	autocrine|paracrine	0.821571003673003
CYR61	ITGAV	autocrine|paracrine	0.817774990715591
UBA52	LDLR	autocrine|paracrine	0.817569160313694
LAMA5	ITGB1	autocrine|paracrine	0.816740170191163
MFGE8	PDGFRB	autocrine|paracrine	0.816164792131675
HSPG2	LRP1	autocrine|paracrine	0.815770102409437
VCL	ITGB5	autocrine|paracrine	0.814474007595567
MFAP2	NOTCH1	autocrine|paracrine	0.814129882533683
