Myofibroblast_Mesothelium	Endothelial	interaction type	LRscore
COL1A1	CD93	autocrine|paracrine	0.943237101190193
COL1A1	ITGB1	autocrine|paracrine	0.9426149819744
COL1A2	CD93	autocrine|paracrine	0.941044944942846
COL1A2	ITGB1	autocrine|paracrine	0.94040031788915
COL3A1	ITGB1	autocrine|paracrine	0.9396961289929
RPS27A	TGFBR2	autocrine|paracrine	0.93621710587858
COL1A1	CD36	autocrine|paracrine	0.932678309194691
RPS27A	LDLR	autocrine|paracrine	0.931886991752523
CYR61	CAV1	autocrine|paracrine	0.931057383283289
COL1A2	CD36	autocrine|paracrine	0.930108592508614
MDK	ITGB1	autocrine|paracrine	0.929846799231344
COL6A2	ITGB1	autocrine|paracrine	0.929068615474961
COL1A1	ITGA5	autocrine|paracrine	0.927556434632269
COL6A1	ITGB1	autocrine|paracrine	0.923988111743519
LGALS1	ITGB1	autocrine|paracrine	0.923140645429923
HMGB1	THBD	autocrine|paracrine	0.923004633768027
UBC	TGFBR2	autocrine|paracrine	0.921692028101478
FN1	ITGB1	autocrine|paracrine	0.921202418984778
MDK	ITGA6	autocrine|paracrine	0.920134707210145
UBC	LDLR	autocrine|paracrine	0.916463816320298
UBB	TGFBR2	autocrine|paracrine	0.913936302896256
COL6A1	ITGA6	autocrine|paracrine	0.913540352831198
TIMP1	CD63	autocrine|paracrine	0.912868821256452
COL6A3	ITGB1	autocrine|paracrine	0.9121228337212
VCAN	ITGB1	autocrine|paracrine	0.910411272457246
FN1	ITGA6	autocrine|paracrine	0.910408894944565
LUM	ITGB1	autocrine|paracrine	0.910030980655094
HSPA8	LDLR	autocrine|paracrine	0.908831546570472
UBB	LDLR	autocrine|paracrine	0.908241832080009
FN1	ROBO4	autocrine|paracrine	0.904744223854014
COL1A1	ITGA2	autocrine|paracrine	0.90407154311114
GNAI2	CAV1	autocrine|paracrine	0.903322027274685
COL4A2	CD93	autocrine|paracrine	0.902311017467183
FN1	ITGA5	autocrine|paracrine	0.901114403672358
COL1A2	ITGA2	autocrine|paracrine	0.900526345446724
COL3A1	ITGA2	autocrine|paracrine	0.899401431141409
APP	CAV1	autocrine|paracrine	0.898321817203477
FBLN1	ITGB1	autocrine|paracrine	0.895335168973419
COL5A1	ITGB1	autocrine|paracrine	0.893164483876072
NID1	ITGB1	autocrine|paracrine	0.892320915829618
COL4A1	CD93	autocrine|paracrine	0.890783489954245
COL1A1	ITGA1	autocrine|paracrine	0.890011870088573
COL4A1	ITGB1	autocrine|paracrine	0.889653735628372
CTGF	ITGA5	autocrine|paracrine	0.888984058322312
UBA52	TGFBR2	autocrine|paracrine	0.888177760919934
COL5A2	ITGB1	autocrine|paracrine	0.887942815813469
CYR61	ITGA5	autocrine|paracrine	0.887578917049146
CXCL12	ITGB1	autocrine|paracrine	0.886810497768976
COL1A2	ITGA1	autocrine|paracrine	0.88601258575204
APOA1	LDLR	autocrine|paracrine	0.882712371611366
COL6A2	ITGA2	autocrine|paracrine	0.882560162335059
