Myofibroblast_Mesothelium	Epithelial	interaction type	LRscore
RPS27A	LDLR	autocrine|paracrine	0.923380501269324
TIMP1	CD63	autocrine|paracrine	0.921121772171699
COL1A1	ITGB1	autocrine|paracrine	0.909439143739224
UBC	LDLR	autocrine|paracrine	0.90622498654626
COL1A2	ITGB1	autocrine|paracrine	0.906071705324594
RPS27A	ERBB2	autocrine|paracrine	0.905646328609492
COL3A1	ITGB1	autocrine|paracrine	0.905002886255855
FN1	PLAUR	autocrine|paracrine	0.903046409088278
HSPA8	LDLR	autocrine|paracrine	0.897761606354652
UBB	LDLR	autocrine|paracrine	0.897108393611822
MDK	ITGB1	autocrine|paracrine	0.89014956813897
COL6A2	ITGB1	autocrine|paracrine	0.888983611487383
HSP90AA1	FGFR3	autocrine|paracrine	0.888307575777659
COL1A1	DDR1	autocrine|paracrine	0.887941057231874
UBC	ERBB2	autocrine|paracrine	0.885014505454568
COL3A1	DDR1	autocrine|paracrine	0.882587645759427
COL6A1	ITGB1	autocrine|paracrine	0.881398510600355
LGALS1	ITGB1	autocrine|paracrine	0.880137804459279
MDK	TSPAN1	autocrine|paracrine	0.879474184191841
FN1	ITGB1	autocrine|paracrine	0.877259326327368
HSP90AA1	ERBB2	autocrine|paracrine	0.874672002745449
UBB	ERBB2	autocrine|paracrine	0.874122301464066
APOA1	LDLR	autocrine|paracrine	0.868928353569324
UBA52	LDLR	autocrine|paracrine	0.86704600578373
COL6A3	ITGB1	autocrine|paracrine	0.863864595946368
HSP90B1	ERBB2	autocrine|paracrine	0.863557890017505
VCAN	ITGB1	autocrine|paracrine	0.861355989458332
LUM	ITGB1	autocrine|paracrine	0.860799303281581
MDK	LRP1	autocrine|paracrine	0.860541470672907
MDK	ITGA6	autocrine|paracrine	0.860353285503624
B2M	TFRC	autocrine|paracrine	0.855607128135131
NID1	PTPRF	autocrine|paracrine	0.849738549426086
COL6A1	ITGA6	autocrine|paracrine	0.849629533033617
LAMB2	RPSA	autocrine|paracrine	0.849295439716963
RPS27A	TGFBR2	autocrine|paracrine	0.846933854239021
HLA-A	APLP2	autocrine|paracrine	0.845964914198038
P4HB	MTTP	autocrine|paracrine	0.84480595626434
MDK	SDC4	autocrine|paracrine	0.844717565486007
FN1	ITGA6	autocrine|paracrine	0.844577124187219
PTMA	VIPR1	autocrine|paracrine	0.842738828147055
FBLN1	ITGB1	autocrine|paracrine	0.8394803014867
HLA-B	CANX	autocrine|paracrine	0.8389386478192
UBA52	ERBB2	autocrine|paracrine	0.838552578999505
COL1A1	ITGA2	autocrine|paracrine	0.836799593954637
COL5A1	ITGB1	autocrine|paracrine	0.836362936045017
COL1A1	ITGAV	autocrine|paracrine	0.835533498462477
NID1	ITGB1	autocrine|paracrine	0.835153643281519
PTN	PLXNB2	autocrine|paracrine	0.834221248574772
COL4A1	ITGB1	autocrine|paracrine	0.831338094295347
COL1A2	ITGA2	autocrine|paracrine	0.831232350094353
COL1A2	ITGAV	autocrine|paracrine	0.829931842203632
COL3A1	ITGA2	autocrine|paracrine	0.829472203533346
HSP90B1	LRP1	autocrine|paracrine	0.829265320773217
COL5A2	ITGB1	autocrine|paracrine	0.828896887697291
CXCL12	ITGB1	autocrine|paracrine	0.827283976638752
CTGF	LRP1	autocrine|paracrine	0.827068288311236
FN1	ITGB8	autocrine|paracrine	0.826014150579946
LRPAP1	LDLR	autocrine|paracrine	0.825442667411757
GNAS	VIPR1	autocrine|paracrine	0.824337923209975
VCAM1	EZR	autocrine|paracrine	0.819122895835297
LAMB1	ITGB1	autocrine|paracrine	0.818961307400109
GPC3	CD81	autocrine|paracrine	0.818358398363204
UBC	TGFBR2	autocrine|paracrine	0.816071039848725
VEGFA	ITGB1	autocrine|paracrine	0.815480570541531
PLAT	LRP1	autocrine|paracrine	0.814471856511792
RPS27A	SMAD3	autocrine|paracrine	0.813615515737572
FN1	TNFRSF11B	autocrine|paracrine	0.812961789698209
CXCL12	ACKR3	autocrine|paracrine	0.810066042801368
MDK	SDC1	autocrine|paracrine	0.808044668338112
CALR	LRP1	autocrine|paracrine	0.803902895032038
COL6A2	ITGA2	autocrine|paracrine	0.803481980467981
APOA1	LRP1	autocrine|paracrine	0.802056010771274
APOE	LDLR	autocrine|paracrine	0.801548203644581
FN1	SDC2	autocrine|paracrine	0.80127774909438
UBB	TGFBR2	autocrine|paracrine	0.800122997610959
LGALS3BP	ITGB1	autocrine|paracrine	0.797050158001955
HLA-A	ERBB2	autocrine|paracrine	0.796262355161472
LAMA4	ITGB1	autocrine|paracrine	0.796003162337689
