Myofibroblast_Mesothelium	Fibroblasts	interaction type	LRscore
COL1A1	ITGB1	autocrine|paracrine	0.931668881459503
COL1A2	ITGB1	autocrine|paracrine	0.929063564709074
COL3A1	ITGB1	autocrine|paracrine	0.928235650385582
MDK	ITGB1	autocrine|paracrine	0.916680467660738
COL6A2	ITGB1	autocrine|paracrine	0.915769464543788
TIMP1	CD63	autocrine|paracrine	0.914761462968654
COL6A1	ITGB1	autocrine|paracrine	0.909828852101074
LGALS1	ITGB1	autocrine|paracrine	0.908839097225428
FN1	ITGB1	autocrine|paracrine	0.906576715470378
COL1A1	DDR2	autocrine|paracrine	0.903239310765535
COL3A1	DDR2	autocrine|paracrine	0.898533230209836
MDK	LRP1	autocrine|paracrine	0.898531107911272
COL6A3	ITGB1	autocrine|paracrine	0.89600211507259
VCAN	ITGB1	autocrine|paracrine	0.894013058443645
LUM	ITGB1	autocrine|paracrine	0.893571295800952
RPS27A	LDLR	autocrine|paracrine	0.887667397878769
RPS27A	ERBB2	autocrine|paracrine	0.883197769640614
FBLN1	ITGB1	autocrine|paracrine	0.876551622482556
HSP90B1	LRP1	autocrine|paracrine	0.874532633226943
COL5A1	ITGB1	autocrine|paracrine	0.874046180396576
NID1	ITGB1	autocrine|paracrine	0.873073107561084
CTGF	LRP1	autocrine|paracrine	0.872828775999077
COL4A1	ITGB1	autocrine|paracrine	0.869998623741511
COL5A2	ITGB1	autocrine|paracrine	0.86802815846228
CXCL12	ITGB1	autocrine|paracrine	0.866724810422524
GPC3	CD81	autocrine|paracrine	0.866293918153996
UBC	LDLR	autocrine|paracrine	0.863695904342912
PLAT	LRP1	autocrine|paracrine	0.863013483423712
LAMB1	ITGB1	autocrine|paracrine	0.8599810087298
UBC	ERBB2	autocrine|paracrine	0.858424592900723
FN1	SDC2	autocrine|paracrine	0.857518693101901
VEGFA	ITGB1	autocrine|paracrine	0.857151372295731
CALR	LRP1	autocrine|paracrine	0.854716526275487
APOA1	LRP1	autocrine|paracrine	0.853260859934519
