Myofibroblast_Mesothelium	Immune	interaction type	LRscore
VIM	CD44	autocrine|paracrine	0.937347480842747
COL1A1	CD44	autocrine|paracrine	0.935382336210348
COL1A2	CD44	autocrine|paracrine	0.932908409477972
RPS27A	LDLR	autocrine|paracrine	0.921761959982813
FN1	PLAUR	autocrine|paracrine	0.918706124682434
APP	CD74	autocrine|paracrine	0.912658140055217
FN1	CD44	autocrine|paracrine	0.911524306894154
COL1A1	ITGB1	autocrine|paracrine	0.910664563034655
COL1A2	ITGB1	autocrine|paracrine	0.907338048218507
COL3A1	ITGB1	autocrine|paracrine	0.906282148532081
UBC	LDLR	autocrine|paracrine	0.904281611914512
TIMP1	CD63	autocrine|paracrine	0.90218700790569
VCAN	CD44	autocrine|paracrine	0.899552286087288
HSPA8	LDLR	autocrine|paracrine	0.89566303200166
UBB	LDLR	autocrine|paracrine	0.894997979428859
COL1A1	CD36	autocrine|paracrine	0.894867392095083
B2M	TFRC	autocrine|paracrine	0.893458746274196
MDK	ITGB1	autocrine|paracrine	0.891604893069227
COL1A2	CD36	autocrine|paracrine	0.891023041867675
COL6A2	ITGB1	autocrine|paracrine	0.89045248230023
CTGF	ITGB2	autocrine|paracrine	0.887664247124457
B2M	CD3D	autocrine|paracrine	0.886365437261278
CYR61	ITGB2	autocrine|paracrine	0.886244538443971
COL6A1	ITGB1	autocrine|paracrine	0.882954527243355
RPS19	C5AR1	autocrine|paracrine	0.882083357627896
COL1A1	CD93	autocrine|paracrine	0.881816385663509
LGALS1	ITGB1	autocrine|paracrine	0.881708141361854
LGALS1	CD69	autocrine|paracrine	0.880311214061651
FN1	ITGB1	autocrine|paracrine	0.878862184285732
PLAT	ITGB2	autocrine|paracrine	0.878835030402029
COL1A2	CD93	autocrine|paracrine	0.877560100570348
PKM	CD44	autocrine|paracrine	0.87102240589966
APOA1	LDLR	autocrine|paracrine	0.866326062752571
COL6A3	ITGB1	autocrine|paracrine	0.865615578850833
CXCL12	CXCR4	autocrine|paracrine	0.865493461084276
UBA52	LDLR	autocrine|paracrine	0.864412174460711
RPS27A	TGFBR2	autocrine|paracrine	0.864269040620332
FN1	C5AR1	autocrine|paracrine	0.863648482057896
VCAN	ITGB1	autocrine|paracrine	0.86313412620778
LUM	ITGB1	autocrine|paracrine	0.862583440622164
B2M	CD247	autocrine|paracrine	0.861385970186416
B2M	LILRB2	autocrine|paracrine	0.861055726228771
RPS27A	TLR4	autocrine|paracrine	0.848617863811689
FN1	ITGB7	autocrine|paracrine	0.846446461020273
LAMB2	RPSA	autocrine|paracrine	0.844076589472816
FBLN1	ITGB1	autocrine|paracrine	0.841487367668679
SPON2	ITGB2	autocrine|paracrine	0.841257540141194
COL5A1	ITGB1	autocrine|paracrine	0.838401477139034
B2M	KLRC1	autocrine|paracrine	0.837498894279691
NID1	ITGB1	autocrine|paracrine	0.837204317018916
COL1A1	ITGA5	autocrine|paracrine	0.837039688115677
UBC	TGFBR2	autocrine|paracrine	0.836225631488826
RPS27A	TGFBR1	autocrine|paracrine	0.835321807939452
MDK	ITGA4	autocrine|paracrine	0.835139955328971
COL4A1	ITGB1	autocrine|paracrine	0.833426766100844
COL5A2	ITGB1	autocrine|paracrine	0.831009645582176
COL14A1	CD44	autocrine|paracrine	0.830590357775123
GPC3	CD81	autocrine|paracrine	0.830467977228884
CXCL12	ITGB1	autocrine|paracrine	0.829412551804088
PTN	PLXNB2	autocrine|paracrine	0.827108732999256
CYR61	CAV1	autocrine|paracrine	0.822740344929673
LRPAP1	LDLR	autocrine|paracrine	0.822153720845195
UBB	TGFBR2	autocrine|paracrine	0.821643207836337
LAMB1	ITGB1	autocrine|paracrine	0.821170280284689
MDK	LRP1	autocrine|paracrine	0.819570352636949
UBC	TLR4	autocrine|paracrine	0.8180216395238
VEGFA	ITGB1	autocrine|paracrine	0.817722561416397
FN1	ITGA4	autocrine|paracrine	0.817120858792241
RPS27A	ERBB2	autocrine|paracrine	0.812471369202518
PLAU	PLAUR	autocrine|paracrine	0.811542233527911
HLA-A	APLP2	autocrine|paracrine	0.809351543943605
COL4A2	CD93	autocrine|paracrine	0.805726924927688
UBC	TGFBR1	autocrine|paracrine	0.802663186451589
COL1A1	ITGAV	autocrine|paracrine	0.8024026696894
UBB	TLR4	autocrine|paracrine	0.802201735175408
COL4A1	CD47	autocrine|paracrine	0.801647002217498
HMGB1	TLR4	autocrine|paracrine	0.801601750056149
CALM1	MYLK	autocrine|paracrine	0.801559640384297
HLA-B	CANX	autocrine|paracrine	0.801351996388236
LGALS3BP	ITGB1	autocrine|paracrine	0.799461016752622
COL1A1	ITGA1	autocrine|paracrine	0.799056371864777
HSPA1A	TLR4	autocrine|paracrine	0.798967869437747
