Myofibroblast_Mesothelium	Muscle	interaction type	LRscore
COL1A1	ITGB1	autocrine|paracrine	0.939974326826777
COL1A2	ITGB1	autocrine|paracrine	0.937664491164455
COL3A1	ITGB1	autocrine|paracrine	0.936930145537394
MDK	ITGB1	autocrine|paracrine	0.92666430883853
COL6A2	ITGB1	autocrine|paracrine	0.925853637893881
CYR61	CAV1	autocrine|paracrine	0.923338762478712
CALM1	MYLK	autocrine|paracrine	0.922227097162835
COL6A1	ITGB1	autocrine|paracrine	0.920562548436335
LGALS1	ITGB1	autocrine|paracrine	0.919680210008403
CALM2	MYLK	autocrine|paracrine	0.919527473959281
FN1	ITGB1	autocrine|paracrine	0.917662502258793
COL1A1	ITGA1	autocrine|paracrine	0.913512235238914
CALM3	MYLK	autocrine|paracrine	0.91172810724298
COL1A2	ITGA1	autocrine|paracrine	0.910281310272592
TIMP1	CD63	autocrine|paracrine	0.908473594684517
COL6A3	ITGB1	autocrine|paracrine	0.908215664629686
VCAN	ITGB1	autocrine|paracrine	0.906435810539968
LUM	ITGB1	autocrine|paracrine	0.906040385075418
VIM	CD44	autocrine|paracrine	0.903521817129263
COL1A1	CD44	autocrine|paracrine	0.900608204364264
COL1A2	CD44	autocrine|paracrine	0.896949602497249
COL1A1	DDR2	autocrine|paracrine	0.896172094450924
COL6A2	ITGA1	autocrine|paracrine	0.893869352253582
RPS27A	ERBB2	autocrine|paracrine	0.893486959476991
GNAI2	CAV1	autocrine|paracrine	0.892855571976864
COL3A1	DDR2	autocrine|paracrine	0.891163707842111
FBLN1	ITGB1	autocrine|paracrine	0.890770975884781
COL5A1	ITGB1	autocrine|paracrine	0.888517418598663
NID1	ITGB1	autocrine|paracrine	0.887641773453459
MDK	LRP1	autocrine|paracrine	0.88739782567913
APP	CAV1	autocrine|paracrine	0.887381522225686
COL6A1	ITGA1	autocrine|paracrine	0.886575474467339
COL4A1	ITGB1	autocrine|paracrine	0.884873645664433
COL5A2	ITGB1	autocrine|paracrine	0.883098349363081
CXCL12	ITGB1	autocrine|paracrine	0.881923588419009
COL1A1	ITGA5	autocrine|paracrine	0.880412048133342
LAMB1	ITGB1	autocrine|paracrine	0.875838682191584
RPS27A	TGFBR1	autocrine|paracrine	0.873326018984162
VEGFA	ITGB1	autocrine|paracrine	0.873282292034712
RPS27A	FGFR2	autocrine|paracrine	0.870750081078074
UBC	ERBB2	autocrine|paracrine	0.870576277077889
COL6A3	ITGA1	autocrine|paracrine	0.869693765923312
RPS27A	LDLR	autocrine|paracrine	0.86696016424632
FN1	CD44	autocrine|paracrine	0.865753619527218
GPC3	CD81	autocrine|paracrine	0.865357235339307
HSP90B1	LRP1	autocrine|paracrine	0.861173042613223
LGALS3BP	ITGB1	autocrine|paracrine	0.85963152843777
CTGF	LRP1	autocrine|paracrine	0.859316946148837
HSP90AA1	ERBB2	autocrine|paracrine	0.859141805459582
COL1A1	DDR1	autocrine|paracrine	0.858972713101419
LAMA4	ITGB1	autocrine|paracrine	0.858850209466636
UBB	ERBB2	autocrine|paracrine	0.858535004060488
TIMP2	ITGB1	autocrine|paracrine	0.857871329011769
FBN1	ITGB1	autocrine|paracrine	0.857807837044616
MDK	SDC3	autocrine|paracrine	0.856030769725923
VEGFA	NRP2	autocrine|paracrine	0.852476876171907
COL3A1	DDR1	autocrine|paracrine	0.85246533354715
LAMC1	ITGB1	autocrine|paracrine	0.849625779509211
PLAT	LRP1	autocrine|paracrine	0.84863963458927
VCAN	CD44	autocrine|paracrine	0.848616758802927
LAMB2	RPSA	autocrine|paracrine	0.847394668694662
HSP90B1	ERBB2	autocrine|paracrine	0.846891549637487
UBC	TGFBR1	autocrine|paracrine	0.846822222983043
RPS27A	TGFBR2	autocrine|paracrine	0.845240124349474
PTN	PLXNB2	autocrine|paracrine	0.843975353172841
UBC	FGFR2	autocrine|paracrine	0.843803719751815
COL5A1	ITGA1	autocrine|paracrine	0.843155892581422
FN1	ITGA5	autocrine|paracrine	0.839735418538328
CALR	LRP1	autocrine|paracrine	0.839633860765503
UBC	LDLR	autocrine|paracrine	0.839369429747521
COL16A1	ITGB1	autocrine|paracrine	0.839304916477627
COL4A1	ITGA1	autocrine|paracrine	0.838299314819975
APOA1	LRP1	autocrine|paracrine	0.838055706832868
TGM2	ITGB1	autocrine|paracrine	0.837895057185636
FN1	ITGA9	autocrine|paracrine	0.836406638191969
COL5A2	ITGA1	autocrine|paracrine	0.835938980829619
LAMA5	ITGB1	autocrine|paracrine	0.835231073856655
SEMA3A	NRP2	autocrine|paracrine	0.834562151816284
TGFB1	CAV1	autocrine|paracrine	0.83407092273601
UBB	TGFBR1	autocrine|paracrine	0.832994884153605
UBB	FGFR2	autocrine|paracrine	0.82975867914449
COL1A1	ITGAV	autocrine|paracrine	0.828046367466389
LAMB2	ITGB1	autocrine|paracrine	0.827351690691053
LAMB1	ITGA1	autocrine|paracrine	0.826326641254443
HSPA8	LDLR	autocrine|paracrine	0.826030530639325
COL4A5	ITGB1	autocrine|paracrine	0.825745045013192
UBB	LDLR	autocrine|paracrine	0.825008351309496
PTN	SDC3	autocrine|paracrine	0.823355643509827
COL1A2	ITGAV	autocrine|paracrine	0.822243954738312
ICAM1	CAV1	autocrine|paracrine	0.821741496832897
CTGF	ITGA5	autocrine|paracrine	0.821566608315559
CYR61	ITGA5	autocrine|paracrine	0.819481431374453
UBA52	ERBB2	autocrine|paracrine	0.819470381170753
HLA-A	APLP2	autocrine|paracrine	0.818333053186878
PSAP	LRP1	autocrine|paracrine	0.816866293088049
THBS1	ITGB1	autocrine|paracrine	0.815776641974404
UBC	TGFBR2	autocrine|paracrine	0.814110758043096
RPS27A	SMAD3	autocrine|paracrine	0.811564700801508
PLAU	ITGB1	autocrine|paracrine	0.809408283360981
PKM	CD44	autocrine|paracrine	0.808696449303241
HSPG2	ITGB1	autocrine|paracrine	0.808013949964184
FN1	IL17RC	autocrine|paracrine	0.804354913544466
TGFB1	ITGB1	autocrine|paracrine	0.801188381018403
VCAM1	ITGB1	autocrine|paracrine	0.79957063731211
FN1	SDC2	autocrine|paracrine	0.799490282389108
SERPINE2	LRP1	autocrine|paracrine	0.798440146278208
UBB	TGFBR2	autocrine|paracrine	0.79803480976962
APP	LRP1	autocrine|paracrine	0.797563950629923
TFPI	LRP1	autocrine|paracrine	0.793309853103143
LAMC1	ITGA1	autocrine|paracrine	0.792141521777307
DLL1	NOTCH2	autocrine|paracrine	0.791876857864175
PTGS2	CAV1	autocrine|paracrine	0.79102309456942
ARF1	INSR	autocrine|paracrine	0.790792284149446
