Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	interaction type	LRscore
COL1A1	ITGB1	autocrine	0.941469044843831
COL1A2	ITGB1	autocrine	0.93921300750517
COL3A1	ITGB1	autocrine	0.938495707656878
MDK	ITGB1	autocrine	0.928465240460908
COL6A2	ITGB1	autocrine	0.927672923626655
COL6A1	ITGB1	autocrine	0.922500791487241
LGALS1	ITGB1	autocrine	0.921638149167499
FN1	ITGB1	autocrine	0.919665330304759
TIMP1	CD63	autocrine	0.918195704522395
COL6A3	ITGB1	autocrine	0.910425853228664
CYR61	CAV1	autocrine	0.909279806900986
VCAN	ITGB1	autocrine	0.908684549210565
LUM	ITGB1	autocrine	0.908297665999777
MDK	LRP1	autocrine	0.902748920071398
FN1	SDC2	autocrine	0.895971035641106
FBLN1	ITGB1	autocrine	0.893351909348215
COL1A1	DDR2	autocrine	0.891666626482679
COL5A1	ITGB1	autocrine	0.891145093432153
NID1	ITGB1	autocrine	0.890287538992738
COL1A1	ITGA1	autocrine	0.889980087821414
RPS27A	ERBB2	autocrine	0.889796115912338
COL4A1	ITGB1	autocrine	0.887576338268705
COL3A1	DDR2	autocrine	0.886468440585534
COL1A2	ITGA1	autocrine	0.885979795897787
COL5A2	ITGB1	autocrine	0.885837341667619
CXCL12	ITGB1	autocrine	0.884686511133552
RPS27A	LDLR	autocrine	0.884334106645996
MMP2	SDC2	autocrine	0.883585161584356
GPC3	CD81	autocrine	0.882079921883221
CXCL12	ACKR3	autocrine	0.881982462186822
VIM	CD44	autocrine	0.879727792037945
HSP90B1	LRP1	autocrine	0.879614349665233
LAMB1	ITGB1	autocrine	0.878724408831198
CTGF	LRP1	autocrine	0.877969873063957
VEGFA	ITGB1	autocrine	0.876219036631242
COL1A1	CD44	autocrine	0.87619406979308
FN1	ITGA8	autocrine	0.875824283553569
GNAI2	CAV1	autocrine	0.87396933340965
COL1A2	CD44	autocrine	0.871764747078836
COL1A1	ITGA5	autocrine	0.870046955053645
PLAT	LRP1	autocrine	0.868491593819066
CALM1	MYLK	autocrine	0.868240600217691
APP	CAV1	autocrine	0.867673383316929
UBC	ERBB2	autocrine	0.866210418720888
COL6A2	ITGA1	autocrine	0.865777917776683
COL1A1	ITGAV	autocrine	0.86405539747858
CALM2	MYLK	autocrine	0.863943484245026
LGALS3BP	ITGB1	autocrine	0.862834945483026
LAMA4	ITGB1	autocrine	0.86206859633696
TIMP2	ITGB1	autocrine	0.861108426054366
FBN1	ITGB1	autocrine	0.861046145939518
CALR	LRP1	autocrine	0.860472790164841
GNAI2	F2R	autocrine	0.860016176265669
UBC	LDLR	autocrine	0.859763672980273
COL1A2	ITGAV	autocrine	0.859261553198657
APOA1	LRP1	autocrine	0.85906528861687
LAMB2	RPSA	autocrine	0.857739188315803
COL6A1	ITGA1	autocrine	0.856862594197662
RPS27A	TGFBR2	autocrine	0.855296263525895
HSP90AA1	ERBB2	autocrine	0.854454713035932
RPS27A	FGFR2	autocrine	0.853879169297496
UBB	ERBB2	autocrine	0.853831155411931
LAMC1	ITGB1	autocrine	0.8530184995486
CALM3	MYLK	autocrine	0.851626206759508
PTN	PLXNB2	autocrine	0.847854291828609
HSPA8	LDLR	autocrine	0.847811265283115
UBB	LDLR	autocrine	0.846893340838677
COL16A1	ITGB1	autocrine	0.842887434255201
HSP90B1	ERBB2	autocrine	0.841871852664262
TGM2	ITGB1	autocrine	0.841503070632108
PSAP	LRP1	autocrine	0.840100349502227
HLA-A	APLP2	autocrine	0.840052710556896
LAMA5	ITGB1	autocrine	0.838886979260493
COL6A3	ITGA1	autocrine	0.83637471030986
RPS27A	TGFBR1	autocrine	0.835530435254941
FN1	COL13A1	autocrine	0.834535176376379
FN1	CD44	autocrine	0.834352673326467
LAMB2	ITGB1	autocrine	0.831147080600301
COL4A5	ITGB1	autocrine	0.82956847870663
FN1	IL17RC	autocrine	0.828175696119111
FN1	ITGA5	autocrine	0.826539361587071
COL1A1	DDR1	autocrine	0.826010549860541
UBC	TGFBR2	autocrine	0.825772706274211
UBC	FGFR2	autocrine	0.824125938578172
SERPINE2	LRP1	autocrine	0.823506826812685
APP	LRP1	autocrine	0.822715403058612
THBS1	ITGB1	autocrine	0.819771059529352
FN1	ITGAV	autocrine	0.818959261697041
TFPI	LRP1	autocrine	0.818869816350734
COL3A1	DDR1	autocrine	0.818303932184844
HLA-B	CANX	autocrine	0.816810573436247
VCAN	CD44	autocrine	0.814068265468684
UBA52	ERBB2	autocrine	0.813749387201574
PLAU	ITGB1	autocrine	0.813509216458716
LRPAP1	LRP1	autocrine	0.813011504582696
HSPG2	ITGB1	autocrine	0.812137921395727
PDGFD	PDGFRA	autocrine	0.811892744986629
UBB	TGFBR2	autocrine	0.810470504880489
UBB	FGFR2	autocrine	0.808712607236411
APOA1	LDLR	autocrine	0.807905230241875
CTGF	ITGA5	autocrine	0.807217991078505
TGFB1	CAV1	autocrine	0.807061890391875
TGFB1	ITGB1	autocrine	0.805423663011839
UBA52	LDLR	autocrine	0.805342839757732
CYR61	ITGA5	autocrine	0.805004933521339
COL5A1	ITGA1	autocrine	0.804575926764573
VCAM1	ITGB1	autocrine	0.803831943998297
CYR61	ITGB5	autocrine	0.803027916795688
UBC	TGFBR1	autocrine	0.80290342584764
GPC6	LRP1	autocrine	0.800881489008791
COL4A1	ITGA1	autocrine	0.798809796201939
CYR61	ITGAV	autocrine	0.796715240694709
COL5A2	ITGA1	autocrine	0.796013300360232
FN1	PLAUR	autocrine	0.793896944697579
TNC	ITGB1	autocrine	0.793844510987602
FABP5	RXRA	autocrine	0.793711779979966
