Myofibroblast_Mesothelium	Neural	interaction type	LRscore
COL1A1	ITGB1	autocrine|paracrine	0.924112432899023
COL1A2	ITGB1	autocrine|paracrine	0.921243360062364
COL3A1	ITGB1	autocrine|paracrine	0.92033200104708
TIMP1	CD63	autocrine|paracrine	0.914850914089753
COL1A1	ITGA1	autocrine|paracrine	0.913237297974417
COL1A2	ITGA1	autocrine|paracrine	0.909997114095761
MDK	ITGB1	autocrine|paracrine	0.907630845280518
COL6A2	ITGB1	autocrine|paracrine	0.906630973291191
COL6A1	ITGB1	autocrine|paracrine	0.900116139583621
MDK	PTPRZ1	autocrine|paracrine	0.899062934982171
LGALS1	ITGB1	autocrine|paracrine	0.899031605192194
FN1	ITGB1	autocrine|paracrine	0.896553530519708
COL6A2	ITGA1	autocrine|paracrine	0.893539249047424
COL1A1	DDR2	autocrine|paracrine	0.892391377852271
COL1A1	DDR1	autocrine|paracrine	0.890467135917722
RPS27A	TGFBR2	autocrine|paracrine	0.889352199496196
COL3A1	DDR2	autocrine|paracrine	0.887223569474694
COL6A1	ITGA1	autocrine|paracrine	0.886225572372444
COL3A1	DDR1	autocrine|paracrine	0.885218803495934
COL6A3	ITGB1	autocrine|paracrine	0.884988333992117
VCAN	ITGB1	autocrine|paracrine	0.882816178271507
LUM	ITGB1	autocrine|paracrine	0.882333888517911
VIM	CD44	autocrine|paracrine	0.879954979772462
COL1A1	CD44	autocrine|paracrine	0.876426994917979
MDK	SDC3	autocrine|paracrine	0.875677483689058
PTN	PTPRZ1	autocrine|paracrine	0.874725075820566
COL1A2	CD44	autocrine|paracrine	0.872004788089123
COL6A3	ITGA1	autocrine|paracrine	0.869299463089052
UBC	TGFBR2	autocrine|paracrine	0.865685837031091
CTGF	LRP6	autocrine|paracrine	0.864651173941783
GPC3	CD81	autocrine|paracrine	0.864571487267808
RPS27A	LDLR	autocrine|paracrine	0.863891772846899
FBLN1	ITGB1	autocrine|paracrine	0.863791098798804
COL5A1	ITGB1	autocrine|paracrine	0.861067724072262
NID1	ITGB1	autocrine|paracrine	0.860010443454593
LAMB2	RPSA	autocrine|paracrine	0.856836631088694
COL4A1	ITGB1	autocrine|paracrine	0.856671493174356
COL5A2	ITGB1	autocrine|paracrine	0.854532800720814
UBB	TGFBR2	autocrine|paracrine	0.853266257581601
