Myofibroblast_Mesothelium	Pericytes	interaction type	LRscore
COL1A1	ITGB1	autocrine|paracrine	0.939204345399629
COL1A2	ITGB1	autocrine|paracrine	0.936866870296841
COL3A1	ITGB1	autocrine|paracrine	0.936123768377553
COL1A1	ITGA1	autocrine|paracrine	0.930769511608516
COL1A2	ITGA1	autocrine|paracrine	0.92813254899826
MDK	ITGB1	autocrine|paracrine	0.925737081630533
COL6A2	ITGB1	autocrine|paracrine	0.924916991376428
CYR61	CAV1	autocrine|paracrine	0.922222640842114
TIMP1	CD63	autocrine|paracrine	0.919752697426795
COL6A1	ITGB1	autocrine|paracrine	0.919564869526672
LGALS1	ITGB1	autocrine|paracrine	0.918672428549961
FN1	ITGB1	autocrine|paracrine	0.916631699306487
COL6A2	ITGA1	autocrine|paracrine	0.914679991757366
COL6A1	ITGA1	autocrine|paracrine	0.908670204059871
COL6A3	ITGB1	autocrine|paracrine	0.907078570044885
VCAN	ITGB1	autocrine|paracrine	0.905278965453696
LUM	ITGB1	autocrine|paracrine	0.904879163935705
FN1	SDC2	autocrine|paracrine	0.903973414465499
COL1A1	DDR2	autocrine|paracrine	0.90346361026722
COL3A1	DDR2	autocrine|paracrine	0.898767216142414
RPS27A	LDLR	autocrine|paracrine	0.89650216893894
COL6A3	ITGA1	autocrine|paracrine	0.894686366304205
MMP2	SDC2	autocrine|paracrine	0.892425923404818
GNAI2	CAV1	autocrine|paracrine	0.891347865705929
DLL1	NOTCH3	autocrine|paracrine	0.889531614318758
FBLN1	ITGB1	autocrine|paracrine	0.889444070932134
COL5A1	ITGB1	autocrine|paracrine	0.887166605326109
NID1	ITGB1	autocrine|paracrine	0.886281708095706
APP	CAV1	autocrine|paracrine	0.885806638464331
COL4A1	ITGB1	autocrine|paracrine	0.883484471205871
COL5A2	ITGB1	autocrine|paracrine	0.881690617373555
CXCL12	ITGB1	autocrine|paracrine	0.880503624166624
COL1A1	ITGAV	autocrine|paracrine	0.877440150391791
GNAS	PTGIR	autocrine|paracrine	0.876016169102163
LAMB1	ITGB1	autocrine|paracrine	0.874355967097367
UBC	LDLR	autocrine|paracrine	0.874148697501374
COL1A2	ITGAV	autocrine|paracrine	0.873048948688156
GPC3	CD81	autocrine|paracrine	0.872816827174806
COL5A1	ITGA1	autocrine|paracrine	0.872492182121816
VEGFA	ITGB1	autocrine|paracrine	0.871773518357872
RTN4	LINGO1	autocrine|paracrine	0.869204882701701
COL4A1	ITGA1	autocrine|paracrine	0.868402206116203
