Neural	Epithelial	interaction type	LRscore
RPS27A	LDLR	autocrine|paracrine	0.922141887924258
UBC	LDLR	autocrine|paracrine	0.905840936849008
TIMP1	CD63	autocrine|paracrine	0.905462793209322
RPS27A	ERBB2	autocrine|paracrine	0.904150787460498
HSPA8	LDLR	autocrine|paracrine	0.901560250976666
UBB	LDLR	autocrine|paracrine	0.898362071091893
HSP90AA1	FGFR3	autocrine|paracrine	0.89768225210737
MDK	ITGB1	autocrine|paracrine	0.889431738333904
HSP90AA1	ERBB2	autocrine|paracrine	0.885043045378791
UBC	ERBB2	autocrine|paracrine	0.884554655573462
MDK	TSPAN1	autocrine|paracrine	0.878696101285012
APOE	LDLR	autocrine|paracrine	0.878525452564212
APOA1	LDLR	autocrine|paracrine	0.87746317666853
UBB	ERBB2	autocrine|paracrine	0.875617220104331
COL1A2	ITGB1	autocrine|paracrine	0.875174841682194
UBA52	LDLR	autocrine|paracrine	0.871354026902677
COL1A1	ITGB1	autocrine|paracrine	0.870791601611289
COL18A1	ITGB1	autocrine|paracrine	0.864859149424599
HSP90B1	ERBB2	autocrine|paracrine	0.864389068452359
MDK	LRP1	autocrine|paracrine	0.85966066676513
MDK	ITGA6	autocrine|paracrine	0.859471487134166
LGALS1	ITGB1	autocrine|paracrine	0.854058032214833
PTMA	VIPR1	autocrine|paracrine	0.845579645252721
RPS27A	TGFBR2	autocrine|paracrine	0.844667313479262
MDK	SDC4	autocrine|paracrine	0.843754965682932
UBA52	ERBB2	autocrine|paracrine	0.843617333492756
COL1A1	DDR1	autocrine|paracrine	0.841715821093901
COL3A1	ITGB1	autocrine|paracrine	0.838763492014283
L1CAM	ERBB3	autocrine|paracrine	0.836964014659449
APOE	SORL1	autocrine|paracrine	0.836925647756789
B2M	TFRC	autocrine|paracrine	0.836206171445354
HLA-A	APLP2	autocrine|paracrine	0.835704509466138
GNAS	VIPR1	autocrine|paracrine	0.832616875322211
LAMB2	RPSA	autocrine|paracrine	0.831148705498577
HSP90B1	LRP1	autocrine|paracrine	0.830264341970769
P4HB	MTTP	autocrine|paracrine	0.828630950069257
PLAT	LRP1	autocrine|paracrine	0.82505005560831
APP	LRP1	autocrine|paracrine	0.822648219896096
APP	NCSTN	autocrine|paracrine	0.820878267897799
COL5A2	ITGB1	autocrine|paracrine	0.820712942291092
COL6A1	ITGB1	autocrine|paracrine	0.818879921800066
ARPC5	LDLR	autocrine|paracrine	0.815781348954928
APOE	LRP1	autocrine|paracrine	0.815509918266811
UBC	TGFBR2	autocrine|paracrine	0.815392984050085
APOA1	LRP1	autocrine|paracrine	0.814013242831582
RPS27A	SMAD3	autocrine|paracrine	0.810965728792336
APP	CD74	autocrine|paracrine	0.80855734016484
NID1	PTPRF	autocrine|paracrine	0.807794285082251
CALM1	INSR	autocrine|paracrine	0.807541677452281
MDK	SDC1	autocrine|paracrine	0.806906698907293
VCAN	ITGB1	autocrine|paracrine	0.804285354432441
COL3A1	DDR1	autocrine|paracrine	0.804101814740852
APOE	LRP5	autocrine|paracrine	0.80325699467803
FN1	PLAUR	autocrine|paracrine	0.802324237721601
UBB	TGFBR2	autocrine|paracrine	0.802297966194559
CALM2	INSR	autocrine|paracrine	0.801052352711029
HSP90AA1	EGFR	autocrine|paracrine	0.800458737918302
LRPAP1	LDLR	autocrine|paracrine	0.799240692583583
HSP90AA1	CFTR	autocrine|paracrine	0.798282320763517
COL6A2	ITGB1	autocrine|paracrine	0.798006915818464
L1CAM	ERBB2	autocrine|paracrine	0.793743764712173
APP	CAV1	autocrine|paracrine	0.793250056857733
TIMP2	ITGB1	autocrine|paracrine	0.792123764328801
NID1	ITGB1	autocrine|paracrine	0.790143582568329
HMGB1	SDC1	autocrine|paracrine	0.789180596513509
APOC3	LDLR	autocrine|paracrine	0.787961991976485
CALR	LRP1	autocrine|paracrine	0.787713410242069
PTN	PLXNB2	autocrine|paracrine	0.786045805833685
HLA-B	CANX	autocrine|paracrine	0.78514690230573
GNAI2	EDNRB	autocrine|paracrine	0.784922883832409
GNAS	PTGDR	autocrine|paracrine	0.784184136092512
LGALS3BP	ITGB1	autocrine|paracrine	0.783769768240484
HLA-A	ERBB2	autocrine|paracrine	0.783538355926138
COL9A3	ITGB1	autocrine|paracrine	0.783526766815868
COL5A2	DDR1	autocrine|paracrine	0.783173973775088
ACTR2	LDLR	autocrine|paracrine	0.781835117856596
COL1A2	ITGA2	autocrine|paracrine	0.781650261784441
COL1A2	ITGAV	autocrine|paracrine	0.780068770044281
COL5A1	ITGB1	autocrine|paracrine	0.777991901064941
CYR61	CAV1	autocrine|paracrine	0.77798212249089
UBC	SMAD3	autocrine|paracrine	0.777016649254464
APOE	SCARB1	autocrine|paracrine	0.776646369365292
HSP90B1	ASGR1	autocrine|paracrine	0.77582000821648
COL18A1	ITGA3	autocrine|paracrine	0.775494112028047
PSAP	LRP1	autocrine|paracrine	0.774855361332641
COL1A1	ITGA2	autocrine|paracrine	0.77482786760509
COL6A1	ITGA6	autocrine|paracrine	0.774646199553154
CALM1	MYLK	autocrine|paracrine	0.774415026153278
CALM1	VIPR1	autocrine|paracrine	0.773218025695492
COL1A1	ITGAV	autocrine|paracrine	0.773211298801996
RPS27A	RIPK1	autocrine|paracrine	0.769719226144207
ARF1	INSR	autocrine|paracrine	0.768111111404902
CALM2	MYLK	autocrine|paracrine	0.767130831927522
COL18A1	ITGB5	autocrine|paracrine	0.766797062399155
LAMA2	RPSA	autocrine|paracrine	0.76571844020064
AGRN	ITGB1	autocrine|paracrine	0.765280994997019
VIM	CD44	autocrine|paracrine	0.765009594733994
COL4A1	ITGB1	autocrine|paracrine	0.764162158621989
UBB	SMAD3	autocrine|paracrine	0.761994011438952
FN1	ITGB1	autocrine|paracrine	0.756957727747364
UBA52	TGFBR2	autocrine|paracrine	0.75667701212283
FABP5	RXRA	autocrine|paracrine	0.755380497979148
FBLN1	ITGB1	autocrine|paracrine	0.754026557013673
HBEGF	CD9	autocrine|paracrine	0.752551279723562
GNAI2	IGF1R	autocrine|paracrine	0.75031451079787
CALM1	EGFR	autocrine|paracrine	0.750018336491717
LAMA4	ITGB1	autocrine|paracrine	0.747439360081157
APP	TNFRSF21	autocrine|paracrine	0.74588275238411
HSPG2	ITGB1	autocrine|paracrine	0.74486888161711
GNAI2	CAV1	autocrine|paracrine	0.743720159421131
RPS27A	FGFR2	autocrine|paracrine	0.743138669468697
CALM2	EGFR	autocrine|paracrine	0.742208605930631
UBA52	NOTCH1	autocrine|paracrine	0.741634534920526
CYR61	ITGB5	autocrine|paracrine	0.740822889601097
COL16A1	ITGB1	autocrine|paracrine	0.739258902853507
LRPAP1	SORL1	autocrine|paracrine	0.738569028528838
CYR61	ITGAV	autocrine|paracrine	0.737834469718485
UBA52	EGFR	autocrine|paracrine	0.737589702734273
CALM3	INSR	autocrine|paracrine	0.737196405618266
CALM1	PTPRA	autocrine|paracrine	0.733695438834591
GPC3	CD81	autocrine|paracrine	0.73292068136736
SERPINE2	LRP1	autocrine|paracrine	0.731298104015347
UBC	RIPK1	autocrine|paracrine	0.730821337314638
LAMB2	ITGB1	autocrine|paracrine	0.728574781815421
COL3A1	ITGA2	autocrine|paracrine	0.726483963857977
MMP2	SDC2	autocrine|paracrine	0.726319101933411
JAG1	CD46	autocrine|paracrine	0.726122310604162
COL1A2	ITGA1	autocrine|paracrine	0.725616014054945
CXCL12	ITGB1	autocrine|paracrine	0.725428811159889
TGFB1	ITGB1	autocrine|paracrine	0.725152846702776
CALR	ITGA3	autocrine|paracrine	0.724525469395962
LAMB1	ITGB1	autocrine|paracrine	0.723520686382095
MDK	SDC3	autocrine|paracrine	0.720929659314916
SERPINA1	LRP1	autocrine|paracrine	0.718920153597115
COL1A1	ITGA1	autocrine|paracrine	0.717675189627725
RPS27A	TGFBR1	autocrine|paracrine	0.717600493994747
