Neural	Fibroblasts	interaction type	LRscore
MDK	ITGB1	autocrine|paracrine	0.916119670085587
COL1A2	ITGB1	autocrine|paracrine	0.904936169320904
COL1A1	ITGB1	autocrine|paracrine	0.901480354382175
TIMP1	CD63	autocrine|paracrine	0.897979676850743
MDK	LRP1	autocrine|paracrine	0.897861763732037
COL18A1	ITGB1	autocrine|paracrine	0.89678993489485
LGALS1	ITGB1	autocrine|paracrine	0.888211010237059
RPS27A	LDLR	autocrine|paracrine	0.885922779728355
RPS27A	ERBB2	autocrine|paracrine	0.881393009727366
COL3A1	ITGB1	autocrine|paracrine	0.875975899687152
HSP90B1	LRP1	autocrine|paracrine	0.875306609353939
PLAT	LRP1	autocrine|paracrine	0.871261470486431
APP	LRP1	autocrine|paracrine	0.869393627681868
APOE	LRP1	autocrine|paracrine	0.863825356079973
UBC	LDLR	autocrine|paracrine	0.863163979146509
APOA1	LRP1	autocrine|paracrine	0.862654627173615
COL1A1	DDR2	autocrine|paracrine	0.862346417048417
COL5A2	ITGB1	autocrine|paracrine	0.861402925536771
COL6A1	ITGB1	autocrine|paracrine	0.859914909200656
HSP90AA1	ERBB2	autocrine|paracrine	0.858458677059387
UBC	ERBB2	autocrine|paracrine	0.857875481547286
HSPA8	LDLR	autocrine|paracrine	0.857248855526953
UBB	LDLR	autocrine|paracrine	0.852846032651636
VIM	CD44	autocrine|paracrine	0.852147873458475
VCAN	ITGB1	autocrine|paracrine	0.848013209143925
UBB	ERBB2	autocrine|paracrine	0.847229340999493
APP	CAV1	autocrine|paracrine	0.844096602116801
COL6A2	ITGB1	autocrine|paracrine	0.842863475683511
CALR	LRP1	autocrine|paracrine	0.841897092828371
TIMP2	ITGB1	autocrine|paracrine	0.838021608763877
RPS27A	TGFBR2	autocrine|paracrine	0.836907671999768
CALM1	MYLK	autocrine|paracrine	0.836445718640633
NID1	ITGB1	autocrine|paracrine	0.83638833403355
HSP90B1	ERBB2	autocrine|paracrine	0.833924628415205
APP	CD74	autocrine|paracrine	0.832772467562587
RPS27A	FGFR2	autocrine|paracrine	0.831851794152954
CYR61	CAV1	autocrine|paracrine	0.831787308295366
PSAP	LRP1	autocrine|paracrine	0.831619383527496
LGALS3BP	ITGB1	autocrine|paracrine	0.831118874691631
COL9A3	ITGB1	autocrine|paracrine	0.830917605341903
CALM2	MYLK	autocrine|paracrine	0.830726693649999
LAMB2	RPSA	autocrine|paracrine	0.829687752832738
COL3A1	DDR2	autocrine|paracrine	0.828636877466564
COL5A1	ITGB1	autocrine|paracrine	0.826325862608255
APOE	LDLR	autocrine|paracrine	0.825848152599935
APOA1	LDLR	autocrine|paracrine	0.824417288743122
RPS27A	SMAD3	autocrine|paracrine	0.820055737322671
COL18A1	GPC1	autocrine|paracrine	0.818384828249952
UBA52	LDLR	autocrine|paracrine	0.816217415856152
AGRN	ITGB1	autocrine|paracrine	0.81572681958496
COL4A1	ITGB1	autocrine|paracrine	0.814790248493444
RPS27A	TGFBR1	autocrine|paracrine	0.812496926850032
APP	GPC1	autocrine|paracrine	0.810929671107066
UBA52	ERBB2	autocrine|paracrine	0.809514915767832
FN1	ITGB1	autocrine|paracrine	0.808745333507584
UBC	TGFBR2	autocrine|paracrine	0.806505946212095
FBLN1	ITGB1	autocrine|paracrine	0.806278896715576
GNAI2	CAV1	autocrine|paracrine	0.803733890221333
UBC	FGFR2	autocrine|paracrine	0.800732011123802
LAMA4	ITGB1	autocrine|paracrine	0.800721201518127
APP	NCSTN	autocrine|paracrine	0.800329415302226
HSPG2	ITGB1	autocrine|paracrine	0.79854684895067
MMP2	SDC2	autocrine|paracrine	0.798437837537947
MDK	SDC3	autocrine|paracrine	0.798063937769196
PTN	PLXNB2	autocrine|paracrine	0.797976535690174
GPC3	CD81	autocrine|paracrine	0.797833323131775
COL1A2	ITGAV	autocrine|paracrine	0.797231387563577
SERPINE2	LRP1	autocrine|paracrine	0.796154861184567
COL16A1	ITGB1	autocrine|paracrine	0.793790418636213
UBB	TGFBR2	autocrine|paracrine	0.79294061235663
COL1A1	ITGAV	autocrine|paracrine	0.790765511892872
UBC	SMAD3	autocrine|paracrine	0.787311004019331
COL1A2	CD44	autocrine|paracrine	0.787264720457386
COL1A1	ITGA5	autocrine|paracrine	0.787239471912194
FYN	THY1	autocrine|paracrine	0.787188281658034
UBB	FGFR2	autocrine|paracrine	0.786868855603956
SERPINA1	LRP1	autocrine|paracrine	0.78588985090059
LAMB2	ITGB1	autocrine|paracrine	0.784689984187907
CXCL12	ITGB1	autocrine|paracrine	0.781999809069331
TGFB1	ITGB1	autocrine|paracrine	0.781763597617919
AGRN	LRP1	autocrine|paracrine	0.78084429251979
GNAS	PTGIR	autocrine|paracrine	0.780611959760684
COL1A1	CD44	autocrine|paracrine	0.780568504639159
LAMB1	ITGB1	autocrine|paracrine	0.780365794392621
COL18A1	GPC4	autocrine|paracrine	0.780043274650884
HLA-A	APLP2	autocrine|paracrine	0.779600897957104
UBC	TGFBR1	autocrine|paracrine	0.778747813895376
COL18A1	ITGA5	autocrine|paracrine	0.778446855088925
LRPAP1	LRP1	autocrine|paracrine	0.777377351997761
GNAI2	F2R	autocrine|paracrine	0.777196747058864
CALM1	PTPRA	autocrine|paracrine	0.775616870796558
CALM3	MYLK	autocrine|paracrine	0.773704620663732
CTGF	LRP1	autocrine|paracrine	0.773533167735121
UBB	SMAD3	autocrine|paracrine	0.772779097710185
NCAM1	FGFR1	autocrine|paracrine	0.77205953138664
COL9A2	ITGB1	autocrine|paracrine	0.77184999042601
LAMC1	ITGB1	autocrine|paracrine	0.768654362709304
COL6A3	ITGB1	autocrine|paracrine	0.768333981861074
COL2A1	ITGB1	autocrine|paracrine	0.767775103381122
LUM	ITGB1	autocrine|paracrine	0.76756504594948
APOC3	LRP1	autocrine|paracrine	0.76523116113724
VEGFA	ITGB1	autocrine|paracrine	0.765132798029305
COL1A2	ITGA1	autocrine|paracrine	0.764047085192579
LAMA2	RPSA	autocrine|paracrine	0.763852212981972
UBB	TGFBR1	autocrine|paracrine	0.763806353821189
PDAP1	PDGFRB	autocrine|paracrine	0.761989915526437
HSPG2	LRP1	autocrine|paracrine	0.761363582982906
