Neural	Muscle	interaction type	LRscore
CALM1	MYLK	autocrine|paracrine	0.937592126370985
CALM2	MYLK	autocrine|paracrine	0.935135631272187
MDK	ITGB1	autocrine|paracrine	0.926165296839157
APP	CAV1	autocrine|paracrine	0.922167120597033
COL1A2	ITGB1	autocrine|paracrine	0.916198631699816
CYR61	CAV1	autocrine|paracrine	0.915404092135493
COL1A1	ITGB1	autocrine|paracrine	0.913112926013493
CALM3	MYLK	autocrine|paracrine	0.909451488934719
COL18A1	ITGB1	autocrine|paracrine	0.908920367555379
VIM	CD44	autocrine|paracrine	0.90785622134578
LGALS1	ITGB1	autocrine|paracrine	0.901238695735021
GNAI2	CAV1	autocrine|paracrine	0.899612726528036
RPS27A	ERBB2	autocrine|paracrine	0.891821709176919
TIMP1	CD63	autocrine|paracrine	0.890601901070577
COL3A1	ITGB1	autocrine|paracrine	0.890253264745167
MDK	LRP1	autocrine|paracrine	0.886664303758779
COL1A2	ITGA1	autocrine|paracrine	0.880586663723962
COL5A2	ITGB1	autocrine|paracrine	0.877122571259689
COL1A1	ITGA1	autocrine|paracrine	0.876366614109198
COL6A1	ITGB1	autocrine|paracrine	0.875778987353747
RPS27A	TGFBR1	autocrine|paracrine	0.87139093794736
HSP90AA1	ERBB2	autocrine|paracrine	0.870607876696783
UBC	ERBB2	autocrine|paracrine	0.87006716310666
RPS27A	FGFR2	autocrine|paracrine	0.868781562248915
VCAN	ITGB1	autocrine|paracrine	0.865013531251222
RPS27A	LDLR	autocrine|paracrine	0.864942876619485
COL1A2	CD44	autocrine|paracrine	0.863504138257095
HSP90B1	LRP1	autocrine|paracrine	0.86201642770901
COL6A2	ITGB1	autocrine|paracrine	0.860344954274655
UBB	ERBB2	autocrine|paracrine	0.860185428104158
COL1A1	CD44	autocrine|paracrine	0.858777211245709
PLAT	LRP1	autocrine|paracrine	0.857610281993022
SEMA3B	NRP2	autocrine|paracrine	0.857308119496691
TIMP2	ITGB1	autocrine|paracrine	0.855949686317639
APP	LRP1	autocrine|paracrine	0.855577208099821
MDK	SDC3	autocrine|paracrine	0.855126272939743
NID1	ITGB1	autocrine|paracrine	0.854465791617357
COL1A1	DDR2	autocrine|paracrine	0.852779276093322
LGALS3BP	ITGB1	autocrine|paracrine	0.84967391069676
APOE	LRP1	autocrine|paracrine	0.849521842325431
COL9A3	ITGB1	autocrine|paracrine	0.84949075029713
APOA1	LRP1	autocrine|paracrine	0.848249744997617
HSP90B1	ERBB2	autocrine|paracrine	0.847806362804058
UBC	TGFBR1	autocrine|paracrine	0.846236171598944
COL5A1	ITGB1	autocrine|paracrine	0.845309494382209
UBC	FGFR2	autocrine|paracrine	0.843208257978046
RPS27A	TGFBR2	autocrine|paracrine	0.842953154123856
UBC	LDLR	autocrine|paracrine	0.838760293543382
TGFB1	CAV1	autocrine|paracrine	0.836916386479698
AGRN	ITGB1	autocrine|paracrine	0.835638549926488
UBB	TGFBR1	autocrine|paracrine	0.834885970711576
COL4A1	ITGB1	autocrine|paracrine	0.834782683106739
HSPA8	LDLR	autocrine|paracrine	0.831995578734432
UBB	FGFR2	autocrine|paracrine	0.831679006145147
COL1A1	ITGA5	autocrine|paracrine	0.831669807370158
FN1	ITGB1	autocrine|paracrine	0.829253544690263
LAMB2	RPSA	autocrine|paracrine	0.829065122902954
COL5A2	ITGA1	autocrine|paracrine	0.828021977972939
FBLN1	ITGB1	autocrine|paracrine	0.826995007526807
UBB	LDLR	autocrine|paracrine	0.826971088350828
COL6A1	ITGA1	autocrine|paracrine	0.826247864243956
CALR	LRP1	autocrine|paracrine	0.825754884532665
HRAS	CAV1	autocrine|paracrine	0.825324182120085
UBA52	ERBB2	autocrine|paracrine	0.825008839070771
COL18A1	ITGA5	autocrine|paracrine	0.824303542918447
APP	CD74	autocrine|paracrine	0.822411981877573
LAMA4	ITGB1	autocrine|paracrine	0.82190035851817
PKM	CD44	autocrine|paracrine	0.820912128491757
HSPG2	ITGB1	autocrine|paracrine	0.819905118659126
COL3A1	DDR2	autocrine|paracrine	0.817223446918896
COL16A1	ITGB1	autocrine|paracrine	0.815536481418411
CALM1	INSR	autocrine|paracrine	0.814778214371912
PSAP	LRP1	autocrine|paracrine	0.814658838321219
UBC	TGFBR2	autocrine|paracrine	0.81342712781618
RPS27A	SMAD3	autocrine|paracrine	0.808892606224265
CALM2	INSR	autocrine|paracrine	0.80847502166903
LAMB2	ITGB1	autocrine|paracrine	0.807162602132232
HLA-A	APLP2	autocrine|paracrine	0.806652736429481
COL6A2	ITGA1	autocrine|paracrine	0.806022831158617
CXCL12	ITGB1	autocrine|paracrine	0.804683320097976
TGFB1	ITGB1	autocrine|paracrine	0.804465541393571
COL1A1	DDR1	autocrine|paracrine	0.803443009578427
LAMB1	ITGB1	autocrine|paracrine	0.8031765354047
CYR61	ITGA5	autocrine|paracrine	0.803089651109795
UBB	TGFBR2	autocrine|paracrine	0.800226827684856
PTN	PLXNB2	autocrine|paracrine	0.79794792054854
GPC3	CD81	autocrine|paracrine	0.79652968367047
APOE	LDLR	autocrine|paracrine	0.796359536430687
COL9A2	ITGB1	autocrine|paracrine	0.79531318140837
UBA52	TGFBR1	autocrine|paracrine	0.79486215575161
APOA1	LDLR	autocrine|paracrine	0.794746605035044
LAMC1	ITGB1	autocrine|paracrine	0.792357784624179
COL6A3	ITGB1	autocrine|paracrine	0.792061349496461
COL2A1	ITGB1	autocrine|paracrine	0.791544181776236
LUM	ITGB1	autocrine|paracrine	0.791349781627999
UBA52	NOTCH1	autocrine|paracrine	0.791318804352063
UBA52	FGFR2	autocrine|paracrine	0.791072354439781
CALM1	CACNA1C	autocrine|paracrine	0.790686614499429
APP	NCSTN	autocrine|paracrine	0.789394542283786
VEGFA	ITGB1	autocrine|paracrine	0.789098035684264
