Neural	Myofibroblast_Mesothelium	interaction type	LRscore
MDK	ITGB1	autocrine|paracrine	0.927977530441608
COL1A2	ITGB1	autocrine|paracrine	0.91823389506256
COL1A1	ITGB1	autocrine|paracrine	0.915216196143773
COL18A1	ITGB1	autocrine|paracrine	0.911115247493791
APP	CAV1	autocrine|paracrine	0.90791472579879
LGALS1	ITGB1	autocrine|paracrine	0.903599058589967
MDK	LRP1	autocrine|paracrine	0.902104367547137
TIMP1	CD63	autocrine|paracrine	0.902017630373017
CYR61	CAV1	autocrine|paracrine	0.900047513132655
CALM1	MYLK	autocrine|paracrine	0.893034272918685
COL3A1	ITGB1	autocrine|paracrine	0.892844959477065
CALM2	MYLK	autocrine|paracrine	0.88903147472036
RPS27A	ERBB2	autocrine|paracrine	0.888080390119624
VIM	CD44	autocrine|paracrine	0.884995108054157
RPS27A	LDLR	autocrine|paracrine	0.882544569729237
GNAI2	CAV1	autocrine|paracrine	0.881759831309382
HSP90B1	LRP1	autocrine|paracrine	0.880361266458096
COL5A2	ITGB1	autocrine|paracrine	0.879982547062883
COL6A1	ITGB1	autocrine|paracrine	0.878665909201155
PLAT	LRP1	autocrine|paracrine	0.876456960051575
APP	LRP1	autocrine|paracrine	0.874653652818481
APOE	LRP1	autocrine|paracrine	0.8692759174626
GNAI2	F2R	autocrine|paracrine	0.868539442787539
APOA1	LRP1	autocrine|paracrine	0.868144895714927
VCAN	ITGB1	autocrine|paracrine	0.868112967192216
HSP90AA1	ERBB2	autocrine|paracrine	0.86624292051668
UBC	ERBB2	autocrine|paracrine	0.865686780391493
COL6A2	ITGB1	autocrine|paracrine	0.863534674538332
TIMP2	ITGB1	autocrine|paracrine	0.859223368188484
UBC	LDLR	autocrine|paracrine	0.859218903586213
NID1	ITGB1	autocrine|paracrine	0.857767592711645
UBB	ERBB2	autocrine|paracrine	0.855527222850895
HSPA8	LDLR	autocrine|paracrine	0.853162253956919
RPS27A	TGFBR2	autocrine|paracrine	0.853132076869096
LGALS3BP	ITGB1	autocrine|paracrine	0.853065732608144
COL9A3	ITGB1	autocrine|paracrine	0.852885989337236
RPS27A	FGFR2	autocrine|paracrine	0.851697463504676
MMP2	SDC2	autocrine|paracrine	0.850046503927154
COL1A2	ITGA1	autocrine|paracrine	0.849571135763257
COL5A1	ITGB1	autocrine|paracrine	0.848782265338855
UBB	LDLR	autocrine|paracrine	0.848655641694413
CALR	LRP1	autocrine|paracrine	0.848070990142359
CALM3	MYLK	autocrine|paracrine	0.848057828260253
COL1A1	DDR2	autocrine|paracrine	0.846712912553639
COL18A1	GPC4	autocrine|paracrine	0.844599335546103
COL1A1	ITGA1	autocrine|paracrine	0.844448619957171
HSP90B1	ERBB2	autocrine|paracrine	0.842811091408065
LAMB2	RPSA	autocrine|paracrine	0.840418144746643
AGRN	ITGB1	autocrine|paracrine	0.839287153885729
COL4A1	ITGB1	autocrine|paracrine	0.838446613081193
PSAP	LRP1	autocrine|paracrine	0.838117452518942
RPS27A	TGFBR1	autocrine|paracrine	0.833128307328162
FN1	ITGB1	autocrine|paracrine	0.833015563799824
COL1A2	CD44	autocrine|paracrine	0.831679324015219
FBLN1	ITGB1	autocrine|paracrine	0.830796634932364
HLA-A	APLP2	autocrine|paracrine	0.829477871146344
APP	NCSTN	autocrine|paracrine	0.826795630371719
COL1A1	CD44	autocrine|paracrine	0.826072274220452
LAMA4	ITGB1	autocrine|paracrine	0.825790353450816
UBC	TGFBR2	autocrine|paracrine	0.825122751554785
HSPG2	ITGB1	autocrine|paracrine	0.823829351931879
UBC	FGFR2	autocrine|paracrine	0.823471153864907
APOE	LDLR	autocrine|paracrine	0.821050277875967
