Neural	Neural	interaction type	LRscore
MDK	ITGB1	autocrine	0.907015316044631
MDK	PTPRZ1	autocrine	0.898396702324948
TIMP1	CD63	autocrine	0.898084777041486
COL1A2	ITGB1	autocrine	0.894757406386218
COL1A1	ITGB1	autocrine	0.890976146566412
RPS27A	TGFBR2	autocrine	0.887630435315034
COL18A1	ITGB1	autocrine	0.885848957579231
VIM	CD44	autocrine	0.88521364433978
COL1A2	ITGA1	autocrine	0.880220782819109
LGALS1	ITGB1	autocrine	0.876485862221045
COL1A1	ITGA1	autocrine	0.87598962394537
MDK	SDC3	autocrine	0.874878377360212
COL18A1	GPC1	autocrine	0.865256219532303
UBC	TGFBR2	autocrine	0.865160465151084
COL3A1	ITGB1	autocrine	0.863165155101464
RPS27A	LDLR	autocrine	0.861835373812677
APP	GPC1	autocrine	0.859394530182795
UBB	TGFBR2	autocrine	0.854967766403119
COL1A1	DDR2	autocrine	0.847687032696856
COL5A2	ITGB1	autocrine	0.847349218895662
RPS27A	ERBB2	autocrine	0.846558755863917
COL6A1	ITGB1	autocrine	0.845737338946531
COL1A1	DDR1	autocrine	0.845102150268989
MDK	ITGA6	autocrine	0.840381319983003
LAMB2	RPSA	autocrine	0.839426268462817
PTN	PTPRZ1	autocrine	0.83600620826902
MDK	LRP1	autocrine	0.835795329555948
UBC	LDLR	autocrine	0.835165167754654
GNAI2	EDNRB	autocrine	0.833332903805167
VCAN	ITGB1	autocrine	0.832865220903559
COL1A2	CD44	autocrine	0.831979938196576
RPS27A	TGFBR1	autocrine	0.831078228550543
APP	NGFR	autocrine	0.831016853605478
IGFBP4	LRP6	autocrine	0.828876378990985
HSPA8	LDLR	autocrine	0.828280501326197
CALM1	PTPRA	autocrine	0.827539599622837
COL5A2	ITGA1	autocrine	0.827526584593773
MIA	CDH19	autocrine	0.827359304290905
COL6A2	ITGB1	autocrine	0.827306753376571
COL1A1	CD44	autocrine	0.826380811884048
L1CAM	ERBB3	autocrine	0.82616151981452
UBA52	NOTCH1	autocrine	0.82585866914105
COL6A1	ITGA1	autocrine	0.825748435878127
UBB	LDLR	autocrine	0.823168518962034
TIMP2	ITGB1	autocrine	0.822086717664184
NID1	ITGB1	autocrine	0.820327215977993
UBA52	TGFBR2	autocrine	0.818755041234396
HSP90AA1	ERBB2	autocrine	0.818277471208892
UBC	ERBB2	autocrine	0.817563900284615
RTN4	NGFR	autocrine	0.815999659443259
LGALS3BP	ITGB1	autocrine	0.814655104909821
COL9A3	ITGB1	autocrine	0.8144385951175
APP	CAV1	autocrine	0.81435945198435
COL3A1	DDR2	autocrine	0.811173675078878
COL5A1	ITGB1	autocrine	0.809501933562492
NCAM1	GFRA1	autocrine	0.808773257356227
CALM1	MYLK	autocrine	0.808391652584342
COL3A1	DDR1	autocrine	0.808109402400095
HLA-A	APLP2	autocrine	0.805481608616397
COL6A2	ITGA1	autocrine	0.805478954891551
MDK	GPC2	autocrine	0.805293091994316
UBB	ERBB2	autocrine	0.804585970037642
HSP90B1	LRP1	autocrine	0.802548220817242
CALM2	MYLK	autocrine	0.801923957683168
APP	NCSTN	autocrine	0.801291503714149
PTN	SDC3	autocrine	0.801241258065405
CYR61	CAV1	autocrine	0.800257862749866
UBC	TGFBR1	autocrine	0.799849726023731
FYN	THY1	autocrine	0.799613279870753
AGRN	ITGB1	autocrine	0.798126987881681
COL4A1	ITGB1	autocrine	0.797123212561029
PLAT	LRP1	autocrine	0.796690988521109
GPC3	CD81	autocrine	0.795437221608482
COL1A2	ITGAV	autocrine	0.795133987631972
APP	LRP1	autocrine	0.793997030439253
APOE	LDLR	autocrine	0.792053395337209
APP	CD74	autocrine	0.79121730791455
FN1	ITGB1	autocrine	0.790649832540595
APOA1	LDLR	autocrine	0.790415333368346
COL1A1	ITGAV	autocrine	0.788618963471725
HSP90B1	ERBB2	autocrine	0.788494593190264
FBLN1	ITGB1	autocrine	0.788011203357097
COL5A2	DDR1	autocrine	0.787496548677754
COL18A1	GPC4	autocrine	0.787100244603004
SPTAN1	PTPRA	autocrine	0.786471119561086
COL5A1	ITGA1	autocrine	0.786005784033219
APOE	LRP1	autocrine	0.786005514504648
UBB	TGFBR1	autocrine	0.785941598435281
APOA1	LRP1	autocrine	0.784332783575511
HBEGF	CD9	autocrine	0.783171708474581
LAMA4	ITGB1	autocrine	0.782071078162312
PKM	CD44	autocrine	0.782034153913485
UBA52	LDLR	autocrine	0.781049262387787
HSPG2	ITGB1	autocrine	0.779749206127848
HLA-B	CANX	autocrine	0.777502807454649
LAMA2	RPSA	autocrine	0.776340429340628
COL16A1	ITGB1	autocrine	0.774674185780161
COL4A1	ITGA1	autocrine	0.772529295713242
GNAI2	CAV1	autocrine	0.768410200672856
MMP2	SDC2	autocrine	0.765666735860363
LAMB2	ITGB1	autocrine	0.764979892707698
COL4A1	CD47	autocrine	0.764517582635898
CXCL12	ITGB1	autocrine	0.762118107908764
TGFB1	ITGB1	autocrine	0.761866913986005
