Pericytes	Endothelial	interaction type	LRscore
RPS27A	TGFBR2	autocrine|paracrine	0.934945464607619
COL1A1	CD93	autocrine|paracrine	0.934379537078942
COL1A1	ITGB1	autocrine|paracrine	0.933667166314503
COL1A2	CD93	autocrine|paracrine	0.931776923782483
COL1A2	ITGB1	autocrine|paracrine	0.931038384507274
RPS27A	LDLR	autocrine|paracrine	0.930535426284266
UBC	TGFBR2	autocrine|paracrine	0.929057955087147
CYR61	CAV1	autocrine|paracrine	0.927452069228693
COL3A1	ITGB1	autocrine|paracrine	0.927413570273812
MDK	ITGB1	autocrine|paracrine	0.925783921335461
UBB	TGFBR2	autocrine|paracrine	0.92466411435535
UBC	LDLR	autocrine|paracrine	0.924281126468708
HMGB1	THBD	autocrine|paracrine	0.923309862560372
LGALS1	ITGB1	autocrine|paracrine	0.922968622967136
COL1A1	CD36	autocrine|paracrine	0.922308809783551
COL6A2	ITGB1	autocrine|paracrine	0.920421137467241
UBB	LDLR	autocrine|paracrine	0.919617027548341
COL1A2	CD36	autocrine|paracrine	0.919268815922652
COL4A2	CD93	autocrine|paracrine	0.918875055536475
TIMP1	CD63	autocrine|paracrine	0.917093254451379
COL1A1	ITGA5	autocrine|paracrine	0.916468673521972
COL4A1	CD93	autocrine|paracrine	0.916090132556427
MDK	ITGA6	autocrine|paracrine	0.91556043766837
COL4A1	ITGB1	autocrine|paracrine	0.91519723333339
COL18A1	ITGB1	autocrine|paracrine	0.914612828593515
HSPA8	LDLR	autocrine|paracrine	0.914277077493929
COL6A3	ITGB1	autocrine|paracrine	0.913869918624917
COL6A1	ITGB1	autocrine|paracrine	0.909593300016636
GNAI2	CAV1	autocrine|paracrine	0.901853635424466
COL6A1	ITGA6	autocrine|paracrine	0.897386716161562
APP	CAV1	autocrine|paracrine	0.895947565236448
APOE	LDLR	autocrine|paracrine	0.894405728663497
COL18A1	ITGA5	autocrine|paracrine	0.893039968003696
COL1A1	ITGA2	autocrine|paracrine	0.88981631270706
COL5A2	ITGB1	autocrine|paracrine	0.88916691478539
CTGF	ITGA5	autocrine|paracrine	0.888360105455847
UBA52	TGFBR2	autocrine|paracrine	0.888067692461268
COL1A2	ITGA2	autocrine|paracrine	0.885662528067107
APOA1	LDLR	autocrine|paracrine	0.884095940084716
ICAM1	CAV1	autocrine|paracrine	0.883135609718482
CYR61	ITGA5	autocrine|paracrine	0.881988111855076
UBA52	LDLR	autocrine|paracrine	0.880884683832974
COL3A1	ITGA2	autocrine|paracrine	0.879960143941853
COL5A1	ITGB1	autocrine|paracrine	0.875309183628534
CXCL12	ITGB1	autocrine|paracrine	0.875273970512042
UBA52	NOTCH1	autocrine|paracrine	0.874968439553577
COL1A1	ITGA1	autocrine|paracrine	0.873958615059196
NID1	ITGB1	autocrine|paracrine	0.872676245022605
FN1	ITGB1	autocrine|paracrine	0.869737088588401
COL1A2	ITGA1	autocrine|paracrine	0.869294828501226
COL6A2	ITGA2	autocrine|paracrine	0.869041908162742
ANGPT2	TIE1	autocrine|paracrine	0.868078043238735
ARPC5	LDLR	autocrine|paracrine	0.863502669633186
LAMB2	RPSA	autocrine|paracrine	0.861545362014262
COL4A1	ITGA2	autocrine|paracrine	0.860954759211521
JAG1	NOTCH4	autocrine|paracrine	0.859087147548924
COL6A3	ITGA2	autocrine|paracrine	0.858909337054745
RPS27A	SMAD3	autocrine|paracrine	0.858724758254879
JAG1	NOTCH1	autocrine|paracrine	0.854522446923396
SEMA4A	PLXND1	autocrine|paracrine	0.853158204320397
SEMA4A	PLXND1	autocrine|paracrine	0.853158204320397
FN1	ITGA6	autocrine|paracrine	0.853018745208759
APP	CD74	autocrine|paracrine	0.852898061524754
VCAN	ITGB1	autocrine|paracrine	0.852659551729588
COL6A1	ITGA2	autocrine|paracrine	0.852344681545227
LAMB2	ITGB1	autocrine|paracrine	0.85192981477759
CALM2	MYLK	autocrine|paracrine	0.851090887885777
VEGFA	ITGB1	autocrine|paracrine	0.850877981480845
COL6A2	ITGA1	autocrine|paracrine	0.850696021610509
AGRN	ITGB1	autocrine|paracrine	0.849042190215209
HLA-B	CANX	autocrine|paracrine	0.848740674184245
COL1A1	ITGAV	autocrine|paracrine	0.847723032872618
UBC	SMAD3	autocrine|paracrine	0.847067529207355
CALM1	MYLK	autocrine|paracrine	0.846888270553098
LAMC1	ITGB1	autocrine|paracrine	0.846719771486893
LAMB1	ITGB1	autocrine|paracrine	0.846494208680198
HLA-C	NOTCH4	autocrine|paracrine	0.845742531118295
RPS27A	TGFBR1	autocrine|paracrine	0.844410692349426
VEGFA	FLT1	autocrine|paracrine	0.843797921190356
CALR	SCARF1	autocrine|paracrine	0.843793456722335
PGF	FLT1	autocrine|paracrine	0.843767958623768
LAMA4	ITGB1	autocrine|paracrine	0.842486226319564
