Pericytes	Epithelial	interaction type	LRscore
TIMP1	CD63	autocrine|paracrine	0.924978956159256
RPS27A	LDLR	autocrine|paracrine	0.921874292663104
UBC	LDLR	autocrine|paracrine	0.914911486914527
UBB	LDLR	autocrine|paracrine	0.909726610165034
RPS27A	ERBB2	autocrine|paracrine	0.90382780637282
HSPA8	LDLR	autocrine|paracrine	0.903798358920724
HSP90AA1	FGFR3	autocrine|paracrine	0.901235337580885
COL1A1	ITGB1	autocrine|paracrine	0.895889699473529
UBC	ERBB2	autocrine|paracrine	0.895439065177139
COL1A2	ITGB1	autocrine|paracrine	0.891937068066882
UBB	ERBB2	autocrine|paracrine	0.88921131700276
HSP90AA1	ERBB2	autocrine|paracrine	0.888980758581574
COL3A1	ITGB1	autocrine|paracrine	0.886507515406319
MDK	ITGB1	autocrine|paracrine	0.884074275970656
APOE	LDLR	autocrine|paracrine	0.881811951693745
LGALS1	ITGB1	autocrine|paracrine	0.879882058852774
COL6A2	ITGB1	autocrine|paracrine	0.876100947172158
HSP90B1	ERBB2	autocrine|paracrine	0.873924451035467
MDK	TSPAN1	autocrine|paracrine	0.87289279408575
COL1A1	DDR1	autocrine|paracrine	0.871629152092053
APOA1	LDLR	autocrine|paracrine	0.870450659607319
COL4A1	ITGB1	autocrine|paracrine	0.868383699795837
COL18A1	ITGB1	autocrine|paracrine	0.867523385204444
UBA52	LDLR	autocrine|paracrine	0.866918253648875
COL6A3	ITGB1	autocrine|paracrine	0.86643060659843
LAMB2	RPSA	autocrine|paracrine	0.865778284628172
COL3A1	DDR1	autocrine|paracrine	0.860401335421909
COL6A1	ITGB1	autocrine|paracrine	0.860158924100688
MDK	LRP1	autocrine|paracrine	0.85309893157301
MDK	ITGA6	autocrine|paracrine	0.852902420153529
HLA-B	CANX	autocrine|paracrine	0.851447451122623
PTMA	VIPR1	autocrine|paracrine	0.851259904786552
P4HB	MTTP	autocrine|paracrine	0.849806144001582
B2M	TFRC	autocrine|paracrine	0.84963050668503
ARPC5	LDLR	autocrine|paracrine	0.84785019738204
RPS27A	TGFBR2	autocrine|paracrine	0.844178436088311
HSP90B1	LRP1	autocrine|paracrine	0.841759921366948
FN1	PLAUR	autocrine|paracrine	0.841759750463216
APOE	SORL1	autocrine|paracrine	0.841134107302403
UBA52	ERBB2	autocrine|paracrine	0.838402550995001
GNAS	VIPR1	autocrine|paracrine	0.83812136557175
MDK	SDC4	autocrine|paracrine	0.836590905004783
HLA-A	APLP2	autocrine|paracrine	0.832719867947236
UBC	TGFBR2	autocrine|paracrine	0.831556368845253
COL5A2	ITGB1	autocrine|paracrine	0.830642974536539
CTGF	LRP1	autocrine|paracrine	0.826164392230746
NID1	PTPRF	autocrine|paracrine	0.823858768622023
COL6A1	ITGA6	autocrine|paracrine	0.823837745100486
UBB	TGFBR2	autocrine|paracrine	0.822278882235454
JAG1	CD46	autocrine|paracrine	0.821921351797307
APOE	LRP1	autocrine|paracrine	0.820152288527227
COL1A1	ITGA2	autocrine|paracrine	0.814597659693265
COL4A1	ITGB8	autocrine|paracrine	0.814217647293081
COL1A1	ITGAV	autocrine|paracrine	0.813197773423828
FABP5	RXRA	autocrine|paracrine	0.813045499920837
COL5A1	ITGB1	autocrine|paracrine	0.811023036503162
CXCL12	ITGB1	autocrine|paracrine	0.810973589319683
RPS27A	SMAD3	autocrine|paracrine	0.810394592277863
A2M	LRP1	autocrine|paracrine	0.810370301850908
CALR	LRP1	autocrine|paracrine	0.809931217093271
PTN	PLXNB2	autocrine|paracrine	0.808777286224566
COL1A2	ITGA2	autocrine|paracrine	0.808219389963951
APOE	LRP5	autocrine|paracrine	0.80813514915055
NID1	ITGB1	autocrine|paracrine	0.807331443249749
COL1A2	ITGAV	autocrine|paracrine	0.806782767443463
HSP90AA1	EGFR	autocrine|paracrine	0.80666085798234
LRPAP1	LDLR	autocrine|paracrine	0.80613233115043
HSP90AA1	CFTR	autocrine|paracrine	0.80453556919588
APOA1	LRP1	autocrine|paracrine	0.804179962403936
ARF1	INSR	autocrine|paracrine	0.80414215353747
FN1	ITGB1	autocrine|paracrine	0.803223988499909
CALM2	INSR	autocrine|paracrine	0.801930704321871
COL4A1	CD47	autocrine|paracrine	0.800795841375976
COL3A1	ITGA2	autocrine|paracrine	0.799528910267788
MDK	SDC1	autocrine|paracrine	0.798456665018551
CALM1	INSR	autocrine|paracrine	0.796672115316485
UBC	SMAD3	autocrine|paracrine	0.795698213419986
COL5A2	DDR1	autocrine|paracrine	0.794662959864207
ACTR2	LDLR	autocrine|paracrine	0.793355464567331
CXCL12	ACKR3	autocrine|paracrine	0.792537438517217
GNAS	PTGDR	autocrine|paracrine	0.790881335271565
VCAM1	EZR	autocrine|paracrine	0.790303912912381
HSP90B1	ASGR1	autocrine|paracrine	0.79007057939914
CYR61	CAV1	autocrine|paracrine	0.786878794760335
UBB	SMAD3	autocrine|paracrine	0.784956480544818
HMGB1	SDC1	autocrine|paracrine	0.784361112209404
COL6A2	ITGA2	autocrine|paracrine	0.783098277006335
SERPINE2	LRP1	autocrine|paracrine	0.782686596042862
APOE	SCARB1	autocrine|paracrine	0.782005260593212
HLA-A	ERBB2	autocrine|paracrine	0.779855685945326
VCAN	ITGB1	autocrine|paracrine	0.779635898777262
COL18A1	ITGA3	autocrine|paracrine	0.779470900211577
GPC3	CD81	autocrine|paracrine	0.779225760228552
LAMB2	ITGB1	autocrine|paracrine	0.778638388928342
COL4A2	ITGB5	autocrine|paracrine	0.77861181552021
VEGFA	ITGB1	autocrine|paracrine	0.777202078644302
FGF7	FGFR3	autocrine|paracrine	0.774877191628127
AGRN	ITGB1	autocrine|paracrine	0.77469944870605
LAMC1	ITGB1	autocrine|paracrine	0.771541053063289
LAMB1	ITGB1	autocrine|paracrine	0.77123474945038
COL4A1	ITGA2	autocrine|paracrine	0.771101697578771
COL18A1	ITGB5	autocrine|paracrine	0.770882390673786
EFNA1	EPHA2	autocrine|paracrine	0.770725158778129
PLAT	LRP1	autocrine|paracrine	0.770710773368651
COL4A1	ITGAV	autocrine|paracrine	0.76946633687542
GNAI2	EDNRB	autocrine|paracrine	0.769449581962723
RPS27A	RIPK1	autocrine|paracrine	0.769058958279315
VIM	CD44	autocrine|paracrine	0.768902359676559
CALM2	MYLK	autocrine|paracrine	0.768115594028361
COL6A3	ITGA2	autocrine|paracrine	0.768090533036276
LAMA4	ITGB1	autocrine|paracrine	0.765805413500978
COL1A1	ITGA1	autocrine|paracrine	0.764470840432596
HBEGF	CD9	autocrine|paracrine	0.763475319459336
LGALS3BP	ITGB1	autocrine|paracrine	0.763443429833074
CALM1	MYLK	autocrine|paracrine	0.762225429409848
TIMP2	ITGB1	autocrine|paracrine	0.762180228836081
CALM1	VIPR1	autocrine|paracrine	0.760983711499107
CALM3	INSR	autocrine|paracrine	0.760796210788128
COL6A1	ITGA2	autocrine|paracrine	0.758488441194267
TFPI	LRP1	autocrine|paracrine	0.757566066140249
HLA-C	DDR1	autocrine|paracrine	0.756939132629454
FBLN1	ITGB1	autocrine|paracrine	0.75693614493327
COL1A2	ITGA1	autocrine|paracrine	0.756882763915137
FN1	ITGA6	autocrine|paracrine	0.756304595211927
APOC3	LDLR	autocrine|paracrine	0.754978064849814
FBN1	ITGB1	autocrine|paracrine	0.753968623834346
UBC	RIPK1	autocrine|paracrine	0.752138574103563
CALR	ITGA3	autocrine|paracrine	0.751268276412872
CYR61	ITGB5	autocrine|paracrine	0.750731507724332
APP	LRP1	autocrine|paracrine	0.750404628990345
UBA52	TGFBR2	autocrine|paracrine	0.749424209590165
APP	NCSTN	autocrine|paracrine	0.748134433019552
CYR61	ITGAV	autocrine|paracrine	0.747818446624542
LRPAP1	SORL1	autocrine|paracrine	0.746883804327494
RARRES2	CCRL2	autocrine|paracrine	0.744892559018092
CALM2	EGFR	autocrine|paracrine	0.743263488136702
RPS27A	FGFR2	autocrine|paracrine	0.742427692167613
CXCL12	SDC4	autocrine|paracrine	0.742276724437024
THBS1	ITGB1	autocrine|paracrine	0.742229544992169
UBB	RIPK1	autocrine|paracrine	0.73985535024303
CALR	ITGAV	autocrine|paracrine	0.738965000063234
COL1A1	DDR2	autocrine|paracrine	0.738258792153732
PSAP	LRP1	autocrine|paracrine	0.737039851415278
ANGPT1	ITGB1	autocrine|paracrine	0.737003611285541
CALM1	EGFR	autocrine|paracrine	0.736958228651717
PTN	SDC1	autocrine|paracrine	0.734999469367068
UBA52	NOTCH1	autocrine|paracrine	0.73409092347384
LUM	ITGB1	autocrine|paracrine	0.734063276359391
TFPI	SDC4	autocrine|paracrine	0.733674005597507
GNAI2	IGF1R	autocrine|paracrine	0.733197693343092
TNFSF12	TNFRSF12A	autocrine|paracrine	0.732706501983743
APP	CD74	autocrine|paracrine	0.732440724296706
FN1	ITGB8	autocrine|paracrine	0.730562159722967
ICAM1	IL2RG	autocrine|paracrine	0.730070586587987
UBA52	EGFR	autocrine|paracrine	0.729970992262703
COL6A2	ITGA1	autocrine|paracrine	0.727305988383235
GNAI2	CAV1	autocrine|paracrine	0.72631617105262
UBC	FGFR2	autocrine|paracrine	0.724255708708592
AGRN	LRP1	autocrine|paracrine	0.723634989052108
NECTIN2	NECTIN3	autocrine|paracrine	0.722797540563848
CALM3	MYLK	autocrine|paracrine	0.722389547554194
CALM1	PTPRA	autocrine|paracrine	0.720100801201349
LAMC1	ITGA6	autocrine|paracrine	0.719703412328786
COL1A1	CD44	autocrine|paracrine	0.719537568003571
LAMB1	ITGA6	autocrine|paracrine	0.719352888810464
COL3A1	DDR2	autocrine|paracrine	0.719124859904995
LRPAP1	LRP1	autocrine|paracrine	0.71763283910904
SERPINE1	PLAUR	autocrine|paracrine	0.717449620768778
CTGF	LRP6	autocrine|paracrine	0.717391387627507
RPS27A	TGFBR1	autocrine|paracrine	0.716845762453414
LAMA5	BCAM	autocrine|paracrine	0.716548193721254
MFGE8	ITGAV	autocrine|paracrine	0.714775648689954
SEMA4A	PLXNB2	autocrine|paracrine	0.714101198992007
COL4A1	ITGA1	autocrine|paracrine	0.713353137614521
APP	CAV1	autocrine|paracrine	0.71320607233247
LAMA4	ITGA6	autocrine|paracrine	0.713150202565705
FN1	TNFRSF11B	autocrine|paracrine	0.712838446461814
GPC6	LRP1	autocrine|paracrine	0.711638950958696
UBB	FGFR2	autocrine|paracrine	0.711121410010037
COL1A2	CD44	autocrine|paracrine	0.711049034820481
MDK	SDC3	autocrine|paracrine	0.710069050797276
COL6A3	ITGA1	autocrine|paracrine	0.70986812486246
NAMPT	INSR	autocrine|paracrine	0.70948468405461
SEMA4A	PLXNB1	autocrine|paracrine	0.708818770923472
LAMC3	ITGB1	autocrine|paracrine	0.705519362747216
GNAS	ADCY9	autocrine|paracrine	0.705270760515729
UBA52	SMAD3	autocrine|paracrine	0.70234038656361
GSTP1	TRAF2	autocrine|paracrine	0.702079127513262
SERPINA1	LRP1	autocrine|paracrine	0.700023545460375
COL6A1	ITGA1	autocrine|paracrine	0.698800684820439
JAG1	NOTCH1	autocrine|paracrine	0.698544780229973
UBC	TGFBR1	autocrine|paracrine	0.69760406832748
FN1	SDC2	autocrine|paracrine	0.697229215475744
NGF	MAGED1	autocrine|paracrine	0.696059323477089
FGF7	FGFR4	autocrine|paracrine	0.695742892667717
CALM3	EGFR	autocrine|paracrine	0.694585354928004
AREG	ERBB3	autocrine|paracrine	0.693822962042098
NID1	ITGA3	autocrine|paracrine	0.693410460734232
TGFB1	ITGB1	autocrine|paracrine	0.691322416110368
COL9A1	ITGB1	autocrine|paracrine	0.689973353584117
HSPG2	ITGB1	autocrine|paracrine	0.689488217933491
FN1	ITGA3	autocrine|paracrine	0.68781348668549
THBS1	LRP1	autocrine|paracrine	0.686781214518074
THBS1	ITGA6	autocrine|paracrine	0.686443992128791
GNAS	ADCY7	autocrine|paracrine	0.685785765002216
ICAM1	CAV1	autocrine|paracrine	0.685784436736289
SERPING1	LRP1	autocrine|paracrine	0.68556447007064
GNAI2	EGFR	autocrine|paracrine	0.685376888529372
DCN	EGFR	autocrine|paracrine	0.684411676097195
UBB	TGFBR1	autocrine|paracrine	0.683754609124682
LAMA5	ITGB1	autocrine|paracrine	0.68334771572136
VCAM1	ITGB1	autocrine|paracrine	0.680415253418639
HBEGF	ERBB2	autocrine|paracrine	0.679860991509525
NID1	ITGAV	autocrine|paracrine	0.679466343901501
APOA4	LDLR	autocrine|paracrine	0.67878255777532
RTN4	GJB2	autocrine|paracrine	0.678596245876252
COL18A1	GPC4	autocrine|paracrine	0.677679470367478
RPS27A	LRP2	autocrine|paracrine	0.67757815307661
ADAM17	ITGB1	autocrine|paracrine	0.677516717851417
PLAU	ST14	autocrine|paracrine	0.677041434509094
FN1	ITGA2	autocrine|paracrine	0.675762890540927
MFAP2	NOTCH1	autocrine|paracrine	0.675248098075654
PLAU	PLAUR	autocrine|paracrine	0.674475428644755
COL1A1	ITGA5	autocrine|paracrine	0.674096448382831
FN1	ITGAV	autocrine|paracrine	0.673734587119565
FN1	IL17RC	autocrine|paracrine	0.6734744818729
TFPI	F3	autocrine|paracrine	0.672567071238027
COL1A1	CD36	autocrine|paracrine	0.671730381924637
THBS1	LRP5	autocrine|paracrine	0.669444197762866
RPS27A	ADRB2	autocrine|paracrine	0.665375997299855
JAM3	ITGB1	autocrine|paracrine	0.665309134730668
EFNB1	ERBB2	autocrine|paracrine	0.664268000920032
APOB	LDLR	autocrine|paracrine	0.664183105972841
BDNF	DDR1	autocrine|paracrine	0.663203701367233
COL1A2	CD36	autocrine|paracrine	0.66247364966786
THBS1	SDC4	autocrine|paracrine	0.659052797623399
UBC	LRP2	autocrine|paracrine	0.656945041028315
