Pericytes	Fibroblasts	interaction type	LRscore
COL1A1	ITGB1	autocrine|paracrine	0.921157044242802
TIMP1	CD63	autocrine|paracrine	0.91890228606781
COL1A2	ITGB1	autocrine|paracrine	0.918075985853263
COL3A1	ITGB1	autocrine|paracrine	0.913832889539368
MDK	ITGB1	autocrine|paracrine	0.911927293978065
LGALS1	ITGB1	autocrine|paracrine	0.908638233684091
COL6A2	ITGB1	autocrine|paracrine	0.905665269504507
COL4A1	ITGB1	autocrine|paracrine	0.899578408164494
COL18A1	ITGB1	autocrine|paracrine	0.898898259169744
COL6A3	ITGB1	autocrine|paracrine	0.898033867593603
COL6A1	ITGB1	autocrine|paracrine	0.893062951518185
MDK	LRP1	autocrine|paracrine	0.892863566965699
COL1A1	DDR2	autocrine|paracrine	0.888875609567672
RPS27A	LDLR	autocrine|paracrine	0.8855461514064
HSP90B1	LRP1	autocrine|paracrine	0.88417719465486
RPS27A	ERBB2	autocrine|paracrine	0.88100343503852
COL3A1	DDR2	autocrine|paracrine	0.878946740609695
UBC	LDLR	autocrine|paracrine	0.875781930026909
CTGF	LRP1	autocrine|paracrine	0.872127084822374
UBC	ERBB2	autocrine|paracrine	0.870908163086921
COL5A2	ITGB1	autocrine|paracrine	0.869437815083884
UBB	LDLR	autocrine|paracrine	0.8685552499139
APOE	LRP1	autocrine|paracrine	0.867449560877406
LAMB2	RPSA	autocrine|paracrine	0.864568134974024
UBB	ERBB2	autocrine|paracrine	0.863442151983392
HSP90AA1	ERBB2	autocrine|paracrine	0.863166218547893
HSPA8	LDLR	autocrine|paracrine	0.860338353147969
A2M	LRP1	autocrine|paracrine	0.859800336230235
CALR	LRP1	autocrine|paracrine	0.859455855909854
APOA1	LRP1	autocrine|paracrine	0.854934754109806
VIM	CD44	autocrine|paracrine	0.854870982345309
COL5A1	ITGB1	autocrine|paracrine	0.853519680481924
CXCL12	ITGB1	autocrine|paracrine	0.853479343976038
NID1	ITGB1	autocrine|paracrine	0.850505221541821
FN1	ITGB1	autocrine|paracrine	0.84714391213164
HSP90B1	ERBB2	autocrine|paracrine	0.845218524110742
CYR61	CAV1	autocrine|paracrine	0.838974167777473
SERPINE2	LRP1	autocrine|paracrine	0.837889266819114
RPS27A	TGFBR2	autocrine|paracrine	0.836399102939566
GPC3	CD81	autocrine|paracrine	0.835411444079108
CALM2	MYLK	autocrine|paracrine	0.831501591247241
RPS27A	FGFR2	autocrine|paracrine	0.831330636801101
APOE	LDLR	autocrine|paracrine	0.830284517663832
COL1A1	ITGAV	autocrine|paracrine	0.828344019973658
PLAT	LRP1	autocrine|paracrine	0.82828817455014
MFGE8	PDGFRB	autocrine|paracrine	0.82803198085177
VCAN	ITGB1	autocrine|paracrine	0.8276912128064
LAMB2	ITGB1	autocrine|paracrine	0.826862924597579
CALM1	MYLK	autocrine|paracrine	0.826858582543415
VEGFA	ITGB1	autocrine|paracrine	0.825669463382899
COL1A1	ITGA5	autocrine|paracrine	0.825311359015434
AGRN	ITGB1	autocrine|paracrine	0.823587679881403
UBC	TGFBR2	autocrine|paracrine	0.823278800397865
COL1A2	ITGAV	autocrine|paracrine	0.822335515502058
COL18A1	GPC1	autocrine|paracrine	0.82177647527619
LAMC1	ITGB1	autocrine|paracrine	0.820956235739198
LAMB1	ITGB1	autocrine|paracrine	0.820700788384241
PTN	PLXNB2	autocrine|paracrine	0.819731141485511
COL1A1	CD44	autocrine|paracrine	0.819560504067044
RPS27A	SMAD3	autocrine|paracrine	0.819505952227677
UBC	FGFR2	autocrine|paracrine	0.817892359671259
TFPI	LRP1	autocrine|paracrine	0.81766335664262
LAMA4	ITGB1	autocrine|paracrine	0.816165604551617
APOA1	LDLR	autocrine|paracrine	0.815009071257808
LGALS3BP	ITGB1	autocrine|paracrine	0.81418829437348
UBB	TGFBR2	autocrine|paracrine	0.813647574057694
COL1A2	CD44	autocrine|paracrine	0.813313839705919
TIMP2	ITGB1	autocrine|paracrine	0.813129741190815
RPS27A	TGFBR1	autocrine|paracrine	0.811929343727745
APP	LRP1	autocrine|paracrine	0.811836240666423
UBA52	LDLR	autocrine|paracrine	0.8102944096115
FBLN1	ITGB1	autocrine|paracrine	0.808727187499801
UBB	FGFR2	autocrine|paracrine	0.808036023802568
HLA-B	CANX	autocrine|paracrine	0.807654747554663
