Pericytes	Immune	interaction type	LRscore
VIM	CD44	autocrine|paracrine	0.941474386816704
COL1A1	CD44	autocrine|paracrine	0.925396020330659
LGALS1	PTPRC	autocrine|paracrine	0.922766951107718
COL1A2	CD44	autocrine|paracrine	0.922466671554188
RPS27A	LDLR	autocrine|paracrine	0.920226682438278
UBC	LDLR	autocrine|paracrine	0.913130873439711
APP	CD74	autocrine|paracrine	0.910585329925789
UBB	LDLR	autocrine|paracrine	0.90784842334377
TIMP1	CD63	autocrine|paracrine	0.906876502630643
HSPA8	LDLR	autocrine|paracrine	0.901810144171467
COL1A1	ITGB1	autocrine|paracrine	0.897277753459539
COL1A2	ITGB1	autocrine|paracrine	0.893371548474514
B2M	TFRC	autocrine|paracrine	0.888845316770014
COL3A1	ITGB1	autocrine|paracrine	0.888005020409595
CTGF	ITGB2	autocrine|paracrine	0.887033819016065
MDK	ITGB1	autocrine|paracrine	0.885599743811422
B2M	CD3D	autocrine|paracrine	0.881485597480342
LGALS1	ITGB1	autocrine|paracrine	0.881455295041724
CYR61	ITGB2	autocrine|paracrine	0.880596300583454
RPS19	C5AR1	autocrine|paracrine	0.88033190095793
LGALS1	CD69	autocrine|paracrine	0.880055788030018
APOE	LDLR	autocrine|paracrine	0.879429958525752
COL1A1	CD36	autocrine|paracrine	0.87942681386099
PKM	CD44	autocrine|paracrine	0.879379318212479
COL6A2	ITGB1	autocrine|paracrine	0.877716823677285
COL1A2	CD36	autocrine|paracrine	0.874936407651541
COL4A1	ITGB1	autocrine|paracrine	0.870085298971394
COL18A1	ITGB1	autocrine|paracrine	0.869234432051798
COL6A3	ITGB1	autocrine|paracrine	0.868153622528133
APOA1	LDLR	autocrine|paracrine	0.867873996870993
FN1	PLAUR	autocrine|paracrine	0.865847813752846
COL1A1	CD93	autocrine|paracrine	0.864748739734677
UBA52	LDLR	autocrine|paracrine	0.864282287684254
COL6A1	ITGB1	autocrine|paracrine	0.861949952878817
RPS27A	TGFBR2	autocrine|paracrine	0.861774751464316
LAMB2	RPSA	autocrine|paracrine	0.861036835432985
COL1A2	CD93	autocrine|paracrine	0.859798837991062
B2M	CD247	autocrine|paracrine	0.855608176724876
FN1	CD44	autocrine|paracrine	0.85473465878583
CXCL12	CXCR4	autocrine|paracrine	0.852146493911821
UBC	TGFBR2	autocrine|paracrine	0.850325325061771
PLAT	ITGB2	autocrine|paracrine	0.847411270509996
RPS27A	ADRB2	autocrine|paracrine	0.845488306571946
ARPC5	LDLR	autocrine|paracrine	0.844904117528362
COL4A1	CD47	autocrine|paracrine	0.843990256553479
UBB	TGFBR2	autocrine|paracrine	0.841885028347029
VCAN	CD44	autocrine|paracrine	0.836061027582568
COL4A2	CD93	autocrine|paracrine	0.835685392673273
UBC	ADRB2	autocrine|paracrine	0.83295134704745
COL5A2	ITGB1	autocrine|paracrine	0.832738522618693
RPS27A	TGFBR1	autocrine|paracrine	0.832398721830934
CALM2	MYLK	autocrine|paracrine	0.831596735028639
COL4A1	CD93	autocrine|paracrine	0.830571240652674
CALM1	MYLK	autocrine|paracrine	0.826955802426857
MDK	ITGA4	autocrine|paracrine	0.82661493726406
UBB	ADRB2	autocrine|paracrine	0.823734406446889
SPON2	ITGB2	autocrine|paracrine	0.8230329236616
UBC	TGFBR1	autocrine|paracrine	0.819027016713518
CALM2	ABCA1	autocrine|paracrine	0.818885036420045
HLA-B	CANX	autocrine|paracrine	0.816140204377302
COL1A1	ITGA5	autocrine|paracrine	0.814863190077934
CYR61	CAV1	autocrine|paracrine	0.814598601282622
CALM1	ABCA1	autocrine|paracrine	0.813972154384416
ICAM1	ITGB2	autocrine|paracrine	0.813415831269886
HSPA8	ADRB2	autocrine|paracrine	0.813317874109997
COL5A1	ITGB1	autocrine|paracrine	0.813306788926181
CXCL12	ITGB1	autocrine|paracrine	0.813257801711667
MDK	LRP1	autocrine|paracrine	0.810422981623003
NID1	ITGB1	autocrine|paracrine	0.809649337221948
RPS27A	ERBB2	autocrine|paracrine	0.809235309533656
UBB	TGFBR1	autocrine|paracrine	0.809217767691052
HLA-B	CD3D	autocrine|paracrine	0.807953421572458
FN1	ITGB1	autocrine|paracrine	0.805579397126077
COL14A1	CD44	autocrine|paracrine	0.802619886309175
LRPAP1	LDLR	autocrine|paracrine	0.802566570822947
FABP5	RXRA	autocrine|paracrine	0.801835593397118
PTN	PLXNB2	autocrine|paracrine	0.800833754994825
GNAS	ADCY7	autocrine|paracrine	0.798087847751231
HSP90B1	LRP1	autocrine|paracrine	0.796575381417293
CALM3	MYLK	autocrine|paracrine	0.79504863057616
UBC	ERBB2	autocrine|paracrine	0.794471863200664
GNAS	PTGIR	autocrine|paracrine	0.793739961661
HLA-A	APLP2	autocrine|paracrine	0.793725871129284
GPC3	CD81	autocrine|paracrine	0.793285218481723
CALM2	SELL	autocrine|paracrine	0.790649165031276
ACTR2	LDLR	autocrine|paracrine	0.789616033106084
GNAI2	C5AR1	autocrine|paracrine	0.788757618739955
CD55	ADGRE5	autocrine|paracrine	0.788074482331725
ICAM1	IL2RG	autocrine|paracrine	0.786641940417006
CALM1	SELL	autocrine|paracrine	0.785171296970947
UBB	ERBB2	autocrine|paracrine	0.783683180621532
FN1	C5AR1	autocrine|paracrine	0.783430062847656
HSP90AA1	ERBB2	autocrine|paracrine	0.783286533618183
VCAN	ITGB1	autocrine|paracrine	0.782197094702618
LAMB2	ITGB1	autocrine|paracrine	0.781207924915358
CALM3	ABCA1	autocrine|paracrine	0.780306968399815
MDK	ITGA6	autocrine|paracrine	0.779969377111808
VEGFA	ITGB1	autocrine|paracrine	0.779783571772165
JAG1	CD46	autocrine|paracrine	0.778673897430334
CTGF	LRP1	autocrine|paracrine	0.77770267201042
AGRN	ITGB1	autocrine|paracrine	0.777301630237323
B2M	LILRB1	autocrine|paracrine	0.777114267183296
COL1A1	ITGAV	autocrine|paracrine	0.776769651749464
UBA52	TGFBR2	autocrine|paracrine	0.7748671179144
LAMC1	ITGB1	autocrine|paracrine	0.774169079619175
LAMB1	ITGB1	autocrine|paracrine	0.77386526678314
HLA-C	CD3D	autocrine|paracrine	0.773405031415304
COL1A1	ITGA1	autocrine|paracrine	0.773112005052647
APOE	LRP1	autocrine|paracrine	0.770480149263685
COL18A1	ITGA5	autocrine|paracrine	0.770085689462873
COL1A2	ITGAV	autocrine|paracrine	0.769458315827083
LAMA4	ITGB1	autocrine|paracrine	0.768479620147072
RPS27A	SMAD3	autocrine|paracrine	0.767590867613806
LGALS3BP	ITGB1	autocrine|paracrine	0.766136370917442
COL1A2	ITGA1	autocrine|paracrine	0.765717004467381
TIMP2	ITGB1	autocrine|paracrine	0.764883121450805
RPS27A	RIPK1	autocrine|paracrine	0.763167444015146
CTGF	ITGA5	autocrine|paracrine	0.761463106207009
FBLN1	ITGB1	autocrine|paracrine	0.759679845693534
GNAI2	CAV1	autocrine|paracrine	0.759505616669585
FN1	ITGB7	autocrine|paracrine	0.758932584974417
A2M	LRP1	autocrine|paracrine	0.758791048936242
CALR	LRP1	autocrine|paracrine	0.75826815920976
HSP90B1	ERBB2	autocrine|paracrine	0.757801359208745
B2M	HLA-F	autocrine|paracrine	0.757364703093241
CD99	PILRA	autocrine|paracrine	0.757177905303098
APOE	SORL1	autocrine|paracrine	0.757050788082247
FBN1	ITGB1	autocrine|paracrine	0.756735056516309
HLA-A	CD3D	autocrine|paracrine	0.755342464691435
HBEGF	CD44	autocrine|paracrine	0.755199563206226
SERPINE1	PLAUR	autocrine|paracrine	0.754951979382753
VCAM1	EZR	autocrine|paracrine	0.753983442133657
APOA1	LRP1	autocrine|paracrine	0.751433404770007
UBA52	ADRB2	autocrine|paracrine	0.751295940199186
COL4A2	ITGB5	autocrine|paracrine	0.75122200624533
APOC3	LDLR	autocrine|paracrine	0.750762331492036
UBC	SMAD3	autocrine|paracrine	0.75059780276791
TGFB1	CXCR4	autocrine|paracrine	0.750540445255458
CYR61	ITGA5	autocrine|paracrine	0.749887470813219
F10	ITGB2	autocrine|paracrine	0.748893453151677
CALM3	SELL	autocrine|paracrine	0.747908262860447
APP	CAV1	autocrine|paracrine	0.747432518844792
UBC	RIPK1	autocrine|paracrine	0.74595799323497
THBS1	ITGB1	autocrine|paracrine	0.745083346426003
MDK	SDC3	autocrine|paracrine	0.743712129535037
SEMA6D	TYROBP	autocrine|paracrine	0.74349361446016
COL18A1	ITGB5	autocrine|paracrine	0.74285213167027
MDK	SDC4	autocrine|paracrine	0.742573692170674
COL6A1	ITGA6	autocrine|paracrine	0.740872261222583
GNAS	PTGDR	autocrine|paracrine	0.740672537873991
ANGPT1	ITGB1	autocrine|paracrine	0.739894994340421
PSEN1	CD44	autocrine|paracrine	0.73878397850497
UBB	SMAD3	autocrine|paracrine	0.738264794058256
LUM	ITGB1	autocrine|paracrine	0.736975448825431
COL6A2	ITGA1	autocrine|paracrine	0.73684129665895
ARF1	INSR	autocrine|paracrine	0.73562417987326
HSP90AA1	FGFR3	autocrine|paracrine	0.735249496881138
GAS6	AXL	autocrine|paracrine	0.734945147321918
TIMP3	ADAM17	autocrine|paracrine	0.734491242084644
UBB	RIPK1	autocrine|paracrine	0.733477014374284
CALM2	INSR	autocrine|paracrine	0.732896061106467
UBA52	TGFBR1	autocrine|paracrine	0.73274904375796
VCAM1	ITGB2	autocrine|paracrine	0.728161844391033
