Pericytes	Muscle	interaction type	LRscore
CALM2	MYLK	autocrine|paracrine	0.935469694498295
CALM1	MYLK	autocrine|paracrine	0.933462298940989
COL1A1	ITGB1	autocrine|paracrine	0.93064505956338
COL1A2	ITGB1	autocrine|paracrine	0.927905759061293
COL3A1	ITGB1	autocrine|paracrine	0.924129703424327
MDK	ITGB1	autocrine|paracrine	0.922432494277143
LGALS1	ITGB1	autocrine|paracrine	0.919501117954706
CYR61	CAV1	autocrine|paracrine	0.919364765385318
CALM3	MYLK	autocrine|paracrine	0.919276573159528
COL6A2	ITGB1	autocrine|paracrine	0.916849290407557
TIMP1	CD63	autocrine|paracrine	0.912890789863585
COL4A1	ITGB1	autocrine|paracrine	0.911413481503587
COL18A1	ITGB1	autocrine|paracrine	0.910805542903967
COL6A3	ITGB1	autocrine|paracrine	0.910032766108809
VIM	CD44	autocrine|paracrine	0.909662076711874
COL6A1	ITGB1	autocrine|paracrine	0.905585305136925
COL1A1	ITGA1	autocrine|paracrine	0.900505524733153
COL1A2	ITGA1	autocrine|paracrine	0.896707932056928
RPS27A	ERBB2	autocrine|paracrine	0.891462170282184
GNAI2	CAV1	autocrine|paracrine	0.891247349187098
COL1A1	CD44	autocrine|paracrine	0.885903264320817
APP	CAV1	autocrine|paracrine	0.884784571968614
COL5A2	ITGB1	autocrine|paracrine	0.88436847718963
UBC	ERBB2	autocrine|paracrine	0.882135477773499
COL1A2	CD44	autocrine|paracrine	0.881621587939454
COL6A2	ITGA1	autocrine|paracrine	0.881478055289406
MDK	LRP1	autocrine|paracrine	0.881190660421056
COL1A1	DDR2	autocrine|paracrine	0.880897631304917
UBB	ERBB2	autocrine|paracrine	0.87522576809894
HSP90AA1	ERBB2	autocrine|paracrine	0.874970197203626
COL4A1	ITGA1	autocrine|paracrine	0.874047579629153
COL6A3	ITGA1	autocrine|paracrine	0.872166161804779
HSP90B1	LRP1	autocrine|paracrine	0.871693877189868
RPS27A	TGFBR1	autocrine|paracrine	0.870973319891
ICAM1	CAV1	autocrine|paracrine	0.870796334119193
COL3A1	DDR2	autocrine|paracrine	0.870359900503012
COL5A1	ITGB1	autocrine|paracrine	0.869998503445623
CXCL12	ITGB1	autocrine|paracrine	0.869962013381768
RPS27A	FGFR2	autocrine|paracrine	0.868356751112593
NID1	ITGB1	autocrine|paracrine	0.86727043035945
COL6A1	ITGA1	autocrine|paracrine	0.866122176518628
RPS27A	LDLR	autocrine|paracrine	0.864507576141447
FN1	ITGB1	autocrine|paracrine	0.864225900503686
LAMB2	RPSA	autocrine|paracrine	0.864052127168261
COL1A1	ITGA5	autocrine|paracrine	0.863173061788867
UBC	TGFBR1	autocrine|paracrine	0.860162189444073
CTGF	LRP1	autocrine|paracrine	0.8585527828467
HSP90B1	ERBB2	autocrine|paracrine	0.858316625083526
