Pericytes	Myofibroblast_Mesothelium	interaction type	LRscore
COL1A1	ITGB1	autocrine|paracrine	0.932355370468689
COL1A2	ITGB1	autocrine|paracrine	0.929678517471041
COL3A1	ITGB1	autocrine|paracrine	0.925987906958631
MDK	ITGB1	autocrine|paracrine	0.92432886187167
TIMP1	CD63	autocrine|paracrine	0.922183886773863
LGALS1	ITGB1	autocrine|paracrine	0.921463049992096
COL6A2	ITGB1	autocrine|paracrine	0.918870150690692
COL4A1	ITGB1	autocrine|paracrine	0.913553995344172
COL18A1	ITGB1	autocrine|paracrine	0.912959343481713
COL6A3	ITGB1	autocrine|paracrine	0.912203428357109
COL6A1	ITGB1	autocrine|paracrine	0.907852406971039
CYR61	CAV1	autocrine|paracrine	0.904652274063641
MDK	LRP1	autocrine|paracrine	0.897290035347233
CALM2	MYLK	autocrine|paracrine	0.889574944136289
HSP90B1	LRP1	autocrine|paracrine	0.888917901174334
RPS27A	ERBB2	autocrine|paracrine	0.887709982308556
VIM	CD44	autocrine|paracrine	0.887193329490165
COL5A2	ITGB1	autocrine|paracrine	0.887081515710095
CALM1	MYLK	autocrine|paracrine	0.886313369034469
RPS27A	LDLR	autocrine|paracrine	0.882158271732439
UBC	ERBB2	autocrine|paracrine	0.878104950392237
CTGF	LRP1	autocrine|paracrine	0.877292560861626
COL1A1	DDR2	autocrine|paracrine	0.87582119256711
COL1A1	ITGA1	autocrine|paracrine	0.873922851146344
LAMB2	RPSA	autocrine|paracrine	0.873436147653481
COL5A1	ITGB1	autocrine|paracrine	0.873000283875102
CXCL12	ITGB1	autocrine|paracrine	0.872964513349495
APOE	LRP1	autocrine|paracrine	0.872776423731483
UBC	LDLR	autocrine|paracrine	0.872146754282783
GNAI2	CAV1	autocrine|paracrine	0.872118233030766
UBB	ERBB2	autocrine|paracrine	0.870993509713427
HSP90AA1	ERBB2	autocrine|paracrine	0.870730550391484
NID1	ITGB1	autocrine|paracrine	0.870325813910354
CXCL12	ACKR3	autocrine|paracrine	0.87002597231172
COL1A2	ITGA1	autocrine|paracrine	0.86925793921915
FN1	ITGB1	autocrine|paracrine	0.867340647790068
A2M	LRP1	autocrine|paracrine	0.86538689827523
CALR	LRP1	autocrine|paracrine	0.865053990135255
COL3A1	DDR2	autocrine|paracrine	0.864903199464761
UBB	LDLR	autocrine|paracrine	0.864741251677177
APP	CAV1	autocrine|paracrine	0.864691266045768
CALM3	MYLK	autocrine|paracrine	0.863544998732066
APOA1	LRP1	autocrine|paracrine	0.86068378094798
COL1A1	CD44	autocrine|paracrine	0.858444809995661
GNAI2	F2R	autocrine|paracrine	0.857993435683883
HSPA8	LDLR	autocrine|paracrine	0.856325372763421
GPC3	CD81	autocrine|paracrine	0.854230055935727
HSP90B1	ERBB2	autocrine|paracrine	0.853606753285785
COL1A2	CD44	autocrine|paracrine	0.853303335990613
RPS27A	TGFBR2	autocrine|paracrine	0.852665193575594
COL1A1	ITGA5	autocrine|paracrine	0.851565717533864
RPS27A	FGFR2	autocrine|paracrine	0.851226814959738
COL6A2	ITGA1	autocrine|paracrine	0.850654784949224
VCAN	ITGB1	autocrine|paracrine	0.850003119562558
LAMB2	ITGB1	autocrine|paracrine	0.84926255191523
ICAM1	CAV1	autocrine|paracrine	0.848680727191063
VEGFA	ITGB1	autocrine|paracrine	0.848195147605815
COL18A1	GPC4	autocrine|paracrine	0.847592598321397
AGRN	ITGB1	autocrine|paracrine	0.846332293597983
COL1A1	ITGAV	autocrine|paracrine	0.84487399614969
SERPINE2	LRP1	autocrine|paracrine	0.844190704919662
LAMC1	ITGB1	autocrine|paracrine	0.843975845576566
LAMB1	ITGB1	autocrine|paracrine	0.843746990034664
COL4A1	ITGA1	autocrine|paracrine	0.84163907408998
FABP5	RXRA	autocrine|paracrine	0.841064706411761
UBC	TGFBR2	autocrine|paracrine	0.840600775471859
LAMA4	ITGB1	autocrine|paracrine	0.83968086363359
COL6A3	ITGA1	autocrine|paracrine	0.839362524520173
COL1A2	ITGAV	autocrine|paracrine	0.839331865998026
UBC	FGFR2	autocrine|paracrine	0.839066846216634
LGALS3BP	ITGB1	autocrine|paracrine	0.837906249358699
TIMP2	ITGB1	autocrine|paracrine	0.836955757199401
PLAT	LRP1	autocrine|paracrine	0.834889276292205
FBLN1	ITGB1	autocrine|paracrine	0.832999245022686
RPS27A	TGFBR1	autocrine|paracrine	0.83261031026089
COL6A1	ITGA1	autocrine|paracrine	0.832066216321861
UBB	TGFBR2	autocrine|paracrine	0.831720625910165
FN1	SDC2	autocrine|paracrine	0.831048630204644
FBN1	ITGB1	autocrine|paracrine	0.830752724608557
HLA-B	CANX	autocrine|paracrine	0.830691119240406
UBB	FGFR2	autocrine|paracrine	0.830118511408406
COL4A1	CD47	autocrine|paracrine	0.827677337146898
HLA-A	APLP2	autocrine|paracrine	0.826403611401656
APOE	LDLR	autocrine|paracrine	0.825583051689669
TFPI	LRP1	autocrine|paracrine	0.824586406595762
PTN	PLXNB2	autocrine|paracrine	0.824061454232379
THBS1	ITGB1	autocrine|paracrine	0.821811455573958
UBC	TGFBR1	autocrine|paracrine	0.819251820678096
APP	LRP1	autocrine|paracrine	0.818931543221603
COL4A2	ITGB5	autocrine|paracrine	0.818401109712198
ANGPT1	ITGB1	autocrine|paracrine	0.817802884755709
LUM	ITGB1	autocrine|paracrine	0.815539803339628
COL18A1	ITGA5	autocrine|paracrine	0.813634933173239
UBA52	ERBB2	autocrine|paracrine	0.813581434354671
HSP90AA1	EGFR	autocrine|paracrine	0.813096531857072
COL18A1	ITGB5	autocrine|paracrine	0.811724950264513
APOA1	LDLR	autocrine|paracrine	0.809981288723285
