Pericytes	Neural	interaction type	LRscore
TIMP1	CD63	autocrine|paracrine	0.918987776560771
COL1A1	ITGB1	autocrine|paracrine	0.91254725250858
COL1A2	ITGB1	autocrine|paracrine	0.909162915720458
COL3A1	ITGB1	autocrine|paracrine	0.904506201185145
MDK	ITGB1	autocrine|paracrine	0.902416370392392
COL1A1	ITGA1	autocrine|paracrine	0.900193757652209
LGALS1	ITGB1	autocrine|paracrine	0.8988115378586
COL1A2	ITGA1	autocrine|paracrine	0.896385634395808
COL6A2	ITGB1	autocrine|paracrine	0.895555563266613
COL4A1	ITGB1	autocrine|paracrine	0.888896406557032
COL18A1	ITGB1	autocrine|paracrine	0.888152904343576
VIM	CD44	autocrine|paracrine	0.887408220067229
RPS27A	TGFBR2	autocrine|paracrine	0.887258727387503
COL6A3	ITGB1	autocrine|paracrine	0.887208170615041
COL6A1	ITGB1	autocrine|paracrine	0.881778971255744
COL6A2	ITGA1	autocrine|paracrine	0.881114536863618
UBC	TGFBR2	autocrine|paracrine	0.877620417451534
COL1A1	DDR2	autocrine|paracrine	0.876637284028871
COL1A1	DDR1	autocrine|paracrine	0.874470956986631
COL4A1	ITGA1	autocrine|paracrine	0.873664537520793
LAMB2	RPSA	autocrine|paracrine	0.872618388363143
COL6A3	ITGA1	autocrine|paracrine	0.871778237361208
UBB	TGFBR2	autocrine|paracrine	0.870484878144199
MDK	SDC3	autocrine|paracrine	0.868919672285426
COL4A1	CD47	autocrine|paracrine	0.868609061351651
COL18A1	GPC1	autocrine|paracrine	0.867913822812125
COL3A1	DDR2	autocrine|paracrine	0.865780046924956
COL6A1	ITGA1	autocrine|paracrine	0.865718734848406
CTGF	LRP6	autocrine|paracrine	0.863911396495888
COL3A1	DDR1	autocrine|paracrine	0.863452757629102
RPS27A	LDLR	autocrine|paracrine	0.86139166262871
COL1A1	CD44	autocrine|paracrine	0.858705743176368
COL5A2	ITGB1	autocrine|paracrine	0.856062704747755
COL1A2	CD44	autocrine|paracrine	0.85357213001396
UBC	LDLR	autocrine|paracrine	0.849916030667615
RPS27A	ERBB2	autocrine|paracrine	0.846074746583484
HLA-B	CANX	autocrine|paracrine	0.845698637610167
UBB	LDLR	autocrine|paracrine	0.841456956810125
COL5A1	ITGB1	autocrine|paracrine	0.83881618916154
CXCL12	ITGB1	autocrine|paracrine	0.838772568563043
COL5A2	ITGA1	autocrine|paracrine	0.837154115078465
NID1	ITGB1	autocrine|paracrine	0.835557440691
UBC	ERBB2	autocrine|paracrine	0.833576004162228
