Endothelial|Endothelial	Endothelial|Epithelial	Endothelial|Fibroblasts	Endothelial|Immune	Endothelial|Muscle	Endothelial|Myofibroblast_Mesothelium	Endothelial|Neural	Endothelial|Pericytes	Epithelial|Endothelial	Epithelial|Epithelial	Epithelial|Fibroblasts	Epithelial|Immune	Epithelial|Muscle	Epithelial|Myofibroblast_Mesothelium	Epithelial|Neural	Epithelial|Pericytes	Fibroblasts|Endothelial	Fibroblasts|Epithelial	Fibroblasts|Fibroblasts	Fibroblasts|Immune	Fibroblasts|Muscle	Fibroblasts|Myofibroblast_Mesothelium	Fibroblasts|Neural	Fibroblasts|Pericytes	Immune|Endothelial	Immune|Epithelial	Immune|Fibroblasts	Immune|Immune	Immune|Muscle	Immune|Myofibroblast_Mesothelium	Immune|Neural	Immune|Pericytes	Muscle|Endothelial	Muscle|Epithelial	Muscle|Fibroblasts	Muscle|Immune	Muscle|Muscle	Muscle|Myofibroblast_Mesothelium	Muscle|Neural	Muscle|Pericytes	Myofibroblast_Mesothelium|Endothelial	Myofibroblast_Mesothelium|Epithelial	Myofibroblast_Mesothelium|Fibroblasts	Myofibroblast_Mesothelium|Immune	Myofibroblast_Mesothelium|Muscle	Myofibroblast_Mesothelium|Myofibroblast_Mesothelium	Myofibroblast_Mesothelium|Neural	Myofibroblast_Mesothelium|Pericytes	Neural|Endothelial	Neural|Epithelial	Neural|Fibroblasts	Neural|Immune	Neural|Muscle	Neural|Myofibroblast_Mesothelium	Neural|Neural	Neural|Pericytes	Pericytes|Endothelial	Pericytes|Epithelial	Pericytes|Fibroblasts	Pericytes|Immune	Pericytes|Muscle	Pericytes|Myofibroblast_Mesothelium	Pericytes|Neural	Pericytes|Pericytes
TGFB1_TGFBR1_TGFBR2	0.00217000185698001	5.48725440403275e-05	0.000161973394051391	0.000536735350327148	0.000190608154840908	0.000224979817088307	0.000328630040495873	0.000256335118557103	0.000288764282632579	7.28667979053722e-06	2.15124502194129e-05	7.13081249753974e-05	2.53153954714962e-05	2.98829266306391e-05	4.36513405784448e-05	3.40461165462081e-05	0.000646966211638544	1.63363761326539e-05	4.82273330752503e-05	0.000159845490908598	5.67530257425594e-05	6.69909180765543e-05	9.7855892219366e-05	7.63249882466349e-05	0.00195183722909257	4.93422048729522e-05	0.000145652051189145	0.000482670382283406	0.000171401259473419	0.000202311650482745	0.000295519413262266	0.000230506293292015	0.000397159717387671	1.00238158340688e-05	2.95928533705895e-05	9.80898498242386e-05	3.48242639298984e-05	4.11071242158959e-05	6.00468993629396e-05	4.68342266302992e-05	0.000668836477305676	1.68887744937215e-05	4.98580557962862e-05	0.000165250160479137	5.86720315995438e-05	6.92560747510937e-05	0.000101164671734268	7.89057731422419e-05	0.000776385982809268	1.96018829100367e-05	5.78681458896875e-05	0.000191802644926046	6.80981268373769e-05	8.0383004301205e-05	0.000117418336806838	9.15827871045509e-05	0.000583961094638826	1.47405158030674e-05	4.35172707942456e-05	0.000144241423002142	5.12102565910168e-05	6.04490763504151e-05	8.83003531486254e-05	6.88711401398687e-05
TGFB2_TGFBR1_TGFBR2	0.000329862161972345	8.32429564106646e-06	2.45756732050295e-05	8.14611176573376e-05	2.89201375881674e-05	3.41379640993798e-05	4.98668268970852e-05	3.88940086398118e-05	4.13232893615563e-05	1.0424872355007e-06	3.07779453938456e-06	1.02024588998881e-05	3.62188039031472e-06	4.27540167966053e-06	6.24529109553414e-06	4.87100907177919e-06	9.39128786735464e-05	2.36942545629044e-06	6.99533666218871e-06	2.31882364688538e-05	8.23195971217027e-06	9.71727239545944e-06	1.41944850690461e-05	1.10710119779997e-05	0.000279351410330202	7.0491946462026e-06	2.08113141593596e-05	6.89839868634008e-05	2.44903138605338e-05	2.89089731959742e-05	4.22286400212929e-05	3.29364792206856e-05	5.93303176215308e-05	1.49680608852116e-06	4.41909559275317e-06	1.46486205363092e-05	5.20029424423703e-06	6.13861247756883e-06	8.9669722617116e-06	6.99378890912587e-06	9.58666940309401e-05	2.41871929627492e-06	7.14086880075068e-06	2.36706497874253e-05	8.40321874954556e-06	9.9194322839842e-06	1.44897897684821e-05	1.13013352063982e-05	0.000132871329050736	3.35236085548395e-06	9.8972879690246e-06	3.28076464075462e-05	1.16469128966211e-05	1.37483919559885e-05	2.00829335619801e-05	1.56637190046566e-05	8.80600884401512e-05	2.22165929696044e-06	6.55910476880052e-06	2.17423518483888e-05	7.71861039860993e-06	9.11131459131846e-06	1.33093405770437e-05	1.03806262209653e-05
TGFB3_TGFBR1_TGFBR2	0.0014345962582303	3.62470596825431e-05	0.000107001314723024	0.00035461492325135	0.000125917404447384	0.000148628440270692	0.000217104981441973	0.000169339660394359	2.21664262579691e-05	5.59194640135433e-07	1.65094479371025e-06	5.47266703201482e-06	1.94279511354432e-06	2.29334906756001e-06	3.35000940607446e-06	2.61283502600514e-06	7.55565541915324e-05	1.90624282472438e-06	5.62787862528509e-06	1.86554421184793e-05	6.62276431399539e-06	7.8177344208403e-06	1.14197426709865e-05	8.90683885920801e-06	0.000228568709027206	5.76741970005906e-06	1.70272078193176e-05	5.64411300204328e-05	2.00372540638813e-05	2.365252298225e-05	3.45503287381564e-05	2.69476844094335e-05	9.39233675795647e-05	2.36963170015637e-06	6.99595913114314e-06	2.31903831593325e-05	8.23269156072563e-06	9.71814585702302e-06	1.41957651126546e-05	1.10720010961311e-05	9.82113852966271e-05	2.47788433336704e-06	7.31554183530538e-06	2.42496463520003e-05	8.6087702641194e-06	1.01620705885978e-05	1.48442225637542e-05	1.15777769775068e-05	0.000145528339901522	3.67174885267197e-06	1.08402163081178e-05	3.59332050303847e-05	1.27565309912519e-05	1.50582127892091e-05	2.19962479469563e-05	1.71560198111258e-05	0.000163790236860011	4.13258250634663e-06	1.22007316066408e-05	4.04429377854061e-05	1.43575567037941e-05	1.69481015251842e-05	2.47568928714192e-05	1.93092028813606e-05
TGFB1_ACVR1B_TGFBR2	0.000529230027479463	7.08225266747228e-05	5.64272216479624e-05	0.000114422697952258	8.17292823804948e-05	0.000136096281856836	0.000117412866702742	0.000127218262981607	7.03111048621e-05	9.40486112081891e-06	7.49331338431163e-06	1.51954312349046e-05	1.08534839786307e-05	1.80748906336189e-05	1.55925633737331e-05	1.68948802389016e-05	0.000157610481711147	2.10851359619406e-05	1.67995081457504e-05	3.406675412103e-05	2.43326752479296e-05	4.05213922451642e-05	3.49570627353368e-05	3.78766290885686e-05	0.000475921156166277	6.36847893541627e-05	5.07403583554726e-05	0.000102891408233097	7.34925599914747e-05	0.00012238183621451	0.00010558026528617	0.000114397629416728	9.67183588633986e-05	1.29376443271265e-05	1.03080456791147e-05	2.09032620820718e-05	1.49303863603241e-05	2.48641804347144e-05	2.14495638612445e-05	2.32410487591157e-05	0.000162939580463957	2.17981074972752e-05	1.73675649557041e-05	3.52186781207335e-05	2.51554561630435e-05	4.18915593171511e-05	3.61390910250052e-05	3.91573772311003e-05	0.000189120817144642	2.52999027269855e-05	2.01576205318875e-05	4.08765639782775e-05	2.91966437143969e-05	4.86216488828169e-05	4.19448474004113e-05	4.54480478427578e-05	0.000142224627597049	1.90254256716964e-05	1.5158464956687e-05	3.07391539461975e-05	2.19558126997475e-05	3.65636952263226e-05	3.15425096520156e-05	3.4176945357598e-05
TGFB1_ACVR1C_TGFBR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TGFB2_ACVR1B_TGFBR2	8.03221361610206e-05	1.07440988609307e-05	8.56034701441631e-06	1.73592121034942e-05	1.23989938850543e-05	2.06486543355649e-05	1.78128933180481e-05	1.93006504525647e-05	1.00598113280556e-05	1.34553259139035e-06	1.07205297750636e-06	2.1739886635433e-06	1.55278840540693e-06	2.58596944671715e-06	2.23080640270063e-06	2.41712965475802e-06	2.2864024310952e-05	3.05820244296727e-06	2.43662143193526e-06	4.94115373152379e-06	3.52926121166964e-06	5.87750707106939e-06	5.07029149524817e-06	5.4937743245045e-06	6.80194622582247e-05	9.09834052984754e-06	7.24909323066779e-06	1.47001842175784e-05	1.04997496013624e-05	1.74857936801669e-05	1.50843729997774e-05	1.63442445744264e-05	1.44438078320793e-05	1.93191905240411e-06	1.53925612459248e-06	3.12141630624098e-06	2.22949669588835e-06	3.7129354640317e-06	3.20299520119792e-06	3.47051797033233e-06	2.33396926530554e-05	3.12182569931423e-06	2.48731323783118e-06	5.04395020591598e-06	3.60268445533655e-06	5.99978365279592e-06	5.17577457258312e-06	5.60806760955734e-06	3.23489379696863e-05	4.3268708320712e-06	3.44743234602126e-06	6.99094734640329e-06	4.99334397784538e-06	8.31573757581758e-06	7.17365673297948e-06	7.77281752025333e-06	2.14383563563276e-05	2.86748250165899e-06	2.2846658853141e-06	4.63301107906937e-06	3.30916615976102e-06	5.51097888565405e-06	4.75409572088587e-06	5.15117010193079e-06
TGFB2_ACVR1C_TGFBR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TGFB3_ACVR1B_TGFBR2	0.000349656437876364	4.67833779235312e-05	3.72743841503465e-05	7.55857704688494e-05	5.39885817406295e-05	8.99052786191709e-05	7.75610950715415e-05	8.40386729528201e-05	5.3961499959135e-06	7.21749572929271e-07	5.75053963650216e-07	1.16613753812063e-06	8.3292268824835e-07	1.38712678561474e-06	1.19661486061016e-06	1.29655962116003e-06	1.83946067099835e-05	2.460376020913e-06	1.96030374659077e-06	3.97524480816993e-06	2.83935172676875e-06	4.72856152767267e-06	4.07913852280691e-06	4.4198383999991e-06	5.56519800230641e-05	7.44396647530556e-06	5.93097397079449e-06	1.20272273224205e-05	8.59055927702985e-06	1.43063498522098e-05	1.2341559203408e-05	1.33723495632048e-05	2.28661413759668e-05	3.0584691691399e-06	2.43683422695031e-06	4.94158734242065e-06	3.52957002701621e-06	5.87802740042533e-06	5.07073657325506e-06	5.4942571464094e-06	2.39105937757107e-05	3.19818956237123e-06	2.54815607127319e-06	5.16733131794746e-06	3.69081059588537e-06	6.14654494961967e-06	5.30238024838942e-06	5.74524761125933e-06	3.54307954681377e-05	4.73910243610301e-06	3.77587744645222e-06	7.65698978206629e-06	5.4690712541252e-06	9.10799170369495e-06	7.85710616562305e-06	8.51334977916967e-06	3.98774736924844e-05	5.33389674459496e-06	4.24977913571975e-06	8.61799818035257e-06	6.15548100967395e-06	1.02511054629939e-05	8.84323045997441e-06	9.58183669203897e-06
TGFB3_ACVR1C_TGFBR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TGFB1_ACVR1_TGFBR1	0.000524961945514048	4.55652019968832e-05	7.57457073246088e-05	0.000140596747566641	7.74039488406386e-05	0.000121427454138029	9.57272974972571e-05	8.1429187877006e-05	6.51136690001341e-05	5.64930746591518e-06	9.39142339635013e-06	1.74330487336628e-05	9.59703642415269e-06	1.50559327350005e-05	1.18690728637874e-05	1.00961468968411e-05	0.000210736333582793	1.82860636918436e-05	3.03985452939216e-05	5.64269937362808e-05	3.10640677070245e-05	4.87330444839776e-05	3.8418090017373e-05	3.26795717736588e-05	0.000464189635702638	4.02881014984432e-05	6.69735078104825e-05	0.000124315006491205	6.84397195692326e-05	0.000107365365815201	8.46412023902384e-05	7.19988251849155e-05	0.00010641776137042	9.23322771475726e-06	1.53493052820812e-05	2.8492360593873e-05	1.56853563560765e-05	2.46072685297274e-05	1.93987352880276e-05	1.6501095208789e-05	0.000212791118749922	1.84643966587954e-05	3.06950003736229e-05	5.69772710307542e-05	3.1367012943057e-05	4.92082939070735e-05	3.87927508966326e-05	3.29982713247808e-05	0.000183409524160741	1.59144579905839e-05	2.64560563825522e-05	4.91089541591912e-05	2.70352673037443e-05	4.24127939655146e-05	3.34355543314681e-05	2.8441257330568e-05	0.000137209103525104	1.19051416822739e-05	1.97910564248753e-05	3.67372829675134e-05	2.02243513171463e-05	3.17279854859527e-05	2.50122730448981e-05	2.12761419164015e-05
