Endothelial|Endothelial	Endothelial|Epithelial	Endothelial|Fibroblasts	Endothelial|Immune	Endothelial|Muscle	Endothelial|Myofibroblast_Mesothelium	Endothelial|Neural	Endothelial|Pericytes	Epithelial|Endothelial	Epithelial|Epithelial	Epithelial|Fibroblasts	Epithelial|Immune	Epithelial|Muscle	Epithelial|Myofibroblast_Mesothelium	Epithelial|Neural	Epithelial|Pericytes	Fibroblasts|Endothelial	Fibroblasts|Epithelial	Fibroblasts|Fibroblasts	Fibroblasts|Immune	Fibroblasts|Muscle	Fibroblasts|Myofibroblast_Mesothelium	Fibroblasts|Neural	Fibroblasts|Pericytes	Immune|Endothelial	Immune|Epithelial	Immune|Fibroblasts	Immune|Immune	Immune|Muscle	Immune|Myofibroblast_Mesothelium	Immune|Neural	Immune|Pericytes	Muscle|Endothelial	Muscle|Epithelial	Muscle|Fibroblasts	Muscle|Immune	Muscle|Muscle	Muscle|Myofibroblast_Mesothelium	Muscle|Neural	Muscle|Pericytes	Myofibroblast_Mesothelium|Endothelial	Myofibroblast_Mesothelium|Epithelial	Myofibroblast_Mesothelium|Fibroblasts	Myofibroblast_Mesothelium|Immune	Myofibroblast_Mesothelium|Muscle	Myofibroblast_Mesothelium|Myofibroblast_Mesothelium	Myofibroblast_Mesothelium|Neural	Myofibroblast_Mesothelium|Pericytes	Neural|Endothelial	Neural|Epithelial	Neural|Fibroblasts	Neural|Immune	Neural|Muscle	Neural|Myofibroblast_Mesothelium	Neural|Neural	Neural|Pericytes	Pericytes|Endothelial	Pericytes|Epithelial	Pericytes|Fibroblasts	Pericytes|Immune	Pericytes|Muscle	Pericytes|Myofibroblast_Mesothelium	Pericytes|Neural	Pericytes|Pericytes
TGFB1_TGFBR1_TGFBR2	0	1	0	0	0	0	0	0	0	1	1	0.37	1	1	1	1	0	1	1	0	0.88	0.65	0	0.17	0	1	0	0	0	0	0	0	0	1	1	0.05	1	1	0.86	0.99	0	1	1	0	0.83	0.42	0	0.05	0	1	0.99	0	0.51	0.02	0	0.02	0	1	1	0	0.96	0.91	0.02	0.54
TGFB2_TGFBR1_TGFBR2	0	0.99	0	0	0	0	0	0	0	1	1	0.4	1	1	1	1	0	1	1	0	0.89	0.69	0	0.17	0	1	0	0	0	0	0	0	0	1	1	0.04	1	1	0.84	0.99	0	1	1	0	0.86	0.47	0	0.08	0	1	0.55	0	0.12	0	0	0	0	1	1	0	0.95	0.87	0	0.45
TGFB3_TGFBR1_TGFBR2	0	0	0	0	0	0	0	0	0	1	1	0.99	1	1	1	1	0	1	1	0.06	1	1	0.93	1	0	0.99	0.25	0.01	0.17	0.11	0.02	0.07	0	1	1	0.1	0.94	0.99	0.46	0.87	0	1	1	0.02	1	0.99	0.33	0.96	0	1	0.96	0	0.68	0.28	0.08	0.15	0	1	0.89	0	0.42	0.09	0	0.08
TGFB1_ACVR1B_TGFBR2	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	1	1	0.22	0.75	0	0.13	0.03	0	0	0	0	0	0	0	0	0	1	1	0.91	1	0.87	0.94	0.91	0	1	1	0.17	0.71	0	0.12	0.02	0	0.87	1	0.07	0.46	0	0.04	0.01	0	1	1	0.35	0.91	0	0.29	0.14
TGFB1_ACVR1C_TGFBR2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TGFB2_ACVR1B_TGFBR2	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	1	1	0.22	0.76	0	0.13	0.03	0	0	0	0	0	0	0	0	0	1	1	0.9	1	0.79	0.94	0.88	0	1	1	0.19	0.73	0	0.14	0.02	0	0.28	0.97	0.01	0.24	0	0	0	0	1	1	0.28	0.88	0	0.25	0.11
TGFB2_ACVR1C_TGFBR2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TGFB3_ACVR1B_TGFBR2	0	0	0	0	0	0	0	0	0.59	1	1	1	1	1	1	1	0	1	1	0.97	1	0.97	0.98	0.98	0	0.23	0.39	0.14	0.15	0.01	0.03	0.01	0	1	1	0.69	0.9	0.37	0.68	0.56	0	1	1	0.68	1	0.34	0.68	0.54	0	0.9	1	0.16	0.6	0.05	0.15	0.09	0	0.67	0.98	0.12	0.44	0.01	0.02	0.04
TGFB3_ACVR1C_TGFBR2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TGFB1_ACVR1_TGFBR1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	1	0.01	0	0.12	0	0	0.03	0	0	0	0	0	0	0	0	0	1	1	0.31	1	0.68	0.97	1	0	1	0	0	0.15	0	0	0.02	0	1	0.38	0.01	0.41	0	0.05	0.26	0	1	1	0.07	0.99	0.02	0.62	0.92
