gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Fibroblasts	Epithelial	Pericytes	Neural	Myofibroblast_Mesothelium	Endothelial	Muscle	Immune
CCL2	P13500	False	CCL2_HUMAN		CPI-SS010BB499F	0.782	0.157	0.891	0.684	0.721	0.91	0.223	0.399
CCL11	P51671	False	CCL11_HUMAN		CPI-SS0D4403860	0.089	0.01	0.017	0.008	0.025	0.001	0.009	0.0
CCL8	P80075	False	CCL8_HUMAN		CPI-SS0F6F1C29E	0.005	0.001	0.041	0.005	0.0	0.093	0.009	0.025
CCL2	P13500	False	CCL2_HUMAN		CPI-SS0DBFB8BEA	0.782	0.157	0.891	0.684	0.721	0.91	0.223	0.399
CCL11	P51671	False	CCL11_HUMAN		CPI-SS00466EB50	0.089	0.01	0.017	0.008	0.025	0.001	0.009	0.0
CCL8	P80075	False	CCL8_HUMAN		CPI-SS008700E67	0.005	0.001	0.041	0.005	0.0	0.093	0.009	0.025
CXCL10	P02778	False	CXL10_HUMAN		CPI-SS0A145A3A4	0.006	0.004	0.008	0.006	0.035	0.021	0.005	0.011
CXCL1	P09341	False	GROA_HUMAN		CPI-SS052BBD9F9	0.161	0.408	0.099	0.071	0.278	0.159	0.111	0.206
CXCL8	P10145	False	IL8_HUMAN		CPI-SS0911EECCC	0.071	0.035	0.065	0.042	0.051	0.092	0.013	1.307
CXCL2	P19875	False	CXCL2_HUMAN		CPI-SS0B2FB23BC	0.321	1.062	0.388	0.241	0.283	0.596	0.175	0.911
CXCL3	P19876	False	CXCL3_HUMAN		CPI-SS0569F0E0D	0.16	0.595	0.213	0.095	0.191	0.296	0.118	0.577
CXCL5	P42830	False	CXCL5_HUMAN		CPI-SS0ABF41CAA	0.002	0.006	0.0	0.0	0.003	0.006	0.0	0.0
CXCL6	P80162	False	CXCL6_HUMAN		CPI-SS02A339E2D	0.022	0.005	0.0	0.0	0.026	0.0	0.0	0.015
CCL8	P80075	False	CCL8_HUMAN		CPI-SS04C8F4B87	0.005	0.001	0.041	0.005	0.0	0.093	0.009	0.025
CCL21	O00585	False	CCL21_HUMAN		CPI-SS0ECD9BB5E	0.089	0.041	0.061	0.016	0.055	0.201	0.103	0.054
CCL19	Q99731	False	CCL19_HUMAN		CPI-SS00AEC3818	0.015	0.002	0.021	0.013	0.022	0.003	0.0	0.015
CCL25	O15444	False	CCL25_HUMAN		CPI-SS0CCD89E02	0.09	0.335	0.073	0.054	0.059	0.08	0.097	0.091
CXCL12	P48061	False	SDF1_HUMAN		CPI-SS0976BA7F0	1.182	0.134	0.63	0.238	0.783	0.552	0.638	0.203
CXCL10	P02778	False	CXL10_HUMAN		CPI-SS080683E15	0.006	0.004	0.008	0.006	0.035	0.021	0.005	0.011
PF4	P02776	False	PLF4_HUMAN		CPI-SS01A6823FA	0.005	0.008	0.0	0.0	0.0	0.003	0.0	0.0
CCL28	Q9NRJ3	False	CCL28_HUMAN		CPI-SS0BCCA6596	0.003	0.005	0.0	0.0	0.0	0.002	0.0	0.014
CCL21	O00585	False	CCL21_HUMAN		CPI-SS06C0074BD	0.089	0.041	0.061	0.016	0.055	0.201	0.103	0.054
CCL19	Q99731	False	CCL19_HUMAN		CPI-SS09239FB26	0.015	0.002	0.021	0.013	0.022	0.003	0.0	0.015
CXCL12	P48061	False	SDF1_HUMAN		CPI-SS0A28DCA72	1.182	0.134	0.63	0.238	0.783	0.552	0.638	0.203
TGFB3	P10600	False	TGFB3_HUMAN		CPI-SC0AC52AFEF	0.083	0.01	0.12	0.008	0.042	0.085	0.027	0.0
TGFB2	P61812	False	TGFB2_HUMAN		CPI-SC02CDF4AC3	0.012	0.002	0.051	0.166	0.004	0.04	0.014	0.0
TGFB3	P10600	False	TGFB3_HUMAN		CPI-SC0D5D236A9	0.083	0.01	0.12	0.008	0.042	0.085	0.027	0.0
TGFB2	P61812	False	TGFB2_HUMAN		CPI-SC0361D9D79	0.012	0.002	0.051	0.166	0.004	0.04	0.014	0.0
TGFB3	P10600	False	TGFB3_HUMAN		CPI-SC0CF266D30	0.083	0.01	0.12	0.008	0.042	0.085	0.027	0.0
TGFB2	P61812	False	TGFB2_HUMAN		CPI-SC04B098E02	0.012	0.002	0.051	0.166	0.004	0.04	0.014	0.0
THRB	P00734	False	THRB_HUMAN		CPI-SS026335F55	0.022	0.13	0.008	0.009	0.036	0.021	0.105	0.015
