gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Endothelial	Epithelial	Fibroblasts	Immune	Muscle	Myofibroblast_Mesothelium	Neural	Pericytes
CCL2	P13500	False	CCL2_HUMAN		CPI-SS010BB499F	0.91	0.157	0.782	0.399	0.223	0.721	0.684	0.891
CCL11	P51671	False	CCL11_HUMAN		CPI-SS0D4403860	0.001	0.01	0.089	0.0	0.009	0.025	0.008	0.017
CCL8	P80075	False	CCL8_HUMAN		CPI-SS0F6F1C29E	0.093	0.001	0.005	0.025	0.009	0.0	0.005	0.041
CCL2	P13500	False	CCL2_HUMAN		CPI-SS0DBFB8BEA	0.91	0.157	0.782	0.399	0.223	0.721	0.684	0.891
CCL11	P51671	False	CCL11_HUMAN		CPI-SS00466EB50	0.001	0.01	0.089	0.0	0.009	0.025	0.008	0.017
CCL8	P80075	False	CCL8_HUMAN		CPI-SS008700E67	0.093	0.001	0.005	0.025	0.009	0.0	0.005	0.041
CXCL10	P02778	False	CXL10_HUMAN		CPI-SS0A145A3A4	0.021	0.004	0.006	0.011	0.005	0.035	0.006	0.008
CXCL1	P09341	False	GROA_HUMAN		CPI-SS052BBD9F9	0.159	0.408	0.161	0.206	0.111	0.278	0.071	0.099
CXCL8	P10145	False	IL8_HUMAN		CPI-SS0911EECCC	0.092	0.035	0.071	1.307	0.013	0.051	0.042	0.065
CXCL2	P19875	False	CXCL2_HUMAN		CPI-SS0B2FB23BC	0.596	1.062	0.321	0.911	0.175	0.283	0.241	0.388
CXCL3	P19876	False	CXCL3_HUMAN		CPI-SS0569F0E0D	0.296	0.595	0.16	0.577	0.118	0.191	0.095	0.213
CXCL5	P42830	False	CXCL5_HUMAN		CPI-SS0ABF41CAA	0.006	0.006	0.002	0.0	0.0	0.003	0.0	0.0
CXCL6	P80162	False	CXCL6_HUMAN		CPI-SS02A339E2D	0.0	0.005	0.022	0.015	0.0	0.026	0.0	0.0
CCL8	P80075	False	CCL8_HUMAN		CPI-SS04C8F4B87	0.093	0.001	0.005	0.025	0.009	0.0	0.005	0.041
CCL21	O00585	False	CCL21_HUMAN		CPI-SS0ECD9BB5E	0.201	0.041	0.089	0.054	0.103	0.055	0.016	0.061
CCL19	Q99731	False	CCL19_HUMAN		CPI-SS00AEC3818	0.003	0.002	0.015	0.015	0.0	0.022	0.013	0.021
CCL25	O15444	False	CCL25_HUMAN		CPI-SS0CCD89E02	0.08	0.335	0.09	0.091	0.097	0.059	0.054	0.073
CXCL12	P48061	False	SDF1_HUMAN		CPI-SS0976BA7F0	0.552	0.134	1.182	0.203	0.638	0.783	0.238	0.63
CXCL10	P02778	False	CXL10_HUMAN		CPI-SS080683E15	0.021	0.004	0.006	0.011	0.005	0.035	0.006	0.008
PF4	P02776	False	PLF4_HUMAN		CPI-SS01A6823FA	0.003	0.008	0.005	0.0	0.0	0.0	0.0	0.0
CCL28	Q9NRJ3	False	CCL28_HUMAN		CPI-SS0BCCA6596	0.002	0.005	0.003	0.014	0.0	0.0	0.0	0.0
CCL21	O00585	False	CCL21_HUMAN		CPI-SS06C0074BD	0.201	0.041	0.089	0.054	0.103	0.055	0.016	0.061
CCL19	Q99731	False	CCL19_HUMAN		CPI-SS09239FB26	0.003	0.002	0.015	0.015	0.0	0.022	0.013	0.021
CXCL12	P48061	False	SDF1_HUMAN		CPI-SS0A28DCA72	0.552	0.134	1.182	0.203	0.638	0.783	0.238	0.63
TGFB3	P10600	False	TGFB3_HUMAN		CPI-SC0AC52AFEF	0.085	0.01	0.083	0.0	0.027	0.042	0.008	0.12
TGFB2	P61812	False	TGFB2_HUMAN		CPI-SC02CDF4AC3	0.04	0.002	0.012	0.0	0.014	0.004	0.166	0.051
TGFB3	P10600	False	TGFB3_HUMAN		CPI-SC0D5D236A9	0.085	0.01	0.083	0.0	0.027	0.042	0.008	0.12
TGFB2	P61812	False	TGFB2_HUMAN		CPI-SC0361D9D79	0.04	0.002	0.012	0.0	0.014	0.004	0.166	0.051
TGFB3	P10600	False	TGFB3_HUMAN		CPI-SC0CF266D30	0.085	0.01	0.083	0.0	0.027	0.042	0.008	0.12
TGFB2	P61812	False	TGFB2_HUMAN		CPI-SC04B098E02	0.04	0.002	0.012	0.0	0.014	0.004	0.166	0.051
THRB	P00734	False	THRB_HUMAN		CPI-SS026335F55	0.021	0.13	0.022	0.015	0.105	0.036	0.009	0.008
F2	P00734	False	THRB_HUMAN		CPI-SS026335F55	0.021	0.13	0.022	0.015	0.105	0.036	0.009	0.008
PLG	P00747	False	PLMN_HUMAN		CPI-SS09404C94F	0.0	0.021	0.003	0.0	0.0	0.0	0.0	0.0
GZMA	P12544	False	GRAA_HUMAN		CPI-SS017DDA046	0.008	0.0	0.0	0.099	0.0	0.002	0.0	0.0
PRSS3	P35030	False	TRY3_HUMAN		CPI-SS09367CF8E	0.094	0.466	0.11	0.1	0.062	0.096	0.103	0.064
THRB	P00734	False	THRB_HUMAN		CPI-SS058209EC7	0.021	0.13	0.022	0.015	0.105	0.036	0.009	0.008
F2	P00734	False	THRB_HUMAN		CPI-SS058209EC7	0.021	0.13	0.022	0.015	0.105	0.036	0.009	0.008
GZMA	P12544	False	GRAA_HUMAN		CPI-SS07EA09568	0.008	0.0	0.0	0.099	0.0	0.002	0.0	0.0
PRSS3	P35030	False	TRY3_HUMAN		CPI-SS0391314C7	0.094	0.466	0.11	0.1	0.062	0.096	0.103	0.064
THRB	P00734	False	THRB_HUMAN		CPI-SS041A22E65	0.021	0.13	0.022	0.015	0.105	0.036	0.009	0.008
F2	P00734	False	THRB_HUMAN		CPI-SS041A22E65	0.021	0.13	0.022	0.015	0.105	0.036	0.009	0.008
PLG	P00747	False	PLMN_HUMAN		CPI-SS01FD0889C	0.0	0.021	0.003	0.0	0.0	0.0	0.0	0.0
GZMA	P12544	False	GRAA_HUMAN		CPI-SS0024CA9FD	0.008	0.0	0.0	0.099	0.0	0.002	0.0	0.0
PRSS3	P35030	False	TRY3_HUMAN		CPI-SS0A6674B21	0.094	0.466	0.11	0.1	0.062	0.096	0.103	0.064
THRB	P00734	False	THRB_HUMAN		CPI-SS0CBFF3136	0.021	0.13	0.022	0.015	0.105	0.036	0.009	0.008
F2	P00734	False	THRB_HUMAN		CPI-SS0CBFF3136	0.021	0.13	0.022	0.015	0.105	0.036	0.009	0.008
PLG	P00747	False	PLMN_HUMAN		CPI-SS0E6CA0B42	0.0	0.021	0.003	0.0	0.0	0.0	0.0	0.0
GZMA	P12544	False	GRAA_HUMAN		CPI-SS018FFAD1E	0.008	0.0	0.0	0.099	0.0	0.002	0.0	0.0
PRSS3	P35030	False	TRY3_HUMAN		CPI-SS0086084D6	0.094	0.466	0.11	0.1	0.062	0.096	0.103	0.064
THRB	P00734	False	THRB_HUMAN		CPI-SS0BDC2B411	0.021	0.13	0.022	0.015	0.105	0.036	0.009	0.008
F2	P00734	False	THRB_HUMAN		CPI-SS0BDC2B411	0.021	0.13	0.022	0.015	0.105	0.036	0.009	0.008
PLG	P00747	False	PLMN_HUMAN		CPI-SS04AEFAE55	0.0	0.021	0.003	0.0	0.0	0.0	0.0	0.0
GZMA	P12544	False	GRAA_HUMAN		CPI-SS0415C4BFF	0.008	0.0	0.0	0.099	0.0	0.002	0.0	0.0
PRSS3	P35030	False	TRY3_HUMAN		CPI-SS0F815C36F	0.094	0.466	0.11	0.1	0.062	0.096	0.103	0.064
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0703338F5	0.296	0.09	0.033	0.086	0.02	0.021	0.005	0.014
SPP1	P10451	False	OSTP_HUMAN		CPI-SS02AB0C3E0	0.018	0.006	0.021	0.059	0.0	0.015	0.179	0.006
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0E23CEB91	0.296	0.09	0.033	0.086	0.02	0.021	0.005	0.014
SPP1	P10451	False	OSTP_HUMAN		CPI-SC0A4615CB0	0.018	0.006	0.021	0.059	0.0	0.015	0.179	0.006
ANGPT2	O15123	False	ANGP2_HUMAN		CPI-SC02C3EC870	0.058	0.039	0.04	0.015	0.011	0.019	0.043	0.603
NAMPT	P43490	False	NAMPT_HUMAN		CPI-SC025C09D3C	0.88	0.477	0.619	1.064	0.269	0.521	0.365	0.39
ANGPTL4	Q9BY76	False	ANGL4_HUMAN		CPI-SC0BE78B635	0.046	0.023	0.218	0.019	0.039	0.094	0.123	0.368
ANGPTL2	Q9UKU9	False	ANGL2_HUMAN		CPI-SC0485E5143	0.067	0.016	0.197	0.012	0.257	0.132	0.033	0.071
SPP1	P10451	False	OSTP_HUMAN		CPI-SC02759A348	0.018	0.006	0.021	0.059	0.0	0.015	0.179	0.006
SPP1	P10451	False	OSTP_HUMAN		CPI-SC09D8B9DA2	0.018	0.006	0.021	0.059	0.0	0.015	0.179	0.006
POSTN	Q15063	False	POSTN_HUMAN		CPI-SC02D41C57E	0.353	0.08	0.272	0.1	1.426	1.273	0.255	0.467
