"","Symbol","Cell_ID","Perc_posCell","Mean_exp"
"1","AGRN","Pericytes",0.230555555555556,0.403434939521645
"2","TNFRSF18","Pericytes",0,0
"3","TNFRSF4","Pericytes",0,0
"4","TNFRSF14","Pericytes",0.0555555555555556,0.0841905328049174
"5","TNFRSF25","Pericytes",0.0194444444444444,0.0221866158333592
"6","TNFRSF9","Pericytes",0,0
"7","CORT","Pericytes",0,0
"8","TNFRSF1B","Pericytes",0.0138888888888889,0.0201459282653672
"9","EPHA2","Pericytes",0.0861111111111111,0.122943494575271
"10","HSPG2","Pericytes",0.113888888888889,0.168239920243362
"11","WNT4","Pericytes",0.00277777777777778,0.00225412825919656
"12","EPHB2","Pericytes",0.00277777777777778,0.0019521794087033
"13","IL22RA1","Pericytes",0.00555555555555556,0.00969254404493272
"14","SDC3","Pericytes",0.0166666666666667,0.0240428641823315
"15","LCK","Pericytes",0.00277777777777778,0.00357237735716103
"16","CSF3R","Pericytes",0.00277777777777778,0.00357553860234
"17","BMP8B","Pericytes",0.00555555555555556,0.00889683064982249
"18","CAP1","Pericytes",0.375,0.557653323692872
"19","COL9A2","Pericytes",0.0111111111111111,0.014796660874831
"20","GUCA2B","Pericytes",0.0444444444444444,0.0664103501557676
"21","GUCA2A","Pericytes",0.0972222222222222,0.149502408649138
"22","PTPRF","Pericytes",0.0583333333333333,0.085545953479783
"23","ARTN","Pericytes",0.122222222222222,0.17798532797003
"24","PTCH2","Pericytes",0.0388888888888889,0.0587991504057736
"25","ANGPTL3","Pericytes",0.00555555555555556,0.00707990609239797
"26","LEPR","Pericytes",0.0166666666666667,0.020426668363411
"27","NEGR1","Pericytes",0.00833333333333333,0.0157721999989109
"28","VCAM1","Pericytes",0.105555555555556,0.154670510545036
"29","NTNG1","Pericytes",0.00277777777777778,0.00430827835856461
"30","SORT1","Pericytes",0.0611111111111111,0.0777057038200597
"31","CSF1","Pericytes",0.158333333333333,0.229540155003026
"32","TMIGD3","Pericytes",0,0
"33","WNT2B","Pericytes",0.0277777777777778,0.0425561639842454
"34","NGF","Pericytes",0.141666666666667,0.217499526577061
"35","NOTCH2","Pericytes",0.102777777777778,0.154390246281523
"36","ITGA10","Pericytes",0.025,0.042981112746816
"37","SV2A","Pericytes",0.0166666666666667,0.0255689842225841
"38","NPR1","Pericytes",0.00277777777777778,0.00196759942325186
"39","IL6R","Pericytes",0.00277777777777778,0.00596556109495825
"40","CHRNB2","Pericytes",0,0
"41","EFNA4","Pericytes",0.025,0.036014991839464
"42","EFNA3","Pericytes",0.00277777777777778,0.00307560866565647
"43","EFNA1","Pericytes",0.141666666666667,0.226132128969629
"44","THBS3","Pericytes",0.0277777777777778,0.0369217084362188
"45","RXFP4","Pericytes",0,0
"46","SEMA4A","Pericytes",0.211111111111111,0.339218914456212
"47","CD1D","Pericytes",0.00555555555555556,0.0105013558292402
"48","CADM3","Pericytes",0.00277777777777778,0.00265968069090872
"49","ACKR1","Pericytes",0.00555555555555556,0.00907328027186333
"50","CD48","Pericytes",0.00277777777777778,0.00496097178369889
"51","F11R","Pericytes",0.0138888888888889,0.0224197925747581
"52","NECTIN4","Pericytes",0,0
"53","MPZ","Pericytes",0.00555555555555556,0.00898074890869275
"54","MPZL1","Pericytes",0.075,0.105348270543597
"55","XCL1","Pericytes",0.00555555555555556,0.00876488878131092
"56","SELP","Pericytes",0,0
"57","SELL","Pericytes",0.00555555555555556,0.00883480251718642
"58","SELE","Pericytes",0,0
"59","TNFSF4","Pericytes",0.00833333333333333,0.0116944438159848
"60","TNN","Pericytes",0.00555555555555556,0.00459033638243611
"61","ANGPTL1","Pericytes",0.0166666666666667,0.0180785967562143
"62","LAMC1","Pericytes",0.252777777777778,0.389164539173647
"63","LAMC2","Pericytes",0.00555555555555556,0.00554753389650533
"64","PTPRC","Pericytes",0.00833333333333333,0.0128309888197382
"65","GPR37L1","Pericytes",0,0
"66","ADIPOR1","Pericytes",0.105555555555556,0.136337878879276
"67","KISS1","Pericytes",0.00277777777777778,0.004989882119038
"68","NFASC","Pericytes",0.133333333333333,0.196223164465426
"69","CNTN2","Pericytes",0.0138888888888889,0.0194697603599358
"70","CD55","Pericytes",0.177777777777778,0.260076258831144
"71","CD46","Pericytes",0.266666666666667,0.407071111315626
"72","CD34","Pericytes",0.0388888888888889,0.0544264135910389
"73","PLXNA2","Pericytes",0.0555555555555556,0.0861552221639338
"74","LAMB3","Pericytes",0.0111111111111111,0.0183306187192493
"75","TGFB2","Pericytes",0.0388888888888889,0.0511436424235883
"76","WNT9A","Pericytes",0,0
"77","AGT","Pericytes",0.0305555555555556,0.0458490628879858
"78","SDC1","Pericytes",0.0222222222222222,0.0282902051979595
"79","POMC","Pericytes",0.025,0.035691564242811
"80","UCN","Pericytes",0,0
"81","NRXN1","Pericytes",0.00277777777777778,0.004989882119038
"82","TGFA","Pericytes",0.00277777777777778,0.00575686908989928
"83","TACR1","Pericytes",0,0
"84","CD8B","Pericytes",0.00277777777777778,0.00348635905110542
"85","SEMA4C","Pericytes",0.102777777777778,0.142635120124604
"86","IL1R2","Pericytes",0.00277777777777778,0.00399926226636336
"87","IL1R1","Pericytes",0.0416666666666667,0.0550630573890741
"88","IL18R1","Pericytes",0.00833333333333333,0.008305416777823
"89","EDAR","Pericytes",0,0
"90","MERTK","Pericytes",0.0111111111111111,0.0180422908705613
"91","IL1A","Pericytes",0,0
"92","IL1B","Pericytes",0.0527777777777778,0.0833072536025636
"93","SCTR","Pericytes",0.0138888888888889,0.0214104266062847
"94","INHBB","Pericytes",0,0
"95","CXCR4","Pericytes",0.0361111111111111,0.0467674298697793
"96","ACVR2A","Pericytes",0.0305555555555556,0.0362870507219292
"97","ACVR1C","Pericytes",0.00833333333333333,0.0119251754808746
"98","ACVR1","Pericytes",0.0527777777777778,0.0720730583990373
"99","ITGB6","Pericytes",0.00277777777777778,0.00167846650543386
"100","GCG","Pericytes",0.00555555555555556,0.00581199290692516
"101","ITGA6","Pericytes",0.025,0.0359304324836293
"102","ITGA4","Pericytes",0.075,0.111215726909255
"103","ITGAV","Pericytes",0.141666666666667,0.204025351735961
"104","CALCRL","Pericytes",0.0305555555555556,0.050515317183096
"105","MSTN","Pericytes",0.00833333333333333,0.0121021710118826
"106","FZD7","Pericytes",0.0833333333333333,0.129794403708222
"107","BMPR2","Pericytes",0.116666666666667,0.17361108082415
"108","ICOS","Pericytes",0,0
"109","NRP2","Pericytes",0.0694444444444444,0.103891300047185
"110","GPR1","Pericytes",0,0
"111","FZD5","Pericytes",0.0333333333333333,0.0491522119582323
"112","ERBB4","Pericytes",0.0166666666666667,0.0271429376533349
"113","FN1","Pericytes",0.338888888888889,0.568539386121046
"114","WNT6","Pericytes",0.0722222222222222,0.1011188072032
"115","IHH","Pericytes",0.00833333333333333,0.00774028845529524
"116","EPHA4","Pericytes",0.0166666666666667,0.0242856355184621
"117","CCL20","Pericytes",0.0277777777777778,0.0446565199190869
