Epithelial	Fibroblasts	Immune	Muscle	Myofibroblast_Mesothelium	Neural	Pericytes
FGF18 / FGFR4	90.1491045518397	64.6324613673198	10.8970725580452	5.8964022858	100	1.90124741198635	26.0632826572369
HLA-E / CD8B	100	22.497345567251	89.441003888298	0	7.67333817294643	21.3000991609788	7.10275468169289
HBEGF / EGFR	91.9798923405972	30.9513193541141	9.78076701567049	17.1024083211118	100	9.47185373683079	71.9424191464772
SEMA6A / PLXNA4	6.3621119370451	11.2369099268473	25.8487658051714	14.3672969520562	77.0385744181293	100	0
PDGFB / PDGFRA	6.07903867446256	66.8733051758367	6.11406356454703	6.30859039656208	100	8.56304881969372	6.96165417600451
LAMA5 / SV2B	1.89450885066771	0	0	0	0	100	0
LAMB2 / SV2B	1.89450885066771	0	0	0	0	100	0
LAMC1 / SV2B	1.89450885066771	0	0	0	0	100	0
CD22 / PTPRC	0.203326069292962	0.609097718267132	100	0	0	0	1.20144466733449
ICAM5 / CD209	0.619829656420388	0.453597859480095	100	0	1.36272719094666	0	0
ICAM1 / ITGAX + ITGB2	0.736504979193449	1.26023822959746	100	0	1.44947184634795	0	0
HLA-E / KLRC1	1.57046937906112	1.17567439151708	100	0	1.80848275564172	0	0
HLA-A / CD8B	90.6296495484144	20.3892654452954	81.0600683765482	0	6.95431949480605	19.3042052230598	6.43720167630186
LGALS9 / HAVCR2	0.957934511966198	1.0949854040364	100	0	0.933171893378856	0	2.75789533565714
SEMA6B / PLXNA4	6.11465986127923	10.7998543210819	24.8433872739904	13.8084860588952	74.0421865295718	96.1105356489406	0
CCL21 / CCR7	1.78912663465408	0.967871836548747	100	0	0	3.64964923399768	0
ICAM1 / ITGAM + ITGB2	1.97668606769193	1.72951105325764	100	0	0	4.13433906861568	0
ICAM2 / ITGAM + ITGB2	1.97668606769193	1.72951105325764	100	0	0	4.13433906861568	0
JAM3 / ITGAM + ITGB2	1.97668606769193	1.72951105325764	100	0	0	4.13433906861568	0
CCL2 / ACKR2	100	0	0	0	0	21.5846742734925	0
CCL8 / ACKR2	100	0	0	0	0	21.5846742734925	0
CCL14 / ACKR2	100	0	0	0	0	21.5846742734925	0
ICAM1 / SPN	5.2556871744811	1.1753132846157	100	0	2.00471035911617	0	0
EFNB2 / EPHB3	30.0749863075048	100	5.59216210995993	18.9357688985558	97.4354941886668	42.9735111751564	64.5892316777369
FGF18 / FGFR2	19.0946103345608	55.831073006546	14.9592455434697	100	75.2388388097505	8.78946090306492	5.61255600256179
CSF3 / CSF3R	6.14325046399379	1.30334218383056	100	1.6320546257735	0	0	1.29121876037373
HBEGF / ERBB4	1.27901992128192	0	0	17.9782042804521	0	100	33.3996950879082
PYY / GPR83	0.635325738212497	10.0761170673262	0	5.80166048103522	3.08359588227138	100	0
VSIR / IGSF11	3.39010441170241	6.11893013538717	0	0	12.0375167516363	100	0
NECTIN2 / CD226	6.73690348128697	0	100	0	7.77142488218442	32.1648996242667	0
COL4A1 / ITGA11 + ITGB1	22.4963068775423	48.6421833923453	0	0	97.9229792173338	0	47.4246401933228
PYY / NPY1R	5.97194046433293	11.9795791168921	0	0	4.97754587261257	1.89331002424783	100
SELE / CEACAM1	100	5.10626853939026	13.876514120039	0	4.87568930310337	0	2.46333309571232
TNFSF10 / TNFRSF10B	95.3538527561531	17.7621543705082	89.7678239278662	28.8384580223806	26.2430439888171	4.51367425282201	21.1950828311887
MADCAM1 / ITGA4 + ITGB7	2.05336824455067	5.55710986781671	100	0	6.10869010795494	0	14.6599807612657
VWF / ITGA2B + ITGB3	14.6866050699038	48.7925923375299	0	100	42.4796588543477	0	59.1362302820812
TNN / ITGA2B + ITGB3	14.6866050699038	48.7925923375299	0	100	42.4796588543477	0	59.1362302820812
TNXB / ITGA2B + ITGB3	14.6866050699038	48.7925923375299	0	100	42.4796588543477	0	59.1362302820812
CCL21 / ACKR4	13.4163090140835	100	0	0	7.46962751902687	20.7433243572738	0
CCL8 / ACKR4	13.4163090140835	100	0	0	7.46962751902687	20.7433243572738	0
DLL4 / NOTCH3	4.14475719826191	16.680298869768	0.849553340588049	4.62823930212028	11.0723461723752	6.90775930420849	100
JAG2 / NOTCH3	4.14475719826191	16.680298869768	0.849553340588049	4.62823930212028	11.0723461723752	6.90775930420849	100
JAM2 / F11R	100	12.1586929592533	14.8431283632102	2.29183488536535	6.02319188398193	3.42706252951625	5.40816555244354
JAM3 / F11R	100	12.1586929592533	14.8431283632102	2.29183488536535	6.02319188398193	3.42706252951625	5.40816555244354
EFNA1 / EPHA1	100	14.007753184909	0	6.37853425172916	6.45883023393047	9.48298009499681	15.6984174390325
LRRC4 / NTNG2	18.4864618810209	17.827980739746	0	0	44.5213022084877	40.1808627928378	100
ENTPD1 / ADORA2B	100	5.58028044747633	45.0124975450507	0	21.9214729769256	28.6218705874744	7.04361722159425
HLA-B / CD8B	83.1543307359387	18.707517139799	74.3740681868192	0	6.38071300281891	17.7119549034032	5.90624811937727
PDGFB / PDGFRB	4.85064640035662	32.2045799411	4.51861724985294	9.13393410515925	21.4482092347023	7.02380262142632	100
EFNB2 / EPHB2	100	69.2243735601618	46.0557956394881	68.9112832459201	83.7923151799601	24.6725215899921	1.8304560631936
EFNA1 / EPHA7	5.91470280561345	46.7258536416578	8.69883310444701	56.3764844701542	100	39.9006968995959	8.96699313716274
CORT / SSTR1	100	0	0	22.4461602845838	25.6368591481097	25.0094431836636	15.4730016111201
FGF18 / FGFR3	100	12.7275584702826	9.26238068988981	14.1380709331568	13.8382448247462	6.13566356758245	14.261288953505
CORT / SSTR2	10.3928451755466	30.2173651049524	0	14.5146764941343	13.4706452068052	22.6842070176294	100
LGALS9 / CD44	4.27785728433931	13.4081100704561	100	39.1827488335135	23.902421451836	24.0053726021227	3.86224008876388
COL4A1 / CD44	4.27785728433931	13.4081100704561	100	39.1827488335135	23.902421451836	24.0053726021227	3.86224008876388
LAMA5 / CD44	4.27785728433931	13.4081100704561	100	39.1827488335135	23.902421451836	24.0053726021227	3.86224008876388
LAMB2 / CD44	4.27785728433931	13.4081100704561	100	39.1827488335135	23.902421451836	24.0053726021227	3.86224008876388
LAMC1 / CD44	4.27785728433931	13.4081100704561	100	39.1827488335135	23.902421451836	24.0053726021227	3.86224008876388
SELE / CD44	4.27785728433931	13.4081100704561	100	39.1827488335135	23.902421451836	24.0053726021227	3.86224008876388
EFNA1 / EPHA2	100	11.4116407966933	9.76760129708424	7.62615429753021	8.19481237683819	26.7799989902805	17.9613187449235
COL4A1 / SDC1	100	38.6415228093108	10.6864443655802	0	58.810315001277	38.0559428799654	26.1141767147334
TNN / SDC1	100	38.6415228093108	10.6864443655802	0	58.810315001277	38.0559428799654	26.1141767147334
