Endothelial	Fibroblasts	Immune	Muscle	Myofibroblast_Mesothelium	Neural	Pericytes
LAMA3 / SV2B	82.1188414203274	0	0	0	0	100	0
LAMB3 / SV2B	82.1188414203274	0	0	0	0	100	0
LAMC2 / SV2B	82.1188414203274	0	0	0	0	100	0
CX3CL1 / CX3CR1	0	5.12080639634061	82.7114227643596	0	0	0	100
TAC1 / TACR1	88.106398724286	18.7242628866762	0	0	100	13.5123968641742	0
IL18 / IL18R1 + IL18RAP	100	7.9805068928479	67.996934338034	0	76.2728699687619	1.09892927979108	14.8431506017147
CCL25 / ACKR4	63.1008884954866	100	0	0	7.46962751902687	20.7433243572738	0
FGF9 / FGFR2	5.94903274427714	55.831073006546	14.9592455434697	100	75.2388388097505	8.78946090306492	5.61255600256179
PRSS3 / F2RL2	15.8010697122515	29.3845239352377	0	0	59.4337742712524	100	0
F2 / F2RL2	15.8010697122515	29.3845239352377	0	0	59.4337742712524	100	0
PLG / F2RL2	15.8010697122515	29.3845239352377	0	0	59.4337742712524	100	0
AVP / AVPR2	100	0	0	0	0	0	0
KNG1 / BDKRB1	47.9645362941152	100	0	70.5864779875887	43.9552251313151	13.4990224125598	0
PF4 / CXCR3	0	2.69598008835474	100	0	0	0	0
EDA / EDAR	0	2.74374918871709	0	0	100	0	0
C3 / ITGAX + ITGB2	1.1373206425964	1.26023822959746	100	0	1.44947184634795	0	0
TAC1 / TACR2	3.32015309508061	1.24330244141764	0	100	1.57162034453579	0	0
CDH1 / KLRG1	35.7524670759577	19.7040709419317	100	12.7037410153605	0	84.9112370382807	37.716108245843
C3 / ITGAM + ITGB2	2.00938637225842	1.72951105325764	100	0	0	4.13433906861568	0
FGF9 / FGFR4	9.30700244284683	64.6324613673198	10.8970725580452	5.8964022858	100	1.90124741198635	26.0632826572369
FGF23 / FGFR4	9.30700244284683	64.6324613673198	10.8970725580452	5.8964022858	100	1.90124741198635	26.0632826572369
NECTIN1 / CD96	2.71830646922303	3.93533244620486	100	0	0	6.39697410657692	0
AVP / AVPR1A	5.8606523110648	2.87803589000254	0	0	2.35739889979566	2.86060638660186	100
EREG / ERBB4	0	0	0	17.9782042804521	0	100	33.3996950879082
WNT3 / FZD9 + LRP6	82.0864524544627	19.4729110991642	0	0	0	79.6549722453431	41.7691267918661
COMP / CD36	100	5.10100456309416	37.7475498665036	2.86431267728322	2.35071714346689	2.20161649759696	5.92099808428185
NECTIN1 / CADM3	0	9.25529300763869	0	0	18.8183725173826	100	4.43624357995676
CCL16 / ACKR1	100	6.83831547892278	0	5.27586760517189	3.67045300974377	3.86837169720761	3.95705181108654
CXCL1 / ACKR1	100	6.83831547892278	0	5.27586760517189	3.67045300974377	3.86837169720761	3.95705181108654
CXCL2 / ACKR1	100	6.83831547892278	0	5.27586760517189	3.67045300974377	3.86837169720761	3.95705181108654
CXCL3 / ACKR1	100	6.83831547892278	0	5.27586760517189	3.67045300974377	3.86837169720761	3.95705181108654
COL2A1 / ITGA11 + ITGB1	33.1126743655749	48.6421833923453	0	0	97.9229792173338	0	47.4246401933228
CCL20 / CCR6	2.45271160432861	14.7213534034761	100	0	4.96342231477223	0	6.51087373394671
PVR / CD226	29.2913255392708	0	100	0	7.77142488218442	32.1648996242667	0
EGF / EGFR	9.90675966009475	30.9513193541141	9.78076701567049	17.1024083211118	100	9.47185373683079	71.9424191464772
AREG / EGFR	9.90675966009475	30.9513193541141	9.78076701567049	17.1024083211118	100	9.47185373683079	71.9424191464772
