Endothelial	Epithelial	Immune	Muscle	Myofibroblast_Mesothelium	Neural	Pericytes
RARRES2 / CMKLR1	73.6244306801593	6.16412912090984	62.359415500763	0	0	0	83.1291832117512
FGF10 / FGFR2	5.94903274427714	19.0946103345608	14.9592455434697	100	75.2388388097505	8.78946090306492	5.61255600256179
FGF2 / FGFR4	8.4015084658937	81.378346007326	9.83687797570527	5.32273135487764	90.2708312100093	1.71627184215886	23.5275418953019
CCL11 / ACKR2	0	100	0	0	0	21.5846742734925	0
WNT11 / FZD10	2.93271145574394	5.32293264542782	0	9.3782433485328	72.3154767105637	0	86.0365346929102
LAMB1 / SV2B	68.2066284313532	1.57354949244835	0	0	0	83.0584397583446	0
NRG3 / ERBB4	0	1.27901992128192	0	17.9782042804521	0	100	33.3996950879082
THBS1 / CD36	100	2.97111484381374	37.7475498665036	2.86431267728322	2.35071714346689	2.20161649759696	5.92099808428185
THBS2 / CD36	100	2.97111484381374	37.7475498665036	2.86431267728322	2.35071714346689	2.20161649759696	5.92099808428185
MDK / PTPRZ1	0.886807719771011	0.616352326939816	0	5.41897910287035	0.71510041340432	98.2854400982309	0
WNT9A / FZD9 + LRP6	82.0864524544627	24.1199210008911	0	0	0	79.6549722453431	41.7691267918661
CCL11 / ACKR1	100	6.39824449432564	0	5.27586760517189	3.67045300974377	3.86837169720761	3.95705181108654
MDK / SDC2	11.5632440225902	18.0315895864336	14.3145868418991	17.6326006559729	82.2697607487646	27.3325234648842	98.2854400982309
COL1A1 / ITGA11 + ITGB1	33.1126743655749	22.4963068775423	0	0	97.9229792173338	0	47.4246401933228
COL1A2 / ITGA11 + ITGB1	33.1126743655749	22.4963068775423	0	0	97.9229792173338	0	47.4246401933228
COL6A2 / ITGA11 + ITGB1	33.1126743655749	22.4963068775423	0	0	97.9229792173338	0	47.4246401933228
COL6A6 / ITGA11 + ITGB1	33.1126743655749	22.4963068775423	0	0	97.9229792173338	0	47.4246401933228
CXCL12 / CXCR4	19.4321392615922	1.68904731509882	100	1.26011353882952	8.86796785685836	3.54052663442017	6.45557407297708
EFNA5 / EPHA1	2.64211202438985	100	0	6.37853425172916	6.45883023393047	9.48298009499681	15.6984174390325
FGF2 / FGFR2	5.3702413072146	17.2368634653204	13.5038352948364	90.2708312100093	67.9187251863208	7.9343194160755	5.0665009556398
