Endothelial	Epithelial	Fibroblasts	Muscle	Myofibroblast_Mesothelium	Neural	Pericytes
SEMA6B / PLXNA4	10.7547661493968	6.3621119370451	11.2369099268473	14.3672969520562	77.0385744181293	100	0
TGFA / EGFR	9.90675966009475	91.9798923405972	30.9513193541141	17.1024083211118	100	9.47185373683079	71.9424191464772
PSAP / GPR37L1	0	100	42.3157800364652	0	0	51.6492311162255	0
PSAP / GPR37	12.8154335401782	9.40096591203231	43.3184322949817	0	83.4378891018411	26.0100963090808	100
SELPLG / SELP	100	1.43931969505965	1.87118556414631	0	0	0	0
GZMA / F2RL2	15.8010697122515	5.52588633008365	29.3845239352377	0	59.4337742712524	100	0
SELPLG / SELE	100	1.19156836071471	2.03641248882426	2.6997645796684	0.846377571270014	0.88463364510488	0
CCL3 / ACKR2	0	100	0	0	0	21.5846742734925	0
CCL3L1 / ACKR2	0	100	0	0	0	21.5846742734925	0
CCL4 / ACKR2	0	100	0	0	0	21.5846742734925	0
CCL5 / ACKR2	0	100	0	0	0	21.5846742734925	0
CD6 / ALCAM	6.58206964208506	11.5312509628795	12.320842565684	100	26.4507795292161	80.1333187695122	50.9881636024973
SELL / PODXL	100	1.7054001143415	2.1937603408503	3.0554795524198	1.91281907184836	5.75835761881211	0.905593212288611
SELL / MADCAM1	100	2.95829534238516	4.26980265370649	1.90162261399233	6.80888920667271	4.11633510782208	2.45981494646636
CD209 / CEACAM1	21.5821809402492	100	5.10626853939026	0	4.87568930310337	0	2.46333309571232
SELL / CD34	100	2.18181361052171	9.34134201268079	3.34037275240879	5.98818145848928	2.00346867868801	3.73469684370196
GZMA / F2RL3	100	2.85571290605576	6.14324843355873	0	9.89981446566017	4.34376359290193	4.96719340098088
CD1D / CEACAM5	9.21738477802198	100	7.75939423595484	0	8.97955256050478	0	4.81243603182127
ITGB2 / ICAM2	100	4.62435122226696	4.34661802505434	5.33189183427404	3.36343761852856	4.77106531069718	5.41913988087799
PTPRC / CD22	100	0	11.0314655649942	20.0306986477294	0	31.8742395469768	0
CCL5 / ACKR1	100	6.39824449432564	6.83831547892278	5.27586760517189	3.67045300974377	3.86837169720761	3.95705181108654
CXCL8 / ACKR1	100	6.39824449432564	6.83831547892278	5.27586760517189	3.67045300974377	3.86837169720761	3.95705181108654
CXCL3 / ACKR1	97.1113504382078	6.21342163277791	6.64078050880691	5.12346627871435	3.56442648496202	3.75662799512773	3.8427464512857
HLA-A / CD8B	5.93035119131554	100	22.497345567251	0	7.67333817294643	21.3000991609788	7.10275468169289
HLA-B / CD8B	5.93035119131554	100	22.497345567251	0	7.67333817294643	21.3000991609788	7.10275468169289
HLA-C / CD8B	5.93035119131554	100	22.497345567251	0	7.67333817294643	21.3000991609788	7.10275468169289
HLA-F / CD8B	5.93035119131554	100	22.497345567251	0	7.67333817294643	21.3000991609788	7.10275468169289
PYY / GPR83	0	0.590555906729135	9.36607804957754	5.39283183387477	2.86630251650834	92.9532476349339	0
GZMA / F2RL1	10.5085650705767	100	11.1899723169687	7.12227086881581	12.394659074791	8.16235089000344	9.30928404013933
