Endothelial	Epithelial	Fibroblasts	Immune	Myofibroblast_Mesothelium	Neural	Pericytes
LAMB2 / SV2B	76.1837420939154	1.7575841448511	0	0	0	92.7725486334701	0
FGF2 / FGFR4	9.30700244284683	90.1491045518397	64.6324613673198	10.8970725580452	100	1.90124741198635	26.0632826572369
BTC / EGFR	9.90675966009475	91.9798923405972	30.9513193541141	9.78076701567049	100	9.47185373683079	71.9424191464772
ANGPTL2 / TLR4	47.3816013493772	2.4830465487957	0.662152702596862	100	1.1462378318226	1.94142402046102	0
PDGFC / PDGFRA	10.8374336306942	6.07903867446256	66.8733051758367	6.11406356454703	100	8.56304881969372	6.96165417600451
BTC / ERBB4	0	1.27901992128192	0	0	0	100	33.3996950879082
CLEC2L / KLRB1	0	0	0	100	1.1015488087733	5.05800353221439	2.29520291650328
GCG / GCGR	0	10.8139139711367	0	0	8.74713961348536	100	0
GCG / GIPR	0	100	3.75754281448315	34.6430707992492	12.265683341924	0	0
DLK1 / NOTCH4	100	1.13248629076112	4.0511790362493	1.76418554996785	2.25609312394666	2.74840485946294	6.72983680506963
THBS3 / CD36	100	2.97111484381374	5.10100456309416	37.7475498665036	2.35071714346689	2.20161649759696	5.92099808428185
ALCAM / CD6	16.8522035743534	5.50744211753642	0	100	0	0	8.01102709354709
CDH4 / CDH4	0	25.5234874623016	10.1342237447199	0	0	98.8709136371891	0
FN1 / ITGA4 + ITGB7	2.01035160932427	2.05336824455067	5.55710986781671	100	6.10869010795494	0	14.6599807612657
GDNF / GFRA1	3.31548577745941	2.72558889467551	28.8138219116692	7.56408431287571	47.9274654922366	100	5.01470901351442
LAMA4 / SV2B	65.7801704745874	1.51757030429424	0	0	0	80.1036270566579	0
GCG / GLP2R	8.84956060247509	3.91523522347231	15.8959807182971	0	100	0	14.9792440998749
DLK1 / NOTCH3	4.57680712916756	4.14475719826191	16.680298869768	0.849553340588049	11.0723461723752	6.90775930420849	100
SEMA3E / PLXND1	100	2.76195096591254	7.78110395930636	4.72006467167073	11.5902300223983	6.14096965026291	10.6419288025534
PRL / PRLR	3.15584152094642	100	8.94862846118901	11.1258326813256	3.61508419162717	9.390886595598	28.3474496998155
FN1 / CD44	5.02998570263362	4.27785728433931	13.4081100704561	100	23.902421451836	24.0053726021227	3.86224008876388
NRTN / GFRA2	10.4231720666622	7.32227135935115	100	24.0428646550818	13.1454976797866	54.3891040202337	57.044811158834
LAMB1 / SV2B	62.8743178289243	1.45053132200068	0	0	0	76.5650327518632	0
BTC / EGFR + ERBB2	12.6563625402971	95.9061480514139	43.8274884317411	14.1165026083456	84.1189372303142	18.000317712761	54.5692890423865
LAMA5 / SV2B	62.0821624459731	1.43225603513413	0	0	0	75.6003876481939	0
EFNA5 / EPHA1	2.52328017384553	95.5023916682051	13.3777393105673	0	6.16833734719272	9.05647279214178	14.9923641083346
FGF2 / FGFR3	17.5580578965425	100	12.7275584702826	9.26238068988981	13.8382448247462	6.13566356758245	14.261288953505
COL6A1 / CD44	4.89415818234262	4.16233990885525	13.0460433668261	97.2996440085331	23.2569709820557	23.3571420847874	3.7579458571221
FN1 / SDC4	7.67527882238961	100	14.7449514019374	31.7467618597488	20.217005205155	7.46488155137203	9.35321997747492
TNC / SDC4	7.67527882238961	100	14.7449514019374	31.7467618597488	20.217005205155	7.46488155137203	9.35321997747492
THBS3 / SDC4	7.67527882238961	100	14.7449514019374	31.7467618597488	20.217005205155	7.46488155137203	9.35321997747492
EFNA5 / EPHA3	9.80881203827763	8.80119661079672	52.5194136764835	13.6218915919241	64.6492320628095	25.9544407659347	95.5023916682051
COL6A1 / ITGA11 + ITGB1	32.2185142794091	21.8888265069158	47.3286712787298	0	95.2787101810156	0	46.1440060804307
LAMB2 / ITGA6 + ITGB4	92.7725486334701	36.1007145478883	5.84673528183633	0	7.68022775100919	14.9921045648173	5.3331393442893
EFNB3 / EPHB6	22.4281336474089	10.1163917284662	80.2582233172655	22.0144759145065	84.5345685406373	43.5017293919762	83.9368677657809
GUCA2B / GUCY2C	8.03823404793995	92.9029034110077	8.85499880116005	12.1667865300488	4.2573869809181	4.54623967894238	4.05032273165418
NRXN2 / NLGN1	6.47672351199751	4.03906799423133	52.225221886975	15.7538941852628	81.7721831959034	73.9902922575116	21.4093604128704
EFNA5 / EPHB2	45.183756720662	95.5023916682051	66.1109323672871	43.984386337532	80.0236650310224	23.5628482032967	1.74812931878556
COL6A1 / SDC4	7.46801897084742	97.2996440085331	14.3467852233163	30.8894862737724	19.6710740938024	7.26330317514364	9.10064974141809
COL6A1 / ITGA2 + ITGB1	97.2996440085331	32.3633480022716	13.567420896285	0	15.3525075093788	33.8806883526685	11.9941951859023
ITGA9 / ITGB1 + VCAM1	37.6874614701904	19.161097908809	79.1689097316681	20.1811155882285	97.9229792173338	36.4526234939252	78.2690522557865
