Endothelial	Epithelial	Fibroblasts	Immune	Muscle	Neural	Pericytes
LAMA4 / SV2B	82.1188414203274	1.89450885066771	0	0	0	100	0
LAMB1 / SV2B	82.1188414203274	1.89450885066771	0	0	0	100	0
RARRES2 / CMKLR1	88.5662866344051	7.41512051815574	36.4015750633711	75.0150706303919	0	0	100
LAMA5 / SV2B	78.1651973013953	1.80329697229538	0	0	0	95.1854604247334	0
NRG1 / ERBB3	9.1642918961698	100	12.4273115804774	4.9681976378025	10.6263069465344	85.7021005218346	3.70358233538602
CCL19 / ACKR4	63.1008884954866	13.4163090140835	100	0	0	20.7433243572738	0
CXCL10 / CXCR3	0	0.206218786628623	2.69598008835474	100	0	0	0
RARRES2 / GPR1	100	1.6190076871502	0	0	0	31.6662668542667	0
TSLP / IL7R + CRLF2	1.33628304773127	0.847504828494347	0.81658932419437	100	0	1.13378388022577	1.02794901123187
CCL19 / CCR7	0	1.78912663465408	0.967871836548747	100	0	3.64964923399768	0
EFNB1 / EPHB1	100	0	0	0	0	10.3043298923563	0
CSF1 / CSF1R	0.762471868449122	2.15113549132464	1.05762708654605	100	0	0	6.33017362668846
WNT5A / FZD9	100	36.3835541738407	14.6820966640577	0	0	63.4491460340638	56.987846332167
WNT5B / FZD9	100	36.3835541738407	14.6820966640577	0	0	63.4491460340638	56.987846332167
WNT11 / FZD9	100	36.3835541738407	14.6820966640577	0	0	63.4491460340638	56.987846332167
NPY / GPR83	0	0.635325738212497	10.0761170673262	0	5.80166048103522	100	0
MDK / PTPRZ1	0.902277813361466	0.627104407655707	8.54026538856363	0	5.51351156127945	100	0
PTN / PTPRZ1	0.902277813361466	0.627104407655707	8.54026538856363	0	5.51351156127945	100	0
IL7 / IL7R + IL2RG	1.97006384505453	6.75332556789234	1.93219630534828	100	0	2.36990771462476	2.25115867914376
NRG1 / ERBB4	0	1.27901992128192	0	0	17.9782042804521	100	33.3996950879082
DLL1 / NOTCH4	100	1.13248629076112	4.0511790362493	1.76418554996785	0.959301777703337	2.74840485946294	6.72983680506963
NPY / NPY1R	0.93119140872007	5.97194046433293	11.9795791168921	0	0	1.89331002424783	100
WNT5A / FZD10	3.40868151676687	6.18682826362886	39.0628981710082	0	10.9003034373787	0	100
WNT5B / FZD10	3.40868151676687	6.18682826362886	39.0628981710082	0	10.9003034373787	0	100
WNT11 / FZD10	3.40868151676687	6.18682826362886	39.0628981710082	0	10.9003034373787	0	100
SEMA4D / CD72	3.00453677043476	2.18731009313415	3.00511048383966	100	0	5.90932778831654	5.20368746263461
WNT5A / FZD6	100	10.1360751876997	3.57001513979824	0	12.8184583825715	1.73819509842649	0
WNT5B / FZD6	100	10.1360751876997	3.57001513979824	0	12.8184583825715	1.73819509842649	0
WNT11 / FZD6	100	10.1360751876997	3.57001513979824	0	12.8184583825715	1.73819509842649	0
CXCL6 / ACKR1	100	6.39824449432564	6.83831547892278	0	5.27586760517189	3.86837169720761	3.95705181108654
CXCL10 / ACKR1	100	6.39824449432564	6.83831547892278	0	5.27586760517189	3.86837169720761	3.95705181108654
APELA / APLNR	100	2.57335309899254	4.81231585343924	2.87350164905879	5.61942253629857	1.83447182409243	10.4634613014082
ENHO / GPR19	0	12.5098641582267	28.6047403010458	0	0	100	13.7328879499169
IGF1 / ITGA6 + ITGB4	100	38.9131430360037	6.30222556991063	0	3.40853827410517	16.160065434926	5.74861790782498
LAMA4 / ITGA6 + ITGB4	100	38.9131430360037	6.30222556991063	0	3.40853827410517	16.160065434926	5.74861790782498
LAMB1 / ITGA6 + ITGB4	100	38.9131430360037	6.30222556991063	0	3.40853827410517	16.160065434926	5.74861790782498
DLL1 / NOTCH3	4.57680712916756	4.14475719826191	16.680298869768	0.849553340588049	4.62823930212028	6.90775930420849	100
FN1 / ITGA4 + ITGB7	1.95963120763124	2.00156254961439	5.41690611269216	97.4770382724206	0	0	14.2901150573885
WNT5A / FZD2	19.7721275202486	11.3215590015883	98.8282333875387	45.5758861390498	99.6780087712866	33.5196449444072	47.770980837078
WNT5B / FZD2	19.7721275202486	11.3215590015883	98.8282333875387	45.5758861390498	99.6780087712866	33.5196449444072	47.770980837078
WNT11 / FZD2	19.7721275202486	11.3215590015883	98.8282333875387	45.5758861390498	99.6780087712866	33.5196449444072	47.770980837078
LAMC1 / SV2B	65.0823158773765	1.50147056776571	0	0	0	79.2538164831759	0
FN1 / ITGA2B + ITGB3	39.1068254904567	14.3160676449093	47.5615739069602	0	97.4770382724206	0	57.644245824931
EFNA4 / EPHA1	2.64211202438985	100	14.007753184909	0	6.37853425172916	9.48298009499681	15.6984174390325
PDGFD / PDGFRB	6.84240023295357	4.85064640035662	32.2045799411	4.51861724985294	9.13393410515925	7.02380262142632	100
COL4A5 / CD44	5.02998570263362	4.27785728433931	13.4081100704561	100	39.1827488335135	24.0053726021227	3.86224008876388
COL4A6 / CD44	5.02998570263362	4.27785728433931	13.4081100704561	100	39.1827488335135	24.0053726021227	3.86224008876388
COL6A1 / CD44	5.02998570263362	4.27785728433931	13.4081100704561	100	39.1827488335135	24.0053726021227	3.86224008876388
COL9A1 / CD44	5.02998570263362	4.27785728433931	13.4081100704561	100	39.1827488335135	24.0053726021227	3.86224008876388
LAMA4 / CD44	5.02998570263362	4.27785728433931	13.4081100704561	100	39.1827488335135	24.0053726021227	3.86224008876388
LAMB1 / CD44	5.02998570263362	4.27785728433931	13.4081100704561	100	39.1827488335135	24.0053726021227	3.86224008876388
WNT5A / FZD4	100	4.06749789965439	21.7427040801	0	29.5032858402916	3.98455448950487	30.5480090912361
WNT5B / FZD4	100	4.06749789965439	21.7427040801	0	29.5032858402916	3.98455448950487	30.5480090912361
WNT11 / FZD4	100	4.06749789965439	21.7427040801	0	29.5032858402916	3.98455448950487	30.5480090912361
WNT5A / MCAM	52.6107991751075	2.98628095350134	13.7191495395232	9.72051993766486	22.0237809475489	51.9455309304061	100
WNT2B / FZD9 + LRP6	82.0864524544627	24.1199210008911	19.4729110991642	0	0	79.6549722453431	41.7691267918661
