Endothelial	Epithelial	Fibroblasts	Immune	Muscle	Myofibroblast_Mesothelium	Pericytes
FGF1 / FGFR4	9.30700244284683	90.1491045518397	64.6324613673198	10.8970725580452	5.8964022858	100	26.0632826572369
FGF17 / FGFR4	9.30700244284683	90.1491045518397	64.6324613673198	10.8970725580452	5.8964022858	100	26.0632826572369
FGF2 / FGFR4	9.20005977985044	89.1132409247787	63.8897982405958	10.7718591001807	5.82864932598144	98.8509440751401	25.7638009636509
EFNB3 / EPHB6	26.5313161640226	11.9671655076859	94.9413059092907	26.0419805702607	40.1052248447553	100	99.2929510552017
VIP / VIPR2	11.1564591373169	15.957403311697	97.9446111561908	38.4614633682342	13.2330334778394	52.0720451401382	100
EFNB3 / EPHB3	26.0035345053548	30.0749863075048	100	5.59216210995993	18.9357688985558	97.4354941886668	64.5892316777369
EFNB3 / EPHB1	100	0	0	0	0	0	0
BTC / EGFR	9.4585963867881	87.8188940884845	29.551139570731	9.33830341388864	16.3287273641093	95.4761870815148	68.687878695258
FGF1 / FGFR2	5.94903274427714	19.0946103345608	55.831073006546	14.9592455434697	100	75.2388388097505	5.61255600256179
FGF17 / FGFR2	5.94903274427714	19.0946103345608	55.831073006546	14.9592455434697	100	75.2388388097505	5.61255600256179
FGF2 / FGFR2	5.88067503105717	18.8752025831826	55.1895427542514	14.7873554462381	98.8509440751401	74.3743024746113	5.54806459527827
DLL3 / NOTCH4	100	1.13248629076112	4.0511790362493	1.76418554996785	0.959301777703337	2.25609312394666	6.72983680506963
CDH4 / CDH4	0	25.8149606627092	10.2499545841236	0	98.8709136371891	0	0
LAMA1 / ITGA6 + ITGB4	100	38.9131430360037	6.30222556991063	0	3.40853827410517	8.27855638778727	5.74861790782498
LAMA2 / ITGA6 + ITGB4	100	38.9131430360037	6.30222556991063	0	3.40853827410517	8.27855638778727	5.74861790782498
L1CAM / ITGA4 + ITGB7	2.01035160932427	2.05336824455067	5.55710986781671	100	0	6.10869010795494	14.6599807612657
GAL / GALR2	7.83889651936677	0.687934932386287	6.36858448493291	9.31801699001431	100	3.69173262597436	5.4012324255046
MDK / SDC2	11.5939748054349	18.0795108153589	40.2795784918248	14.3526296661178	17.6794615213743	82.4884030387065	98.5466460807869
CALCA / CALCRL	100	3.04446469198438	8.58445579899483	5.75418190498197	2.18466929621321	10.4209526026507	6.05857448136908
CALCB / CALCRL	100	3.04446469198438	8.58445579899483	5.75418190498197	2.18466929621321	10.4209526026507	6.05857448136908
DLL3 / NOTCH3	4.57680712916756	4.14475719826191	16.680298869768	0.849553340588049	4.62823930212028	11.0723461723752	100
SEMA3C / PLXND1	100	2.76195096591254	7.78110395930636	4.72006467167073	2.62005202965712	11.5902300223983	10.6419288025534
EFNA3 / EPHA1	2.64211202438985	100	14.007753184909	0	6.37853425172916	6.45883023393047	15.6984174390325
VIP / VIPR1	12.3403351145119	100	7.55274495177364	15.561171245827	0	3.82362656242289	9.94790410775689
NRXN1 / NLGN1	7.92044832223824	4.93941562567169	63.8667329718444	19.2655907786159	57.8073777502979	100	26.1817155616104
NRXN2 / NLGN1	7.92044832223824	4.93941562567169	63.8667329718444	19.2655907786159	57.8073777502979	100	26.1817155616104
NRXN3 / NLGN1	7.92044832223824	4.93941562567169	63.8667329718444	19.2655907786159	57.8073777502979	100	26.1817155616104
NRG2 / ERBB3	9.1642918961698	100	12.4273115804774	4.9681976378025	10.6263069465344	8.14162399531064	3.70358233538602
SPP1 / CD44	5.02998570263362	4.27785728433931	13.4081100704561	100	39.1827488335135	23.902421451836	3.86224008876388
COL9A2 / CD44	5.02998570263362	4.27785728433931	13.4081100704561	100	39.1827488335135	23.902421451836	3.86224008876388
COL9A3 / CD44	5.02998570263362	4.27785728433931	13.4081100704561	100	39.1827488335135	23.902421451836	3.86224008876388
LAMA1 / CD44	5.02998570263362	4.27785728433931	13.4081100704561	100	39.1827488335135	23.902421451836	3.86224008876388
LAMA2 / CD44	5.02998570263362	4.27785728433931	13.4081100704561	100	39.1827488335135	23.902421451836	3.86224008876388
SST / SSTR1	9.81403036426796	100	0	0	22.4461602845838	25.6368591481097	15.4730016111201
EFNA3 / EPHA2	49.5777172762728	100	11.4116407966933	9.76760129708424	7.62615429753021	8.19481237683819	17.9613187449235
APP / CD74	32.4140816189497	7.22572122136382	10.0455598826423	100	8.68737422308896	8.45491316049332	6.32680099042201
SST / SSTR2	5.78219849724083	10.3928451755466	30.2173651049524	0	14.5146764941343	13.4706452068052	100
EFNA3 / EPHA3	10.2707501528919	9.21568188718654	54.9927732270274	14.2634036216071	38.3847146183213	67.6938356553564	100
EFNA3 / EPHA7	36.9577742934333	5.91470280561345	46.7258536416578	8.69883310444701	56.3764844701542	100	8.96699313716274
PTHLH / PTH1R	16.1705865451786	11.9423705416275	74.530739103357	15.9129192878087	32.8259007152247	100	56.5457342039188
COL9A2 / ITGA11 + ITGB1	33.1126743655749	22.4963068775423	48.6421833923453	0	0	97.9229792173338	47.4246401933228
COL9A3 / ITGA11 + ITGB1	33.1126743655749	22.4963068775423	48.6421833923453	0	0	97.9229792173338	47.4246401933228
COL9A2 / SDC1	20.4144034661617	100	38.6415228093108	10.6864443655802	0	58.810315001277	26.1141767147334
COL9A3 / SDC1	20.4144034661617	100	38.6415228093108	10.6864443655802	0	58.810315001277	26.1141767147334
MDK / SDC1	20.1177099333023	98.5466460807869	38.079924723118	10.5311325075685	0	57.9555929833044	25.7346453039795
COL9A2 / ITGA2 + ITGB1	100	33.2615276572167	13.9439573849779	0	25.6746289275458	15.7785854879719	12.3270699580878
