Endothelial	Epithelial	Fibroblasts	Immune	Muscle	Myofibroblast_Mesothelium	Neural
LAMC3 / SV2B	82.1188414203274	1.89450885066771	0	0	0	0	100
GAS6 / MERTK	99.9835527718688	19.6081461572431	13.0747994050812	100	11.6793160061219	11.7025294746145	4.77799175615177
ANGPTL4 / CDH11	10.6552910429156	8.6702140156896	100	9.23136518587639	77.4656857790587	90.3500296985333	17.9035591315969
PDGFA / PDGFRA	10.8374336306942	6.07903867446256	66.8733051758367	6.11406356454703	6.30859039656208	100	8.56304881969372
IL17B / IL17RB	8.70030002236098	77.162835887773	28.1455821653743	0	37.6469632748227	10.3429387916978	100
THY1 / ITGAX + ITGB2	1.1373206425964	0.736504979193449	1.26023822959746	100	0	1.44947184634795	0
IL34 / CSF1R	0.762471868449122	2.15113549132464	1.05762708654605	100	0	3.88578977396169	0
THY1 / ITGAM + ITGB2	2.00938637225842	1.97668606769193	1.72951105325764	100	0	0	4.13433906861568
ANGPTL4 / CDH5	100	1.56739596316279	2.82131068723435	0	2.20495775432221	2.81951356672213	2.42159210601249
JAG1 / NOTCH4	100	1.13248629076112	4.0511790362493	1.76418554996785	0.959301777703337	2.25609312394666	2.74840485946294
ANGPT1 / TEK	100	1.35663461573495	2.22054952736259	0	0	8.05194874337581	4.90148637547052
ANGPT2 / TEK	100	1.35663461573495	2.22054952736259	0	0	8.05194874337581	4.90148637547052
THBS4 / CD36	100	2.97111484381374	5.10100456309416	37.7475498665036	2.86431267728322	2.35071714346689	2.20161649759696
TNFSF4 / TNFRSF4	100	2.47389168401941	4.38826423627387	35.8297417058691	0	7.89680601364817	1.87297713711636
WNT6 / FZD9 + LRP6	82.0864524544627	24.1199210008911	19.4729110991642	0	0	0	79.6549722453431
CCL2 / ACKR2	0	97.6508083068208	0	0	0	0	21.0776088984598
ARTN / GFRA3	2.69537801484347	11.0005782502182	6.69482191138935	22.0563594925964	0	0	100
TNFSF9 / TNFRSF9	5.15034230947146	25.9881910234141	0	100	0	22.6028635039073	2.39887348018007
COL4A2 / ITGA11 + ITGB1	33.1126743655749	22.4963068775423	48.6421833923453	0	0	97.9229792173338	0
COL6A3 / ITGA11 + ITGB1	33.1126743655749	22.4963068775423	48.6421833923453	0	0	97.9229792173338	0
NGF / NGFR	1.98471866022701	1.68752225375184	21.5314379328668	5.33245814887496	6.12554726059128	7.35264388881927	100
LAMC3 / ITGA6 + ITGB4	100	38.9131430360037	6.30222556991063	0	3.40853827410517	8.27855638778727	16.160065434926
MIF / CD74 + CXCR4	25.0973095780414	3.49350612259334	4.64102411810635	100	3.30863686061087	8.6589778923256	4.53840987069257
HGF / MET	100	60.1082914594054	7.78268360500529	16.0960462033772	6.87988024119242	31.3611046108392	6.59595147922017
COL4A1 / ITGA11 + ITGB1	32.6767269709154	22.2001300642638	48.0017810833585	0	0	96.6337668995431	0
CCL2 / ACKR1	97.6508083068208	6.24793746615565	6.67767033973854	0	5.15192736164806	3.58422703253682	3.77749623063551
ARTN / GFRA1	3.31548577745941	2.72558889467551	28.8138219116692	7.56408431287571	44.6861398825396	47.9274654922366	100
CCL19 / ACKR4	57.9548237489711	12.3221691930464	91.8447031900611	0	0	6.86045722425335	19.0516446876897
CD99 / PILRA	12.3491114948192	14.8546668758576	15.4553185204385	100	0	6.35030781399506	5.27068954038777
