Gene	LogFC	Pval
SAMD11	SAMD11	0.137573004936574	2.56829264837979e-10
MXRA8	MXRA8	0.775950781515804	1.41361159087334e-28
MMP23B	MMP23B	1.47688609232223	1.33205561692758e-79
RPL22	RPL22	27.7315896938626	5.83226761154014e-06
ERRFI1	ERRFI1	0.108171695726262	0.0011679414698868
ENO1	ENO1	6.23764252178943	1.28287032644824e-10
PDPN	PDPN	0.116787912771708	4.97547001106473e-08
MFAP2	MFAP2	3.18619048475405	7.7083573462055e-63
NBL1	NBL1	0.130333900328057	0.0274984445267639
CAMK2N1	CAMK2N1	1.10057789299853	3.14881911790994e-18
RPL11	RPL11	63.7309906783819	0.0013483294963876
HMGN2	HMGN2	18.5802628744466	3.92276816006546e-17
COL16A1	COL16A1	1.18380026396756	1.19242784773105e-61
ADGRB2	ADGRB2	0.132402120559289	1.77418409618673e-16
YBX1	YBX1	0.649158574307959	0.00061283150535177
CDC20	CDC20	7.68198552649358	0.00352548470999487
RPS8	RPS8	149.997468557368	1.76415097129752e-13
PRDX1	PRDX1	1.33818626586084	1.66314574477497e-06
PIK3R3	PIK3R3	0.604823366292111	4.1486244150511e-06
NFIA	NFIA	0.645815178228835	2.91482565623196e-15
DNAJB4	DNAJB4	0.921984478503851	2.50110335740769e-10
TTLL7	TTLL7	0.134019116917752	4.41043977498333e-11
LMO4	LMO4	0.420248051238901	1.07115457973895e-07
RPL5	RPL5	74.0109214426662	9.23830200213867e-14
PSRC1	PSRC1	0.205910337801952	2.60920101178154e-07
GSTM5	GSTM5	0.640084185059998	8.59948804341599e-37
OLFML3	OLFML3	4.78382620203272	1.98227566389987e-93
NOTCH2	NOTCH2	0.170780097878342	6.2691590998641e-16
ECM1	ECM1	0.190920553170097	1.19410899858491e-09
ADAMTSL4	ADAMTSL4	0.132870767187713	1.84644967926015e-08
CTSK	CTSK	0.36086701313421	5.98450798871533e-22
SELENBP1	SELENBP1	1.81869144556946	1.52412289328265e-07
S100A10	S100A10	60.405340814333	1.10314722026958e-11
S100A6	S100A6	2.75009897675412	0.00083959529829931
S100A4	S100A4	0.45019551084289	0.000163904651712508
RPS27	RPS27	42.7319420822416	1.32451068070179e-08
HDGF	HDGF	3.37559160998634	0.00100844769684915
DDR2	DDR2	0.321971187982047	1.80278372939381e-27
DPT	DPT	27.5422770105559	2.14989325707589e-89
ATP1B1	ATP1B1	6.46863531194768	1.56904303576449e-06
QSOX1	QSOX1	0.446498106597025	1.62277806352819e-08
ARPC5	ARPC5	0.783422489957773	2.07525630090143e-05
RGS2	RGS2	0.737750885525293	0.00313867669439043
ASPM	ASPM	1.41422943821005	0.00539078185981488
CSRP1	CSRP1	3.3513080723592	3.27170566830563e-07
UBE2T	UBE2T	1.99755741092268	0.00961922336164834
PPP1R12B	PPP1R12B	0.137718478188221	0.000719649728293443
FMOD	FMOD	0.286490719264548	1.27553817231792e-20
TMCC2	TMCC2	0.460867204078932	0.00278165448021324
NENF	NENF	1.20113950606923	5.10502998546442e-09
CENPF	CENPF	2.73617872608973	1.49840006635649e-06
RPS7	RPS7	36.7319006776497	0.000720942221901287
EMILIN1	EMILIN1	0.125112572096472	9.56754269136237e-130
PKDCC	PKDCC	2.99295279283795	2.0280817567793e-48
PLEKHH2	PLEKHH2	0.230861135111081	4.5489152295762e-24
RPS27A	RPS27A	19.7319483410111	3.03507490823326e-22
EFEMP1	EFEMP1	0.446198113941429	1.37166114489901e-21
MEIS1	MEIS1	0.484381214626287	5.44194455450033e-28
ANTXR1	ANTXR1	0.108915130467535	4.0363918622042e-11
PCBP1	PCBP1	0.696359678893982	0.00761580695078946
ACTG2	ACTG2	139.731948313919	1.53967301218706e-05
FABP1	FABP1	17.7310368725356	4.40693952588535e-07
DUSP2	DUSP2	5.66997649125976	2.12859929642443e-05
COX5B	COX5B	6.53197188059097	0.00615126407705339
RPL31	RPL31	8.68499677931636	0.0866210613331749
DBI	DBI	5.76678447758644	0.0705221614590529
GLI2	GLI2	0.164585439220257	2.77553368717329e-17
HNMT	HNMT	0.108691285779936	1.04748567304872e-09
ARHGAP15	ARHGAP15	0.252347146291574	2.9589674665292e-15
ZEB2	ZEB2	0.654301847583531	2.36182850317076e-62
TNFAIP6	TNFAIP6	1.90868706640949	1.6847027022939e-11
KLHL23	KLHL23	0.176662352800488	1.68424239183911e-09
CYBRD1	CYBRD1	0.196234424788784	5.87684509687841e-13
MAP3K20	MAP3K20	0.846475072443945	0.0230797802363333
FKBP7	FKBP7	0.250232802842453	3.28941970166929e-15
UBE2E3	UBE2E3	0.124384904643656	0.0584132786789098
COL3A1	COL3A1	136.731948338231	7.34336891123558e-194
GLS	GLS	0.33144798399169	0.000122184881906335
SGO2	SGO2	1.13167057505748	0.00124294025439848
FZD7	FZD7	0.359460530348656	2.35411822758255e-21
IGFBP5	IGFBP5	26.730830845477	2.00187945234338e-108
DES	DES	26.0237221376344	7.74814515226078e-07
CHPF	CHPF	0.398548832874822	1.18148237695458e-30
COL6A3	COL6A3	0.938151533632164	1.7720044584301e-68
RAMP1	RAMP1	1.04768069139415	3.30708549059391e-08
GPC1	GPC1	0.283704173119835	2.70225133208202e-26
RPL32	RPL32	91.7129031047747	0.00036938208588048
RPL14	RPL14	57.7128946602444	3.05305589150125e-05
TMEM158	TMEM158	0.142198826442369	3.72681558359894e-06
TMA7	TMA7	2.01741174512047	0.0150666088920789
RPL29	RPL29	81.7312299355437	1.79708723231854e-07
GLT8D1	GLT8D1	0.10856678050758	2.22083540467417e-05
TKT	TKT	1.02091645095955	0.00228508497474487
PDZRN3	PDZRN3	0.256756928081519	7.60953335608387e-16
TMEM45A	TMEM45A	0.128370340371622	1.96939527622868e-06
ABI3BP	ABI3BP	0.160681010861559	2.28779857428808e-18
RPL24	RPL24	14.729283854861	0.00011081051336701
CCDC80	CCDC80	2.0240930970293	6.41413867605574e-53
LSAMP	LSAMP	0.189960710800622	8.65860659597025e-24
MYLK	MYLK	0.6841468841073	0.00827959981550146
PLOD2	PLOD2	0.267145056759411	8.52212756128767e-06
PTX3	PTX3	10.6208506624836	0.000186707034959999
BCHE	BCHE	3.53342981506956	4.89497602568693e-07
EPHB3	EPHB3	0.136012183141792	3.24557308538024e-12
RPL35A	RPL35A	48.5542086651777	4.2719921816448e-07
SPON2	SPON2	6.70272510747628	1.2683400535539e-111
HTRA3	HTRA3	0.272711506471074	2.64190934826458e-18
SLIT2	SLIT2	0.158606055824762	3.79850067250927e-07
SOD3	SOD3	0.203138066726432	4.95821901539602e-13
RPL9	RPL9	31.4780480842886	0.0912871631125992
PDGFRA	PDGFRA	0.724543811806338	1.41685476539656e-46
SULT1E1	SULT1E1	9.64885061178546	0.0013797547580484
CXCL3	CXCL3	24.7118030331284	4.22316901217278e-05
SEPT11	SEPT11	1.23009882051662	1.34828488752e-20
ANXA3	ANXA3	0.2003755971224	0.0142688417045697
ADH5	ADH5	0.100212699470768	0.000569590563830056
ADH1B	ADH1B	5.65919158307596	9.09797619507666e-24
CENPE	CENPE	0.743661196365732	0.00991087270111352
