Gene	LogFC	Pval
AGRN	AGRN	3.64472501439011	7.93368589528781e-47
C1orf159	C1orf159	0.124334244324024	6.61080167712043e-06
TNFRSF4	TNFRSF4	11.2252098505683	0.000361850259413684
SDF4	SDF4	1.32620826924009	0.02657493896819
UBE2J2	UBE2J2	0.258762332605477	0.0228196405883963
ACAP3	ACAP3	0.334149636953748	6.26761818971443e-05
INTS11	INTS11	0.470981904578204	0.000452035732144111
DVL1	DVL1	0.319184588565178	1.8945181380015e-08
CCNL2	CCNL2	2.3929272252825	7.98388788928954e-15
MRPL20	MRPL20	0.967374642356637	0.000402430453972464
VWA1	VWA1	8.6337094212703	6.46156691336293e-23
SSU72	SSU72	0.771249882353652	0.0013727393434142
MIB2	MIB2	0.407085934437263	0.00659707561713651
MMP23B	MMP23B	0.147022567713155	0.0221450843251519
CDK11B	CDK11B	0.372470715109047	5.60384631729491e-06
CDK11A	CDK11A	0.177428521325336	0.00932879704428371
GNB1	GNB1	2.41102996399976	8.43691501259991e-08
FAAP20	FAAP20	0.787471119147542	0.007893443493095
SKI	SKI	1.75206596081121	4.81834089259486e-07
RER1	RER1	0.251733421922154	0.0955083227535318
PANK4	PANK4	0.113223878336499	0.010900165829078
HES5	HES5	3.32322799276045	3.74314913253373e-12
PRDM16	PRDM16	0.326286845313482	7.72962133125143e-08
MEGF6	MEGF6	0.256372137038299	8.28370795718042e-05
TPRG1L	TPRG1L	0.201704979366705	0.000508804546287276
WRAP73	WRAP73	0.176109466530765	0.0219272693406567
LRRC47	LRRC47	0.27944198959139	0.0362614273672286
CEP104	CEP104	0.164460608442926	0.0430810174430285
RPL22	RPL22	4.82521418546285	0.040820965677267
ICMT	ICMT	0.185630177508123	0.0140416345613752
TNFRSF25	TNFRSF25	1.39689741134805	1.38323836871247e-07
PLEKHG5	PLEKHG5	0.442764080580952	1.22954878783906e-13
NOL9	NOL9	0.136513491632055	0.0755216638872049
PHF13	PHF13	0.218198471320842	0.00163209350643495
CAMTA1	CAMTA1	2.0449562871515	6.95264317720277e-13
VAMP3	VAMP3	1.14941290679137	1.01367785783707e-10
PARK7	PARK7	3.83817121014961	0.0576723441570104
ERRFI1	ERRFI1	0.362494487634114	0.0233785858877568
RERE	RERE	0.763590959334507	4.87892064239399e-07
H6PD	H6PD	0.460817636434792	5.03051134462119e-07
SPSB1	SPSB1	0.122920357239191	0.012200758135835
TMEM201	TMEM201	0.121086994436765	0.00160514511077766
CLSTN1	CLSTN1	0.724502601308134	6.43016027169901e-08
CTNNBIP1	CTNNBIP1	4.12992000963771	9.52563395154369e-15
RBP7	RBP7	9.00477612288656	2.70488353128722e-12
UBE4B	UBE4B	0.261157135838337	3.54003281742693e-05
DFFA	DFFA	0.212712208044605	0.0142272119641097
CASZ1	CASZ1	0.466740253505137	1.27799988317823e-06
SRM	SRM	0.455892914803729	0.0207729429336524
MTOR	MTOR	0.159273020878568	0.00311169295801636
KIAA2013	KIAA2013	0.354008515552535	0.0282648202687256
