Gene	LogFC	Pval
AL645608.8	AL645608.8	0.318006768670381	0.000171743036618351
HES4	HES4	14.4593556658373	0.0575790432430698
AGRN	AGRN	3.35263041647466	1.40903293058336e-26
TNFRSF4	TNFRSF4	11.484020200735	1.70449461223585e-14
UBE2J2	UBE2J2	0.221832148576105	0.0643327354062098
ACAP3	ACAP3	0.318448951971275	3.37839253364101e-05
CCNL2	CCNL2	2.32576728158328	2.48807256585231e-18
VWA1	VWA1	8.22390385813029	4.68986212058607e-12
ATAD3B	ATAD3B	0.119461836780034	0.0475767852123236
ATAD3A	ATAD3A	0.108811921498245	0.0430241127495029
SSU72	SSU72	0.558837124361193	0.0665402461753177
MIB2	MIB2	0.330264286991514	0.0391031826227042
CDK11B	CDK11B	0.339443986625395	1.00206131075108e-06
CDK11A	CDK11A	0.176273203440207	0.00642616608361399
NADK	NADK	0.18371108610854	0.00903319263357132
GNB1	GNB1	2.27659680374131	5.00563064622377e-12
PRKCZ	PRKCZ	0.141033274331626	0.00406796017720252
SKI	SKI	1.56451194376147	0.0136310103972162
RER1	RER1	0.394075993201565	0.0628062797175562
PANK4	PANK4	0.101578634838344	0.0260118603492893
HES5	HES5	3.31205998754797	1.5277940702505e-10
TNFRSF14	TNFRSF14	0.687938227579311	0.000147249506886315
FAM213B	FAM213B	0.314281555728051	0.00223532870140161
PRDM16	PRDM16	0.320687252245705	8.69527178663491e-07
ACOT7	ACOT7	0.12642840942521	0.0475145534250537
TNFRSF25	TNFRSF25	1.48550212582557	3.23370598964557e-17
PLEKHG5	PLEKHG5	0.434376405544099	3.62600584445837e-12
CAMTA1	CAMTA1	1.82307825735575	8.49065089543382e-08
VAMP3	VAMP3	0.907667131683885	0.00206396852665623
RERE	RERE	0.668190154693223	5.37648815292047e-05
ENO1	ENO1	3.88596195144254	0.0625873488663977
H6PD	H6PD	0.309367134371723	0.0142112238222591
TMEM201	TMEM201	0.119330112406532	0.0192006208024386
CLSTN1	CLSTN1	0.338647022608717	0.00456564295598844
CTNNBIP1	CTNNBIP1	4.03103179227923	3.92769721031701e-09
RBP7	RBP7	9.03370486248625	9.46724672848911e-18
KIF1B	KIF1B	0.441102264822379	0.00141701741167549
DFFA	DFFA	0.156822118222222	0.0272094366107702
CASZ1	CASZ1	0.444436138822076	3.24907434090869e-06
TARDBP	TARDBP	0.433202934754435	0.0835306851747243
MTOR	MTOR	0.134210871184662	0.0187168459415547
MAD2L2	MAD2L2	0.147953389472517	0.0376098932999286
CLCN6	CLCN6	0.120702067764205	3.21561300386691e-05
TNFRSF1B	TNFRSF1B	2.41665652038166	4.28054042339997e-08
VPS13D	VPS13D	0.218372107488268	0.0482954731386694
PLEKHM2	PLEKHM2	0.436235346200815	2.97463360226173e-05
FBLIM1	FBLIM1	1.98742889330207	2.06708536307677e-18
SPEN	SPEN	0.901061519689547	7.87989674878012e-06
EPHA2	EPHA2	2.37688493238494	1.55625940960771e-16
SZRD1	SZRD1	0.378595736097474	0.0129011189530216
NECAP2	NECAP2	1.52281218828794	3.0321200943048e-06
ATP13A2	ATP13A2	0.379250531651055	1.95658462864933e-09
RCC2	RCC2	1.47137610113781	4.62261770081735e-06
IFFO2	IFFO2	0.148522783225087	0.0206128732881431
UBR4	UBR4	0.293418981403155	0.0497352014499745
AKR7A2	AKR7A2	0.370766145111926	7.77488241508398e-05
CAPZB	CAPZB	0.575029025932951	0.000546377622186574
MINOS1	MINOS1	0.705826811258697	0.0135576010944285
PINK1	PINK1	1.1402895622076	0.0120602722208605
EIF4G3	EIF4G3	1.27003182955497	5.77646522707981e-09
ECE1	ECE1	3.15000378042242	4.54258070370007e-15
ALPL	ALPL	2.41780481418147	6.70116920340271e-07
USP48	USP48	0.839683682817963	0.0930493511885006
HSPG2	HSPG2	89.6549820505363	1.75347268228274e-159
CDC42	CDC42	9.74213202232767	0.0128078926495186
LUZP1	LUZP1	4.28770904293966	1.33764219531621e-27
ZNF436	ZNF436	0.362473715600004	3.8342696154364e-06
ID3	ID3	47.6943740288951	1.36679589676372e-13
ELOA	ELOA	0.15251209267939	0.0713618539841997
LYPLA2	LYPLA2	0.509756676564874	0.000806796980785615
GALE	GALE	0.114226002287481	0.0472476909384713
CLIC4	CLIC4	7.18538038093462	8.39101481509145e-07
RSRP1	RSRP1	5.40775237375547	0.000446170199002703
TMEM50A	TMEM50A	4.85453781560106	0.000870258545154434
MACO1	MACO1	0.216961801807892	0.009797087179389
LDLRAP1	LDLRAP1	0.602814948957109	1.04291618280968e-06
SELENON	SELENON	3.73485074706811	6.5088642455696e-13
STMN1	STMN1	61.3987276721295	5.57021743317403e-06
FAM110D	FAM110D	9.12038378205517	1.37824159340202e-23
SH3BGRL3	SH3BGRL3	7.81063425202789	0.000417349938427504
RPS6KA1	RPS6KA1	0.166417026320551	0.00161687662125927
ARID1A	ARID1A	0.82663465651331	4.11319502324046e-06
SLC9A1	SLC9A1	0.106990891534234	0.00135125702174695
WDTC1	WDTC1	0.138338784763888	0.0168964795175133
WASF2	WASF2	8.62954974772796	1.74701842869458e-12
AHDC1	AHDC1	0.392272961795702	0.0327474366128778
STX12	STX12	0.558509259960301	0.00101741696971269
RPA2	RPA2	0.218454247981746	0.0333976289230015
EYA3	EYA3	0.118329196781519	0.0346283756168928
PHACTR4	PHACTR4	1.07073917329257	5.15890208566626e-08
SRSF4	SRSF4	4.61905447560492	3.06036025025075e-15
LAPTM5	LAPTM5	0.13213806640447	0.000171515441338347
SDC3	SDC3	0.403563467578049	0.00567968969109433
PUM1	PUM1	1.55165988073094	4.85138486211858e-06
TINAGL1	TINAGL1	1.68758838998696	1.67681073458324e-18
PEF1	PEF1	1.00426686310983	0.0957589206838604
KPNA6	KPNA6	0.277622320357891	0.00141574087437681
TXLNA	TXLNA	0.27395482270251	0.00384808880930467
EIF3I	EIF3I	9.27506906087794	0.000213592286743909
FAM167B	FAM167B	3.17312297847261	2.77118283038763e-19
HDAC1	HDAC1	0.535648835713354	0.047018961668106
MARCKSL1	MARCKSL1	40.5603803216976	4.27452050567479e-07
KIAA1522	KIAA1522	0.102121581955608	0.0027716398361792
S100PBP	S100PBP	0.110438801630777	0.0149770175548594
RNF19B	RNF19B	0.149519776421797	0.0109914886837528
AK2	AK2	0.488284238886637	0.0957340139787511
ZNF362	ZNF362	0.191242027093033	0.0115484648594369
PHC2	PHC2	2.76883941363566	0.0875750742260473
SMIM12	SMIM12	0.346359719135311	0.0273058137326611
GJA4	GJA4	35.0022367379614	5.47157184154944e-23
SFPQ	SFPQ	5.52280154208729	0.00982780492781665
KIAA0319L	KIAA0319L	0.298049541691633	0.0576781057134676
AGO4	AGO4	0.140864510332969	0.00554521844736037
AGO3	AGO3	0.584716880030748	0.00344665091381336
STK40	STK40	0.186936134613339	0.00123692268295757
ZC3H12A	ZC3H12A	0.310803458774968	0.0026674484777843
YRDC	YRDC	1.62518993932993	6.94184502690876e-08
RRAGC	RRAGC	0.114809192067909	0.0809107020572852
MACF1	MACF1	4.06644595792845	1.87635511826109e-12
CAP1	CAP1	1.63651380064321	1.16399176327947e-07
RLF	RLF	0.134443438978319	0.0916745490478429
CITED4	CITED4	9.9316766282174	0.000400228045611404
FOXJ3	FOXJ3	0.358293694288759	1.71231922867542e-06
TIE1	TIE1	15.6799063653828	3.34574918398167e-71
ELOVL1	ELOVL1	0.358001209213056	0.0540691670415986
HYI	HYI	0.691806514349377	5.43110290083971e-05
PLK3	PLK3	4.82670442284336	1.86254794732374e-10
HECTD3	HECTD3	0.229835707455054	0.00254085549298297
UROD	UROD	1.02889498686956	0.00932632959200229
AKR1A1	AKR1A1	0.265508137050342	0.042988504659195
NASP	NASP	2.45511869550251	0.000394643472105844
GPBP1L1	GPBP1L1	0.325319219203076	0.00806964150329104
PIK3R3	PIK3R3	1.16224167396999	0.000141326809691071
UQCRH	UQCRH	1.85043443351109	0.0523812991929953
NSUN4	NSUN4	0.115486279751867	0.0637920294413436
MKNK1	MKNK1	0.251796163223693	5.95370067717715e-05
EFCAB14	EFCAB14	35.8481019060387	7.85865754728145e-18
TAL1	TAL1	0.242985499669915	5.02510930618053e-11
RNF11	RNF11	0.266628580334504	0.0374668829826446
DHCR24	DHCR24	0.131745201538014	1.65628949800042e-05
USP24	USP24	0.240991837585417	0.00699300014905387
PLPP3	PLPP3	3.85567907283169	5.88729573053911e-09
MYSM1	MYSM1	0.265256809214516	0.00285439558752474
JUN	JUN	113.405465108108	2.88703146227879e-06
CACHD1	CACHD1	0.135300253319516	0.0862606831040268
RAVER2	RAVER2	0.112241860032182	0.000911211222027618
JAK1	JAK1	0.862869896164817	0.000725177210128584
AK4	AK4	0.199789504750928	0.000641077843608973
LEPROT	LEPROT	1.46183972709044	0.00129571854544864
LEPR	LEPR	0.251199508550913	6.19117703393756e-06
PDE4B	PDE4B	1.03785246877971	0.00237439493949281
TCTEX1D1	TCTEX1D1	0.20400257313773	1.98457845564311e-05
MIER1	MIER1	0.192416418027736	0.0045439712778875
SERBP1	SERBP1	4.13672040045952	0.00145050769108725
GADD45A	GADD45A	12.4459614796048	1.90133480804194e-11
SRSF11	SRSF11	3.70753374919574	0.00319696419608724
DNAJB4	DNAJB4	0.137726998784555	0.000149515910712025
IFI44L	IFI44L	0.12950445419147	0.00123167385451683
IFI44	IFI44	0.15383064293971	0.00387912965107874
ADGRL4	ADGRL4	12.517737446553	2.70099688453563e-14
ADGRL2	ADGRL2	5.80169922127243	3.6245572203483e-12
GNG5	GNG5	1.09906749467291	0.00802316950535043
BCL10	BCL10	0.443678591425461	0.000736256643676796
SH3GLB1	SH3GLB1	0.906279253791468	0.00556855128841471
PKN2	PKN2	0.863462593050468	0.027458987297284
LRRC8B	LRRC8B	0.117687434789375	0.000975605896654389
LRRC8C	LRRC8C	0.589571478840846	4.6189390272184e-14
TGFBR3	TGFBR3	0.583594836440409	0.00209056804309503
MTF2	MTF2	0.594847232621866	0.000216208253700631
TMED5	TMED5	0.58615153097536	0.0599608442744385
FNBP1L	FNBP1L	0.86544426440362	0.00203919600646063
DNTTIP2	DNTTIP2	6.71760789681758	0.00165975508434339
GCLM	GCLM	0.252446221215737	0.0199145258826119
ARHGAP29	ARHGAP29	8.25554748370716	3.12307027407862e-61
PALMD	PALMD	4.20421815995609	1.05681090101965e-16
CDC14A	CDC14A	0.792655983034854	0.0138262440930405
VCAM1	VCAM1	0.127073474261068	1.76637112133903e-12
AC104506.1	AC104506.1	0.257398683120659	0.0001840588105199
S1PR1	S1PR1	3.72379525741975	3.78007929536134e-18
VAV3	VAV3	0.181284287279999	1.98974516602073e-07
PRPF38B	PRPF38B	1.21366379473171	0.00204667907063429
TAF13	TAF13	0.126800425937737	0.000890153392057003
TMEM167B	TMEM167B	0.114831273107752	0.0842117063053479
SORT1	SORT1	0.171818745776048	0.000414873351378566
GNAI3	GNAI3	4.68443289269033	1.15619762908898e-13
STRIP1	STRIP1	0.259601842317823	0.000141265223696189
KCNC4	KCNC4	0.376604370938536	4.29607572243772e-11
DRAM2	DRAM2	0.125363076758029	0.0705470835085042
RAP1A	RAP1A	1.48244575219397	0.000143269130121393
CTTNBP2NL	CTTNBP2NL	0.935541204350464	5.62046378162753e-08
CAPZA1	CAPZA1	0.26928516157628	0.0425250988260046
MOV10	MOV10	0.357332870179806	0.000105189804086218
RHOC	RHOC	16.2568924455629	1.03864360886639e-13
HIPK1	HIPK1	0.244345086905631	0.0649762728317548
TRIM33	TRIM33	0.630753145474874	2.78118443637025e-05
BCAS2	BCAS2	0.125960024266619	0.0333728601875944
NRAS	NRAS	0.341585379238243	4.0172304411222e-05
CSDE1	CSDE1	1.92461221895273	0.0375813186663221
TSPAN2	TSPAN2	2.6700962801538	4.91094211861695e-08
VANGL1	VANGL1	0.150825634923468	0.034942999996044
ATP1A1	ATP1A1	8.09586316950467	1.86616751624329e-19
CD58	CD58	0.297643689651759	9.883753020176e-07
IGSF3	IGSF3	0.124850535776823	0.00141194676771235
PTGFRN	PTGFRN	0.272740575803773	0.0139641586311393
PHGDH	PHGDH	0.569349128502068	6.83365886843837e-09
SRGAP2C	SRGAP2C	0.57362629567505	1.15123644011267e-07
SRGAP2B	SRGAP2B	0.729402829015249	2.22239955491286e-11
RNF115	RNF115	0.384111037810844	0.0163601368873532
TXNIP	TXNIP	0.406445378139615	0.0946085978720295
GJA5	GJA5	18.7648863331007	1.15992811511094e-07
HIST2H2BE	HIST2H2BE	0.108491692500661	0.00111262672465612
ANP32E	ANP32E	0.14515092508388	0.0976576143003843
APH1A	APH1A	1.43405123161391	0.0028636033726335
C1orf54	C1orf54	2.15216197014607	5.66007398792692e-10
MCL1	MCL1	11.4055120836293	6.30673614691119e-06
SEMA6C	SEMA6C	0.407368345584098	1.13719356947e-08
PSMB4	PSMB4	0.831699755182275	1.08572029371227e-05
POGZ	POGZ	0.905044286606059	7.71152598495799e-06
MRPL9	MRPL9	0.292892586325855	0.00103719013887716
S100A10	S100A10	19.6834411492244	5.84880402998622e-14
S100A6	S100A6	14.4054523257562	0.093071075690833
S100A16	S100A16	7.92467814952824	6.99342118565771e-21
NPR1	NPR1	0.52613916326107	1.76049761830368e-18
INTS3	INTS3	0.469092931133648	5.03871359951633e-06
SLC27A3	SLC27A3	1.08575175710401	5.97192206899716e-06
CRTC2	CRTC2	1.52153651825991	4.5698981459145e-06
RAB13	RAB13	2.34680519759533	0.0119129289028211
RPS27	RPS27	6.40545463608367	7.64584110465942e-11
TPM3	TPM3	17.6830406417575	1.54660204847814e-39
UBAP2L	UBAP2L	0.192240880416205	0.0346531946006766
ATP8B2	ATP8B2	0.159405325229257	0.00929980103009044
SHE	SHE	2.76100233201721	9.67893379222335e-28
TDRD10	TDRD10	0.155467629796937	5.31402897293622e-08
UBE2Q1	UBE2Q1	0.399380283981693	1.49981223873099e-07
ADAR	ADAR	0.578347414584278	0.00661647881451522
KCNN3	KCNN3	1.50660268244497	2.5207972893037e-07
SHC1	SHC1	1.03427588450905	3.82147566252874e-08
ADAM15	ADAM15	18.9907112657742	5.59829167490177e-61
EFNA1	EFNA1	42.8245895321944	6.77593141985376e-50
SLC50A1	SLC50A1	0.55520219661222	0.0281089461610453
MTX1	MTX1	0.20546404494375	0.00382489306005435
FAM189B	FAM189B	0.172690772668768	0.00141645786591926
SCAMP3	SCAMP3	0.336261700465387	0.0981670660122947
CLK2	CLK2	0.144542981185616	0.0264553117859071
FDPS	FDPS	18.6340102440904	4.24821380428858e-13
ASH1L	ASH1L	0.499729778754503	0.000240752383722838
YY1AP1	YY1AP1	0.238952039710305	0.073010017926113
GON4L	GON4L	0.322790586593917	9.46632777513149e-05
SYT11	SYT11	0.423957205675208	0.000908709093954611
RIT1	RIT1	0.225258107972961	0.025790133281804
KHDC4	KHDC4	0.322749719267276	0.0635435387063762
ARHGEF2	ARHGEF2	0.483774872210588	1.147968617114e-05
LAMTOR2	LAMTOR2	2.01149196405128	0.0191634132746937
LMNA	LMNA	1.74138967704555	0.000160081874422098
SLC25A44	SLC25A44	1.57503461069863	2.46785301284513e-09
SMG5	SMG5	0.193193419075046	0.000900754469858246
MEF2D	MEF2D	0.267278184188475	0.0357754441377349
NES	NES	2.95553394611565	0.00121908905163241
HDGF	HDGF	1.85668774722715	0.00193520359212813
PEAR1	PEAR1	2.10821764031242	4.42487476320008e-07
ARHGEF11	ARHGEF11	0.222188723538672	0.000338079970458363
ETV3	ETV3	0.767492250042103	2.58428077709725e-06
ACKR1	ACKR1	31.9803451526263	2.15253583838886e-10
DUSP23	DUSP23	1.39675571428243	0.000141827684770964
TAGLN2	TAGLN2	19.5323931591164	8.43966286920367e-15
PEA15	PEA15	5.96739853802776	5.07976485387643e-11
DCAF8	DCAF8	0.177728036782333	0.00966762711769782
F11R	F11R	0.657043282406968	6.08621302763535e-10
PFDN2	PFDN2	2.48227396214164	0.000543581350056472
DEDD	DEDD	0.334986517117214	2.3941338831065e-05
UFC1	UFC1	1.85081500441769	0.00477742267615986
B4GALT3	B4GALT3	0.273466087509021	0.0150868906109841
ADAMTS4	ADAMTS4	1.42338266431108	3.27353916246125e-08
NDUFS2	NDUFS2	1.23541198329536	0.0228863058173272
FCER1G	FCER1G	0.369871512433131	2.47351043704286e-08
ATF6	ATF6	0.272784779085794	0.000681970461531352
UHMK1	UHMK1	0.124589880597969	0.0912197917053096
HSD17B7	HSD17B7	0.20944965412364	0.0278689019110773
UCK2	UCK2	0.329531114229183	0.000502559545788192
MPZL1	MPZL1	1.01444796413978	0.0137617903070038
MPC2	MPC2	0.398931476608262	0.0362755854208218
DCAF6	DCAF6	0.162208187175204	0.0269594909961087
SFT2D2	SFT2D2	0.208401884167177	4.12666374420814e-05
SELP	SELP	0.307884601660102	5.91885085718785e-07
SELE	SELE	11.2810757840035	2.52786389777581e-22
PRRC2C	PRRC2C	0.771500069015479	3.0162556959544e-08
DNM3	DNM3	0.126145302197095	5.19933489239558e-06
PRDX6	PRDX6	0.34413454240662	0.0346644305323262
KLHL20	KLHL20	0.296119545615694	0.0371599962067139
RC3H1	RC3H1	0.312590903236809	0.00912834080066007
KIAA0040	KIAA0040	0.446539715915502	0.0100048153834683
COP1	COP1	0.198297693362929	0.00135344196031992
RASAL2	RASAL2	1.48227002591721	1.06517411840782e-25
FAM20B	FAM20B	0.11047485651972	0.00609843509651719
ABL2	ABL2	5.82639402507058	2.28514545667698e-10
TOR1AIP2	TOR1AIP2	0.283932314940253	0.00675713569019758
