Gene	LogFC	Pval
RNF223	RNF223	0.430679046596206	1.08764252902631e-27
AL390719.2	AL390719.2	0.592152321635589	1.76856482118453e-38
SDF4	SDF4	1.0089738680729	0.0728907728419403
C1QTNF12	C1QTNF12	0.689086459714111	1.93575618096984e-25
PUSL1	PUSL1	0.103611573282522	0.0321636269722922
INTS11	INTS11	0.279778294101124	0.00247672773421427
MXRA8	MXRA8	7.98320269226866	1.64367033996201e-35
AURKAIP1	AURKAIP1	5.52854811342561	0.0206458610921028
TMEM52	TMEM52	0.253738552248525	1.58703798188316e-13
PRKCZ	PRKCZ	0.723106782841037	1.15994412496723e-15
FAAP20	FAAP20	0.85083192690134	0.0147803102629536
TNFRSF14-AS1	TNFRSF14-AS1	0.806386994246966	1.64065448186088e-39
TNFRSF14	TNFRSF14	2.53262201895637	3.13476876449758e-05
AL831784.1	AL831784.1	8.81812085848068	3.51761292802788e-11
ARHGEF16	ARHGEF16	0.26615116796649	4.84061260194041e-19
SMIM1	SMIM1	1.02986808462987	4.58660443848721e-11
RPL22	RPL22	88.8300773322937	7.50178646300379e-05
GPR153	GPR153	0.122089472252163	7.02985128412264e-06
ESPN	ESPN	6.48169414046077	3.6928505253404e-54
KLHL21	KLHL21	1.69650105245049	2.03036588481632e-11
PARK7	PARK7	8.05534011643596	6.39974203238956e-07
ERRFI1	ERRFI1	16.4492949987216	3.32389158040162e-34
ENO1	ENO1	18.3361818244899	0.00721739560799641
SLC2A5	SLC2A5	0.190485180855526	5.89309661777441e-07
SPSB1	SPSB1	0.430384466102706	0.0145297128603219
PIK3CD-AS2	PIK3CD-AS2	0.115290191011862	9.38067463831238e-09
CLSTN1	CLSTN1	0.232605795197316	7.09587766205929e-05
LZIC	LZIC	0.25705544952432	0.0979684135779224
SRM	SRM	0.185146021873913	2.48663069062194e-06
FBXO2	FBXO2	3.99891353855147	6.12445040629987e-34
FBXO6	FBXO6	0.12899835934284	0.0498864509431863
KIAA2013	KIAA2013	1.46521870624747	4.99890987268081e-05
TMEM51	TMEM51	0.763430209714179	3.90747012359023e-12
