Gene	LogFC	Pval
ISG15	ISG15	2.60049868696281	2.58788322953371e-08
AGRN	AGRN	2.9612167418945	1.4420892345075e-26
TNFRSF4	TNFRSF4	11.5046144542526	1.39751979455722e-16
CPTP	CPTP	0.10856585481705	0.0652627740391108
CCNL2	CCNL2	1.89688567807076	3.62709231396377e-26
VWA1	VWA1	5.68355022022006	3.72702601510875e-17
MIB2	MIB2	0.133063950057599	0.00949127924124732
CDK11B	CDK11B	0.286764947085637	1.25929655892411e-06
SLC35E2B	SLC35E2B	0.152951485612591	4.15097790539262e-05
CDK11A	CDK11A	0.140250466422049	0.00565327958554383
SKI	SKI	1.39343719315858	1.00382689944162e-07
HES5	HES5	3.24364254681388	8.87381206226434e-10
PRDM16	PRDM16	0.291944583903842	2.05721903712835e-06
MEGF6	MEGF6	0.23032068158356	1.1216084098481e-06
WRAP73	WRAP73	0.11213579424465	0.000307845471911497
LRRC47	LRRC47	0.147871418632391	0.00232957725205206
TNFRSF25	TNFRSF25	1.10001284987773	1.01502876066255e-10
PLEKHG5	PLEKHG5	0.404993082708687	3.29622656608012e-11
PHF13	PHF13	0.110561442711309	0.000579302231231746
CAMTA1	CAMTA1	0.250938381278123	2.00953574707381e-14
VAMP3	VAMP3	0.774138904145559	8.04376569081901e-12
RERE	RERE	0.285593479162701	2.59377797016793e-08
H6PD	H6PD	0.231012049849124	0.000153481676959621
TMEM201	TMEM201	0.104573710564379	0.00051665080540222
CTNNBIP1	CTNNBIP1	3.9199860908643	4.08227632184908e-13
RBP7	RBP7	9.02580904832721	1.86118744827598e-18
KIF1B	KIF1B	0.204001256937449	4.08519687465233e-05
EXOSC10	EXOSC10	0.143505379461458	0.0149303810140304
MTOR	MTOR	0.125304924730987	0.000208318805146072
MAD2L2	MAD2L2	0.127132389773216	0.00289826357623091
PLOD1	PLOD1	1.5298971216046	7.0182391376806e-13
TNFRSF1B	TNFRSF1B	2.42270235458129	1.49762590654251e-10
VPS13D	VPS13D	0.152591503960364	0.00255415736547435
KAZN	KAZN	0.154510649948069	2.62878047753527e-07
PLEKHM2	PLEKHM2	0.436331112873713	1.04364534997594e-07
NECAP2	NECAP2	1.4054714431305	1.08066992616001e-12
CROCC	CROCC	0.176356191148827	8.23158896650915e-06
ATP13A2	ATP13A2	0.272957105515732	1.06016785526871e-06
RCC2	RCC2	1.21660582730914	8.29087006012927e-10
IFFO2	IFFO2	0.11294725753139	0.00794963967700348
PINK1	PINK1	0.959985442164627	1.92955766735597e-05
EIF4G3	EIF4G3	0.949171872996406	1.22446381383542e-11
ECE1	ECE1	3.10066918989986	1.23685494275839e-23
ALPL	ALPL	2.43547083515819	3.9170714342322e-09
USP48	USP48	0.519745800108802	8.32201069583004e-06
HSPG2	HSPG2	79.1685556528106	3.86070326775823e-153
CDC42	CDC42	10.4799784971254	4.42121773375376e-17
KDM1A	KDM1A	0.217353345525189	0.00180542819448093
LUZP1	LUZP1	4.0717352084423	9.53803507338631e-33
ZNF436	ZNF436	0.370208409437193	1.25680270442181e-09
ID3	ID3	27.2179169156732	1.39041671112957e-71
SRSF10	SRSF10	0.971540407073328	0.0126010755166874
CLIC4	CLIC4	8.83984128902514	1.04777552764694e-28
SYF2	SYF2	0.883069558355666	4.98688048465213e-07
RSRP1	RSRP1	7.05206236283469	5.31085007589066e-13
LDLRAP1	LDLRAP1	0.556070048269988	3.0672652777253e-08
SELENON	SELENON	3.92913326549604	7.21407270337405e-26
STMN1	STMN1	39.1695639044301	2.2040985656686e-49
FAM110D	FAM110D	9.10997674264272	5.60239554154856e-23
ARID1A	ARID1A	0.276628835517288	1.45070081501304e-09
WASF2	WASF2	7.67677856842014	3.00117326557689e-24
STX12	STX12	0.255249450151781	6.14929315979935e-10
PHACTR4	PHACTR4	0.731435429192617	3.50391224524332e-09
SRSF4	SRSF4	2.040127294402	1.17191165522031e-19
LAPTM5	LAPTM5	0.108356935012374	0.00201166533342039
SDC3	SDC3	0.419024888170116	5.38631353930278e-07
PEF1	PEF1	0.917968706670307	1.63454687780039e-05
TMEM39B	TMEM39B	0.243539667087263	2.64550914783632e-06
CCDC28B	CCDC28B	0.169104392965332	2.38405236847693e-06
EIF3I	EIF3I	4.27732709442752	9.97721485311253e-11
FAM167B	FAM167B	3.16712766249047	5.87477243983316e-20
MARCKSL1	MARCKSL1	19.1627245686157	3.51497534739667e-42
ZBTB8A	ZBTB8A	0.208650750754651	0.00386110885368825
S100PBP	S100PBP	0.118176237036388	3.69470225884042e-05
ZNF362	ZNF362	0.218645809650283	4.39083172903988e-07
PHC2	PHC2	2.93310962444607	9.42547805084188e-15
SMIM12	SMIM12	0.249420546114606	0.00113861891673109
GJA4	GJA4	34.9593895197686	7.7420991564136e-23
AGO4	AGO4	0.133563073238047	0.000757349100326091
AGO3	AGO3	0.386121505455386	0.00016545318685808
MAP7D1	MAP7D1	0.637012744418375	3.59180276874365e-09
THRAP3	THRAP3	0.567111918251778	1.10714972027557e-05
EVA1B	EVA1B	4.26732588141187	5.07037974051167e-18
YRDC	YRDC	0.928950567396195	4.65270999857011e-06
SF3A3	SF3A3	0.151442826319257	3.73318684700848e-08
FHL3	FHL3	0.413235187245105	1.54241756018919e-06
UTP11	UTP11	0.254300703363072	3.89384028330253e-05
POU3F1	POU3F1	0.153033638536081	0.0094973072088673
MACF1	MACF1	3.99388691852742	1.8452224298649e-30
PPT1	PPT1	0.17873253230055	0.0718113435896772
NFYC	NFYC	0.189548654290627	0.000124417558376857
CITED4	CITED4	9.8126632343697	0.000149038731163041
FOXJ3	FOXJ3	0.209529620219738	3.38164132959671e-06
P3H1	P3H1	0.316190975834217	6.59796317696195e-10
SVBP	SVBP	0.468417936679357	0.0208703434420089
TIE1	TIE1	15.64904494755	5.09486597204886e-71
