Gene	LogFC	Pval
NOC2L	NOC2L	0.53116743124345	0.0310047692986776
AL645608.8	AL645608.8	0.26650341385011	0.00329105836495723
RNF223	RNF223	0.420070321090835	3.67574558816165e-18
AL390719.2	AL390719.2	0.600928116002878	9.65072427424965e-40
SDF4	SDF4	1.93903166267801	0.0721302873141771
C1QTNF12	C1QTNF12	0.785059206276196	7.79828260537673e-32
PUSL1	PUSL1	0.119771084922487	0.00673128718514841
DVL1	DVL1	0.234154828717784	5.07062452688707e-07
AURKAIP1	AURKAIP1	6.51846804169467	5.80481269607604e-08
CCNL2	CCNL2	0.311556561611243	8.43058771137854e-08
MRPL20	MRPL20	2.24273375430242	0.0648741408428614
VWA1	VWA1	2.67283829482075	5.58155289021745e-07
SSU72	SSU72	1.20902667464889	0.0205035530880204
MIB2	MIB2	0.238453093169515	0.0381340811347554
MMP23B	MMP23B	1.11362559147071	1.0991862848178e-112
NADK	NADK	0.209978597695455	0.00795708515758009
TMEM52	TMEM52	0.258032891119616	4.09381273047969e-12
PRKCZ	PRKCZ	0.848776811852616	4.24745367847614e-37
FAAP20	FAAP20	1.26979332957493	3.55986575145729e-05
SKI	SKI	0.13324721259793	0.0883072617280661
RER1	RER1	1.70401791231501	0.0367985450121568
PEX10	PEX10	0.105899131054821	0.0491127634788796
TNFRSF14-AS1	TNFRSF14-AS1	0.80473138428223	1.69548236584736e-39
TNFRSF14	TNFRSF14	3.34487869603268	9.2482964067691e-66
FAM213B	FAM213B	0.595200874612213	5.61924384840565e-13
AL831784.1	AL831784.1	8.81553564753986	1.42128744146451e-14
ARHGEF16	ARHGEF16	0.265755430932121	1.19494037620308e-19
TPRG1L	TPRG1L	0.315187310184827	2.74501474266978e-06
SMIM1	SMIM1	1.04545576380035	2.84715183666935e-20
RPL22	RPL22	61.0984876384311	4.43194944320158e-28
ACOT7	ACOT7	0.349664465758487	0.0755547186660974
ESPN	ESPN	6.5330253687106	1.85656562006294e-57
TNFRSF25	TNFRSF25	0.37761151531911	7.26428680427664e-10
KLHL21	KLHL21	1.7589235752112	2.09585806330974e-15
CAMTA1	CAMTA1	1.4423159146277	0.0123656704231201
VAMP3	VAMP3	0.354514525241856	0.0742656141480761
PARK7	PARK7	8.71306612352377	8.72235042205435e-14
ERRFI1	ERRFI1	16.3411233029954	1.58287034071474e-26
ENO1	ENO1	12.0985393027005	1.59798045536669e-10
SLC2A5	SLC2A5	0.213368650757003	9.36038216639345e-14
SPSB1	SPSB1	0.509918219899304	1.04589303403668e-10
SLC25A33	SLC25A33	0.518572387859922	0.0316031657163049
PIK3CD-AS2	PIK3CD-AS2	0.113725363961175	6.92552150173793e-07
CLSTN1	CLSTN1	0.734673435050519	0.00144258480056172
KIF1B	KIF1B	0.142171859688037	0.00613065653832476
DFFA	DFFA	0.244730717334391	0.00414703741284854
CASZ1	CASZ1	0.272486160001249	7.40179120709981e-15
SRM	SRM	0.44065685293742	8.74673933157014e-12
FBXO2	FBXO2	7.92610288435714	1.16022227689345e-40
FBXO6	FBXO6	0.145430052992341	0.0047726930848032
MTHFR	MTHFR	0.473765000938263	1.31608617140149e-10
CLCN6	CLCN6	0.119965849445089	1.37098751504867e-05
KIAA2013	KIAA2013	1.78074603226844	1.63625278889465e-14
MFN2	MFN2	0.250286222257233	0.000462671942335091
PDPN	PDPN	0.466914763812089	1.00344801039359e-17
PRDM2	PRDM2	0.215864594765516	0.00672508323659751
KAZN	KAZN	0.256747498459257	0.0110092596435559
TMEM51	TMEM51	0.708589790514317	0.0314766783692382
EFHD2	EFHD2	0.517733795361854	0.00851115928999299
AGMAT	AGMAT	0.466266246405722	2.04028566244908e-10
DDI2	DDI2	0.936492099970529	4.2204536689579e-16
TMEM82	TMEM82	0.304670726156948	6.44588893534916e-23
FBLIM1	FBLIM1	2.94987131007532	8.76862811586643e-29
SPEN	SPEN	3.67955712479583	1.67808158351113e-11
EPHA2	EPHA2	18.7260166832714	1.7975018845955e-130
ARHGEF19	ARHGEF19	0.111146009725186	0.0280993051361861
MFAP2	MFAP2	4.84066333142517	4.89022647942988e-68
SDHB	SDHB	1.75057968036143	3.04968182318652e-16
PADI2	PADI2	0.174386021526159	2.79839624698839e-14
RCC2	RCC2	0.265467974377351	0.000829781080803291
ARHGEF10L	ARHGEF10L	0.481147033696404	1.01003884863936e-10
UBR4	UBR4	0.290744530531941	0.0739713200440967
EMC1	EMC1	0.128533097774463	0.0503600813359872
MRTO4	MRTO4	0.324517421404635	0.0223785652646953
AKR7A2	AKR7A2	0.940235247538816	0.0569379251496518
PQLC2	PQLC2	0.114073123110073	0.017449019011405
MINOS1	MINOS1	9.58005948364369	0.00322064552382193
RNF186	RNF186	9.94244876203257	8.70108746934398e-38
PLA2G2A	PLA2G2A	41.9232101551148	9.84737298825594e-32
CAMK2N1	CAMK2N1	13.3213004340476	2.83790375010135e-10
CDA	CDA	0.733571873080922	6.007810472354e-07
PINK1	PINK1	0.176631506471825	0.0839429664309358
DDOST	DDOST	3.40816589175112	0.000428260907904132
ECE1	ECE1	0.216788405125238	0.00137423676548157
USP48	USP48	0.332215443865581	0.000191532351002148
HSPG2	HSPG2	10.3853460563739	0.0942909199959162
CDC42	CDC42	2.42848267193883	2.28062896978259e-05
EPHB2	EPHB2	1.25902789040421	0.00974214141621477
KDM1A	KDM1A	0.107718317210692	0.00555104664421247
HNRNPR	HNRNPR	5.38136913396405	9.8100240297131e-15
TCEA3	TCEA3	1.72171628097237	0.0170558268055008
ID3	ID3	23.3936460469635	1.08088615323307e-29
RPL11	RPL11	179.098487636371	4.60201956710566e-32
LYPLA2	LYPLA2	0.656784417850564	0.00809920512988041
GALE	GALE	3.27971359016433	2.01933709500312e-42
HMGCL	HMGCL	0.385693801377775	1.21610433581295e-07
FUCA1	FUCA1	1.27937769095305	2.87600370874704e-21
SRSF10	SRSF10	0.299834887975055	2.03834931711352e-11
MYOM3	MYOM3	0.262456920801219	3.27483024933466e-17
IL22RA1	IL22RA1	0.73996139302208	8.94553287476154e-16
IFNLR1	IFNLR1	0.125467474117737	1.8959418532153e-12
RCAN3	RCAN3	0.17617306993841	4.96679771691889e-05
SRRM1	SRRM1	4.49796064037331	0.000126621045297758
RSRP1	RSRP1	1.95529266409851	4.60137289657281e-10
MACO1	MACO1	0.174288323709987	0.0314093067384758
PAFAH2	PAFAH2	0.128323921434637	6.27624706180288e-05
SLC30A2	SLC30A2	0.751727237516378	3.33606137882683e-20
ZNF593	ZNF593	1.03811695158752	3.65206574870364e-07
CNKSR1	CNKSR1	0.84138480270829	2.06177108039952e-54
SH3BGRL3	SH3BGRL3	26.0604465664386	0.000648915755117724
CRYBG2	CRYBG2	0.123498978459757	2.22676240165668e-12
DHDDS	DHDDS	0.154600272001697	4.53671667834384e-08
HMGN2	HMGN2	10.0618052995473	3.07371476718816e-46
RPS6KA1	RPS6KA1	0.669753950029273	1.75799433067855e-26
ARID1A	ARID1A	0.503082329777526	0.00825804628095335
SFN	SFN	68.722915831108	1.85164847448012e-50
GPN2	GPN2	0.100308303670136	0.0168784532384877
NR0B2	NR0B2	10.9443306123701	1.96464596133498e-24
KDF1	KDF1	0.111332095450662	1.18942234468419e-05
SLC9A1	SLC9A1	0.2110856496131	4.66869045400802e-05
SYTL1	SYTL1	0.134106026107644	5.29706650369795e-10
AHDC1	AHDC1	0.55323231922854	0.0306630923083163
RPA2	RPA2	0.14355108332531	0.00261634131028902
SMPDL3B	SMPDL3B	0.279956436477648	2.52909373099052e-22
DNAJC8	DNAJC8	1.24842669807023	0.0349801907594012
ATP5IF1	ATP5IF1	17.1053146817115	2.33727083316775e-14
SNHG12	SNHG12	0.710644642522522	1.55392807597951e-07
YTHDF2	YTHDF2	3.39111361248745	0.095345460960534
EPB41	EPB41	0.373425234865859	1.10871096686268e-10
PTPRU	PTPRU	0.145131328007446	2.01844057150091e-05
PUM1	PUM1	2.13208049661147	0.0113376858076461
SNRNP40	SNRNP40	0.347350530357813	0.00111905417613947
FABP3	FABP3	1.28599959244241	1.06114829696249e-05
SERINC2	SERINC2	2.69731131997077	4.53576044378391e-37
TINAGL1	TINAGL1	1.64072929064367	3.23741153706782e-23
COL16A1	COL16A1	0.383055252799346	8.77299152324628e-94
PTP4A2	PTP4A2	4.56274268428751	0.00139490189063541
KHDRBS1	KHDRBS1	7.90307600363877	6.85571699347841e-13
TXLNA	TXLNA	0.14892572946649	0.00232655751407993
HDAC1	HDAC1	2.90872253974493	0.000228569113488797
MARCKSL1	MARCKSL1	21.89594117168	5.95692732319784e-09
