Gene	LogFC	Pval
ISG15	ISG15	0.248731268289705	1.5467647173652e-08
MEGF6	MEGF6	0.122976148525815	3.86203821360503e-15
HP1BP3	HP1BP3	2.94653487495856	2.44162827806723e-08
STMN1	STMN1	6.9015145266567	2.53674996732462e-71
RBBP4	RBBP4	0.165560190197748	0.000395713641292412
EVA1B	EVA1B	0.451100682874103	1.24045050912462e-31
FHL3	FHL3	0.147247769652385	6.86767962892909e-16
P3H1	P3H1	0.235870407516917	1.62093882997431e-34
UROD	UROD	0.827860129891676	4.81559875820096e-05
GPX7	GPX7	0.188909871552951	1.15437006329094e-34
PLPP3	PLPP3	0.421182580729451	7.0644350453901e-12
JUN	JUN	194.774584352586	8.21101429856506e-103
NFIA	NFIA	0.231513344346266	1.35658398864033e-78
PTGER3	PTGER3	0.396410660835851	1.52429927620044e-17
NEXN	NEXN	0.415710012491594	3.59714206744338e-21
DNAJB4	DNAJB4	1.19390908039572	2.29511352709555e-29
TTLL7	TTLL7	0.158155402331506	1.71684271825963e-19
GBP1	GBP1	0.108640773940003	1.10146050063233e-12
CNN3	CNN3	2.54295721646435	3.31508262305781e-53
VCAM1	VCAM1	0.679460237272406	2.60994657200481e-28
EXTL2	EXTL2	0.190158385442671	8.70638838291788e-15
PSRC1	PSRC1	0.208520965255668	1.5588292788435e-11
GSTM5	GSTM5	0.64620347874911	2.18951831206323e-45
CSF1	CSF1	0.288063032513463	8.51013593190167e-25
OLFML3	OLFML3	3.82598363052665	2.81080473418505e-149
PIAS3	PIAS3	0.114078318931182	7.48730315929655e-15
ECM1	ECM1	0.205882399903366	1.0493171730331e-20
ADAMTSL4	ADAMTSL4	0.123004646375607	3.13124152755481e-16
CTSK	CTSK	0.231215033373701	6.58041820004752e-35
MLLT11	MLLT11	0.142533357281107	8.49655453973701e-16
S100A4	S100A4	0.464126380778676	2.88677427827217e-10
KCNN3	KCNN3	0.582881725374917	4.44094457127141e-33
MEX3A	MEX3A	0.101005247471461	6.97715633485592e-22
NES	NES	0.620622269206888	1.70477724494819e-15
PEAR1	PEAR1	0.143030448729405	2.42482684726011e-21
IFI16	IFI16	1.61199713578919	6.99112153700127e-25
ADAMTS4	ADAMTS4	0.381116661903378	1.91166937027861e-25
DDR2	DDR2	0.308102653082654	6.63160660371548e-47
RGS5	RGS5	6.60444513709519	2.37958939808117e-05
DPT	DPT	22.0196078122517	1.7880874436351e-113
DNM3OS	DNM3OS	0.129846631898289	1.60849823783293e-20
QSOX1	QSOX1	0.509247038523664	2.00603306566634e-30
ASPM	ASPM	2.52522372692016	3.12393774151349e-14
UBE2T	UBE2T	1.59295868622995	1.08687724822722e-10
PPP1R12B	PPP1R12B	0.139394415090971	2.02780805741443e-08
CENPF	CENPF	10.5646164882348	9.61525171319938e-18
HLX	HLX	0.107381000382247	9.92852583428766e-18
ENAH	ENAH	0.163538072125643	5.18746863806416e-16
NID1	NID1	0.81034842581204	1.44230236617184e-93
ERO1B	ERO1B	0.129479982749668	1.0830008699895e-10
SOX11	SOX11	0.104097657525482	1.49280052256994e-17
KLHL29	KLHL29	0.143285092890355	2.82698176077193e-16
EMILIN1	EMILIN1	2.23535222546243	2.76155718636772e-190
PKDCC	PKDCC	1.62833600304801	4.17275715747821e-44
PLEKHH2	PLEKHH2	0.269713676216136	1.44182909874733e-38
RHOQ	RHOQ	0.111637970393688	9.29312986777187e-10
CCDC88A	CCDC88A	0.550390980751097	8.20905023483279e-48
MEIS1	MEIS1	0.531429972086635	4.84631386082445e-54
CNRIP1	CNRIP1	0.248767417744886	3.10383701822316e-21
ANTXR1	ANTXR1	0.123321626471325	1.80969172795354e-15
ACTG2	ACTG2	121.901512361568	3.31460089461977e-21
CYTOR	CYTOR	1.51814986268144	0.0554750279305571
ANKRD36C	ANKRD36C	0.131825218359721	1.73985934288394e-14
GLI2	GLI2	0.177967179815338	4.65810815824429e-18
ARHGAP15	ARHGAP15	0.268995033796089	2.25474004386783e-23
ZEB2	ZEB2	2.78607750637017	1.81194143816341e-126
TNFAIP6	TNFAIP6	1.91560711144833	4.95417187093808e-21
CYBRD1	CYBRD1	0.215421101838267	2.35466093800847e-19
MAP3K20	MAP3K20	0.886453609751835	8.05025101962538e-06
FKBP7	FKBP7	0.186868770204682	4.14841333327417e-47
UBE2E3	UBE2E3	0.600339774413865	9.74566185649003e-45
COL3A1	COL3A1	20.90151236363	0
SGO2	SGO2	1.11817956376609	1.04377810238737e-10
FZD7	FZD7	0.210754040670029	2.00714042409089e-14
BARD1	BARD1	0.117788262695841	3.56588886539077e-07
IGFBP5	IGFBP5	19.9014657575016	2.03117613291921e-173
DES	DES	23.8305601992423	2.06437029293431e-23
SERPINE2	SERPINE2	1.10723168222527	5.63220629531724e-57
COL6A3	COL6A3	1.96051139638181	2.87440065142512e-132
TWIST2	TWIST2	0.131449830445159	1.22909895288874e-17
GPC1	GPC1	0.282757942755416	1.11886620316192e-31
DTYMK	DTYMK	0.191704577598089	2.38950985707368e-09
