Gene	LogFC	Pval
TNFRSF18	TNFRSF18	0.212871213358755	0.00650200292631584
TNFRSF4	TNFRSF4	0.27940460368432	0.0171504378572535
TNFRSF1B	TNFRSF1B	0.594015712784646	5.52150150097688e-09
IFFO2	IFFO2	0.171033423524988	0.0133425150985637
C1QA	C1QA	72.1331736137901	1.06288472016736e-07
C1QC	C1QC	47.1112995287625	3.31748344100727e-07
C1QB	C1QB	47.1319060831586	4.61179656252695e-06
RUNX3	RUNX3	1.01271666642671	8.68254693124079e-10
CD52	CD52	10.1520655667084	5.16535546222816e-06
THEMIS2	THEMIS2	0.301123532840018	2.6420264409454e-05
PTAFR	PTAFR	0.178406080882569	0.00359005611483825
SESN2	SESN2	0.306522516027164	0.0164634561077205
LAPTM5	LAPTM5	5.2550302737147	1.59821047143251e-14
LCK	LCK	0.214319382745995	0.0030497942364719
EVA1B	EVA1B	0.186321803714613	0.0174538160966899
CSF3R	CSF3R	0.387178998652653	4.15286210273619e-05
PPT1	PPT1	0.618525444932427	0.0188931835062119
SMAP2	SMAP2	0.328417570893744	0.000328291344513012
MKNK1	MKNK1	0.479391482055072	0.00107888696332904
PDE4B	PDE4B	1.21510354889287	3.05521921280278e-08
ODF2L	ODF2L	1.8410216183598	0.00103111525040581
AMPD2	AMPD2	0.189304271942482	0.00197085086973667
CD53	CD53	1.41903944678451	2.21631766183078e-11
C1orf162	C1orf162	0.204472764023561	0.0138973112107677
PTPN22	PTPN22	0.208607198742104	0.000135629506035296
HIPK1	HIPK1	0.178835729644697	0.00332965959823525
PLEKHO1	PLEKHO1	3.04818952929641	5.41282537172817e-05
C1orf54	C1orf54	0.180352809714588	0.0655193070790528
CDC42SE1	CDC42SE1	0.305388940217979	0.000103179064638004
S100A9	S100A9	0.837398813457759	0.0518524205722685
S100A8	S100A8	26.1293758339889	0.0131501924853516
S100A4	S100A4	11.0570362647435	7.23105497342065e-07
IL6R	IL6R	0.331455484408771	0.000457629542568084
SH2D2A	SH2D2A	0.122141316293614	0.00826999126615009
ETV3	ETV3	0.929505398113226	5.58181034990959e-05
MNDA	MNDA	0.454360004044522	0.0116874435307891
CD48	CD48	0.589196333229167	2.58520410115355e-05
SLAMF7	SLAMF7	0.397919714700988	0.000135391959773766
LY9	LY9	0.611843964020425	0.000887597742257524
FCER1G	FCER1G	13.4509252725104	6.56617880058612e-14
FCGR2A	FCGR2A	0.207310547305803	0.000117663985697383
CD247	CD247	0.385682030125893	0.000547060315039319
XCL1	XCL1	14.1598225158638	0.00266922102712704
SELL	SELL	0.558478023358712	0.000696047770258177
TOR3A	TOR3A	0.23619416842788	0.00377741791424869
IER5	IER5	5.54928038210273	0.000208169649790747
IVNS1ABP	IVNS1ABP	0.219822209793047	0.0256906992703688
PTGS2	PTGS2	5.15710331276374	2.30998351881941e-07
RGS1	RGS1	7.28619077136056	4.88951661822628e-11
PTPRC	PTPRC	1.65461506396247	1.67060692316165e-21
MIR181A1HG	MIR181A1HG	0.534981456335644	0.000146257491634087
PTPN7	PTPN7	0.252165690579772	0.000646452574860697
RASSF5	RASSF5	0.550629561147926	6.95692936499437e-05
GPR137B	GPR137B	0.124985713648041	0.0103909644094924
ERO1B	ERO1B	2.33422877333803	0.000488759119694724
KMO	KMO	0.20563583952834	0.0030012936559546
EFCAB2	EFCAB2	0.13843622973973	0.038280557154054
NLRP3	NLRP3	0.878162796368778	3.95747838616597e-06
ADAM17	ADAM17	0.102199712388593	0.00891829341711571
LPIN1	LPIN1	1.31653946002308	0.011863187464514
FAM49A	FAM49A	0.66646104070353	4.82540324795346e-08
ITSN2	ITSN2	0.218537496450991	0.0276100059583744
ADCY3	ADCY3	0.107970141743023	0.00481490169564756
FOSL2	FOSL2	1.05347689132102	6.20175909715998e-06
RASGRP3	RASGRP3	0.102542133369072	0.000516045322449442
CDC42EP3	CDC42EP3	0.793320608284405	0.000340796569650666
SLC8A1	SLC8A1	0.178287724029873	0.000664656008390804
CCDC88A	CCDC88A	0.59482758454763	1.22261906393317e-05
REL	REL	8.86787109181178	6.24744391688422e-18
SLC1A4	SLC1A4	0.240544323437533	0.000855181989915185
ACTR2	ACTR2	0.258269974300757	0.00352187959433636
PLEK	PLEK	1.22497309827857	4.50466353847922e-07
NAGK	NAGK	0.252136931231415	0.0663800186775848
MTHFD2	MTHFD2	1.64790653757996	0.000899863620283664
DUSP2	DUSP2	20.4634135916996	2.02221559206604e-22
ARID5A	ARID5A	0.110586876845133	0.000226432739017024
INPP4A	INPP4A	0.163654221569098	0.000636308430878242
AFF3	AFF3	0.114411445504506	0.0129686501604913
RANBP2	RANBP2	0.409983853817547	5.00378667678808e-05
BCL2L11	BCL2L11	0.117220287637216	0.00317960938477058
MERTK	MERTK	0.25966000249127	0.00354361537674498
IL1A	IL1A	2.03010409647925	0.000106443769140313
IL1B	IL1B	99.6427904402625	9.42102419376834e-14
IL1RN	IL1RN	2.17995530679618	0.000199754307908577
CXCR4	CXCR4	6.14742392387444	7.74743684897005e-12
ZEB2	ZEB2	6.26460418223741	2.4837566395378e-13
ZEB2-AS1	ZEB2-AS1	0.136423241211717	0.00603262889970466
CACNB4	CACNB4	0.44059230933401	0.00211118688690406
NR4A2	NR4A2	14.8272201336674	2.1311918752059e-16
CYTIP	CYTIP	0.346914551453648	2.86880507265568e-05
TANK	TANK	0.22785820005675	0.0724816297220165
WIPF1	WIPF1	0.370138613704428	7.23495517414046e-07
ITGA4	ITGA4	0.140221922738304	0.000829689590847625
STAT4	STAT4	0.179595083055885	0.000145356359964743
ANKRD44	ANKRD44	0.197712989926018	0.000240893014843779
CFLAR	CFLAR	0.458015769941926	7.86350446747054e-06
