Gene	LogFC	Pval
AL645608.8	AL645608.8	0.234951923079663	0.000364184972778324
HES4	HES4	28.938819912878	1.13448489468642e-05
AGRN	AGRN	0.537603696830665	0.00327374645263769
RNF223	RNF223	0.430679046596206	1.08764252902631e-27
AL390719.2	AL390719.2	0.600129364157345	3.54635308935931e-18
SDF4	SDF4	2.01824631831369	0.0262619517677316
C1QTNF12	C1QTNF12	0.801588947917693	8.37131576509944e-19
AURKAIP1	AURKAIP1	6.16538674716167	0.0168391649305102
MMP23B	MMP23B	1.80858018560268	9.14071197786693e-07
NADK	NADK	0.210258598595607	0.0712863895508861
TMEM52	TMEM52	0.266293829073277	8.43936135178325e-19
PRKCZ	PRKCZ	0.871713378584398	2.88189835737561e-21
FAAP20	FAAP20	0.876823705030058	9.66668118925437e-05
SKI	SKI	0.150636879037216	0.0596903707294319
RER1	RER1	1.76212226429136	7.3746942526547e-05
TNFRSF14-AS1	TNFRSF14-AS1	0.817629263455136	1.57396196064228e-29
TNFRSF14	TNFRSF14	3.31084420272119	4.57047187555947e-21
FAM213B	FAM213B	0.573194181849906	9.21233894779191e-05
AL831784.1	AL831784.1	8.81299926354209	3.08776271383626e-05
ARHGEF16	ARHGEF16	0.278706444791242	2.26269107303174e-28
SMIM1	SMIM1	1.05777173108993	2.70539100358404e-18
RPL22	RPL22	84.0948025749634	8.94040301081496e-07
ESPN	ESPN	6.57512642335378	1.53555224164637e-70
TNFRSF25	TNFRSF25	0.395378071001926	3.84254002800728e-07
KLHL21	KLHL21	1.76189733882171	1.13107738305616e-05
CAMTA1	CAMTA1	1.01461326498607	0.00502004077315851
VAMP3	VAMP3	0.162184465212071	0.0155706684336877
PARK7	PARK7	8.67044956884607	1.86663622828838e-05
ERRFI1	ERRFI1	16.6792256980352	3.27733408388681e-29
ENO1	ENO1	22.6236987455068	0.0392339731474296
SLC2A5	SLC2A5	0.181942047200335	0.013201202471642
PIK3CD-AS2	PIK3CD-AS2	0.119116928588956	1.80750674920715e-09
KIF1B	KIF1B	0.139946482768718	0.0148617754524609
PGD	PGD	0.515893504859651	0.0774069678604417
SRM	SRM	0.337356929765361	0.00123229610987473
FBXO2	FBXO2	7.96467432601435	2.87043283800734e-18
MTHFR	MTHFR	0.387835064366021	0.0116097244529789
KIAA2013	KIAA2013	1.7740246803568	2.06795005397593e-05
KAZN	KAZN	0.335061501639348	0.0261072552884188
EFHD2	EFHD2	0.525791134126138	0.0771798113306853
AGMAT	AGMAT	0.478316870129926	5.03965762554487e-10
DDI2	DDI2	0.942468866086098	2.1255736573185e-06
TMEM82	TMEM82	0.307392755495759	1.34708685464682e-07
FBLIM1	FBLIM1	2.71941955127393	7.97957318817357e-06
SPEN	SPEN	3.75131274280848	2.09062308980405e-06
EPHA2	EPHA2	18.7592494338969	4.15387050797204e-81
MFAP2	MFAP2	3.02886663270585	2.89373907641477e-06
SDHB	SDHB	1.62732334723191	0.0073563286260919
RCC2	RCC2	0.377271670078279	0.0383238399168598
ARHGEF10L	ARHGEF10L	0.526652968837061	2.15681863175289e-12
AKR7A2	AKR7A2	0.70761449704154	0.0056150779039486
CAPZB	CAPZB	0.338202242115612	6.71570374536021e-09
MINOS1	MINOS1	7.46174880863619	0.0253713274236943
RNF186	RNF186	9.93717781746611	4.99123930752491e-17
PLA2G2A	PLA2G2A	41.9010672613012	3.34273570649773e-06
CDA	CDA	0.744788473681149	4.21947704722541e-05
DDOST	DDOST	3.66029191924674	0.00976714890832123
HSPG2	HSPG2	8.91634746223916	3.81308709641821e-20
CDC42	CDC42	2.72871348215349	0.00152191968251588
KDM1A	KDM1A	0.184998615395501	0.0173079176966723
HNRNPR	HNRNPR	5.9447778929203	0.00336051181327124
ID3	ID3	17.0976355755012	0.0151043496747903
GALE	GALE	3.30767923221449	4.88267473275167e-17
HMGCL	HMGCL	0.354418887836949	0.0228184138710276
FUCA1	FUCA1	1.27306949952791	2.44132991612003e-07
MYOM3	MYOM3	0.27423747627265	6.57202950202103e-27
IL22RA1	IL22RA1	0.746520682490572	6.33616293534555e-16
IFNLR1	IFNLR1	0.127017286511393	0.000165699587995262
RCAN3	RCAN3	0.202738720125514	6.49951632603014e-18
RSRP1	RSRP1	3.30277644578485	0.0519541921359399
