Gene	LogFC	Pval
SAMD11	SAMD11	0.344337168547125	2.8986485852927e-07
ANKRD65	ANKRD65	0.109659768256129	0.00327383421766882
VWA1	VWA1	1.3228967160716	1.12804955265503e-13
PLOD1	PLOD1	0.717267692919809	1.68263757089103e-07
HSPB7	HSPB7	0.482015112714183	1.01076739232924e-09
CROCC	CROCC	0.149076749846293	0.000388159918942103
NBL1	NBL1	4.48458178754694	4.2721426801159e-05
UBXN10-AS1	UBXN10-AS1	0.197256424544416	0.000364052339486931
CLIC4	CLIC4	0.687691505436182	7.07374252484756e-12
MTFR1L	MTFR1L	0.109136280534203	0.0377341437421675
ARID1A	ARID1A	0.384887549393772	0.0432418383044746
TMEM200B	TMEM200B	0.141771397883573	0.00137897129081458
SDC3	SDC3	0.410833290786118	2.10853087645586e-05
CCDC28B	CCDC28B	0.140268197777814	4.46505072488713e-05
SYNC	SYNC	0.199510980906902	0.00112108989712149
PHC2	PHC2	0.202768391326183	3.23290950399771e-05
EVA1B	EVA1B	0.2401226501072	0.00412827436760974
C1orf122	C1orf122	0.180040494013226	0.0952193493288883
FHL3	FHL3	2.44003960168278	2.05574410584513e-13
MACF1	MACF1	4.24184787145203	1.57079839151484e-13
CTPS1	CTPS1	0.106863011612598	0.0221313187924219
P3H1	P3H1	0.130951141135241	0.000128817986934112
PIK3R3	PIK3R3	0.113242926541687	0.00231825339432398
BEND5	BEND5	0.149233896422004	0.00122921578865721
GPX7	GPX7	1.65477169534927	1.70245030910491e-07
C1orf123	C1orf123	0.244850143247074	8.02057334082876e-06
LEPROT	LEPROT	0.321949132032587	5.57229469476184e-06
WLS	WLS	0.498427950643755	0.000239834881563051
PTGER3	PTGER3	0.466645550431616	5.71620081386295e-05
NEGR1	NEGR1	0.195403444963837	0.000200141920805149
ACADM	ACADM	0.102962138112763	0.00116459158991961
NEXN	NEXN	6.78289290223626	6.44234752972978e-22
DNAJB4	DNAJB4	0.56080203211791	5.10229808869256e-05
ADGRL2	ADGRL2	0.15144654586212	0.000112663987922418
TTLL7	TTLL7	0.209388844596213	4.0845248150722e-07
CYR61	CYR61	16.9027165333472	2.48607547218992e-24
LMO4	LMO4	4.80241586716163	1.00037990515287e-10
GBP1	GBP1	0.352968943040895	1.73920738027561e-05
TGFBR3	TGFBR3	0.482597781506563	6.04254370909861e-06
FAM69A	FAM69A	0.101624907127675	0.00743443268898325
CNN3	CNN3	1.99966513506501	2.9541142121781e-09
PTBP2	PTBP2	0.139519610485761	3.85199979883353e-05
AGL	AGL	0.1210855015216	0.00441690022104287
EXTL2	EXTL2	0.141074028716921	0.00118799882968775
GSTM5	GSTM5	2.18048925558199	2.05398475444636e-07
RAP1A	RAP1A	6.52857031551065	7.3695908553622e-09
KCND3	KCND3	0.121279534592308	0.000894304753210783
SLC16A1-AS1	SLC16A1-AS1	0.11075885096065	0.000739449827448645
OLFML3	OLFML3	3.81960816660288	3.90147889558997e-24
TSPAN2	TSPAN2	0.586424836375866	2.94427516421946e-10
PTGFRN	PTGFRN	0.11933394575763	0.000159899069795547
NOTCH2	NOTCH2	0.121321061274586	9.35369442468658e-06
PIAS3	PIAS3	0.167149496938725	0.00393738500048322
LIX1L	LIX1L	0.256539270540421	0.000710540481869262
POLR3GL	POLR3GL	0.304335605583713	0.000329282476783243
PLEKHO1	PLEKHO1	2.07064153292301	9.37148397193892e-11
ADAMTSL4	ADAMTSL4	0.113685936891697	0.00494709307638503
