Gene	LogFC	Pval
NOC2L	NOC2L	0.377426621620083	0.0348549176195375
HES4	HES4	21.6740297445743	3.11182171344246e-34
RNF223	RNF223	0.421178311689115	1.11238842439797e-16
AL390719.2	AL390719.2	0.589945848711485	1.25292146659988e-26
SDF4	SDF4	2.06234971927028	0.00492849409117565
C1QTNF12	C1QTNF12	0.804753031417785	2.56448777436699e-30
ACAP3	ACAP3	0.379698642257477	0.00372833604057407
INTS11	INTS11	0.587216994048599	0.0577198913912141
DVL1	DVL1	0.186974614033497	0.00225899675821583
MXRA8	MXRA8	7.22814246051143	0.00133573535288356
VWA1	VWA1	2.92435260639874	7.48977589282391e-13
MIB2	MIB2	0.236739462037584	0.0236553784610723
MMP23B	MMP23B	2.65566813109979	0.0056732968472398
GNB1	GNB1	2.17316913347867	0.0749102444736621
TMEM52	TMEM52	0.238058202352861	4.33757275650869e-05
PRKCZ	PRKCZ	0.860859301741033	1.7222165377039e-32
FAAP20	FAAP20	1.17147710145342	0.0066459608723426
TNFRSF14-AS1	TNFRSF14-AS1	0.829372124868944	5.31642170572799e-37
TNFRSF14	TNFRSF14	3.34876469387315	8.9815837369469e-39
FAM213B	FAM213B	0.496957015072477	0.00960390470426936
AL831784.1	AL831784.1	8.8247421249559	2.85073205679657e-11
ARHGEF16	ARHGEF16	0.245841429098496	6.08526195995442e-07
SMIM1	SMIM1	1.03768020882554	1.59319246017627e-13
RPL22	RPL22	96.4040656546542	2.02356548392171e-15
ESPN	ESPN	6.55503490108938	1.54923896300975e-49
TNFRSF25	TNFRSF25	0.375996641619711	1.28874977931299e-12
KLHL21	KLHL21	1.79681615272244	3.75197485599314e-25
CAMTA1	CAMTA1	1.09636547339407	6.11180164978617e-05
VAMP3	VAMP3	0.166377300179877	0.0314237363627893
PARK7	PARK7	9.40951009874601	2.02548924183957e-16
ERRFI1	ERRFI1	16.5746276223973	6.10838471393234e-27
ENO1	ENO1	21.5880555469463	0.0582753982307415
SLC2A5	SLC2A5	0.212972674840721	1.47396657016958e-05
SPSB1	SPSB1	0.511153984686608	1.72602627221025e-05
UBE4B	UBE4B	0.138755455149396	0.012931313736454
PGD	PGD	0.305311143266353	0.000477320961104583
CASZ1	CASZ1	0.289876112698088	4.30307133159411e-23
SRM	SRM	0.211500315188919	6.47154566162597e-12
FBXO2	FBXO2	7.98398982407595	1.1788779060304e-54
FBXO6	FBXO6	0.149564286641148	0.0333953018793301
MTHFR	MTHFR	0.103390965280969	0.000890240054213247
KIAA2013	KIAA2013	1.72195924828409	0.000171431771303546
MFN2	MFN2	0.257138713553335	3.76598818374393e-06
DHRS3	DHRS3	0.20186386871575	0.00145157773275688
PRDM2	PRDM2	0.275474798225445	0.0158332947553382
EFHD2	EFHD2	0.606617483503034	3.0819252549033e-08
AGMAT	AGMAT	0.468133354684066	3.41084156058295e-06
DDI2	DDI2	0.924009717328776	1.95837313782024e-06
TMEM82	TMEM82	0.316121294743418	9.16661096338596e-30
SPEN	SPEN	3.64792068461025	0.000469173641517713
EPHA2	EPHA2	18.62641815976	3.00618421533728e-66
ARHGEF19	ARHGEF19	0.12372835141124	0.000944459844666706
SZRD1	SZRD1	0.224384287422132	0.0405102339301342
MFAP2	MFAP2	8.45470616008773	0.0015539869691606
SDHB	SDHB	1.66702843439975	0.00144126475935312
PADI2	PADI2	0.176709345016943	6.96252281798858e-14
ARHGEF10L	ARHGEF10L	0.446490890981726	2.77363254386216e-06
MRTO4	MRTO4	0.152279895405939	0.00123603056330922
AKR7A2	AKR7A2	0.865789156080035	0.0160518346435424
PQLC2	PQLC2	0.118925806935794	0.0243721333047308
CAPZB	CAPZB	3.33041471456217	1.48803086108035e-06
RNF186	RNF186	9.93087405281548	3.93588990104398e-26
PLA2G2A	PLA2G2A	43.7816957288143	6.77743806777325e-37
CAMK2N1	CAMK2N1	13.9973581473223	8.14725456363383e-08
CDA	CDA	0.744016278021717	2.23542385799293e-09
HP1BP3	HP1BP3	1.34289085007052	0.00730108950846555
USP48	USP48	0.304627785972981	0.00190139615786246
HSPG2	HSPG2	10.6199875010694	0.0021071209490284
CDC42	CDC42	3.25964336182012	1.7200962421452e-10
EPHB2	EPHB2	1.35451312735784	2.57920917438629e-29
HNRNPR	HNRNPR	5.74641370232281	3.92897111724351e-13
ID3	ID3	14.6905811330503	3.89339883461386e-70
RPL11	RPL11	271.686985307554	1.29082876947053e-42
PITHD1	PITHD1	0.626326595428364	0.0260875569668667
LYPLA2	LYPLA2	0.608516489996248	0.0840271368103438
GALE	GALE	3.27020386833999	1.63907877829441e-21
FUCA1	FUCA1	1.32982643111955	1.60399237693487e-27
PNRC2	PNRC2	1.84172330221752	0.000384469189013907
SRSF10	SRSF10	1.13889506291606	1.85540606926892e-08
MYOM3	MYOM3	0.269475825866067	2.09353639513291e-15
IL22RA1	IL22RA1	0.74574848683114	2.91601560959632e-12
IFNLR1	IFNLR1	0.135745825759052	1.51272987005282e-16
RCAN3	RCAN3	0.165265647984069	0.0123853282067601
SRRM1	SRRM1	4.71875077020705	1.71593797523358e-05
SYF2	SYF2	0.768609243514446	9.04021568499304e-07
RSRP1	RSRP1	1.6887633478934	5.81213606813733e-11
TMEM50A	TMEM50A	6.73859852774687	3.59850226916691e-05
STMN1	STMN1	30.685524600576	6.64395075281737e-43
PAFAH2	PAFAH2	0.130191029712981	3.22753469880985e-05
SLC30A2	SLC30A2	0.755226525063457	2.95699998232351e-21
ZNF593	ZNF593	0.921985616151267	0.0314155538383196
CNKSR1	CNKSR1	0.833605296538828	2.84015038923654e-35
CRYBG2	CRYBG2	0.125866218236758	1.74724501531157e-13
DHDDS	DHDDS	0.145159200101942	0.015148129569088
HMGN2	HMGN2	31.7527963604289	1.25818291336212e-12
RPS6KA1	RPS6KA1	0.671139084851502	4.34654680357979e-18
ARID1A	ARID1A	0.387931737328826	0.0457025466522667
SFN	SFN	68.7292225646016	4.61079552410681e-37
NUDC	NUDC	0.600198101483791	0.00120490550415782
NR0B2	NR0B2	10.9478086335237	5.34491004872815e-14
KDF1	KDF1	0.113655418941446	1.02511125458431e-05
TRNP1	TRNP1	1.06104607156615	0.000156180752148342
SYTL1	SYTL1	0.134008663606124	1.55078697005112e-07
WASF2	WASF2	0.888055510366315	0.000303307425843174
AHDC1	AHDC1	0.466474296479741	0.0281995915360725
STX12	STX12	0.241719258330226	2.47874759489402e-05
SMPDL3B	SMPDL3B	0.275184590532064	1.50160280069144e-15
DNAJC8	DNAJC8	1.12331051278634	0.00234010933834158
ATP5IF1	ATP5IF1	28.4774276919287	0.000129217063132617
SNHG12	SNHG12	0.3010401423979	0.059476149883475
TAF12	TAF12	0.132703642660439	0.00591267364579485
YTHDF2	YTHDF2	1.601040890912	3.6698053278026e-07
EPB41	EPB41	0.36613768419401	2.96418022738957e-06
SRSF4	SRSF4	2.20007713592656	0.0122717380768909
SNRNP40	SNRNP40	0.101433919122957	1.84548082338675e-05
FABP3	FABP3	1.09585885505199	0.0128009886685669
