Gene	LogFC	Pval
ISG15	ISG15	0.269898681189255	6.42654778225226e-09
AGRN	AGRN	0.346429103908507	9.42253077458195e-05
HES5	HES5	6.03954294652967	1.03920277931644e-09
MEGF6	MEGF6	0.133215045800646	4.44178797176463e-06
PLOD1	PLOD1	0.124604812456174	1.02122866857255e-07
CROCC	CROCC	0.111031175343355	0.000133862070671076
TINAGL1	TINAGL1	2.78901427941637	3.1282646953839e-44
PHC2	PHC2	0.41172954196615	2.66705928332908e-15
GJA4	GJA4	7.05909586221258	1.45244251214062e-33
EVA1B	EVA1B	0.632899427019221	3.74511997707577e-19
MEAF6	MEAF6	0.298564633557876	1.20417902811858e-07
FHL3	FHL3	0.280288712900729	1.23917997276816e-09
POU3F1	POU3F1	0.182288110409844	1.49906643322537e-07
HEYL	HEYL	0.718590578502389	4.4848898771758e-15
PPT1	PPT1	0.1023160043245	7.18209082030588e-09
ARTN	ARTN	0.267548690532646	2.0850446345653e-10
SLC6A9	SLC6A9	0.188908073025205	2.94979070649194e-08
CYP4X1	CYP4X1	0.152657798831824	3.39381451623692e-06
OSBPL9	OSBPL9	0.210615304859078	3.79442906507834e-11
NEXN	NEXN	0.271643797107887	2.40090307992273e-09
DNAJB4	DNAJB4	0.385262229336017	6.12440645480365e-15
TTLL7	TTLL7	0.136976989990072	8.86335698962075e-05
GBP1	GBP1	0.39542877820226	1.98542917481247e-05
CDC7	CDC7	0.128962212637711	5.17675577228887e-05
ARHGAP29	ARHGAP29	0.718834884491992	2.75025001469063e-24
CNN3	CNN3	2.31907541869978	4.03117085738104e-32
VCAM1	VCAM1	0.178423594356826	2.58177071406678e-07
EXTL2	EXTL2	0.136516890140707	3.75706569275964e-05
AC104506.1	AC104506.1	0.114884458213557	0.000552376657073398
GSTM5	GSTM5	0.22171386739017	2.65323745765257e-10
CSF1	CSF1	0.263694499647964	4.17793805035307e-12
KCNC4	KCNC4	0.10551726829072	3.06304939506962e-05
NGF	NGF	0.810271218879995	1.25808571641164e-11
PIAS3	PIAS3	0.104299154670761	1.27176068446383e-05
LIX1L	LIX1L	0.160358200100307	6.06129365520644e-07
GJA5	GJA5	0.158350191286241	2.92702701272282e-06
PLEKHO1	PLEKHO1	0.294161630966089	7.08904291287963e-11
C1orf54	C1orf54	0.209773330441855	9.63890305374542e-10
