Gene	LogFC	Pval
NOC2L	NOC2L	0.356440307792264	0.00646810667953452
ISG15	ISG15	2.35176741867311	0.0578902969762696
AGRN	AGRN	3.31667233988012	2.65112433136674e-25
TNFRSF4	TNFRSF4	11.5290651086089	5.87055040547139e-16
UBE2J2	UBE2J2	0.229321182388283	0.0095354579041062
ACAP3	ACAP3	0.219732581568655	0.0596810569910691
INTS11	INTS11	0.357499329629068	0.00808608727911148
CPTP	CPTP	0.174776257323713	0.0668642853993161
DVL1	DVL1	0.26958935840034	0.00607233620232467
CCNL2	CCNL2	2.208442239682	1.46526099952098e-14
VWA1	VWA1	8.35638851504082	3.22370637235282e-25
ATAD3B	ATAD3B	0.10793510116644	0.0738616561115082
ATAD3A	ATAD3A	0.126140837154028	0.00265310392660443
SSU72	SSU72	0.657013021528319	0.0278669042114333
MIB2	MIB2	0.371517043227114	0.000224065451130707
CDK11B	CDK11B	0.334329689639723	2.9423723274299e-05
CDK11A	CDK11A	0.182914377008558	0.000882922572588573
NADK	NADK	0.208660969276512	0.000558849367722745
GNB1	GNB1	2.00124192040881	4.78185219841256e-17
PRKCZ	PRKCZ	0.12567002901158	0.0165214672713321
SKI	SKI	1.52668440575651	3.1746627176833e-05
RER1	RER1	0.408632997074862	0.0492732837285099
PANK4	PANK4	0.100632638720632	0.0110242719976845
HES5	HES5	3.19512116944449	3.7672770569512e-09
TNFRSF14	TNFRSF14	0.812256677076305	1.38855209503355e-10
FAM213B	FAM213B	0.331511971279942	7.50092521312871e-05
PRDM16	PRDM16	0.31450628984205	2.92781600630784e-06
TPRG1L	TPRG1L	0.15496567871719	0.0237116015970241
WRAP73	WRAP73	0.142932608475692	0.0148845071514374
CEP104	CEP104	0.156899530247281	0.00345878275215295
ICMT	ICMT	0.172895734775891	0.000923532875987393
TNFRSF25	TNFRSF25	1.47762436519684	1.39628184901037e-17
PLEKHG5	PLEKHG5	0.436856455259647	1.37513995347917e-12
CAMTA1	CAMTA1	1.69325429590582	1.08356049460058e-09
