Gene	LogFC	Pval
SAMD11	SAMD11	0.14967059032652	0.00153314179646438
HES4	HES4	1.5568159618748	5.15143329945556e-10
AGRN	AGRN	0.328052674509991	2.86189483552118e-20
SDF4	SDF4	0.396150474634981	0.00711568403606421
ACAP3	ACAP3	0.114417055385092	0.00178956868557177
INTS11	INTS11	0.113482574949137	0.0443045679364181
MXRA8	MXRA8	0.97054388749368	3.46664364766333e-15
CCNL2	CCNL2	0.184484985600504	0.00274964264828725
MRPL20	MRPL20	0.216991339122404	0.000302151604262652
VWA1	VWA1	0.277320906229485	0.0207429821649183
SSU72	SSU72	0.114236860825333	0.0452466961144803
MMP23B	MMP23B	1.62390866003539	1.08659525709665e-73
FAAP20	FAAP20	0.368509716473951	0.00140344894927815
SKI	SKI	0.225381555054696	0.00824646507731708
MEGF6	MEGF6	0.149027603980555	5.5569795876303e-07
RPL22	RPL22	32.5568038793254	3.37560731054882e-05
PHF13	PHF13	0.127146993875146	1.70448956662396e-05
CAMTA1	CAMTA1	0.351701991245677	0.000458768452654268
PARK7	PARK7	3.1804452030618	0.0371746633706009
ERRFI1	ERRFI1	0.470666183360375	2.67602578708378e-06
ENO1	ENO1	9.83373339605341	0.0180039299283067
H6PD	H6PD	0.105333090977704	0.000940185474767772
CLSTN1	CLSTN1	0.22243496145493	1.57589042808415e-06
SRM	SRM	0.200382083740222	0.0250043079043264
MAD2L2	MAD2L2	0.219217495642885	0.000404745687130097
PLOD1	PLOD1	0.16214195991445	0.00391024502174646
MIIP	MIIP	0.114423661777492	0.0426306840218747
PDPN	PDPN	0.149924579203326	4.86712791837181e-21
FBLIM1	FBLIM1	0.269477483007369	5.72542675273873e-09
MFAP2	MFAP2	4.81774792684204	1.42310370573261e-41
AKR7A2	AKR7A2	0.372398442952956	9.02272775812313e-05
CAMK2N1	CAMK2N1	1.33738131351022	2.38292297180971e-11
HP1BP3	HP1BP3	4.47160863381104	9.33316083766287e-05
HSPG2	HSPG2	0.368875579538282	2.55131866277885e-13
HNRNPR	HNRNPR	0.91913843635167	0.012494172951851
ID3	ID3	15.3030212772394	1.64920941196671e-06
RPL11	RPL11	100.556962127473	1.21355683035885e-07
SRSF10	SRSF10	1.46509248622699	0.0602773187364077
CLIC4	CLIC4	0.168946213610925	0.0584159174469604
SELENON	SELENON	0.116219037379714	0.0183894552953152
STMN1	STMN1	47.9424746267004	9.20551493637493e-10
HMGN2	HMGN2	24.2576297442835	5.02926400662818e-11
ARID1A	ARID1A	0.210063039241326	0.0492155541319261
AHDC1	AHDC1	0.174643558288623	1.44557719674402e-31
YTHDF2	YTHDF2	0.427801356373397	1.78291755896035e-08
COL16A1	COL16A1	1.54289569560843	1.80472737170106e-39
ADGRB2	ADGRB2	0.14381198368628	1.28790057449156e-09
KHDRBS1	KHDRBS1	2.92523702230535	0.0182695608773196
TXLNA	TXLNA	0.137232119591838	0.0507862252794141
MARCKSL1	MARCKSL1	3.27513772771788	0.0104121510289457
AK2	AK2	0.274964067331744	0.0942751391054866
AGO3	AGO3	0.154443215368789	0.00124639317866496
EVA1B	EVA1B	0.26477887915949	0.0313434353719263
MEAF6	MEAF6	0.173970725373172	0.000814284508491984
C1orf122	C1orf122	0.248993566841853	0.00177079795915358
SF3A3	SF3A3	0.111082594616264	0.00489759691185349
FHL3	FHL3	0.12605948001647	0.0123636290308377
AKIRIN1	AKIRIN1	0.174677935247635	0.00546726643400823
NDUFS5	NDUFS5	4.40374990948349	0.000101001438527954
SCMH1	SCMH1	0.108030374824618	0.00548643735146402
PPIH	PPIH	0.213997985407532	0.0534565910433374
YBX1	YBX1	9.99798680817692	0.0834185192457711
P3H1	P3H1	0.294395613807384	2.34025067870827e-16
SVBP	SVBP	0.186671333442186	3.90040883850171e-05
CDC20	CDC20	9.04571778052409	2.3183188188375e-06
HYI	HYI	0.164257083943427	0.00225817192869066
PTPRF	PTPRF	0.104724920822374	0.0019229428042864
B4GALT2	B4GALT2	0.193413851433496	2.60562832670752e-28
RPS8	RPS8	162.508373566527	8.77847102806782e-11
UROD	UROD	1.10165589540829	0.00456121418128169
NASP	NASP	1.09670600267751	1.52523051518646e-05
LRRC41	LRRC41	0.201465094389106	0.0207240231611895
UQCRH	UQCRH	14.5732658008834	0.0350587718905463
OSBPL9	OSBPL9	0.106795633419822	0.0014746654936577
BTF3L4	BTF3L4	0.136680569682698	0.0202757125620622
TUT4	TUT4	0.189070414892787	0.0175432471420951
GPX7	GPX7	0.448725496304909	9.78668972037445e-11
HSPB11	HSPB11	0.153873434384758	0.0100852745287644
TMEM59	TMEM59	1.41765084167051	0.0893612602205948
SSBP3	SSBP3	0.275963293513869	3.21152793027485e-06
PLPP3	PLPP3	0.836422720142649	1.78668906440857e-15
JUN	JUN	347.556962234731	3.13068919496295e-25
NFIA	NFIA	1.36738340875963	6.276718306802e-24
USP1	USP1	0.178641797894791	0.00418239264727313
DOCK7	DOCK7	0.113314521172057	4.51194522826862e-06
ITGB3BP	ITGB3BP	0.180590861309413	0.0586348786704893
PGM1	PGM1	0.121507552852299	0.0728367973768246
ROR1	ROR1	0.107608571197294	2.2842442930942e-19
LEPROT	LEPROT	0.360861986999356	0.00215003345164109
SERBP1	SERBP1	0.500383480753543	0.049460530332697
GADD45A	GADD45A	0.493829682755273	0.0159143545496566
GNG12	GNG12	0.133516283183634	0.00357304931439141
WLS	WLS	0.305723762243888	4.9822829708415e-11
PTGER3	PTGER3	0.382327232245015	0.000252955271758716
NEXN	NEXN	0.559943538300776	3.48171790485776e-31
DNAJB4	DNAJB4	1.05720064963261	0.00399286142720517
AC103591.3	AC103591.3	0.429595887891392	0.000892703201320537
ADGRL2	ADGRL2	0.199562776072488	9.79728640299345e-08
TTLL7	TTLL7	0.200950564665304	2.44324080230466e-25
CYR61	CYR61	22.597774738455	2.10140686250295e-37
SELENOF	SELENOF	0.117646013619816	0.0200073123327789
LMO4	LMO4	1.32729003282714	0.000303623865247815
PKN2	PKN2	0.156036918358006	0.00333494749431004
GTF2B	GTF2B	0.695103458290934	0.00667214664066863
GBP1	GBP1	0.205942656677231	5.41145402622138e-05
TGFBR3	TGFBR3	0.179202837321527	1.9531892091602e-05
RPL5	RPL5	102.556959971148	2.46459083702687e-07
CNN3	CNN3	2.76841409928671	3.75964471190537e-09
PTBP2	PTBP2	0.115676042380316	0.00221792175861281
VCAM1	VCAM1	0.578714244538023	2.71239961179614e-14
EXTL2	EXTL2	0.24314345302536	0.00229560841177762
GPSM2	GPSM2	0.139112685006375	0.000238768186030265
PSRC1	PSRC1	0.26889518668163	1.19141859226566e-18
GSTM5	GSTM5	0.719145598253862	4.44295570930037e-28
GSTM3	GSTM3	0.858363390337781	0.000489593940626187
CSF1	CSF1	0.394796757518511	7.65232020096044e-10
AHCYL1	AHCYL1	0.130970298233537	0.00210875535635331
LAMTOR5	LAMTOR5	0.65308417350393	0.0297351631740033
WNT2B	WNT2B	0.271151718296906	2.32427024200416e-08
RHOC	RHOC	1.57160557596545	0.00563523832731265
OLFML3	OLFML3	6.71054739137324	5.13750672610494e-66
PHGDH	PHGDH	1.164003884817	2.51699850631329e-11
NOTCH2	NOTCH2	0.118056207128558	0.0855957473022828
AC245595.1	AC245595.1	0.322717877564342	3.56444521416709e-17
PIAS3	PIAS3	0.140287112002964	3.23532940750764e-12
POLR3GL	POLR3GL	0.113359500971598	0.00153906151675068
TXNIP	TXNIP	0.427553203099463	0.0517702986588498
ANP32E	ANP32E	0.142998477698832	0.0832104119906162
MRPS21	MRPS21	0.130956809104799	0.0905757867110321
ECM1	ECM1	0.292687528118941	4.48419087711136e-30
ADAMTSL4	ADAMTSL4	0.147213831646648	0.000115093540030513
CTSK	CTSK	0.420392665470244	2.33173930133735e-23
SELENBP1	SELENBP1	1.90112857333822	2.34036567206721e-11
POGZ	POGZ	0.298320829308155	7.03428103988644e-07
S100A10	S100A10	91.9223833745731	0.0123263060545285
S100A16	S100A16	1.11267122166023	0.00264003645789298
S100A13	S100A13	0.267530768091628	0.000222596838989999
CHTOP	CHTOP	0.144567652802939	0.0146477261680991
ILF2	ILF2	1.95664558247758	6.55432766313684e-06
INTS3	INTS3	0.192343743248534	0.00370302322811559
SLC27A3	SLC27A3	0.13319642343688	1.04941358993306e-06
SLC39A1	SLC39A1	0.300286517303187	9.08380266762996e-05
JTB	JTB	0.532218820661882	3.57006737541015e-07
RAB13	RAB13	0.897063675972088	1.40518250076727e-06
RPS27	RPS27	79.0051625350686	5.09234544047851e-06
TPM3	TPM3	0.268281101560517	0.00510788227679992
KCNN3	KCNN3	0.627617679741308	8.79528811885589e-10
CKS1B	CKS1B	1.88054825467358	0.000517362953324873
RUSC1	RUSC1	0.129288062316123	0.00210904415290215
GON4L	GON4L	0.151082061464271	5.50200461402924e-10
SSR2	SSR2	3.68895620506362	1.67215361555648e-05
MEX3A	MEX3A	0.293754454877727	5.24675359652117e-13
LMNA	LMNA	12.5707246962737	4.32317772373412e-08
PMF1	PMF1	0.31219181538211	0.000754623003047334
CCT3	CCT3	0.415577464822935	0.00602737460188307
NES	NES	0.67841045470891	3.73114821872477e-07
PEAR1	PEAR1	0.163827701977248	1.36849204132914e-19
KIRREL1	KIRREL1	0.146782551287989	2.85952854782751e-24
IFI16	IFI16	2.16196481671729	0.000192599877540396
TAGLN2	TAGLN2	3.54277905279998	0.0188479285220325
NCSTN	NCSTN	0.129088655001681	0.0420481494160492
ADAMTS4	ADAMTS4	0.463453800056271	3.73546088150899e-34
SDHC	SDHC	0.185355242633192	0.000320701803145162
DDR2	DDR2	0.485108032516005	2.82701342148765e-34
RGS5	RGS5	6.68738889018128	0.0152676396310074
PBX1	PBX1	0.658938521485303	3.23279610334466e-30
MGST3	MGST3	4.51314261223395	0.00163854957836263
ALDH9A1	ALDH9A1	0.155774470346649	0.000561664400733551
TMCO1	TMCO1	0.233517715579475	0.00225777415238071
DPT	DPT	27.7977734971907	2.51421889292263e-72
DNM3OS	DNM3OS	0.155663931291735	3.91847593024015e-25
PRDX6	PRDX6	3.30955554686637	0.0244164982509996
RASAL2	RASAL2	0.100293855135297	2.74305877748439e-07
RALGPS2	RALGPS2	0.106026642436333	1.77866565906604e-09
QSOX1	QSOX1	0.912340569515403	0.00225170365826218
ACBD6	ACBD6	0.132675717951001	1.92780700307906e-05
DHX9	DHX9	0.410231112727702	0.000855591839763445
LAMC1	LAMC1	0.240939853995465	1.57513634064142e-06
C1orf21	C1orf21	0.107637493541223	0.0704794919172871
TPR	TPR	0.396849769281038	0.00953451772943914
ASPM	ASPM	2.92500555446458	1.99028536500815e-13
TMEM9	TMEM9	0.405475992809502	3.97719296924206e-12
IPO9	IPO9	0.170322871249842	0.0033757786740234
KDM5B	KDM5B	0.126141119444962	0.023486935350531
FMOD	FMOD	0.358612631852227	2.55348641926146e-31
