Gene	LogFC	Pval
HES4	HES4	20.8403334620646	5.34930986592066e-06
ISG15	ISG15	0.579221536219373	0.0442413220751027
AGRN	AGRN	0.182148098845042	0.00439208167145075
MMP23B	MMP23B	0.694954594131967	6.94616035495795e-14
MEGF6	MEGF6	0.133036397365289	6.13949791870439e-06
ERRFI1	ERRFI1	0.338102395039876	8.20622248270256e-06
MAD2L2	MAD2L2	0.186846743170698	0.0723775535636528
RCC2	RCC2	0.111803695700928	4.47678663371663e-05
RPL11	RPL11	97.9987958181972	3.79393469088819e-08
SRSF10	SRSF10	0.557351211781899	0.0404907744032326
RSRP1	RSRP1	1.34748378168634	5.49032491970671e-07
HMGN2	HMGN2	21.548771323054	1.27099436624949e-07
COL16A1	COL16A1	1.22703258017428	1.57413374970095e-13
TXLNA	TXLNA	0.107046473507744	0.00695969556661443
MARCKSL1	MARCKSL1	1.41784315543029	0.0722806599633604
RBBP4	RBBP4	0.485004027939002	0.0773406169346487
SFPQ	SFPQ	8.06951858389613	7.21633593754989e-07
EVA1B	EVA1B	0.210978032766903	0.000106155156162362
YBX1	YBX1	6.39196598752546	0.0347148956419612
CDC20	CDC20	9.02136304388211	0.00768915655346095
PLK3	PLK3	0.238820008258006	2.04855923316569e-06
PRDX1	PRDX1	8.60628557958539	0.0427610152256903
UQCRH	UQCRH	7.85876881295283	0.00316208590034055
TMEM59	TMEM59	0.671467487087587	0.00509246579056136
PLPP3	PLPP3	0.617247674482189	6.68532964256124e-05
NFIA	NFIA	0.135914296129968	0.000137976137178852
ITGB3BP	ITGB3BP	0.146525390456449	0.0221868362894318
FUBP1	FUBP1	0.152488533143056	2.31892293229552e-06
SELENOF	SELENOF	0.218887178909642	0.0219575331976389
MTF2	MTF2	0.112411560249273	0.000807967514236491
VCAM1	VCAM1	0.655586817856996	1.26774010827921e-06
PRPF38B	PRPF38B	0.120742552208002	0.00181795591934397
GPSM2	GPSM2	0.109757488314537	0.00011276579388427
PSRC1	PSRC1	0.201111357088157	0.0260703774648817
GNAI3	GNAI3	0.23798898977212	0.00605373498485339
CSF1	CSF1	0.383629767450336	2.2184272914253e-06
ATP5PB	ATP5PB	0.409412306809329	0.00316013329524187
WNT2B	WNT2B	0.202934554098944	0.000469526929449247
ATP1A1	ATP1A1	1.72049687850219	5.02720667464189e-05
PHGDH	PHGDH	0.262540682352561	0.00374595426852204
RBM8A	RBM8A	1.50449837583944	0.0074379799189419
ANP32E	ANP32E	0.218074240427137	0.0124856599915524
ECM1	ECM1	0.275305978241889	4.15529717007817e-12
MCL1	MCL1	1.84297650106287	7.19996183727065e-07
CTSK	CTSK	0.247074483723539	5.75359829396593e-05
S100A4	S100A4	0.497538822122332	0.00301555409887748
S100A14	S100A14	0.126746745302426	0.0637239566046209
SLC39A1	SLC39A1	0.222750081740402	0.000523035137720161
TPM3	TPM3	1.06438702983942	0.0015431313238003
ADAR	ADAR	0.206432724158548	0.0055832629008425
KCNN3	KCNN3	0.598968343399913	1.60237935503841e-14
CKS1B	CKS1B	1.79141363956605	0.0122284905337179
ARHGEF2	ARHGEF2	0.150460163269294	0.00058515881044543
SSR2	SSR2	1.08257397007506	0.0427936631050661
LMNA	LMNA	14.9718789737956	2.15321936024984e-08
PEAR1	PEAR1	0.151412382348277	8.1587710725595e-12
IFI16	IFI16	2.0656519699436	8.25935460747997e-08
TAGLN2	TAGLN2	9.99653803151397	1.8863679025043e-06
ADAMTS4	ADAMTS4	0.346848862127369	3.50939715578246e-09
DPT	DPT	21.1209586640348	3.24342671199077e-56
QSOX1	QSOX1	1.03439014435977	5.91065920304311e-09
ARPC5	ARPC5	1.44618206096732	2.40455013658353e-06
ASPM	ASPM	2.88963591759544	2.70856533871459e-11
UBE2T	UBE2T	0.637207736439294	0.0159338543183555
FMOD	FMOD	0.241134191996327	2.1351825878645e-08
PPP1R15B	PPP1R15B	0.24269277086026	2.86427081085669e-08
MDM4	MDM4	0.246105453213416	0.0207216946374344
CD55	CD55	0.104897975912837	0.0871219780430399
CD34	CD34	0.171399938934787	0.000191964080058244
ATF3	ATF3	9.06894004369389	0.0205669224614164
CENPF	CENPF	12.4438081810733	1.92760678453072e-08
SRP9	SRP9	0.845378414111382	0.00386525814937574
RHOU	RHOU	0.130484649268977	0.00770326111399722
SIPA1L2	SIPA1L2	0.216358367357347	0.012460083144015
ARID4B	ARID4B	0.333078294568562	2.47794140534284e-05
ERO1B	ERO1B	0.158704659151687	0.000580117081065749
HNRNPU	HNRNPU	5.41110549169541	0.0011047123231819
PXDN	PXDN	0.326702240396056	0.000822099278960093
RPS7	RPS7	52.998795780859	0.0462757899581002
NOL10	NOL10	0.105833562955962	0.00158557236626397
