Gene	LogFC	Pval
SAMD11	SAMD11	0.283024160373072	0.00874088361721393
UBE2J2	UBE2J2	0.135659647550833	0.0667324261645949
MRPL20	MRPL20	2.51258219852607	0.0652459789139667
VWA1	VWA1	3.99573501089235	1.25233716198976e-17
ATAD3A	ATAD3A	0.119281979945014	0.00901411150224912
SSU72	SSU72	0.238406414613355	0.0404756173797494
FAAP20	FAAP20	0.392969624544873	0.0306314415255835
ACOT7	ACOT7	0.160323574794746	0.0611156467401192
CAMTA1	CAMTA1	0.427702649641629	0.0853411764413024
VAMP3	VAMP3	0.192330060029786	0.00253665128223287
SPSB1	SPSB1	0.159700241488523	0.0816564610962815
CASZ1	CASZ1	0.235032546937149	1.165599449393e-05
PLOD1	PLOD1	0.700217910089308	0.0265984872906693
HSPB7	HSPB7	0.460813253016757	1.00131996211626e-08
CROCC	CROCC	0.10654661504969	0.06224909765479
MFAP2	MFAP2	1.81179669871932	0.000188729407727408
AKR7A2	AKR7A2	0.232620750497276	0.055660270048732
CAPZB	CAPZB	3.51899520677408	9.79572733268475e-08
MINOS1	MINOS1	2.1183106750075	0.000678995756519144
NBL1	NBL1	5.97768663211895	7.02863381782768e-05
UBXN10-AS1	UBXN10-AS1	0.196072104178059	0.000402520109520586
PINK1	PINK1	0.164352600604291	0.0353046912408757
HSPG2	HSPG2	1.46899859413471	2.07568747942431e-18
ID3	ID3	6.2960104714623	0.0021826045470645
CLIC4	CLIC4	0.693927186527611	2.25129922947685e-07
NUDC	NUDC	0.394613841774946	0.0412914659833898
TRNP1	TRNP1	0.326213878456005	0.000135414940708475
SDC3	SDC3	0.405214402982502	0.00407683778904135
TINAGL1	TINAGL1	1.46945107515129	2.47955436830402e-15
PEF1	PEF1	0.300726073069565	0.0131683403587389
PTP4A2	PTP4A2	0.112396249527756	0.0286424333762219
CCDC28B	CCDC28B	0.125883322240797	0.0534468991091413
SYNC	SYNC	0.194757126277172	0.00256164676147714
PHC2	PHC2	0.149622401581544	0.0774616010904578
PSMB2	PSMB2	0.316071004689799	0.000384548602806171
ADPRHL2	ADPRHL2	0.114443595308861	0.0240323636290173
MAP7D1	MAP7D1	0.234543304604883	0.0949693056145871
C1orf122	C1orf122	0.955267444878733	0.0657487194960532
FHL3	FHL3	2.29279183203039	5.88439413599518e-08
MYCBP	MYCBP	0.168870835596847	0.0328849597787632
AKIRIN1	AKIRIN1	0.394584324822936	0.0399924218748137
NDUFS5	NDUFS5	0.234049034147174	0.0031261704943188
MACF1	MACF1	4.36874641276884	1.65054273977256e-08
PPIE	PPIE	0.130607817750978	0.0300487562834211
CAP1	CAP1	1.24451173970654	0.000825993112100849
NFYC	NFYC	0.117048310587348	0.0362513605518524
CITED4	CITED4	0.23157615887575	0.0423038853161949
CTPS1	CTPS1	0.171996231768133	0.0449746573731622
PPCS	PPCS	0.189512047632235	0.0333166782344777
ELOVL1	ELOVL1	0.292602519686799	0.0658602349510692
MED8	MED8	0.175056916534856	0.0635773696664055
HYI	HYI	0.173436555564937	0.00587274968298141
ERI3	ERI3	0.149959312074217	0.0572326339762512
ATPAF1	ATPAF1	0.120605596448734	0.05200634822184
EFCAB14	EFCAB14	0.127502705597912	0.064573576590428
SCP2	SCP2	0.486203863344597	0.000428066729928137
LRRC42	LRRC42	0.206119951065682	0.00380360464934784
AK4	AK4	0.338611718604237	0.000578431963805971
LEPROT	LEPROT	0.916472544798158	0.00963701199322842
SERBP1	SERBP1	0.675343690850198	0.05131174493086
NEGR1	NEGR1	0.14641753310603	0.0258025561597071
TYW3	TYW3	0.127823410125547	0.0140831102498965
ACADM	ACADM	0.425334944693512	0.00821319485511283
NEXN	NEXN	6.36718288974467	3.2766093224048e-15
PRKACB	PRKACB	0.148182506765551	0.0340917311715292
GNG5	GNG5	2.59144878675479	0.0349035926766488
CYR61	CYR61	24.9526154668586	2.65625371920143e-07
LMO4	LMO4	5.2359006662003	0.000318253376789619
GBP2	GBP2	0.279869582643659	1.61166605383528e-05
TGFBR3	TGFBR3	0.38999226661246	0.022416159862473
FAM69A	FAM69A	0.133309724021534	0.0165556653162935
AGL	AGL	0.188320128695298	0.0151610929295827
GSTM4	GSTM4	0.132177348802572	0.0440342666407725
GSTM3	GSTM3	1.86143312320624	0.0374143699961396
RAP1A	RAP1A	7.49224359729025	1.79272136156683e-09
KCND3	KCND3	0.119659429517442	0.00171163099221311
RHOC	RHOC	5.89982003172244	0.00864964907279761
SLC16A1	SLC16A1	0.105927945767526	0.0959079788888346
CSDE1	CSDE1	0.650342149935268	0.000199123752458797
TSPAN2	TSPAN2	0.615402592731524	4.26282352045946e-10
PTGFRN	PTGFRN	0.156467249449802	0.00523052287395024
NOTCH2	NOTCH2	0.111137419388242	0.0429887661247185
POLR3GL	POLR3GL	0.373690897961292	0.0139448009508964
TXNIP	TXNIP	1.06385489451737	0.00834242315755204
PLEKHO1	PLEKHO1	1.99655836723238	1.37068524217557e-06
MRPS21	MRPS21	0.735574985846703	0.0022132398468163
PSMD4	PSMD4	0.339179668581125	0.0114222630267435
SNX27	SNX27	0.100790578450743	0.0500609951954504
S100A11	S100A11	4.58870079366731	0.0120945665994874
SNAPIN	SNAPIN	0.326058336270769	0.00446682642741687
C1orf43	C1orf43	0.338943497316867	0.0599749574620856
PBXIP1	PBXIP1	0.698835814952154	0.000785732713808245
CCT3	CCT3	1.00654230022471	0.0327232774784142
CRABP2	CRABP2	0.782978684801922	1.0826640076872e-05
PEA15	PEA15	0.221021703438059	0.0615568538638366
TSTD1	TSTD1	0.228421815555284	0.0121434090120319
OLFML2B	OLFML2B	1.30229212579724	2.71733329603849e-08
RGS5	RGS5	19.7400083697662	1.15991050650434e-17
MGST3	MGST3	1.78045140039117	1.65120399643818e-05
GPR161	GPR161	0.191806134797234	0.0516100361466566
PIGC	PIGC	0.118929051217505	0.0406297789627908
RALGPS2	RALGPS2	0.140449128829334	0.0472803311591108
IER5	IER5	0.314480928769956	0.0529877710647992
LAMC1	LAMC1	0.249759529288875	0.0293716736806527
FAM129A	FAM129A	0.15153994926766	0.00284436592863118
TROVE2	TROVE2	0.112719863839556	0.0511678106422013
ZNF281	ZNF281	0.15903793969214	0.0165827126700366
PHLDA3	PHLDA3	0.722724292334486	0.000301591407326829
CSRP1	CSRP1	29.6678630087723	7.88807222326987e-42
LMOD1	LMOD1	0.898140953304842	1.42149063027731e-12
PPP1R12B	PPP1R12B	5.44867394158806	7.87165733762121e-25
PRELP	PRELP	0.191545690318387	0.00312657406759154
ATP2B4	ATP2B4	0.741454973117115	7.81775353403353e-10
SNRPE	SNRPE	0.304667021273428	0.0786191389952442
PLXNA2	PLXNA2	0.142690121644974	0.026655542760659
SERTAD4-AS1	SERTAD4-AS1	3.79693007888332	1.30473778405489e-09
SERTAD4	SERTAD4	0.150864279848092	0.00102582329673432
TRAF5	TRAF5	0.239607868203778	3.88034325519875e-05
EPRS	EPRS	0.224811928189249	0.0390489420445606
HLX	HLX	0.325516852093449	0.0210919601397735
AIDA	AIDA	0.139364453860567	0.0274517466386907
CAPN2	CAPN2	0.500590062756186	0.0277565000692491
DEGS1	DEGS1	1.71539527132128	0.0120380612567912
LBR	LBR	0.570989477895811	8.44298838473938e-05
ENAH	ENAH	0.636018915889158	2.29600368016958e-10
PYCR2	PYCR2	0.185009773180671	0.0480467879487708
LEFTY2	LEFTY2	0.192977401113655	0.00137600899869723
CDC42BPA	CDC42BPA	0.16163640295527	0.0110566200317695
RAB4A	RAB4A	0.233811287719764	0.0724307344292646
EGLN1	EGLN1	0.103250767212368	0.0884587728170423
TSNAX	TSNAX	0.128979232070675	0.0164453897633279
IRF2BP2	IRF2BP2	0.528085192247216	0.000119307955231954
TOMM20	TOMM20	0.263605371640133	0.05709088870468
GREM2	GREM2	8.66069021263773	4.48356564066554e-17
FH	FH	0.158314624856347	0.0345272971678137
ADSS	ADSS	0.163669769828722	0.0054687095441056
DESI2	DESI2	0.13314678119722	0.0597910583184606
COX20	COX20	0.447775736982635	0.000840515486959668
ID2	ID2	0.337861260539545	0.00120483038118942
IAH1	IAH1	0.398507685095177	0.00182342221254259
YWHAQ	YWHAQ	2.94247863776943	0.0648287501818701
RRM2	RRM2	6.15160892120877	0.0298875848527009
OSR1	OSR1	1.8690364665811	1.28968113219144e-07
RHOB	RHOB	4.00257164569005	0.0208457091301798
TP53I3	TP53I3	0.122593032257864	0.0718560350490997
RAB10	RAB10	0.237422601045237	0.00497388239101408
KCNK3	KCNK3	0.482657273081198	5.50788346348968e-06
OST4	OST4	8.04570264374574	0.00426916164758051
PREB	PREB	0.148534538387094	0.0373099430093668
ATRAID	ATRAID	0.73901694935011	0.0437404675776866
SNX17	SNX17	0.231758368533981	0.0795556570605908
NRBP1	NRBP1	0.309615846948223	0.0998260885765615
MRPL33	MRPL33	1.06209989897695	0.000782463576967252
YPEL5	YPEL5	1.66893948779118	0.00172848216143536
LBH	LBH	0.699267874844257	0.00264476512826595
LTBP1	LTBP1	0.400804467593042	1.38157758991864e-07
FEZ2	FEZ2	0.189024590079933	0.0461101339566096
CEBPZ	CEBPZ	0.105737110895591	0.063844683481689
CDC42EP3	CDC42EP3	1.34428536078718	3.33156927291024e-14
ATL2	ATL2	0.134186423902164	0.00211314052040928
HNRNPLL	HNRNPLL	0.148164742087871	0.0615182910639546
SLC8A1	SLC8A1	0.42144831321675	5.53588914144137e-05
