Gene	LogFC	Pval
HES4	HES4	17.0627711669771	0.000275611584334963
CCNL2	CCNL2	0.117325041901282	0.0177180911190569
MMP23B	MMP23B	0.283398841953146	1.81374939162161e-10
RPL22	RPL22	20.0083025417225	0.045310379824858
ERRFI1	ERRFI1	0.285496048560697	0.000376811743999269
ENO1	ENO1	10.123604473232	9.71856624034609e-07
TARDBP	TARDBP	0.119075285797319	0.0756347522516126
DDOST	DDOST	0.188075005931288	0.0418971834544078
ATP5IF1	ATP5IF1	11.338085717204	0.0552744478692968
COL16A1	COL16A1	0.880314277355017	4.15353670170542e-19
RBBP4	RBBP4	0.203703218348952	0.0135076184524059
PSMB2	PSMB2	0.625194688808172	0.000421242327916396
GUCA2A	GUCA2A	0.262993501109606	0.00176776666617718
YBX1	YBX1	2.27904639572786	0.000156525977467804
CDC20	CDC20	8.94819824915715	0.000161029953752946
RPS8	RPS8	84.1374134468188	3.28285352532929e-06
PRDX1	PRDX1	3.99326916977142	9.4043222257838e-06
JUN	JUN	180.137413447098	9.29529970502199e-09
GADD45A	GADD45A	0.43197667517898	0.0598742280729866
AC103591.3	AC103591.3	0.167178481082472	0.0115977332101125
GTF2B	GTF2B	0.875742377018585	0.0373517649120562
RPL5	RPL5	24.1374134470958	9.76854019534081e-10
CNN3	CNN3	1.83256500504279	0.0244804289931466
GPSM2	GPSM2	0.100686545235898	0.00600643850021872
PSRC1	PSRC1	0.215011317584236	2.00281077913447e-05
ATP5PB	ATP5PB	1.69525044323821	0.00786999962227364
ATP1A1	ATP1A1	1.62725593471004	4.2362590444264e-06
PHGDH	PHGDH	0.405198273259715	0.00593009073643222
ANP32E	ANP32E	0.139155101106933	0.0185885838715782
S100A10	S100A10	80.0887819635574	0.0452697633909215
S100A4	S100A4	0.494071976687497	0.000805990393378916
RPS27	RPS27	49.1373967183253	0.0508171385749904
KCNN3	KCNN3	0.611748473139442	6.07474779512464e-19
NES	NES	0.36179075296725	0.0089255776576374
ADAMTS4	ADAMTS4	0.396355789902235	2.76253741161558e-13
RGS5	RGS5	6.64465913999107	0.0779082800192261
MGST3	MGST3	2.74345460409931	0.00219441287650187
MPC2	MPC2	0.278224981932347	0.0011360967983392
DPT	DPT	15.2676134230463	3.2117035349575e-95
ATP1B1	ATP1B1	6.04133718920075	9.65652275308344e-05
PRDX6	PRDX6	1.38795198010667	0.0059157894033471
ASPM	ASPM	2.91633790025796	2.29482098086449e-15
CSRP1	CSRP1	1.38169966790762	8.82053437257626e-22
UBE2T	UBE2T	2.44499834194624	2.0439394516945e-05
BTG2	BTG2	2.90649364172925	0.00678379501282798
FMOD	FMOD	0.184481483076921	1.48953173182317e-06
MDM4	MDM4	0.155804984678928	0.00115445168375744
CD34	CD34	0.133557913252405	0.0158922553170302
NENF	NENF	1.01847272015623	0.0341425766171606
CENPF	CENPF	12.6563006191306	1.00037319712238e-13
SRP9	SRP9	0.245664419485516	3.01868985663852e-07
