Gene	LogFC	Pval
SAMD11	SAMD11	2.5727158013596	2.47979603550761e-13
ISG15	ISG15	7.86221227386623	1.45720328605778e-05
MXRA8	MXRA8	0.193649817181137	1.31262722956342e-11
VWA1	VWA1	0.132484656910528	1.67917011024956e-05
TNFRSF14	TNFRSF14	0.124318449496994	0.00281686025295755
VAMP3	VAMP3	0.220986297703531	7.72916521260752e-07
PARK7	PARK7	1.20916715761808	0.0358446486883229
PLOD1	PLOD1	0.286583526843194	3.84639424276352e-05
PDPN	PDPN	0.152035351919675	0.00246300493313454
KAZN	KAZN	0.53667883393408	0.0109383586774737
FBLIM1	FBLIM1	0.773705245089727	1.22154925883516e-13
MFAP2	MFAP2	0.199682935025974	0.0705180903439514
SDHB	SDHB	0.109590055324956	0.00184902156969563
AKR7A2	AKR7A2	0.397305271442064	0.000347528779370005
CAPZB	CAPZB	1.59901386286118	1.93459737418253e-12
MINOS1	MINOS1	0.577047169264557	3.3392491667196e-05
NBL1	NBL1	8.96439251720617	6.2315197943346e-47
ECE1	ECE1	0.167453814602676	4.63161381920162e-05
CDC42	CDC42	3.16632914673651	0.000989873273828151
HNRNPR	HNRNPR	2.37696157265473	0.0603158545376737
ID3	ID3	2.91718893374157	1.61670959774042e-06
CLIC4	CLIC4	1.66069658918195	1.73243055864848e-05
SYF2	SYF2	1.46218700201045	0.000140648011734179
TMEM50A	TMEM50A	0.651328620654041	0.033184190395396
ZNF593	ZNF593	0.136049868430807	0.0212916558346199
SH3BGRL3	SH3BGRL3	0.422178947435499	0.000142159475216253
NUDC	NUDC	0.179912864826235	0.00195171146330115
PEF1	PEF1	0.195889419112809	0.000901436580902558
KHDRBS1	KHDRBS1	7.66796113805453	0.000177480395927262
HDAC1	HDAC1	0.139719054496127	0.00859616303173154
MARCKSL1	MARCKSL1	0.498285418598078	1.56768232407047e-07
PHC2	PHC2	0.11112422106578	0.00478706551969829
SF3A3	SF3A3	0.148416731759283	0.00169892222439283
FHL3	FHL3	0.342962463977542	7.1115095478309e-06
PPT1	PPT1	0.192850942192514	0.00250291624967206
NFYC	NFYC	0.127653285899867	0.0380611381200315
ELOVL1	ELOVL1	0.138595150022705	2.75813906383236e-06
HYI	HYI	0.110592625237562	0.000211848281226659
DMAP1	DMAP1	0.103842614454336	0.00430895674236539
ERI3	ERI3	0.138033454088893	0.000776171067831897
GPX7	GPX7	0.58086456362015	0.000195953160812413
SCP2	SCP2	0.135165038974591	2.2811981275834e-05
MAGOH	MAGOH	2.19246122417916	0.000127445690171909
HSPB11	HSPB11	0.133659149010727	0.00202465096197202
LRRC42	LRRC42	0.158370049840537	0.000169851664647909
TMEM59	TMEM59	9.43959764315779	2.80980311455031e-09
NFIA	NFIA	1.36543176509793	0.000596573202227808
JAK1	JAK1	0.23094620332724	2.59375437946899e-05
LEPROT	LEPROT	4.06401005786638	4.49565027568182e-17
SERBP1	SERBP1	0.427975396195979	0.00447715813482045
GNG12	GNG12	0.22219399253038	0.0550646603302411
WLS	WLS	0.401828108331563	9.09027353945506e-08
PTGER3	PTGER3	0.791799701613813	6.88983181174341e-05
NEGR1	NEGR1	0.204676743687251	1.3454683446679e-08
ACADM	ACADM	0.182666422280142	0.00914887786733418
RABGGTB	RABGGTB	0.109918539666212	0.00524363245762712
NEXN	NEXN	6.14088138233902	4.96176925465124e-14
ADGRL4	ADGRL4	0.470989610984799	4.84289363157498e-10
PRKACB	PRKACB	0.100512363155338	0.00639604380315385
GNG5	GNG5	0.506026981565905	0.0105158551337443
DDAH1	DDAH1	0.145785447360958	0.0304596125695059
CYR61	CYR61	6.81399867995599	5.99231076156243e-12
SELENOF	SELENOF	0.799744862107365	3.55401824923329e-05
GBP3	GBP3	0.108917145430227	1.28892245165672e-05
GBP1	GBP1	6.33973565828945	8.73359996362861e-06
GBP2	GBP2	0.117547588484793	1.17771266351837e-05
ZNF644	ZNF644	0.147624468101481	0.0146600606118562
TGFBR3	TGFBR3	0.304292409503204	3.2385126411889e-05
EVI5	EVI5	0.112770945720774	0.0332897250071947
MTF2	MTF2	0.373944282377608	0.044663596256077
F3	F3	2.71612083706672	1.4942133215185e-16
SNX7	SNX7	0.115056789129329	0.0808157292650194
SARS	SARS	0.118076895667488	0.0078299671261794
CSF1	CSF1	0.742007923153421	7.47187096194954e-06
CSDE1	CSDE1	1.73968093379431	0.00135800108388244
MAN1A2	MAN1A2	0.130551058563818	0.00744768602451926
PIAS3	PIAS3	0.18543420475043	0.0355176727668372
TXNIP	TXNIP	3.16840090991268	6.08065776154459e-09
PDE4DIP	PDE4DIP	0.236839428087022	3.85748242515604e-06
VPS45	VPS45	0.12687203698853	0.0229317058500391
PLEKHO1	PLEKHO1	0.177008283287929	0.00117390603604354
MRPS21	MRPS21	2.08174703420935	0.00952129907177294
MCL1	MCL1	16.5798488896829	0.0470993551029139
CTSK	CTSK	1.73343124153762	0.000134823669793338
S100A11	S100A11	3.03393634382887	0.00708937788079804
S100A13	S100A13	8.87025929922597	7.57268934766771e-09
RAB13	RAB13	0.901816779202178	0.00850929916822943
HAX1	HAX1	0.101999155896359	3.37959561994313e-05
SHC1	SHC1	0.137255024747811	0.00594727906499888
DAP3	DAP3	0.132819936344339	0.0620148918118954
SSR2	SSR2	4.39389956751939	0.00428778765952408
LMNA	LMNA	7.53136305395708	2.74178686825272e-25
SEMA4A	SEMA4A	2.23899494926127	1.5206735849674e-09
CCT3	CCT3	0.836671644336985	0.0454867475522065
MRPL24	MRPL24	0.111239131886479	0.00130408436025665
TAGLN2	TAGLN2	9.86179603713745	0.0594832180754276
PBX1	PBX1	0.875390402252209	1.86144301475977e-05
ALDH9A1	ALDH9A1	0.366182329537499	2.11369054195013e-06
PIGC	PIGC	0.12848416379217	0.000908788954306586
TOR3A	TOR3A	0.140879573078721	0.0799218072068653
LAMC1	LAMC1	0.662618808089562	3.88766744610458e-12
C1orf21	C1orf21	0.195003283830878	5.61032572999863e-05
PTGS2	PTGS2	1.06100162115408	1.96519371629403e-08
TROVE2	TROVE2	0.246078866674239	7.35753128525959e-05
CFH	CFH	0.178728145764749	1.39860564745612e-10
TMEM9	TMEM9	0.328288888065301	0.0340939208224227
PHLDA3	PHLDA3	0.153177105827446	8.60800760612642e-05
LMOD1	LMOD1	0.129644436030773	2.34483824582861e-05
TIMM17A	TIMM17A	0.114269261589472	0.00761896181687744
PPP1R12B	PPP1R12B	0.162461318796933	0.0686992738878084
KDM5B	KDM5B	0.140731960309225	0.00539751449793719
ADIPOR1	ADIPOR1	0.143799362979252	0.00751034979988113
SNRPE	SNRPE	0.606263823794905	0.00523236558568095
CD55	CD55	0.109721797962656	0.00679319626508413
CD46	CD46	0.267387478390162	0.00150906025420914
PLXNA2	PLXNA2	0.236156674910943	1.54105308396723e-08
EPRS	EPRS	0.238135295183903	4.33768188785053e-05
CAPN2	CAPN2	0.223206453944633	0.000150129490083026
DEGS1	DEGS1	0.568943957621137	2.90388688903412e-09
ENAH	ENAH	0.652097922296042	2.80244762525165e-06
EPHX1	EPHX1	0.862517342329268	2.36141233529255e-17
H3F3A	H3F3A	26.1563722472049	3.06598696379855e-06
ACBD3	ACBD3	0.114577446697456	0.0326809576164243
CDC42BPA	CDC42BPA	0.1898046489386	0.0084006098057774
ARF1	ARF1	0.706929200968782	0.00063762252780412
RAB4A	RAB4A	0.160136546910549	0.00274817114126586
GNPAT	GNPAT	0.137983269731453	0.0590545314776768
TSNAX	TSNAX	0.101915149994007	0.000684136223556234
TOMM20	TOMM20	0.169648594540429	0.0701494673619776
NID1	NID1	1.63174006418836	4.76939970880949e-07
GREM2	GREM2	1.12933376334076	5.78321832142205e-08
ADSS	ADSS	0.135782084973964	1.20765278576326e-05
DESI2	DESI2	0.991366921808554	0.00148424219078706
HNRNPU	HNRNPU	10.8279482579022	2.71298798882865e-06
SH3YL1	SH3YL1	0.522375558424198	0.0401625243486809
ACP1	ACP1	0.547492736884431	5.16948835676378e-05
ALKAL2	ALKAL2	2.12333087355614	2.08339893990351e-14
TMEM18	TMEM18	0.129138852947029	0.0579405083357494
PXDN	PXDN	5.4960057814741	8.12189581831101e-05
