Gene	LogFC	Pval
HES4	HES4	17.0745426225781	5.68328288017065e-06
SDF4	SDF4	0.210827343429485	0.00456149065485588
MXRA8	MXRA8	0.724237642397773	3.15514238329753e-05
MMP23B	MMP23B	1.35993921978329	5.46694920082988e-76
RPL22	RPL22	20.5250612513948	0.00171234362439871
ERRFI1	ERRFI1	0.399405872128381	7.53887006496626e-08
ENO1	ENO1	2.50477787719989	1.37355630416297e-09
PLOD1	PLOD1	0.140982052758569	3.69020141183693e-06
FBLIM1	FBLIM1	0.153432592830097	1.80791313101236e-08
MFAP2	MFAP2	4.23225422371965	1.17265153703137e-37
NBL1	NBL1	0.557280768931098	3.35344026724862e-05
RPL11	RPL11	59.5318221575621	0.00716457340274809
HMGN2	HMGN2	14.5681691596957	2.78588013055929e-06
COL16A1	COL16A1	1.36224587332917	1.98530451217462e-25
KHDRBS1	KHDRBS1	1.69092024949329	0.000100531697222219
RBBP4	RBBP4	0.105555448012035	0.0831025512255996
SFPQ	SFPQ	5.4065510448949	0.0204523506648875
EVA1B	EVA1B	0.416595089753453	5.80590191735608e-11
MACF1	MACF1	0.127762731116997	0.00016088011215894
GUCA2A	GUCA2A	0.265441491636983	0.0441362458214191
P3H1	P3H1	0.11252395468586	0.0027862867099372
CDC20	CDC20	9.02736568458095	0.000244993408445494
RPS8	RPS8	78.5318221575621	0.00652678867923684
UQCRH	UQCRH	0.531146828144674	0.00336247443085396
GPX7	GPX7	0.289728783035434	0.000862721153329242
PLPP3	PLPP3	0.68243511424868	5.51295013804452e-11
JUN	JUN	243.531822157562	7.90496775671241e-15
NFIA	NFIA	0.863535535408406	6.04121351016902e-07
USP1	USP1	0.135134573796793	0.0319073497730432
ITGB3BP	ITGB3BP	0.159317884325538	0.0209683086944134
GNG12	GNG12	0.122101948866798	0.00299946349362084
NEXN	NEXN	0.523322601754942	2.48686999114436e-10
DNAJB4	DNAJB4	1.07108902288984	0.0541114931705121
ADGRL2	ADGRL2	0.127827672627233	0.0335705380398175
GNG5	GNG5	1.79044659245051	0.0101146415297821
CYR61	CYR61	15.1713969384397	0.0302212409410979
GBP1	GBP1	0.197252809981944	1.78320908298182e-08
TGFBR3	TGFBR3	0.14631027849404	1.14344590360454e-05
RPL5	RPL5	2.53182215756209	6.82527625182313e-07
VCAM1	VCAM1	0.611334408715631	6.3187113878914e-11
PSRC1	PSRC1	0.210357105866274	0.000258882291847791
GSTM5	GSTM5	0.695888651784599	5.32168480643565e-29
CSF1	CSF1	0.355793175208608	8.70472245650218e-06
ATP5PB	ATP5PB	1.31432071573349	0.00564471940614736
WNT2B	WNT2B	0.244364658991296	8.94990441738716e-08
OLFML3	OLFML3	6.0804165503412	3.98978746481952e-48
PHGDH	PHGDH	0.222582205520731	0.00317150634643468
PIAS3	PIAS3	0.102458328166089	3.95225539812685e-05
RBM8A	RBM8A	0.768466459672881	0.00677207791241769
TXNIP	TXNIP	0.422858857891564	0.00682932442499912
ANP32E	ANP32E	0.217419750739801	0.00141488096831359
ECM1	ECM1	0.257308903065298	1.72268996154537e-15
ADAMTSL4	ADAMTSL4	0.138744204831372	3.38512013862237e-10
CTSK	CTSK	0.244491236464499	9.66294657814008e-08
SELENBP1	SELENBP1	1.89265894652294	4.38876045173074e-14
S100A10	S100A10	53.5318221575614	0.0103850507510298
S100A11	S100A11	3.51143575948953	1.94191941496713e-12
S100A4	S100A4	0.176829659643843	0.0054622503577921
KCNN3	KCNN3	0.593495855647944	1.71071597204321e-11
SEMA4A	SEMA4A	0.275756837066371	2.02222971580721e-05
PMF1	PMF1	0.10184344472915	0.0967367797811237
PEAR1	PEAR1	0.123698487581766	1.47680560250521e-10
ADAMTS4	ADAMTS4	0.352918761961208	0.000330432091529946
PBX1	PBX1	0.673463187287402	1.24387333475604e-14
DPT	DPT	27.4433623857979	5.76530774338762e-95
DNM3OS	DNM3OS	0.145427391157516	3.282183872797e-18
QSOX1	QSOX1	1.03633762470876	6.97877906870202e-19
RGS16	RGS16	0.293506268028056	0.0262312951833127
RGS2	RGS2	1.0704017755883	0.00741504239145233
ASPM	ASPM	2.84948326482574	5.46128663186835e-11
CSRP1	CSRP1	5.25311543793176	7.84648096028638e-08
ELF3	ELF3	19.5244720569953	0.047582379343845
UBE2T	UBE2T	2.41609432191773	0.000130334304545581
BTG2	BTG2	8.05592029332644	8.87363200125018e-09
FMOD	FMOD	0.356528013535322	2.60187057954062e-35
CD34	CD34	0.151347428748227	1.68087914619138e-09
ATF3	ATF3	12.5747645548204	0.0138875303981706
CENPF	CENPF	12.5276438974302	1.43825348851321e-06
HLX	HLX	0.123877228813404	1.31751675360751e-13
RHOU	RHOU	0.171060311253897	4.59603388627813e-10
NID1	NID1	0.505335321472702	0.00432328555189123
RPS7	RPS7	18.5318221575621	0.0386824965898827
RRM2	RRM2	1.50872600755526	2.86571294061422e-07
ODC1	ODC1	1.36600854474804	0.00301104711246151
LAPTM4A	LAPTM4A	3.23473237446477	0.00257130954684562
RHOB	RHOB	1.42352498864781	1.40866947209782e-09
EMILIN1	EMILIN1	3.0023258046687	2.1324476493123e-99
PKDCC	PKDCC	3.07436070752193	7.84240236673631e-53
PLEKHH2	PLEKHH2	0.23272836056172	1.74914883356301e-21
SPTBN1	SPTBN1	1.36836856861068	9.01036623288102e-14
EFEMP1	EFEMP1	0.482729037837406	3.21625849326481e-23
MEIS1	MEIS1	0.544832281997701	3.25911939630972e-24
PCBP1	PCBP1	4.65740400340389	6.41656919518313e-05
ACTG2	ACTG2	158.596869436258	3.41931557714897e-05
SUCLG1	SUCLG1	7.41622981683351	0.000614103685252401
ANKRD36C	ANKRD36C	0.130292020387346	0.00465603743228054
DUSP2	DUSP2	9.61340714589915	0.00021725935111353
RPL31	RPL31	2.51301785520096	0.0497010813489794
SLC20A1	SLC20A1	4.4792463838926	0.093056647905403
DBI	DBI	2.43249712018297	6.48595035675104e-20
GLI2	GLI2	0.17719969851851	1.41841737354955e-08
ZEB2	ZEB2	2.15170945721862	0.0282512498185224
RND3	RND3	9.38900321708245	0.0243832585131649
KLHL23	KLHL23	0.186061192875605	2.29433851357301e-05
CYBRD1	CYBRD1	0.181349056505696	0.00104900984883888
MAP3K20	MAP3K20	1.08363568909814	0.00164208302382196
ATP5MC3	ATP5MC3	6.51098994666103	0.0510335734771826
FKBP7	FKBP7	0.150259830561023	0.00972678624338601
TFPI	TFPI	0.531935915262955	3.32106545934333e-18
COL3A1	COL3A1	170.531821213393	1.91867653160353e-152
COL5A2	COL5A2	2.30950321570896	3.78049561079251e-15
SLC40A1	SLC40A1	0.213983928539442	4.46674554480947e-12
SPATS2L	SPATS2L	0.499811395059602	0.0129255847670334
SGO2	SGO2	1.255505398969	1.62282780168517e-05
FZD7	FZD7	0.30549073927255	0.00157279898337937
FN1	FN1	17.5889798695245	8.77923860896775e-62
IGFBP5	IGFBP5	29.3378750355983	1.87922655587519e-08
DES	DES	30.0415638498776	0.000643523882171203
CHPF	CHPF	0.16557620036865	0.0709243426690694
PTMA	PTMA	16.405209393339	1.9640497450511e-07
COL6A3	COL6A3	4.55462149330438	7.23192921883255e-58
TWIST2	TWIST2	0.135651748725265	4.16104903143176e-07
DTYMK	DTYMK	0.744055178426561	0.00846469694314922
BHLHE40	BHLHE40	2.29605446403005	7.62592961817341e-07
ANKRD28	ANKRD28	0.114911636411749	0.00573298635075535
ZNF385D	ZNF385D	0.164216015628281	4.6943637057276e-15
GOLGA4	GOLGA4	0.31347622191425	0.0447125810098965
CSRNP1	CSRNP1	5.61519304194483	0.000203773730406798
PTH1R	PTH1R	0.172442499291007	9.2748800679476e-30
IMPDH2	IMPDH2	0.557863668410282	0.00188941737219782
RPL29	RPL29	31.5318221575621	1.90119343355889e-05
GLT8D1	GLT8D1	0.123472864518827	0.0392867922967238
ARF4	ARF4	0.599825716788813	0.000275164166934671
ROBO1	ROBO1	0.158039470721086	2.28371645402464e-07
TMEM45A	TMEM45A	0.101434042212702	0.000167400113847087
ABI3BP	ABI3BP	0.238380302636832	4.92750668596667e-28
NFKBIZ	NFKBIZ	2.51351463082615	3.69951085501692e-09
CCDC80	CCDC80	1.91246333671568	4.7702094426686e-19
FSTL1	FSTL1	5.72270930122439	1.47810078956319e-15
MYLK	MYLK	14.40211476478	0.00702124391280435
PLOD2	PLOD2	0.305984477465383	0.00018426121931364
CCNL1	CCNL1	9.19137431036422	2.19896465478076e-08
PTX3	PTX3	10.3811328177154	0.00891689571524607
SMC4	SMC4	9.33651107326386	0.00234568217970747
