Gene	LogFC	Pval
HES4	HES4	1.04659953926497	1.23305716781267e-10
TNFRSF18	TNFRSF18	0.191632492468213	0.0131708092976343
AL139246.5	AL139246.5	0.119196934796382	0.00944416637589435
KLHL21	KLHL21	0.119789455439063	0.0440339685819209
EFHD2	EFHD2	0.247129574524846	9.12875912020112e-05
C1QA	C1QA	72.1155459752772	1.92338426193921e-07
C1QC	C1QC	47.1184332046749	2.64523157802786e-07
C1QB	C1QB	47.1265154960496	6.7864655831341e-06
RUNX3	RUNX3	1.00321409429488	1.70115968254557e-09
CD52	CD52	10.1101806007026	2.03468479675089e-05
THEMIS2	THEMIS2	0.288333293975326	8.18554254709966e-05
PTAFR	PTAFR	0.158874166395589	0.00758859826236691
SESN2	SESN2	0.386078157880998	0.0361768873821892
SNHG12	SNHG12	0.345858225973673	0.0151925204096627
LAPTM5	LAPTM5	5.14667333870233	2.93609985969991e-13
CSF3R	CSF3R	0.430963596210578	1.58194426903992e-05
ZC3H12A	ZC3H12A	0.260337294843059	0.00775669599832685
SMAP2	SMAP2	0.33534585784466	0.000495273090859326
PDE4B	PDE4B	0.14986521885238	8.60673762883296e-06
GTF2B	GTF2B	0.136537343400733	0.00255558264704433
AMPD2	AMPD2	0.138138117293175	0.0260378940671753
CD53	CD53	1.42005387310909	2.0935935653393e-11
C1orf162	C1orf162	0.184734950688573	0.0428199696379713
PTPN22	PTPN22	0.195583881557717	0.000298285699720849
AC245014.3	AC245014.3	0.26173786392428	0.00668792946719265
CTSS	CTSS	1.00333790073089	2.21685411284842e-07
S100A11	S100A11	12.1020102957147	0.0104826930972696
S100A9	S100A9	1.21018575655434	0.0208278340305863
S100A8	S100A8	26.1346639588402	0.0165491732589273
S100A4	S100A4	11.0431053948077	1.92788943131233e-06
IL6R	IL6R	0.435149528799159	2.95842771632227e-05
SH2D2A	SH2D2A	0.132220609582504	0.00603316541486765
ETV3	ETV3	0.258887075091119	0.0499842606516978
MNDA	MNDA	0.449887671912391	0.0163034181630411
CD48	CD48	0.583420589377068	3.47578211636033e-05
SLAMF7	SLAMF7	0.390838858029334	0.000155532676746206
LY9	LY9	0.600221199760437	0.00117188110769454
FCER1G	FCER1G	13.0863472063112	2.5588130907049e-11
FCGR2A	FCGR2A	0.195583881557717	0.000459455120326575
CD247	CD247	0.389597373030615	0.000498680185842348
XCL1	XCL1	14.1553501837317	0.00328647448033473
ATP1B1	ATP1B1	0.517372365363139	0.0023968759074437
SELL	SELL	0.538946108871732	0.00176813813870084
PTGS2	PTGS2	5.06552536411156	1.39448618297839e-06
RGS1	RGS1	7.2834938921317	6.13901438523717e-11
