Gene	LogFC	Pval
HES4	HES4	9.65530241268819	2.35354453054724e-10
AGRN	AGRN	0.683508272495615	3.93467024787418e-24
RNF223	RNF223	0.41713403843441	6.7097360638223e-08
AL390719.2	AL390719.2	0.608857903405003	1.11985110581713e-42
SDF4	SDF4	2.33518213731299	0.000365925125204936
C1QTNF12	C1QTNF12	0.778873752982572	4.0135313930457e-07
ACAP3	ACAP3	0.411089704814204	0.00236548677934023
INTS11	INTS11	0.750760198679328	0.0608192648156245
DVL1	DVL1	0.283750058882622	1.00875724935722e-22
MXRA8	MXRA8	8.17779579824654	1.60281953268094e-16
AURKAIP1	AURKAIP1	6.65883547609421	0.0411801523288371
MRPL20	MRPL20	2.45972509342482	3.1243104136864e-06
VWA1	VWA1	2.95015920105024	1.84697632169705e-06
SSU72	SSU72	1.32326353547422	0.00160972846458881
PRKCZ	PRKCZ	0.823133245333598	0.000116224564336052
SKI	SKI	0.358628767652626	0.0499163675933964
PEX10	PEX10	0.128690305543843	0.0932031794223238
TNFRSF14-AS1	TNFRSF14-AS1	0.830044583084108	1.75767342501391e-36
FAM213B	FAM213B	0.57980971361378	0.0561848521443951
AL831784.1	AL831784.1	8.79886284652068	0.0211920439074361
ARHGEF16	ARHGEF16	0.278706444791242	2.26269107303174e-28
TPRG1L	TPRG1L	0.361926610834342	3.37587698435685e-07
SMIM1	SMIM1	1.04824428272862	9.37500074330875e-06
GPR153	GPR153	0.120135345302583	0.0669575630477205
ESPN	ESPN	6.53939513721247	1.45795893565596e-24
CAMTA1	CAMTA1	1.79401790587337	0.0143953880807252
VAMP3	VAMP3	0.375274002645808	0.0630738622506884
ERRFI1	ERRFI1	16.8117894863557	3.54046518771781e-25
RERE	RERE	0.477997480171806	0.0742024830418929
SLC2A5	SLC2A5	0.222473409747812	2.98850018781215e-17
H6PD	H6PD	0.229805586585667	0.00388469410295161
SPSB1	SPSB1	0.553304823341897	1.50843297853946e-06
PIK3CD-AS2	PIK3CD-AS2	0.127845467836615	2.17339078836184e-13
CLSTN1	CLSTN1	0.957108396505449	0.0009993322694384
CTNNBIP1	CTNNBIP1	0.209933918773409	0.0166019578226834
UBE4B	UBE4B	0.179633685735614	1.74876823598124e-07
CASZ1	CASZ1	0.285831839443383	2.04123897209418e-07
FBXO2	FBXO2	8.00757453086798	9.84494487292759e-68
FBXO44	FBXO44	0.105074607549839	6.51580634296835e-07
FBXO6	FBXO6	0.159603985271379	0.00338902667151298
KIAA2013	KIAA2013	1.81922722180001	1.55903693628301e-07
MFN2	MFN2	0.280464957444145	0.000789425302317751
KAZN	KAZN	0.351052708254614	0.000493844790376628
TMEM51	TMEM51	0.802146170629557	0.000965523972514097
EFHD2	EFHD2	0.225492057042476	0.00523653829073354
AGMAT	AGMAT	0.460136411139217	0.00966774764602813
DDI2	DDI2	0.936065078998405	7.19200028739668e-06
TMEM82	TMEM82	0.302576286581622	5.96824190275719e-05
FBLIM1	FBLIM1	3.21934879308269	4.44321828655059e-35
SPEN	SPEN	3.74831363465494	0.000308559035793862
EPHA2	EPHA2	18.773920427472	5.51274585722487e-39
ARHGEF19	ARHGEF19	0.142640406104758	2.83704014133482e-15
NECAP2	NECAP2	0.141454343911702	0.0724314714170961
MFAP2	MFAP2	9.65841125826721	8.5087073751868e-07
SDHB	SDHB	1.80191417701573	3.0343246402017e-09
PADI2	PADI2	0.16792598726173	7.7690776095214e-06
ARHGEF10L	ARHGEF10L	0.542644175452327	1.40160522661967e-11
EMC1	EMC1	0.204542794390573	0.0593207129449246
AKR7A2	AKR7A2	1.31263369049177	0.00193478049246449
RNF186	RNF186	9.94473495505043	3.13968676456407e-11
PLA2G2A	PLA2G2A	43.7660559649373	3.92624294429815e-13
CAMK2N1	CAMK2N1	14.6586817475578	5.20195772189074e-23
CDA	CDA	0.753517012928808	1.38799906490537e-16
DDOST	DDOST	3.52663638596501	0.00158910534273028
ECE1	ECE1	0.273323038623893	6.40194195677399e-14
HSPG2	HSPG2	10.7542216359122	2.95321874953622e-11
CDC42	CDC42	3.94134767946604	0.0750926707368782
EPHB2	EPHB2	1.28418482938905	0.0533413546488431
KDM1A	KDM1A	0.199716859663085	0.00288701147023761
TCEA3	TCEA3	1.734828084078	0.0574346634534357
GALE	GALE	3.30719082172557	5.20579974969184e-09
HMGCL	HMGCL	0.363364379615704	0.00829039251009921
MYOM3	MYOM3	0.27423747627265	6.57202950202103e-27
IL22RA1	IL22RA1	0.755249221738231	4.15843367655564e-27
SRRM1	SRRM1	5.1341201389778	0.0440529483138466
RSRP1	RSRP1	1.79402394631571	2.84098312459332e-06
PAFAH2	PAFAH2	0.135558076244704	0.00377749313937728
SLC30A2	SLC30A2	0.746443167308244	2.92389117508461e-05
ZNF593	ZNF593	1.05321089008861	0.0313083363185488
CNKSR1	CNKSR1	0.852925304069779	2.74104362925886e-54
SH3BGRL3	SH3BGRL3	13.8253908025978	0.012390845974849
CRYBG2	CRYBG2	0.125866218236758	1.74724501531157e-13
PIGV	PIGV	0.104747365498603	0.0224931785434922
SFN	SFN	68.7790720569018	4.34591651601361e-34
GPN2	GPN2	0.124802428326831	0.0425096956490019
NR0B2	NR0B2	10.9667206882172	2.29300856315665e-30
KDF1	KDF1	0.118417069348028	9.86015325819607e-12
SLC9A1	SLC9A1	0.243471153704132	0.00103158355914728
AHDC1	AHDC1	0.727875877517163	5.09894181859499e-40
SMPDL3B	SMPDL3B	0.271140317277359	4.50420024679616e-07
ATP5IF1	ATP5IF1	29.1607842798275	4.3913696359704e-05
YTHDF2	YTHDF2	3.81891496886085	6.39294527501013e-07
EPB41	EPB41	0.351635484293946	0.00545917808949738
PTPRU	PTPRU	0.169712188952752	2.42277845526421e-19
FABP3	FABP3	1.25648165701828	0.0119941315581634
SERINC2	SERINC2	2.76048181752871	5.71798127985681e-18
TINAGL1	TINAGL1	1.72275295431822	7.12047051642773e-14
PTP4A2	PTP4A2	4.32478440907937	0.0578039542159197
HDAC1	HDAC1	2.95673362451143	0.0045931665247564
ZBTB8A	ZBTB8A	0.149797671925992	1.870223693364e-05
KIAA1522	KIAA1522	1.6122185716716	2.39381383475779e-59
TMEM54	TMEM54	1.22371683485141	1.43780652341143e-13
AK2	AK2	4.29912727154859	0.000704324277530741
GJB4	GJB4	0.592217908396956	1.10148784144172e-22
GJB3	GJB3	5.85885106517619	1.19478925512915e-06
SFPQ	SFPQ	14.9871357255711	0.0093982141653238
PSMB2	PSMB2	2.67745292358225	0.0882154719330555
AGO3	AGO3	0.407203972928448	0.0629944779448561
MAP7D1	MAP7D1	0.194703704263269	0.0335595856073406
STK40	STK40	0.412039564283116	0.036524422858482
DNALI1	DNALI1	0.143151069583103	0.0399204503101106
YRDC	YRDC	0.723963435728647	0.0237924623625566
