Gene	LogFC	Pval
AL645608.8	AL645608.8	0.287397435001444	0.0085458041054817
TNFRSF18	TNFRSF18	0.219502308660188	0.00556023458898477
TNFRSF4	TNFRSF4	0.303855258040669	0.0248148214147319
AL139246.5	AL139246.5	0.143522182393208	0.00553511247863384
TNFRSF14	TNFRSF14	0.586445643551192	0.000142953342929208
KCNAB2	KCNAB2	0.121135412495566	0.0156709103912423
KLHL21	KLHL21	0.182211978199782	0.0496086704691888
MTHFR	MTHFR	0.437236788948271	0.0135658561242566
TNFRSF1B	TNFRSF1B	0.59768260122364	1.14758917951476e-08
EFHD2	EFHD2	0.292241738319378	0.00066190088700916
IFFO2	IFFO2	0.202692918359265	0.0167919903902221
C1QA	C1QA	72.1066663301578	3.68872843123316e-07
C1QC	C1QC	47.1089077610956	5.38686863379337e-07
C1QB	C1QB	47.1487590957004	3.41334096990898e-06
RUNX3	RUNX3	1.01932393818555	8.58027528869158e-10
RSRP1	RSRP1	0.161268717782806	0.00619475419664209
SH3BGRL3	SH3BGRL3	12.2350557638407	0.000511895621229037
CD52	CD52	10.1545669361551	6.6843526172038e-06
THEMIS2	THEMIS2	0.301490114202289	3.39625416826128e-05
PTAFR	PTAFR	0.177345659470767	0.00431993832431729
SESN2	SESN2	0.370826177065742	0.0913872992513916
SNHG12	SNHG12	0.386997359256851	0.0183938092295233
LAPTM5	LAPTM5	5.25750156297701	2.50957110819391e-14
LCK	LCK	0.23523899673621	0.00271434010591528
STK40	STK40	0.102258114955011	0.0797301013708402
CSF3R	CSF3R	0.430437338878283	1.7082040250204e-05
ZC3H12A	ZC3H12A	0.468184240168619	0.000104523988701645
CAP1	CAP1	0.16021853936745	0.01718979799645
SMAP2	SMAP2	0.369209823206799	0.000223493887997381
ELOVL1	ELOVL1	0.138344306527555	0.0137202205042387
ATP6V0B	ATP6V0B	0.6726562954498	0.000144243005651352
MKNK1	MKNK1	0.49174253719815	0.0070779504079842
PDE4B	PDE4B	1.20092972736002	1.09115129693058e-07
ODF2L	ODF2L	2.05481635585554	0.0105206865413016
GBP2	GBP2	0.112168169453534	0.0179039700484448
DNTTIP2	DNTTIP2	0.108885635067838	0.0802218382685029
STXBP3	STXBP3	0.152170481867899	0.0113252253652011
KIAA1324	KIAA1324	0.113845111817003	0.0207714872470875
AMPD2	AMPD2	0.188219099505681	0.0354860735815776
CD53	CD53	1.41717153084094	2.9182656937944e-11
C1orf162	C1orf162	0.199081096471989	0.0317984332552406
CAPZA1	CAPZA1	0.113847530940567	0.0438873580103185
PTPN22	PTPN22	0.215238294043538	0.000112582398082633
HIPK1	HIPK1	0.230390022795836	0.0350560846898412
CD58	CD58	0.230058449508832	5.58816422569671e-05
AC245014.3	AC245014.3	0.247272593550962	0.0251282762282304
PLEKHO1	PLEKHO1	2.97410636360578	0.00732248497734387
MCL1	MCL1	3.81979361093754	1.53250911425266e-06
CTSS	CTSS	1.07205681379213	4.01773982610209e-08
CDC42SE1	CDC42SE1	0.341815262349977	0.000893544259155697
S100A11	S100A11	11.4776072828105	0.0481164155413471
S100A9	S100A9	1.2323731754763	0.0127526588539753
S100A8	S100A8	26.094674508787	0.0259714239589982
S100A4	S100A4	10.5929098839648	3.78783528034939e-05
IL6R	IL6R	0.434432444845202	3.44843915662425e-05
SH2D2A	SH2D2A	0.134056001434717	0.00598777894532594
ETV3	ETV3	1.03543738346029	4.11514784287519e-05
MNDA	MNDA	0.457091026582886	0.0113568213867767
CD48	CD48	0.588259502871469	3.12435129499451e-05
SLAMF7	SLAMF7	0.396859293289186	0.000146749886778266
LY9	LY9	0.615759306925147	0.000823005236795605
FCER1G	FCER1G	13.452246463147	9.22344383319965e-14
FCGR2A	FCGR2A	0.215238294043538	9.68313613107005e-05
CD247	CD247	0.388413052664258	0.000540176248262977
CREG1	CREG1	0.200953823615562	0.0205415221503548
XCL1	XCL1	14.1601890972261	0.00280911522512859
SELL	SELL	0.558600521357553	0.000745309645837039
TOR3A	TOR3A	0.25825611738936	0.0554762854820648
ABL2	ABL2	0.822163920644318	0.0207211048360017
IER5	IER5	6.83991872187363	0.000395900894165969
GLUL	GLUL	2.30661698346131	0.0897486250684604
IVNS1ABP	IVNS1ABP	0.841392320545164	0.00536338076390361
PTGS2	PTGS2	5.15891329369083	3.36340232663394e-07
RGS1	RGS1	7.28156112036579	5.16871852325167e-11
RGS2	RGS2	6.91867202652195	0.0181700908750023
PTPRC	PTPRC	1.65979450962821	2.18641957112135e-21
MIR181A1HG	MIR181A1HG	0.505226129475912	0.00181900658369504
PTPN7	PTPN7	0.245542721542845	0.000921113358087919
RAB29	RAB29	0.113640182225764	0.0273517389366975
RASSF5	RASSF5	0.543936178547276	0.000157409399891011
MAPKAPK2	MAPKAPK2	0.279765549853445	0.000821844774906532
CD55	CD55	1.16776581686105	1.14987080089253e-06
SDE2	SDE2	0.117611119895704	0.0341941501450496
C1orf35	C1orf35	0.160878314529804	0.0281225761422372
IRF2BP2	IRF2BP2	0.459314624353639	0.0324942166549061
GPR137B	GPR137B	0.12020746808265	0.0268638598120783
ERO1B	ERO1B	2.20474879058837	0.0238586941025481
KMO	KMO	0.220021743141086	0.00212972373024219
CHML	CHML	0.104080221088445	0.0344876304785564
NLRP3	NLRP3	0.878285294367619	4.18009166434125e-06
ADAM17	ADAM17	0.171651311675861	0.0256972940375479
LPIN1	LPIN1	1.39943108038935	0.0186971530287689
FAM49A	FAM49A	0.650302429928879	1.47225854509896e-07
ITSN2	ITSN2	0.46662117073209	0.00329688262841801
FOSL2	FOSL2	3.08003909466711	2.34459176609573e-08
YPEL5	YPEL5	1.97047396831327	0.000101542368063589
RASGRP3	RASGRP3	0.187934338502928	0.000143856038304264
CDC42EP3	CDC42EP3	0.984088290627111	0.000684684871826861
SLC8A1	SLC8A1	0.131794746409889	0.0225799717256759
EML4	EML4	0.150808366558943	0.000818749823429084
BCL11A	BCL11A	0.693933097971539	0.0626739743996522
REL	REL	11.661559424536	1.71588773001558e-21
SLC1A4	SLC1A4	0.270458997347272	0.000596268667556491
ACTR2	ACTR2	1.17921685059812	0.00358335739197681
CNRIP1	CNRIP1	1.97740176067845	7.27430176551217e-06
PLEK	PLEK	1.23287246726445	4.27525264950547e-07
MXD1	MXD1	0.30384261793273	0.000361048608765988
DGUOK	DGUOK	0.125371422378716	0.00127618101147405
MOB1A	MOB1A	0.305733717802517	0.00028418669554233
MTHFD2	MTHFD2	1.12938056654544	0.0078561777458203
TGOLN2	TGOLN2	0.244256846421016	0.0189813589800274
MAT2A	MAT2A	2.34094646414394	0.0020372107099615
EIF2AK3	EIF2AK3	0.205114589960822	0.00497500432107886
DUSP2	DUSP2	20.5695274446824	3.90672907125047e-22
INPP4A	INPP4A	0.159175685578058	0.00506829585564166
MGAT4A	MGAT4A	0.465034826514511	0.00603556520502513
RNF149	RNF149	0.558412079001587	6.38636010289054e-06
IL1R2	IL1R2	0.102362083840683	0.00533450155406091
RANBP2	RANBP2	0.749531151632565	1.44273431234186e-05
MIR4435-2HG	MIR4435-2HG	0.153643966172255	0.00915755778926744
BCL2L11	BCL2L11	0.263441741456931	0.000366809043116914
MERTK	MERTK	0.305345615964941	0.00166745727634585
IL1A	IL1A	2.02978064284069	0.000145348816684966
IL1B	IL1B	100.062775756336	5.31503395620833e-14
IL1RN	IL1RN	2.17878902225896	0.000211049706293592
PSD4	PSD4	0.123801828163966	0.0119709287445458
ACTR3	ACTR3	0.479965649159764	0.00117830459099852
TMEM37	TMEM37	0.219134757458024	0.0258767238947132
MAP3K2	MAP3K2	0.321603835357382	0.039520894270601
UGGT1	UGGT1	0.131874467231454	0.0709315165759898
PTPN18	PTPN18	0.111428005100003	0.0203235164276299
PLEKHB2	PLEKHB2	0.820602759131616	0.00456792496292199
CXCR4	CXCR4	6.16014068304587	9.43182977139112e-12
KYNU	KYNU	0.10354640420704	0.00526201306494903
ZEB2-AS1	ZEB2-AS1	0.129338267314351	0.00954118216509597
CACNB4	CACNB4	0.399322450389884	0.0251422007210843
NR4A2	NR4A2	15.0643396297485	4.96969678783522e-15
CYTIP	CYTIP	0.367248328496175	3.41526969843113e-05
TANK	TANK	0.564666313577286	0.00196089427812403
WIPF1	WIPF1	0.34787713421178	7.65964653510931e-06
NFE2L2	NFE2L2	1.65894878532274	0.00149239749338029
ITGA4	ITGA4	0.122687181310445	0.00383312429126051
STAT4	STAT4	0.175503438293922	0.000227586688178598
NABP1	NABP1	0.810983580461125	3.37376471695623e-05
STK17B	STK17B	0.183642045121214	0.00531633746306041
ANKRD44	ANKRD44	0.174268870886936	0.00360364700777875
CFLAR	CFLAR	1.70742688100917	1.99280855115311e-09
CASP8	CASP8	0.102188150689422	0.0415900288512817
PIKFYVE	PIKFYVE	0.242205131990219	0.0236669344276761
SLC11A1	SLC11A1	1.04690256185753	0.00513185961686111
CNPPD1	CNPPD1	0.105547323933863	0.0226730614830664
TUBA4A	TUBA4A	0.236390253471653	0.0193993957786043
CCL20	CCL20	21.2688277778651	0.0506256183383382
INPP5D	INPP5D	0.305851161404673	0.000326373671433724
ARL4C	ARL4C	9.16911691786957	2.28178012807519e-13
LRRFIP1	LRRFIP1	1.4917023914912	1.25020490063308e-05
GPR35	GPR35	0.295128175600172	0.000526620934878685
ARL8B	ARL8B	0.527049922319312	8.88984184946278e-05
EDEM1	EDEM1	0.546983067105741	4.35323242790147e-06
THUMPD3-AS1	THUMPD3-AS1	0.152604735728759	1.66323246725476e-05
NUP210	NUP210	0.331452867315357	0.00040959551360917
SLC6A6	SLC6A6	0.22157792190617	5.6536569976578e-05
ANKRD28	ANKRD28	0.576572107991631	0.00437651549132204
CMTM6	CMTM6	0.80447642026576	0.000924372855090115
OXSR1	OXSR1	0.265802805925847	0.0108715481338335
WDR48	WDR48	0.127848518937928	0.0250321279658437
CTNNB1	CTNNB1	1.80552744324842	0.0042159953873219
TRAK1	TRAK1	0.143485843685377	0.00477639080870522
SNRK	SNRK	0.101487544335473	0.0506369230753606
CCRL2	CCRL2	0.154204005366762	0.00365228102991736
CCDC12	CCDC12	0.216881387761829	0.041470286459993
STAB1	STAB1	3.02981170979435	2.63703223670692e-09
SELENOK	SELENOK	18.9883616479315	0.0218166647096781
DNASE1L3	DNASE1L3	10.5926425895991	4.61553371011052e-10
FRMD4B	FRMD4B	0.14980130470989	0.0346648286356532
CLDND1	CLDND1	0.360701119432025	0.00191826949647973
ST3GAL6	ST3GAL6	0.148308368597885	0.0190860960884785
NIT2	NIT2	0.115617252389517	0.067003756868758
NFKBIZ	NFKBIZ	1.45213157044597	0.00912280778450791
CD47	CD47	0.183094936839039	0.0171737204543086
CD96	CD96	0.143522182393208	0.00405396575355959
HCLS1	HCLS1	0.465130058345946	1.71445232683016e-06
CD86	CD86	0.600441151286805	0.000202073822077198
PARP14	PARP14	0.204616378183638	0.0123828685103096
TPRA1	TPRA1	0.942139333742528	0.000242357187605625
CDV3	CDV3	0.164971057798869	0.0133938626173689
ATP1B3	ATP1B3	21.5112605184297	5.00589410849867e-18
PLSCR1	PLSCR1	0.282867315328869	0.0774306854855354
SELENOT	SELENOT	0.169293859507079	0.00773552879418764
SIAH2	SIAH2	0.11564105931146	0.099422851810978
MBNL1	MBNL1	0.317952020905119	7.18783712409598e-05
RAP2B	RAP2B	0.105557479858314	0.0609506353105245
TIPARP	TIPARP	0.598541449403797	1.79504121618575e-05
MFSD1	MFSD1	0.699009699929689	9.61823735522161e-05
KPNA4	KPNA4	0.19911264204281	0.0449460064959964
RPL22L1	RPL22L1	0.472708058273807	0.0357849874956979
B3GNT5	B3GNT5	0.498612598909469	0.00206477112317149
ATP13A3	ATP13A3	0.907156472340181	0.00016938548418963
TFRC	TFRC	3.21944187926238	0.000146028580258257
NRROS	NRROS	0.13523892084536	0.00771433095974914
PAK2	PAK2	0.187924237601145	0.0387667818345985
ZNF141	ZNF141	0.328370289207679	0.0015483340993908
GAK	GAK	0.32056635888703	0.00792179496278099
SH3BP2	SH3BP2	0.407587582865719	0.00038761580302378
CD38	CD38	0.159940637699498	0.00219159651843451
RHOH	RHOH	0.291387376294052	9.98884464718869e-05
OCIAD2	OCIAD2	0.32664155966357	0.0212478226885022
KIT	KIT	0.507193517254845	0.00383226118546067
CXCL8	CXCL8	75.0931314900073	2.12968473225076e-13
CXCL3	CXCL3	5.44303692846309	3.37235724403129e-05
MTHFD2L	MTHFD2L	0.118163293456889	0.00651738676292136
AREG	AREG	1.36652417095964	0.0634793087084104
NAAA	NAAA	0.109071797420304	0.0518441113998655
CNOT6L	CNOT6L	0.449412235737144	0.00511352200714137
