Gene	LogFC	Pval
AL645608.8	AL645608.8	0.255845944230997	0.00192372767772863
HES4	HES4	19.2835175001898	1.09966878297115e-13
TNFRSF18	TNFRSF18	0.220686629026545	0.00526793516287269
TNFRSF4	TNFRSF4	0.3156358135121	0.0103993178503708
AL139246.5	AL139246.5	0.139522532107057	0.0111613540130796
TNFRSF14	TNFRSF14	0.552411150239709	0.000613561850208168
KCNAB2	KCNAB2	0.127694701964058	0.00842016543582441
KLHL21	KLHL21	0.185185741810291	0.0774582201389034
MTHFR	MTHFR	0.351306852376029	0.0530630735573117
TNFRSF1B	TNFRSF1B	0.621106545016631	2.10344394477205e-09
EFHD2	EFHD2	0.300299077083662	0.000828385581327991
IFFO2	IFFO2	0.197097684684785	0.0266562010408135
C1QA	C1QA	72.1463365431715	1.4045386957869e-07
C1QC	C1QC	47.1292522651893	5.47165261240575e-07
C1QB	C1QB	47.1549895538009	3.21286130839244e-06
RCAN3	RCAN3	0.11576715296821	0.00399208471821063
RUNX3	RUNX3	1.02405282714706	6.58373210099625e-10
RSRP1	RSRP1	1.50875249946915	2.46055755437738e-07
MACO1	MACO1	0.197097684684785	0.0761946236401455
SH3BGRL3	SH3BGRL3	12.6338677180722	0.000484703097963493
CD52	CD52	10.1576189523789	6.18887695778356e-06
RPS6KA1	RPS6KA1	0.101880028539482	0.0211736696397349
THEMIS2	THEMIS2	0.296310336497081	5.16854966934916e-05
PTAFR	PTAFR	0.179712899247767	0.00354755585758405
SESN2	SESN2	0.445651713571312	0.00190780865986316
SNHG12	SNHG12	0.355875310619489	0.0291007894264589
LAPTM5	LAPTM5	5.2698175302666	1.25640787574502e-14
LCK	LCK	0.233595431385918	0.00216452550929031
SFPQ	SFPQ	1.14985699265289	0.000373210793820183
CSF3R	CSF3R	0.426437688592132	1.87435183782788e-05
ZC3H12A	ZC3H12A	0.593058589683895	1.57876300284817e-05
SMAP2	SMAP2	0.349733562146157	0.000818856989897496
ATP6V0B	ATP6V0B	0.769010468970007	0.00342263569617953
PLK3	PLK3	0.387229476286038	0.000992424930660733
PRDX1	PRDX1	0.879167102588568	0.0533300094043626
MKNK1	MKNK1	0.534146404770442	0.00410653620677497
PDE4B	PDE4B	1.21678204905767	3.78631126142534e-08
GADD45A	GADD45A	0.321762545939142	0.00378411696203719
AC103591.3	AC103591.3	0.283799790797572	0.0139774528147631
ODF2L	ODF2L	1.9334594962646	0.0125120652319029
GTF2B	GTF2B	0.286069334933477	0.00557464715509949
DNTTIP2	DNTTIP2	0.111113612217596	0.0197668291187985
PRPF38B	PRPF38B	0.208124632425287	0.00554567503186789
STXBP3	STXBP3	0.102857648785315	0.0200816214760994
KIAA1324	KIAA1324	0.107072287445322	0.0379528193452585
AMPD2	AMPD2	0.252675120066327	0.00193535462583188
CD53	CD53	1.41552796549065	2.91227512858773e-11
C1orf162	C1orf162	0.20968982197736	0.0112471283243051
CAPZA1	CAPZA1	0.132387174255763	0.0358050762700065
PTPN22	PTPN22	0.216422614409895	0.000103091146121804
HIPK1	HIPK1	0.262878315670795	0.0857463091787962
ATP1A1	ATP1A1	1.680182490108	9.39035438331665e-08
CD58	CD58	0.159033100840713	0.00116938726114247
AC245014.3	AC245014.3	0.227179710813345	0.0562088565966872
RBM8A	RBM8A	0.243781856322856	0.00583474648781792
MCL1	MCL1	5.66277011200041	2.99403477343946e-12
CTSS	CTSS	1.09746784211121	7.72404057076805e-09
