Gene	LogFC	Pval
SAMD11	SAMD11	0.432694750699592	3.88169678223422e-05
AGRN	AGRN	0.145904575664949	0.00187519419601247
UBE2J2	UBE2J2	0.165100797768027	0.0582648219030348
INTS11	INTS11	0.225291404132095	0.0300396305447119
MXRA8	MXRA8	1.03725272524407	1.17898685894342e-08
MRPL20	MRPL20	2.72957353764847	8.6379895760065e-05
VWA1	VWA1	4.27305591712183	3.48421018119837e-19
ATAD3A	ATAD3A	0.108326540513231	0.0736085501759137
SSU72	SSU72	0.352643275438688	0.00228587886195287
MMP23B	MMP23B	0.928954065903421	2.52829283357235e-07
FAAP20	FAAP20	0.761479341018824	6.37721776427097e-05
SKI	SKI	0.20799188861541	0.00502527697672603
TPRG1L	TPRG1L	0.138401861059904	0.00263862981824287
RPL22	RPL22	9.56048894279317	0.000760284662773077
CAMTA1	CAMTA1	0.779404640887306	0.00011847890331587
VAMP3	VAMP3	0.213089537433737	0.00157648861955793
PARK7	PARK7	3.2230617577395	0.0213262577311793
SPSB1	SPSB1	0.203086844931116	0.0193397398706858
CTNNBIP1	CTNNBIP1	0.146766445096327	0.0165482259921926
CASZ1	CASZ1	0.248378226379283	8.81718929103956e-06
SRM	SRM	0.30368200691228	0.0540346029549453
PLOD1	PLOD1	0.862359870003757	0.000151047763013227
TMEM51	TMEM51	0.612957383650267	0.00445674644057254
FBLIM1	FBLIM1	0.499929241808764	9.54349405529438e-07
HSPB7	HSPB7	0.439069118185573	3.45038386771419e-09
CROCC	CROCC	0.161206712376529	0.00348393700697834
MFAP2	MFAP2	6.62954462556136	9.07211905771641e-12
SDHB	SDHB	0.174590829783821	0.037266527132119
AKR7A2	AKR7A2	0.605019193450232	2.03119780422641e-05
CAPZB	CAPZB	3.0522615111422	0.00154482636664387
MINOS1	MINOS1	1.03489731945878	0.0368723769650945
NBL1	NBL1	6.50034738110887	7.40205218669113e-05
PLA2G2A	PLA2G2A	1.86498870363618	0.0984183363590976
UBXN10-AS1	UBXN10-AS1	0.197256424544416	0.000364052339486931
CAMK2N1	CAMK2N1	3.6172661793933	2.98647000311157e-08
PINK1	PINK1	0.246723433183405	0.00219343288975113
HP1BP3	HP1BP3	0.424072902670069	0.0390125778056972
ECE1	ECE1	0.186299841040772	0.00064239600381847
HSPG2	HSPG2	1.83787417367299	1.26166708789971e-27
ID3	ID3	21.5990317487017	0.0605156521664608
PNRC2	PNRC2	0.245567654214032	0.0914094834816572
CLIC4	CLIC4	0.862873400138537	3.79594433989822e-08
STMN1	STMN1	18.9440339110415	1.60585796914399e-05
HMGN2	HMGN2	2.70885842122952	0.0506692079963858
ARID1A	ARID1A	1.09803291841262	0.0331490595250912
NUDC	NUDC	0.548802289688066	0.00615902562538732
TRNP1	TRNP1	0.397963101150149	0.00974031655893135
AHDC1	AHDC1	0.179564100445157	4.78837561883385e-05
TRNAU1AP	TRNAU1AP	0.170555688651281	0.0145626879361348
YTHDF2	YTHDF2	0.802684504173203	0.00120290083740783
TMEM200B	TMEM200B	0.143796613700879	0.0115945995822815
SDC3	SDC3	0.312319638426213	0.00166842183593503
SNRNP40	SNRNP40	0.379677271697195	0.0728173989891259
TINAGL1	TINAGL1	1.55147473882584	4.37052634461748e-16
COL16A1	COL16A1	0.315863115434155	0.000269421903349545
ADGRB2	ADGRB2	0.123225418253564	0.00353677246476546
CCDC28B	CCDC28B	0.207487473556165	0.00126919595536098
SYNC	SYNC	0.19766630968121	0.00404427132277674
PHC2	PHC2	0.290235929658973	0.0212594161136217
PSMB2	PSMB2	1.3830123137241	0.000281862837562481
MRPS15	MRPS15	0.202705362680946	0.0466333604889654
MEAF6	MEAF6	0.347317157797386	0.000273261761304748
C1orf122	C1orf122	1.20426101172059	0.000311145549944767
SF3A3	SF3A3	0.241539804737507	0.0100749749463742
FHL3	FHL3	2.41885131204686	6.57435763856921e-10
UTP11	UTP11	0.218568759254893	0.0192827888127556
MYCBP	MYCBP	0.196914438868912	0.00105729744827285
NDUFS5	NDUFS5	4.63779894363066	3.74105927849033e-07
MACF1	MACF1	4.43638250746257	1.47961156235331e-05
PPIE	PPIE	0.159088455849121	0.0509796656188033
CITED4	CITED4	0.246939106101047	0.0905487392340333
CTPS1	CTPS1	0.218735532417648	0.00292765819893353
SCMH1	SCMH1	0.139987428396985	0.0146273049021246
GUCA2B	GUCA2B	0.137895122162739	0.0391751574986858
PPIH	PPIH	0.143932722742053	0.0669967087455414
YBX1	YBX1	3.60602082065147	0.00484924222289372
P3H1	P3H1	0.189476347425708	0.000342857677907833
SVBP	SVBP	0.288438385287706	0.000153101412652726
EBNA1BP2	EBNA1BP2	0.124707375588932	0.017699297495079
MED8	MED8	0.236144071527849	0.040606648598956
HYI	HYI	0.337693639508364	2.28643421274862e-05
PTPRF	PTPRF	0.170352442946785	0.000246027879438067
ST3GAL3	ST3GAL3	0.107815097030437	0.0063795856826703
B4GALT2	B4GALT2	0.410580194829242	2.95385341782073e-06
ERI3	ERI3	0.237697712907078	0.0374674601507676
RPS8	RPS8	43.5095777427117	8.84022499104179e-06
UROD	UROD	0.164860415913321	0.0133317109959728
NASP	NASP	0.264864340934334	0.011995979848525
PIK3R3	PIK3R3	0.15265510220679	0.00242790231407921
POMGNT1	POMGNT1	0.104290693282094	0.0592018957089282
LRRC41	LRRC41	0.485040002690914	0.00386497985991863
UQCRH	UQCRH	6.71449698793057	0.000192387444894281
ATPAF1	ATPAF1	0.193692383194743	0.00413358523920802
BEND5	BEND5	0.164804120401106	0.000330369570874689
RNF11	RNF11	0.187128674529201	0.0191858602561825
BTF3L4	BTF3L4	0.30545325726792	0.0307786010663113
TUT4	TUT4	0.284195510250622	0.0083788791188028
GPX7	GPX7	1.91458732010123	9.19747034088743e-06
ZYG11B	ZYG11B	0.104290693282094	0.0062021186261734
SCP2	SCP2	0.612080506380438	0.00349486782520625
C1orf123	C1orf123	0.396025999854127	0.000367371303619051
LRRC42	LRRC42	0.253138930869623	0.0030747983992528
SSBP3	SSBP3	0.216415901007977	0.028110008476092
PLPP3	PLPP3	0.21917504566046	0.010174277363094
JUN	JUN	50.5581915169456	9.57947209955438e-23
NFIA	NFIA	1.23146911262966	5.00386555303518e-06
DOCK7	DOCK7	0.18862916968189	0.000808781117143492
AK4	AK4	0.350477738761521	0.000883759654672213
LEPROT	LEPROT	1.27733453179751	2.3871817972205e-05
SERBP1	SERBP1	1.17572717160374	0.00330839536411793
GNG12	GNG12	0.314884235326414	0.0151682284437527
WLS	WLS	1.83117731280239	2.53596991665532e-07
PTGER3	PTGER3	0.45256212184078	0.00330316762661227
NEGR1	NEGR1	0.200000290425358	0.00016041382446281
TYW3	TYW3	0.195671254026193	4.40304403238073e-05
ACADM	ACADM	0.441267745901532	0.0271975364177674
NEXN	NEXN	6.92712642804545	1.67032422325153e-23
ADGRL2	ADGRL2	0.312742397407521	5.41990305851204e-05
TTLL7	TTLL7	0.252184006930012	7.36684364897142e-08
PRKACB	PRKACB	0.17344855377498	0.011608181007211
DDAH1	DDAH1	0.124707375588932	0.0535059046218736
CYR61	CYR61	47.5503902053136	3.64325289996126e-32
LMO4	LMO4	6.56319069902745	8.05733108536859e-08
GBP1	GBP1	0.450270825778123	0.000115896909326269
TGFBR3	TGFBR3	0.569195103933987	2.75194376731939e-05
RPL5	RPL5	71.5581641473321	5.79738633676516e-05
FAM69A	FAM69A	0.164804120401106	0.000196852594220668
FNBP1L	FNBP1L	0.12117538762272	0.0510013112766352
CNN3	CNN3	2.22512201788737	0.000139570993010935
PTBP2	PTBP2	0.184458470086613	0.00055332558247059
SNX7	SNX7	0.249519073385009	0.00974367819810203
AGL	AGL	0.206586765856581	0.047802013711515
EXTL2	EXTL2	0.19405909629961	0.0286127838259638
GSTM4	GSTM4	0.101500203578504	0.0481891853311583
GSTM5	GSTM5	2.25343137508674	3.69801090442535e-07
GSTM3	GSTM3	2.71979651354402	3.5795584061412e-05
AHCYL1	AHCYL1	0.162243314239059	0.00787148141216015
LAMTOR5	LAMTOR5	0.614059166494525	0.0124230805495601
ATP5PB	ATP5PB	1.7989185636921	0.0354728028812823
RAP1A	RAP1A	7.51092601153591	6.52615593408635e-08
KCND3	KCND3	0.129094950260098	0.000631368414323264
